timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
0,0.000000,0.000000,-3.000000,0.000000,0.000000,-3.000000,x500_identified
38397,-0.000007,-0.000027,-2.997345,0.002124,-0.003187,-2.996196,x500_identified
76795,-0.000131,-0.000493,-2.992954,0.001988,-0.002996,-2.993518,x500_identified
115192,-0.000581,-0.002205,-2.989569,0.002226,-0.003679,-2.988910,x500_identified
153589,-0.001555,-0.005961,-2.987359,0.001703,-0.005426,-2.985574,x500_identified
191987,-0.003239,-0.012554,-2.986179,0.000713,-0.009960,-2.983016,x500_identified
230384,-0.005811,-0.022771,-2.985844,-0.001504,-0.016543,-2.981748,x500_identified
268781,-0.009443,-0.037417,-2.986122,-0.004037,-0.026742,-2.981397,x500_identified
307179,-0.014302,-0.057307,-2.986730,-0.007399,-0.041526,-2.981608,x500_identified
345576,-0.020524,-0.083167,-2.987337,-0.012682,-0.061474,-2.981974,x500_identified
383973,-0.028176,-0.115436,-2.987081,-0.019113,-0.087290,-2.982426,x500_identified
422371,-0.037176,-0.154081,-2.984621,-0.027910,-0.119135,-2.982292,x500_identified
460768,-0.047376,-0.199157,-2.979583,-0.036525,-0.158070,-2.980287,x500_identified
499165,-0.058641,-0.251115,-2.973199,-0.046762,-0.202782,-2.975459,x500_identified
537563,-0.070773,-0.310253,-2.966407,-0.059068,-0.254834,-2.969416,x500_identified
575960,-0.083431,-0.375915,-2.959474,-0.071057,-0.314233,-2.962619,x500_identified
614357,-0.096305,-0.447515,-2.952619,-0.083553,-0.379895,-2.956269,x500_identified
652755,-0.109103,-0.524608,-2.946035,-0.096676,-0.450836,-2.949655,x500_identified
691152,-0.121537,-0.606732,-2.939891,-0.108075,-0.528013,-2.943164,x500_identified
729549,-0.133317,-0.693425,-2.934340,-0.120536,-0.609766,-2.936115,x500_identified
767947,-0.144154,-0.784221,-2.929511,-0.131816,-0.696214,-2.930683,x500_identified
806344,-0.153709,-0.878731,-2.925548,-0.143102,-0.786817,-2.925123,x500_identified
844741,-0.161728,-0.976346,-2.922514,-0.152139,-0.880820,-2.920931,x500_identified
883139,-0.167928,-1.076569,-2.920474,-0.160128,-0.978190,-2.917849,x500_identified
921536,-0.172029,-1.178899,-2.919473,-0.167174,-1.077726,-2.916288,x500_identified
959933,-0.173759,-1.282835,-2.919530,-0.171224,-1.179634,-2.914866,x500_identified
998331,-0.172845,-1.387869,-2.920642,-0.173277,-1.282530,-2.915586,x500_identified
1036728,-0.168969,-1.493495,-2.922806,-0.171683,-1.387277,-2.916844,x500_identified
1075125,-0.161824,-1.599182,-2.925986,-0.167546,-1.492456,-2.919329,x500_identified
1113523,-0.151231,-1.704418,-2.930087,-0.160738,-1.597335,-2.922593,x500_identified
1151920,-0.136945,-1.808670,-2.935019,-0.149584,-1.702260,-2.926893,x500_identified
1190317,-0.118721,-1.911454,-2.940673,-0.134928,-1.806571,-2.931921,x500_identified
1228715,-0.096322,-2.012275,-2.946920,-0.115387,-1.909269,-2.937209,x500_identified
1267112,-0.069519,-2.110635,-2.953609,-0.093260,-2.008887,-2.943131,x500_identified
1305509,-0.037881,-2.205915,-2.960572,-0.067025,-2.107052,-2.949343,x500_identified
1343907,-0.001290,-2.297619,-2.967591,-0.034458,-2.202297,-2.956361,x500_identified
1382304,0.040392,-2.385314,-2.974448,0.001651,-2.293802,-2.963854,x500_identified
1420701,0.087368,-2.468523,-2.980905,0.043333,-2.381610,-2.970596,x500_identified
1459098,0.139835,-2.546781,-2.986709,0.090604,-2.464631,-2.976641,x500_identified
1497496,0.197827,-2.619750,-2.991300,0.142397,-2.541880,-2.982396,x500_identified
1535893,0.261324,-2.687183,-2.994175,0.200012,-2.614312,-2.987361,x500_identified
1574290,0.330548,-2.748674,-2.995400,0.263539,-2.682487,-2.990360,x500_identified
1612688,0.405473,-2.804109,-2.995290,0.333244,-2.743456,-2.991942,x500_identified
1651085,0.485962,-2.853500,-2.993681,0.407335,-2.798631,-2.992099,x500_identified
1689482,0.571827,-2.896886,-2.990492,0.487093,-2.848202,-2.990453,x500_identified
1727880,0.662978,-2.934291,-2.985971,0.573162,-2.891790,-2.986542,x500_identified
1766277,0.759280,-2.965777,-2.980432,0.664070,-2.929303,-2.982376,x500_identified
1804674,0.860664,-2.991325,-2.973994,0.760192,-2.961163,-2.976615,x500_identified
1843072,0.966886,-3.010955,-2.966865,0.860849,-2.986784,-2.970080,x500_identified
1881469,1.077473,-3.025034,-2.959270,0.966313,-3.007039,-2.962277,x500_identified
1919866,1.192143,-3.033682,-2.951355,1.076526,-3.021526,-2.954768,x500_identified
1958264,1.310625,-3.037021,-2.943258,1.190505,-3.029494,-2.946663,x500_identified
1996661,1.432595,-3.035172,-2.935110,1.308320,-3.032812,-2.938144,x500_identified
