timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
0,0.000000,0.000000,-3.000000,0.000000,0.000000,-3.000000,x500_identified
50083,0.029370,0.016782,-3.000003,0.005149,-0.004924,-2.995954,x500_identified
100167,0.058737,0.033556,-3.000011,0.034364,0.012280,-2.995752,x500_identified
150250,0.088097,0.050316,-3.000025,0.064001,0.028868,-2.995793,x500_identified
200334,0.117447,0.067054,-3.000044,0.092782,0.045278,-2.995871,x500_identified
250417,0.146785,0.083762,-3.000069,0.122200,0.061662,-2.996058,x500_identified
300501,0.176107,0.100433,-3.000099,0.151743,0.077945,-2.996345,x500_identified
350584,0.205409,0.117060,-3.000135,0.180818,0.094762,-2.996112,x500_identified
400668,0.234688,0.133636,-3.000176,0.210619,0.111117,-2.996108,x500_identified
450751,0.263942,0.150152,-3.000223,0.239435,0.127636,-2.995765,x500_identified
500835,0.293167,0.166603,-3.000275,0.268715,0.144084,-2.995773,x500_identified
550918,0.322359,0.182980,-3.000333,0.297575,0.160834,-2.996084,x500_identified
601002,0.351516,0.199277,-3.000396,0.326423,0.177523,-2.996798,x500_identified
651085,0.380634,0.215486,-3.000465,0.355319,0.194244,-2.996515,x500_identified
701169,0.409710,0.231600,-3.000539,0.384082,0.210969,-2.996490,x500_identified
751252,0.438742,0.247613,-3.000619,0.413048,0.227366,-2.996261,x500_identified
801336,0.467725,0.263516,-3.000704,0.441862,0.243868,-2.996544,x500_identified
851419,0.496656,0.279303,-3.000794,0.469859,0.259706,-2.996529,x500_identified
901503,0.525533,0.294968,-3.000891,0.498953,0.275163,-2.997200,x500_identified
951586,0.554352,0.310502,-3.000992,0.527521,0.291136,-2.997523,x500_identified
1001669,0.583110,0.325900,-3.001099,0.555826,0.307329,-2.997255,x500_identified
1051753,0.611804,0.341155,-3.001212,0.583604,0.322277,-2.997074,x500_identified
1101836,0.640431,0.356259,-3.001330,0.611792,0.337617,-2.997374,x500_identified
1151920,0.668987,0.371207,-3.001453,0.640390,0.351864,-2.997967,x500_identified
1202003,0.697470,0.385991,-3.001582,0.668544,0.366871,-2.997888,x500_identified
1252087,0.725875,0.400605,-3.001717,0.697686,0.382085,-2.997801,x500_identified
1302170,0.754201,0.415044,-3.001857,0.725770,0.397068,-2.997723,x500_identified
1352254,0.782444,0.429299,-3.002002,0.753867,0.411340,-2.997418,x500_identified
1402337,0.810601,0.443365,-3.002153,0.781799,0.425107,-2.997411,x500_identified
1452421,0.838669,0.457237,-3.002309,0.808969,0.439925,-2.997647,x500_identified
1502504,0.866644,0.470907,-3.002471,0.837269,0.453757,-2.998347,x500_identified
1552588,0.894524,0.484370,-3.002638,0.864829,0.467199,-2.998725,x500_identified
1602671,0.922306,0.497619,-3.002810,0.892518,0.480760,-2.998344,x500_identified
1652755,0.949986,0.510650,-3.002988,0.920393,0.493710,-2.998442,x500_identified
1702838,0.977562,0.523456,-3.003171,0.947305,0.506354,-2.998979,x500_identified
1752922,1.005030,0.536032,-3.003360,0.974958,0.518722,-2.998869,x500_identified
1803005,1.032387,0.548371,-3.003554,1.002242,0.530803,-2.999876,x500_identified
1853088,1.059631,0.560470,-3.003754,1.029950,0.542925,-2.999796,x500_identified
1903172,1.086758,0.572321,-3.003959,1.057617,0.555235,-3.000104,x500_identified
1953255,1.113766,0.583921,-3.004169,1.084189,0.566751,-3.000001,x500_identified
2003339,1.140651,0.595264,-3.004385,1.111124,0.578264,-3.000235,x500_identified
2053422,1.167411,0.606345,-3.004606,1.137854,0.588762,-3.000916,x500_identified
2103506,1.194042,0.617159,-3.004833,1.165034,0.599723,-3.001482,x500_identified
2153589,1.220542,0.627701,-3.005065,1.191747,0.610761,-3.001143,x500_identified
2203673,1.246907,0.637967,-3.005302,1.217868,0.621495,-3.000650,x500_identified
2253756,1.273136,0.647953,-3.005544,1.244520,0.631923,-3.000784,x500_identified
2303840,1.299224,0.657653,-3.005792,1.270534,0.641277,-3.001135,x500_identified
2353923,1.325169,0.667064,-3.006046,1.296406,0.651467,-3.001644,x500_identified
2404007,1.350969,0.676181,-3.006304,1.321754,0.662052,-3.001964,x500_identified
2454090,1.376620,0.685000,-3.006568,1.347476,0.671258,-3.002513,x500_identified
2504174,1.402119,0.693519,-3.006837,1.374063,0.680172,-3.002289,x500_identified
2554257,1.427464,0.701731,-3.007112,1.398934,0.688753,-3.002491,x500_identified
2604341,1.452652,0.709636,-3.007392,1.424286,0.697112,-3.002690,x500_identified
2654424,1.477681,0.717227,-3.007677,1.449200,0.705416,-3.003200,x500_identified
2704508,1.502546,0.724503,-3.007968,1.474335,0.713212,-3.003724,x500_identified
2754591,1.527247,0.731461,-3.008263,1.499526,0.720588,-3.003770,x500_identified
2804674,1.551779,0.738096,-3.008564,1.523849,0.728123,-3.004154,x500_identified
2854758,1.576140,0.744407,-3.008871,1.548482,0.734481,-3.004064,x500_identified
2904841,1.600329,0.750390,-3.009182,1.572183,0.740352,-3.004412,x500_identified
