timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
0,0.000000,0.000000,-3.000000,0.000000,0.000000,-3.000000,x500_identified
23372,-0.000000,-0.000000,-3.000000,-7.959921,-0.004719,-2.996458,x500_identified
46745,-0.000000,-0.000000,-3.000000,0.006370,-0.004182,-2.996304,x500_identified
70117,-0.000002,-0.000000,-2.999999,0.006620,-0.004474,-2.996346,x500_identified
93489,-0.000008,-0.000000,-2.999998,0.006734,-0.004357,-2.996019,x500_identified
116861,-0.000023,-0.000000,-2.999993,0.006957,-0.004161,-2.995977,x500_identified
140234,-0.000053,-0.000001,-2.999983,0.006420,-0.003762,-2.995879,x500_identified
163606,-0.000109,-0.000002,-2.999966,0.006411,-0.003397,-2.995929,x500_identified
186978,-0.000203,-0.000003,-2.999936,0.006779,-0.002678,-2.996089,x500_identified
210351,-0.000358,-0.000006,-2.999888,0.007475,-0.002335,-2.996156,x500_identified
233723,-0.000590,-0.000010,-2.999815,0.008074,-0.002482,-2.996195,x500_identified
257095,-0.000922,-0.000015,-2.999710,0.007821,-0.003396,-2.995627,x500_identified
280467,-0.001379,-0.000022,-2.999566,0.007284,-0.003312,-2.995070,x500_identified
303840,-0.001990,-0.000032,-2.999373,0.006433,-0.004017,-2.995160,x500_identified
327212,-0.002786,-0.000044,-2.999120,0.005990,-0.004334,-2.995643,x500_identified
350584,-0.003801,-0.000060,-2.998798,0.006371,-0.004699,-2.994836,x500_identified
373957,-0.005073,-0.000079,-2.998394,0.005975,-0.004124,-2.994768,x500_identified
397329,-0.006670,-0.000104,-2.997886,0.005558,-0.004458,-2.994852,x500_identified
420701,-0.008609,-0.000133,-2.997267,0.003960,-0.005014,-2.993983,x500_identified
444073,-0.010929,-0.000168,-2.996526,0.002910,-0.003901,-2.993249,x500_identified
467446,-0.013675,-0.000208,-2.995647,0.001375,-0.004380,-2.993165,x500_identified
490818,-0.016888,-0.000256,-2.994616,-0.001718,-0.004793,-2.992317,x500_identified
514190,-0.020613,-0.000311,-2.993418,-0.004784,-0.005243,-2.991897,x500_identified
537563,-0.024893,-0.000374,-2.992039,-0.008263,-0.005990,-2.991215,x500_identified
560935,-0.029773,-0.000445,-2.990464,-0.012523,-0.005393,-2.989835,x500_identified
584307,-0.035361,-0.000527,-2.988656,-0.016501,-0.005451,-2.988623,x500_identified
607679,-0.041638,-0.000619,-2.986620,-0.021551,-0.005581,-2.986792,x500_identified
631052,-0.048645,-0.000722,-2.984342,-0.026671,-0.006286,-2.985482,x500_identified
654424,-0.056420,-0.000837,-2.981809,-0.032731,-0.007014,-2.983747,x500_identified
677796,-0.065000,-0.000964,-2.979006,-0.040052,-0.007913,-2.981463,x500_identified
