timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
0,0.000000,0.000000,-3.000000,0.000000,0.000000,-3.000000,x500_identified
18364,0.000172,0.000316,-2.999752,6.972766,1.983295,-1.001579,x500_identified
36728,0.000686,0.001259,-2.999017,6.972705,1.982345,-1.001756,x500_identified
55092,0.001545,0.002840,-2.997794,0.005913,-0.007671,-2.996304,x500_identified
73456,0.002750,0.005062,-2.996086,0.006398,-0.007350,-2.996233,x500_identified
91820,0.004301,0.007927,-2.993897,0.006409,-0.006226,-2.995323,x500_identified
110184,0.006198,0.011437,-2.991229,0.007209,-0.004121,-2.994298,x500_identified
128548,0.008440,0.015593,-2.988088,0.008461,-0.002319,-2.991952,x500_identified
146912,0.011027,0.020396,-2.984477,0.010030,-0.000312,-2.989281,x500_identified
165275,0.013958,0.025847,-2.980401,0.011513,0.003220,-2.986730,x500_identified
183639,0.017234,0.031947,-2.975865,0.013080,0.007818,-2.984352,x500_identified
202003,0.020852,0.038696,-2.970871,0.015890,0.013588,-2.980662,x500_identified
220367,0.024846,0.046159,-2.965382,0.018982,0.020497,-2.977020,x500_identified
238731,0.029185,0.054279,-2.959443,0.022863,0.026624,-2.973176,x500_identified
257095,0.033865,0.063049,-2.953062,0.026036,0.033183,-2.967797,x500_identified
275459,0.038884,0.072470,-2.946246,0.029556,0.039962,-2.961707,x500_identified
293823,0.044241,0.082541,-2.938999,0.033184,0.047766,-2.955782,x500_identified
312187,0.049936,0.093264,-2.931327,0.038289,0.056697,-2.950015,x500_identified
330551,0.055968,0.104638,-2.923236,0.043638,0.065772,-2.942865,x500_identified
348915,0.062335,0.116664,-2.914730,0.049536,0.076340,-2.935070,x500_identified
367279,0.069038,0.129342,-2.905816,0.055058,0.087280,-2.927734,x500_identified
385643,0.076073,0.142671,-2.896499,0.061921,0.097801,-2.919523,x500_identified
404007,0.083442,0.156653,-2.886785,0.067643,0.110414,-2.911849,x500_identified
422371,0.091171,0.171346,-2.876647,0.074747,0.122911,-2.902892,x500_identified
440735,0.099238,0.186704,-2.866119,0.082198,0.136020,-2.893471,x500_identified
459098,0.107633,0.202714,-2.855216,0.089106,0.149464,-2.883222,x500_identified
477462,0.116356,0.219377,-2.843943,0.097064,0.164065,-2.873820,x500_identified
495826,0.125406,0.236693,-2.832309,0.105234,0.178718,-2.863044,x500_identified
514190,0.134781,0.254662,-2.820320,0.113440,0.194800,-2.852860,x500_identified
532554,0.144481,0.273283,-2.807985,0.121848,0.212335,-2.842476,x500_identified
550918,0.154503,0.292558,-2.795309,0.130425,0.229332,-2.830319,x500_identified
569282,0.164848,0.312485,-2.782302,0.140901,0.247093,-2.817942,x500_identified
587646,0.175512,0.333066,-2.768972,0.151264,0.264963,-2.806290,x500_identified
606010,0.186496,0.354299,-2.755326,0.162163,0.283751,-2.793321,x500_identified
624374,0.197822,0.376238,-2.741350,0.171970,0.303782,-2.780215,x500_identified
642738,0.209475,0.398850,-2.727070,0.182710,0.324840,-2.766519,x500_identified
661102,0.221442,0.422115,-2.712502,0.193254,0.346488,-2.753523,x500_identified
