timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
0,0.000000,0.000000,-3.000000,0.000000,0.000000,-3.000000,px4_default
25042,-0.000017,0.000012,-2.998421,-0.429731,0.135969,-3.010073,px4_default
50083,-0.000188,0.000136,-2.996227,-0.422255,0.133813,-3.012744,px4_default
75125,-0.000738,0.000536,-2.994739,-0.419515,0.132103,-3.013709,px4_default
100167,-0.001887,0.001373,-2.994022,0.013715,-0.010248,-2.999610,px4_default
125209,-0.003910,0.002843,-2.994072,0.012949,-0.010111,-2.997375,px4_default
150250,-0.007126,0.005169,-2.994864,0.011640,-0.008627,-2.994397,px4_default
175292,-0.011670,0.008436,-2.996260,0.011766,-0.007709,-2.993322,px4_default
200334,-0.017766,0.012791,-2.998183,0.010964,-0.006905,-2.992470,px4_default
225376,-0.025637,0.018377,-3.000544,0.009375,-0.004906,-2.993344,px4_default
250417,-0.035718,0.025476,-3.003265,0.006464,-0.002836,-2.993896,px4_default
275459,-0.048184,0.034186,-3.006198,0.000742,0.000768,-2.993953,px4_default
300501,-0.063143,0.044560,-3.009200,-0.005020,0.003501,-2.996366,px4_default
325543,-0.080886,0.056765,-3.012131,-0.013583,0.008857,-2.998537,px4_default
350584,-0.101679,0.070955,-3.014838,-0.023513,0.013990,-3.000138,px4_default
375626,-0.126138,0.087501,-3.017080,-0.036626,0.023836,-3.003481,px4_default
400668,-0.153988,0.106207,-3.018661,-0.050812,0.031027,-3.005064,px4_default
425710,-0.185122,0.126985,-3.019069,-0.066753,0.042709,-3.007874,px4_default
450751,-0.219397,0.149704,-3.017867,-0.087990,0.058299,-3.011313,px4_default
475793,-0.257194,0.174498,-3.015235,-0.112372,0.075207,-3.012299,px4_default
500835,-0.299053,0.201531,-3.011581,-0.141343,0.092802,-3.012376,px4_default
525876,-0.344522,0.230417,-3.007077,-0.174704,0.113163,-3.012913,px4_default
550918,-0.393412,0.260961,-3.001647,-0.208477,0.135696,-3.010578,px4_default
575960,-0.445666,0.293108,-2.995463,-0.247359,0.159990,-3.007652,px4_default
601002,-0.501579,0.327032,-2.988828,-0.287418,0.188813,-3.004851,px4_default
626043,-0.560894,0.362660,-2.981922,-0.332145,0.214623,-3.001466,px4_default
651085,-0.623326,0.399909,-2.974873,-0.379257,0.244421,-2.995999,px4_default
676127,-0.688682,0.438734,-2.967791,-0.428746,0.273643,-2.990129,px4_default
701169,-0.756700,0.479054,-2.960774,-0.484654,0.308120,-2.983045,px4_default
726210,-0.827529,0.521031,-2.953942,-0.543918,0.345606,-2.976039,px4_default
751252,-0.900653,0.564436,-2.947370,-0.604804,0.381802,-2.968242,px4_default
776294,-0.975863,0.609214,-2.941130,-0.671412,0.420799,-2.960924,px4_default
801336,-1.052980,0.655327,-2.935292,-0.736573,0.459464,-2.953474,px4_default
