timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
0,0.000000,0.000000,-3.000000,0.000000,0.000000,-3.000000,px4_default
38397,-0.000007,-0.000027,-2.997345,0.179713,-0.368179,-3.017805,px4_default
76795,-0.000131,-0.000493,-2.992954,0.175831,-0.359476,-3.019237,px4_default
115192,-0.000581,-0.002205,-2.989569,0.006560,-0.011802,-2.995173,px4_default
153589,-0.001555,-0.005961,-2.987359,0.007115,-0.011327,-2.992435,px4_default
191987,-0.003239,-0.012554,-2.986179,0.006543,-0.012641,-2.987769,px4_default
230384,-0.005811,-0.022771,-2.985844,0.007376,-0.014030,-2.984894,px4_default
268781,-0.009443,-0.037417,-2.986122,0.006430,-0.017252,-2.982681,px4_default
307179,-0.014302,-0.057307,-2.986730,0.005417,-0.023683,-2.981715,px4_default
345576,-0.020524,-0.083167,-2.987337,0.002967,-0.034135,-2.981464,px4_default
383973,-0.028176,-0.115436,-2.987081,0.000409,-0.048454,-2.981272,px4_default
422371,-0.037176,-0.154081,-2.984621,-0.004449,-0.068435,-2.981218,px4_default
460768,-0.047376,-0.199157,-2.979583,-0.011808,-0.093337,-2.982261,px4_default
499165,-0.058641,-0.251115,-2.973199,-0.019467,-0.124598,-2.980921,px4_default
537563,-0.070773,-0.310253,-2.966407,-0.026868,-0.160991,-2.978479,px4_default
575960,-0.083431,-0.375915,-2.959474,-0.035382,-0.205042,-2.973084,px4_default
614357,-0.096305,-0.447515,-2.952619,-0.048751,-0.257665,-2.967540,px4_default
652755,-0.109103,-0.524608,-2.946035,-0.058085,-0.316587,-2.961030,px4_default
691152,-0.121537,-0.606732,-2.939891,-0.071882,-0.382529,-2.952676,px4_default
729549,-0.133317,-0.693425,-2.934340,-0.086424,-0.454354,-2.945547,px4_default
767947,-0.144154,-0.784221,-2.929511,-0.100286,-0.531976,-2.938121,px4_default
806344,-0.153709,-0.878731,-2.925548,-0.109914,-0.613973,-2.930848,px4_default
844741,-0.161728,-0.976346,-2.922514,-0.120770,-0.700013,-2.926665,px4_default
883139,-0.167928,-1.076569,-2.920474,-0.129815,-0.790950,-2.921645,px4_default
921536,-0.172029,-1.178899,-2.919473,-0.141437,-0.884621,-2.917953,px4_default
959933,-0.173759,-1.282835,-2.919530,-0.149788,-0.982753,-2.914464,px4_default
998331,-0.172845,-1.387869,-2.920642,-0.155838,-1.079905,-2.911257,px4_default
1036728,-0.168969,-1.493495,-2.922806,-0.161108,-1.181309,-2.909740,px4_default
1075125,-0.161824,-1.599182,-2.925986,-0.163929,-1.285690,-2.910922,px4_default
1113523,-0.151231,-1.704418,-2.930087,-0.163263,-1.389405,-2.911567,px4_default
1151920,-0.136945,-1.808670,-2.935019,-0.159147,-1.493836,-2.913627,px4_default
1190317,-0.118721,-1.911454,-2.940673,-0.155422,-1.599599,-2.916317,px4_default
1228715,-0.096322,-2.012275,-2.946920,-0.146029,-1.703893,-2.919662,px4_default
1267112,-0.069519,-2.110635,-2.953609,-0.130838,-1.805853,-2.924738,px4_default
1305509,-0.037881,-2.205915,-2.960572,-0.111643,-1.908598,-2.931803,px4_default
1343907,-0.001290,-2.297619,-2.967591,-0.090527,-2.009145,-2.938031,px4_default
1382304,0.040392,-2.385314,-2.974448,-0.065003,-2.108066,-2.945919,px4_default
1420701,0.087368,-2.468523,-2.980905,-0.032348,-2.202057,-2.953365,px4_default
1459098,0.139835,-2.546781,-2.986709,0.002543,-2.293008,-2.960332,px4_default
1497496,0.197827,-2.619750,-2.991300,0.045152,-2.378951,-2.967791,px4_default
1535893,0.261324,-2.687183,-2.994175,0.093007,-2.461308,-2.975408,px4_default
1574290,0.330548,-2.748674,-2.995400,0.147358,-2.537385,-2.982097,px4_default
1612688,0.405473,-2.804109,-2.995290,0.203600,-2.607906,-2.985889,px4_default
1651085,0.485962,-2.853500,-2.993681,0.264023,-2.675615,-2.988493,px4_default
1689482,0.571827,-2.896886,-2.990492,0.332830,-2.734714,-2.989881,px4_default
1727880,0.662978,-2.934291,-2.985971,0.407718,-2.789931,-2.989082,px4_default
1766277,0.759280,-2.965777,-2.980432,0.488384,-2.838686,-2.988152,px4_default
1804674,0.860664,-2.991325,-2.973994,0.573075,-2.883124,-2.986101,px4_default
1843072,0.966886,-3.010955,-2.966865,0.661925,-2.919860,-2.981832,px4_default
1881469,1.077473,-3.025034,-2.959270,0.758426,-2.949866,-2.975743,px4_default
1919866,1.192143,-3.033682,-2.951355,0.859194,-2.976809,-2.969440,px4_default
1958264,1.310625,-3.037021,-2.943258,0.962781,-2.996746,-2.962401,px4_default
1996661,1.432595,-3.035172,-2.935110,1.074339,-3.009095,-2.955449,px4_default
2035058,1.557755,-3.028258,-2.927031,1.188488,-3.016685,-2.949515,px4_default
2073456,1.685815,-3.016407,-2.919137,1.306087,-3.020649,-2.942101,px4_default
2111853,1.816488,-2.999740,-2.911531,1.426627,-3.019965,-2.932356,px4_default
2150250,1.949463,-2.978382,-2.904313,1.551318,-3.013445,-2.923782,px4_default
