timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
0,0.000000,0.000000,-3.000000,0.000000,0.000000,-3.000000,px4_default
31720,0.000037,0.000054,-2.998960,-0.126909,-0.418197,-3.038390,px4_default
63439,0.000227,0.000331,-2.997686,-0.123085,-0.413890,-3.039623,px4_default
95159,0.001007,0.001469,-2.997298,0.015452,-0.011323,-2.993320,px4_default
126878,0.002511,0.003657,-2.997605,0.015808,-0.011194,-2.991626,px4_default
158598,0.005285,0.007691,-2.998725,0.015191,-0.011495,-2.991208,px4_default
190317,0.009435,0.013714,-3.000394,0.016607,-0.011257,-2.990283,px4_default
222037,0.015468,0.022453,-3.002534,0.018188,-0.010137,-2.991069,px4_default
253756,0.023559,0.034150,-3.004914,0.020343,-0.004765,-2.991423,px4_default
285476,0.034111,0.049362,-3.007325,0.024676,0.001293,-2.993651,px4_default
317195,0.047441,0.068520,-3.009485,0.031486,0.010565,-2.996651,px4_default
348915,0.063502,0.091542,-3.010576,0.036438,0.023549,-2.998945,px4_default
380634,0.082417,0.118631,-3.009489,0.048360,0.038503,-3.001150,px4_default
412354,0.104010,0.149602,-3.006777,0.061696,0.054446,-3.002775,px4_default
444073,0.128791,0.185204,-3.003037,0.076108,0.081772,-3.004559,px4_default
475793,0.156418,0.224874,-2.998703,0.095394,0.109987,-3.004243,px4_default
507513,0.187230,0.268972,-2.993857,0.115007,0.141826,-3.001752,px4_default
539232,0.220801,0.316776,-2.988679,0.140058,0.178406,-2.998624,px4_default
570952,0.257478,0.368600,-2.983236,0.171330,0.217367,-2.993703,px4_default
602671,0.296842,0.423746,-2.977658,0.202280,0.259944,-2.990748,px4_default
634391,0.339181,0.482404,-2.972029,0.234801,0.306327,-2.985945,px4_default
666110,0.384213,0.544062,-2.966446,0.272270,0.357375,-2.981286,px4_default
697830,0.432012,0.608622,-2.960998,0.310699,0.411212,-2.976279,px4_default
729549,0.482444,0.675759,-2.955763,0.351883,0.469426,-2.970751,px4_default
761269,0.535583,0.745332,-2.950835,0.397127,0.528143,-2.963793,px4_default
792988,0.591145,0.816904,-2.946248,0.445794,0.590716,-2.960000,px4_default
824708,0.649447,0.890488,-2.942132,0.497990,0.658598,-2.953097,px4_default
856427,0.709907,0.965477,-2.938447,0.549964,0.728909,-2.948022,px4_default
888147,0.773184,1.042004,-2.935424,0.606666,0.802381,-2.942046,px4_default
919866,0.838411,1.119410,-2.932911,0.663921,0.874863,-2.938038,px4_default
951586,0.906327,1.197738,-2.931132,0.722710,0.948955,-2.933867,px4_default
983306,0.976033,1.276471,-2.929719,0.785112,1.023421,-2.929910,px4_default
1015025,1.048198,1.355421,-2.928680,0.850824,1.100594,-2.928397,px4_default
1046745,1.122147,1.434221,-2.928011,0.917439,1.177881,-2.926513,px4_default
1078464,1.198368,1.512500,-2.928012,0.988456,1.258488,-2.925660,px4_default
1110184,1.276447,1.590069,-2.928678,1.061114,1.336378,-2.924565,px4_default
1141903,1.356539,1.666552,-2.930084,1.134908,1.413777,-2.922632,px4_default
1173623,1.438423,1.741694,-2.932172,1.210474,1.489560,-2.923957,px4_default
1205342,1.522055,1.815243,-2.934920,1.285235,1.565531,-2.923037,px4_default
1237062,1.607391,1.886803,-2.938323,1.364969,1.643252,-2.924334,px4_default
1268781,1.694167,1.956324,-2.942276,1.445752,1.717819,-2.924405,px4_default
1300501,1.782551,2.023149,-2.946819,1.527129,1.793557,-2.927548,px4_default
