timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
0,0.000000,0.000000,-3.000000,0.000000,0.000000,-3.000000,px4_default
23372,-0.000000,-0.000000,-3.000000,-7.924982,-0.015141,-2.994876,px4_default
46745,-0.000000,-0.000000,-3.000000,-7.925606,-0.014887,-2.995223,px4_default
70117,-0.000002,-0.000000,-2.999999,-7.924868,-0.014348,-2.994491,px4_default
93489,-0.000008,-0.000000,-2.999998,0.009952,-0.015048,-2.994156,px4_default
116861,-0.000023,-0.000000,-2.999993,0.009082,-0.013294,-2.994801,px4_default
140234,-0.000053,-0.000001,-2.999983,0.009981,-0.013254,-2.994316,px4_default
163606,-0.000109,-0.000002,-2.999966,0.010096,-0.012477,-2.994395,px4_default
186978,-0.000203,-0.000003,-2.999936,0.010138,-0.012049,-2.994054,px4_default
210351,-0.000358,-0.000006,-2.999888,0.011237,-0.011971,-2.993988,px4_default
233723,-0.000590,-0.000010,-2.999815,0.011446,-0.013016,-2.995113,px4_default
257095,-0.000922,-0.000015,-2.999710,0.010532,-0.014743,-2.994555,px4_default
280467,-0.001379,-0.000022,-2.999566,0.009134,-0.014024,-2.995071,px4_default
303840,-0.001990,-0.000032,-2.999373,0.009524,-0.014772,-2.995789,px4_default
327212,-0.002786,-0.000044,-2.999120,0.008347,-0.014344,-2.996133,px4_default
350584,-0.003801,-0.000060,-2.998798,0.010084,-0.013964,-2.995409,px4_default
373957,-0.005073,-0.000079,-2.998394,0.010180,-0.015245,-2.996039,px4_default
397329,-0.006670,-0.000104,-2.997886,0.005859,-0.015499,-2.995444,px4_default
420701,-0.008609,-0.000133,-2.997267,0.004637,-0.016639,-2.995134,px4_default
444073,-0.010929,-0.000168,-2.996526,0.001985,-0.015293,-2.995443,px4_default
467446,-0.013675,-0.000208,-2.995647,0.003068,-0.013112,-2.994958,px4_default
490818,-0.016888,-0.000256,-2.994616,0.002818,-0.013148,-2.995487,px4_default
514190,-0.020613,-0.000311,-2.993418,0.002935,-0.013051,-2.994815,px4_default
537563,-0.024893,-0.000374,-2.992039,0.000260,-0.013601,-2.993265,px4_default
560935,-0.029773,-0.000445,-2.990464,-0.002822,-0.014384,-2.993085,px4_default
584307,-0.035361,-0.000527,-2.988656,-0.002743,-0.014727,-2.992474,px4_default
607679,-0.041638,-0.000619,-2.986620,-0.006876,-0.015170,-2.991162,px4_default
631052,-0.048645,-0.000722,-2.984342,-0.012142,-0.016061,-2.989449,px4_default
654424,-0.056420,-0.000837,-2.981809,-0.016355,-0.017821,-2.987692,px4_default
677796,-0.065000,-0.000964,-2.979006,-0.021674,-0.019853,-2.987261,px4_default
701169,-0.074420,-0.001105,-2.975922,-0.030347,-0.020458,-2.983432,px4_default
724541,-0.084711,-0.001261,-2.972543,-0.036569,-0.018492,-2.980300,px4_default
747913,-0.095909,-0.001433,-2.968858,-0.043685,-0.014805,-2.976973,px4_default
771285,-0.108125,-0.001623,-2.964825,-0.050698,-0.014001,-2.973825,px4_default
794658,-0.121298,-0.001832,-2.960465,-0.060038,-0.013771,-2.969408,px4_default
818030,-0.135447,-0.002061,-2.955768,-0.069095,-0.014080,-2.965657,px4_default
841402,-0.150590,-0.002311,-2.950726,-0.079529,-0.013896,-2.962236,px4_default
864775,-0.166740,-0.002585,-2.945333,-0.091049,-0.013404,-2.957657,px4_default
888147,-0.183908,-0.002885,-2.939583,-0.103091,-0.014399,-2.953081,px4_default
911519,-0.202101,-0.003212,-2.933470,-0.115618,-0.011677,-2.948555,px4_default
934891,-0.221331,-0.003569,-2.926988,-0.130125,-0.013405,-2.943298,px4_default
958264,-0.241685,-0.003962,-2.920102,-0.147992,-0.014592,-2.936754,px4_default
981636,-0.263065,-0.004392,-2.912845,-0.165260,-0.014865,-2.931005,px4_default
1005008,-0.285463,-0.004861,-2.905215,-0.184010,-0.014702,-2.924967,px4_default
1028381,-0.308869,-0.005373,-2.897214,-0.203688,-0.014099,-2.918714,px4_default
1051753,-0.333269,-0.005931,-2.888843,-0.225058,-0.014082,-2.911549,px4_default
