timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
0,0.000000,0.000000,-3.000000,0.000000,0.000000,-3.000000,px4_default
50083,-0.047807,0.059759,-1.909091,0.013194,-0.015006,-2.992243,px4_default
100167,-0.063743,0.079678,-2.181818,0.011915,-0.016748,-2.992297,px4_default
150250,-0.081955,0.102443,-2.454545,-0.035191,0.041779,-1.906922,px4_default
200334,-0.102443,0.128054,-2.727273,-0.052665,0.062399,-2.177357,px4_default
250417,-0.125209,0.156511,-3.000000,-0.070503,0.086551,-2.449777,px4_default
300501,-0.150250,0.187813,-3.000000,-0.091539,0.111334,-2.721661,px4_default
350584,-0.175292,0.219115,-3.000000,-0.112519,0.139598,-2.993371,px4_default
400668,-0.200334,0.250417,-3.000000,-0.138996,0.169558,-2.992963,px4_default
450751,-0.225376,0.281720,-3.000000,-0.162749,0.199408,-2.992864,px4_default
500835,-0.250417,0.313022,-3.000000,-0.189085,0.232614,-2.992844,px4_default
550918,-0.275459,0.344324,-3.000000,-0.214706,0.263907,-2.993016,px4_default
601002,-0.300501,0.375626,-3.000000,-0.239487,0.294902,-2.994392,px4_default
651085,-0.325543,0.406928,-3.000000,-0.264172,0.325881,-2.993469,px4_default
701169,-0.350584,0.438230,-3.000000,-0.289760,0.357236,-2.995150,px4_default
751252,-0.375626,0.469533,-3.000000,-0.313817,0.388210,-2.994556,px4_default
801336,-0.400668,0.500835,-3.000000,-0.337694,0.422015,-2.994848,px4_default
851419,-0.425710,0.532137,-3.000000,-0.363606,0.451036,-2.995254,px4_default
901503,-0.450751,0.563439,-3.000000,-0.386998,0.481511,-2.995702,px4_default
951586,-0.475793,0.594741,-3.000000,-0.412309,0.511364,-2.995686,px4_default
1001669,-0.500835,0.626043,-3.000000,-0.435883,0.542501,-2.996184,px4_default
1051753,-0.525876,0.657346,-3.000000,-0.459645,0.574740,-2.995804,px4_default
1101836,-0.550918,0.688648,-3.000000,-0.483762,0.608386,-2.995383,px4_default
1151920,-0.575960,0.719950,-3.000000,-0.507705,0.639757,-2.996209,px4_default
1202003,-0.601002,0.751252,-3.000000,-0.533039,0.672264,-2.997273,px4_default
1252087,-0.626043,0.782554,-3.000000,-0.556272,0.702629,-2.996821,px4_default
1302170,-0.651085,0.813856,-3.000000,-0.581603,0.731385,-2.995279,px4_default
1352254,-0.676127,0.845159,-3.000000,-0.606001,0.765285,-2.994354,px4_default
1402337,-0.701169,0.876461,-3.000000,-0.631585,0.795113,-2.994220,px4_default
1452421,-0.726210,0.907763,-3.000000,-0.653655,0.826384,-2.995215,px4_default
1502504,-0.751252,0.939065,-3.000000,-0.681121,0.858748,-2.996102,px4_default
1552588,-0.776294,0.970367,-3.000000,-0.704836,0.887023,-2.996274,px4_default
1602671,-0.801336,1.001669,-3.000000,-0.728663,0.918212,-2.996097,px4_default
1652755,-0.826377,1.032972,-3.000000,-0.754097,0.948965,-2.996277,px4_default
1702838,-0.851419,1.064274,-3.000000,-0.779882,0.978977,-2.997544,px4_default
1752922,-0.876461,1.095576,-3.000000,-0.806320,1.010531,-2.995978,px4_default
1803005,-0.901503,1.126878,-3.000000,-0.833082,1.043250,-2.996401,px4_default
1853088,-0.926544,1.158180,-3.000000,-0.856226,1.071892,-2.996917,px4_default
1903172,-0.951586,1.189482,-3.000000,-0.881586,1.104432,-2.996945,px4_default
1953255,-0.976628,1.220785,-3.000000,-0.908901,1.133809,-2.997498,px4_default
2003339,-1.001669,1.252087,-3.000000,-0.936555,1.166564,-2.998007,px4_default
2053422,-1.026711,1.283389,-3.000000,-0.961262,1.198401,-2.997965,px4_default
2103506,-1.051753,1.314691,-3.000000,-0.987828,1.228757,-2.999098,px4_default
2153589,-1.076151,1.345802,-3.000024,-1.014011,1.259159,-2.998358,px4_default
2203673,-1.092506,1.374523,-3.000352,-1.039342,1.291256,-2.997488,px4_default
2253756,-1.100817,1.400853,-3.000983,-1.063541,1.322301,-2.996023,px4_default
2303840,-1.101084,1.424793,-3.001918,-1.079464,1.350421,-2.997656,px4_default
2353923,-1.093307,1.446342,-3.003157,-1.085459,1.376782,-2.999030,px4_default
2404007,-1.077487,1.465502,-3.004699,-1.085742,1.397911,-3.000613,px4_default
2454090,-1.053623,1.482270,-3.006544,-1.080281,1.419510,-3.001999,px4_default
2504174,-1.021715,1.496649,-3.008693,-1.065801,1.438487,-3.002502,px4_default
2554257,-0.981764,1.508637,-3.011146,-1.040373,1.454130,-3.003039,px4_default
2604341,-0.933768,1.518235,-3.013902,-1.007553,1.469589,-3.004894,px4_default
2654424,-0.877730,1.525442,-3.016962,-0.967677,1.481012,-3.008148,px4_default
2704508,-0.814290,1.530451,-3.020301,-0.918189,1.491274,-3.009716,px4_default
2754591,-0.750851,1.535459,-3.023639,-0.861690,1.499027,-3.011564,px4_default
2804674,-0.687412,1.540467,-3.026978,-0.797769,1.504250,-3.015674,px4_default
2854758,-0.623973,1.545476,-3.030317,-0.733239,1.508709,-3.019571,px4_default
2904841,-0.560534,1.550484,-3.033656,-0.671566,1.516202,-3.021715,px4_default
2954925,-0.497095,1.555492,-3.036995,-0.609508,1.521152,-3.025168,px4_default
3005008,-0.433656,1.560501,-3.040334,-0.545500,1.528006,-3.027983,px4_default
3055092,-0.370217,1.565509,-3.043673,-0.479118,1.532817,-3.031718,px4_default
3105175,-0.306778,1.570518,-3.047012,-0.415597,1.537630,-3.035100,px4_default
3155259,-0.243339,1.575526,-3.050351,-0.350888,1.544151,-3.036194,px4_default
3205342,-0.179900,1.580534,-3.053689,-0.287921,1.549521,-3.038757,px4_default
3255426,-0.116461,1.585543,-3.057028,-0.225131,1.556139,-3.042330,px4_default
3305509,-0.053022,1.590551,-3.060367,-0.163433,1.561233,-3.046611,px4_default
3355593,0.010417,1.595559,-3.063706,-0.101987,1.566762,-3.050572,px4_default
3405676,0.073856,1.600568,-3.067045,-0.042384,1.571127,-3.053235,px4_default
3455760,0.137295,1.605576,-3.070384,0.020442,1.575174,-3.056452,px4_default
3505843,0.200735,1.610584,-3.073723,0.084855,1.580446,-3.059140,px4_default
3555927,0.264174,1.615593,-3.077062,0.148981,1.585863,-3.063401,px4_default
3606010,0.327613,1.620601,-3.080401,0.212965,1.593196,-3.068112,px4_default
3656093,0.391052,1.625609,-3.083740,0.275665,1.598319,-3.071874,px4_default
3706177,0.454491,1.630618,-3.087078,0.339765,1.602480,-3.074521,px4_default
3756260,0.517930,1.635626,-3.090417,0.401380,1.608426,-3.078174,px4_default
3806344,0.581369,1.640634,-3.093756,0.466072,1.613218,-3.082838,px4_default
3856427,0.644808,1.645643,-3.097095,0.527601,1.617394,-3.085347,px4_default
3906511,0.708247,1.650651,-3.100434,0.589722,1.621804,-3.087479,px4_default
3956594,0.771686,1.655659,-3.103773,0.653346,1.627021,-3.092406,px4_default
4006678,0.835125,1.660668,-3.107112,0.718568,1.631605,-3.095740,px4_default
4056761,0.898564,1.665676,-3.110451,0.780676,1.635497,-3.099402,px4_default
4106845,0.962003,1.670684,-3.113790,0.843823,1.638154,-3.102289,px4_default
