timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
209637573,13.4718,83.055626,-6.953369,13.486576,83.060211,-6.962402,px4_default
209657650,13.47199,83.055969,-6.953097,13.488781,83.062202,-6.961182,px4_default
209677573,13.472595,83.057083,-6.952229,13.491117,83.06459,-6.959351,px4_default
209684012,13.473623,83.058975,-6.950768,13.491117,83.06459,-6.959351,px4_default
209717637,13.475073,83.061653,-6.948715,13.497439,83.06955,-6.952637,px4_default
209722319,13.476945,83.065109,-6.946076,13.497439,83.06955,-6.952637,px4_default
209757574,13.479239,83.069359,-6.942857,13.504732,83.076775,-6.943115,px4_default
209770801,13.481953,83.074394,-6.939063,13.504732,83.076775,-6.943115,px4_default
209797573,13.485087,83.080223,-6.9347,13.513074,83.086281,-6.931274,px4_default
209797655,13.488642,83.086845,-6.929774,13.513074,83.086281,-6.931274,px4_default
209817597,13.492615,83.094254,-6.924291,13.517701,83.091873,-6.924316,px4_default
209857578,13.497005,83.102455,-6.918258,13.527966,83.104904,-6.908081,px4_default
209877576,13.501812,83.11145,-6.911681,13.533628,83.112404,-6.899048,px4_default
209897649,13.507033,83.121239,-6.904567,13.540656,83.120972,-6.888062,px4_default
209897649,13.512669,83.131821,-6.896923,13.540656,83.120972,-6.888062,px4_default
209937575,13.518717,83.143204,-6.888755,13.555434,83.140289,-6.864136,px4_default
209941368,13.525176,83.155373,-6.880073,13.555434,83.140289,-6.864136,px4_default
209977574,13.532045,83.168335,-6.870882,13.571412,83.162369,-6.838135,px4_default
209977703,13.539324,83.182098,-6.861191,13.571412,83.162369,-6.838135,px4_default
210008913,13.547009,83.196655,-6.851007,13.579925,83.174454,-6.824463,px4_default
210017596,13.555099,83.212013,-6.840341,13.588809,83.18718,-6.810059,px4_default
210037597,13.563595,83.228157,-6.829198,13.598108,83.200623,-6.795044,px4_default
210077573,13.572494,83.245102,-6.817589,13.617603,83.229568,-6.763794,px4_default
210077655,13.581793,83.26284,-6.805523,13.617603,83.229568,-6.763794,px4_default
210117933,13.591492,83.28138,-6.793009,13.640455,83.260315,-6.728638,px4_default
210117933,13.601588,83.300713,-6.780056,13.640455,83.260315,-6.728638,px4_default
210157574,13.612082,83.320839,-6.766675,13.664828,83.293571,-6.691772,px4_default
210177573,13.62297,83.341766,-6.752876,13.677567,83.311539,-6.672607,px4_default
210197573,13.634251,83.363487,-6.73867,13.690799,83.330605,-6.652954,px4_default
210217573,13.645923,83.386009,-6.724068,13.704128,83.350166,-6.633423,px4_default
210218686,13.657984,83.409325,-6.70908,13.704128,83.350166,-6.633423,px4_default
210237611,13.670433,83.433434,-6.693719,13.717976,83.370789,-6.613525,px4_default
210257673,13.683267,83.458344,-6.677998,13.732229,83.39238,-6.593262,px4_default
210280478,13.696486,83.484047,-6.661927,13.746889,83.414764,-6.572876,px4_default
210297595,13.710086,83.510551,-6.645521,13.763545,83.436386,-6.550903,px4_default
210318108,13.724066,83.537849,-6.628792,13.780524,83.458855,-6.528931,px4_default
210343329,13.738424,83.565948,-6.611754,13.797945,83.482353,-6.506836,px4_default
210377575,13.753159,83.594849,-6.594422,13.83374,83.532532,-6.46228,px4_default
210377685,13.768268,83.624535,-6.576809,13.83374,83.532532,-6.46228,px4_default
210417602,13.78375,83.655029,-6.558931,13.870862,83.586487,-6.417603,px4_default
210437590,13.799601,83.68631,-6.540803,13.890018,83.614967,-6.395142,px4_default
210437673,13.815822,83.718399,-6.52244,13.890018,83.614967,-6.395142,px4_default
210477574,13.832409,83.751274,-6.50386,13.929293,83.674652,-6.350464,px4_default
210497596,13.849361,83.784958,-6.485077,13.950147,83.705544,-6.327026,px4_default
210508707,13.866677,83.819427,-6.46611,13.950147,83.705544,-6.327026,px4_default
210537595,13.884355,83.854706,-6.446976,13.993346,83.770615,-6.280273,px4_default
210557573,13.902391,83.89077,-6.427692,14.015267,83.804008,-6.257324,px4_default
210568342,13.920787,83.927643,-6.408278,14.015267,83.804008,-6.257324,px4_default
210597574,13.93954,83.965309,-6.38875,14.060682,83.874565,-6.21167,px4_default
210604105,13.958649,84.003769,-6.369128,14.060682,83.874565,-6.21167,px4_default
210637575,13.978112,84.04303,-6.349432,14.107552,83.949257,-6.166626,px4_default
210637759,13.99793,84.083084,-6.329679,14.107552,83.949257,-6.166626,px4_default
