timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
240277648,20.529087,85.143921,-4.942993,20.519121,85.151245,-4.942505,px4_default
240277648,20.529087,85.143921,-4.942993,20.519121,85.151245,-4.942505,px4_default
240297629,20.529087,85.143921,-4.942993,20.518364,85.152260,-4.942993,px4_default
240317616,20.529085,85.143921,-4.942993,20.517612,85.153175,-4.943359,px4_default
240357593,20.529083,85.143921,-4.942992,20.515995,85.154648,-4.943970,px4_default
240357593,20.529076,85.143921,-4.942989,20.515995,85.154648,-4.943970,px4_default
240377597,20.529058,85.143921,-4.942984,20.515078,85.155235,-4.944214,px4_default
240397614,20.529026,85.143921,-4.942974,20.514175,85.155663,-4.944458,px4_default
240417597,20.528971,85.143921,-4.942957,20.513210,85.156021,-4.944702,px4_default
240457590,20.528885,85.143921,-4.942930,20.511101,85.156555,-4.945190,px4_default
240459902,20.528753,85.143913,-4.942888,20.511101,85.156555,-4.945190,px4_default
240497603,20.528563,85.143913,-4.942829,20.509087,85.156372,-4.945679,px4_default
240503591,20.528299,85.143906,-4.942746,20.509087,85.156372,-4.945679,px4_default
240528804,20.527943,85.143906,-4.942633,20.508158,85.155991,-4.946045,px4_default
240537825,20.527475,85.143898,-4.942485,20.507086,85.155563,-4.946289,px4_default
240577801,20.526873,85.143883,-4.942295,20.504528,85.154434,-4.946411,px4_default
240577801,20.526114,85.143875,-4.942054,20.504528,85.154434,-4.946411,px4_default
240597809,20.525171,85.143860,-4.941755,20.503025,85.153725,-4.946411,px4_default
240617961,20.524019,85.143845,-4.941389,20.501268,85.152969,-4.946167,px4_default
240658002,20.522629,85.143822,-4.940947,20.497051,85.151314,-4.945435,px4_default
240678172,20.520973,85.143799,-4.940419,20.494513,85.150421,-4.944824,px4_default
240678172,20.519022,85.143768,-4.939795,20.494513,85.150421,-4.944824,px4_default
240717590,20.516743,85.143730,-4.939066,20.489872,85.149773,-4.943970,px4_default
240737573,20.514105,85.143692,-4.938221,20.486307,85.149338,-4.943115,px4_default
240750690,20.511076,85.143646,-4.937249,20.486307,85.149338,-4.943115,px4_default
240777574,20.507627,85.143600,-4.936139,20.478022,85.148285,-4.941040,px4_default
240797596,20.503725,85.143539,-4.934882,20.473209,85.147675,-4.939697,px4_default
240817574,20.499338,85.143478,-4.933465,20.467926,85.147034,-4.938110,px4_default
240837829,20.494436,85.143402,-4.931879,20.462227,85.146240,-4.936401,px4_default
240845063,20.488987,85.143326,-4.930113,20.462227,85.146240,-4.936401,px4_default
240877575,20.482964,85.143234,-4.928156,20.449495,85.144104,-4.932129,px4_default
240884649,20.476337,85.143135,-4.926000,20.449495,85.144104,-4.932129,px4_default
240911170,20.469080,85.143028,-4.923632,20.441998,85.143059,-4.929565,px4_default
240937649,20.461166,85.142914,-4.921045,20.424568,85.140991,-4.923462,px4_default
240957573,20.452572,85.142784,-4.918229,20.415150,85.139771,-4.919922,px4_default
240957654,20.443274,85.142647,-4.915174,20.415150,85.139771,-4.919922,px4_default
240985799,20.433250,85.142487,-4.911875,20.404982,85.138542,-4.916138,px4_default
241017574,20.422482,85.142319,-4.908321,20.382820,85.136063,-4.907593,px4_default
241017725,20.410954,85.142143,-4.904507,20.382820,85.136063,-4.907593,px4_default
241057574,20.398647,85.141945,-4.900426,20.358294,85.133492,-4.898071,px4_default
241062577,20.385551,85.141731,-4.896071,20.358294,85.133492,-4.898071,px4_default
241097580,20.371653,85.141495,-4.891438,20.329054,85.130722,-4.887329,px4_default
241117574,20.356945,85.141243,-4.886520,20.313076,85.129105,-4.881714,px4_default
241123338,20.341421,85.140968,-4.881316,20.313076,85.129105,-4.881714,px4_default
241157574,20.325075,85.140678,-4.875821,20.278683,85.125847,-4.869263,px4_default
241162874,20.307907,85.140358,-4.870032,20.278683,85.125847,-4.869263,px4_default
241197574,20.289915,85.140007,-4.863947,20.241640,85.122505,-4.855591,px4_default
241197657,20.271101,85.139633,-4.857566,20.241640,85.122505,-4.855591,px4_default
241237606,20.251472,85.139229,-4.850887,20.202034,85.119049,-4.840576,px4_default
241237687,20.231033,85.138786,-4.843911,20.202034,85.119049,-4.840576,px4_default
241277573,20.209793,85.138313,-4.836638,20.159609,85.115356,-4.824097,px4_default
241277655,20.187765,85.137802,-4.829070,20.159609,85.115356,-4.824097,px4_default
241303387,20.164959,85.137245,-4.821208,20.136976,85.113937,-4.815430,px4_default
241337608,20.141392,85.136642,-4.813056,20.088573,85.111839,-4.797119,px4_default
241337608,20.117081,85.135994,-4.804617,20.088573,85.111839,-4.797119,px4_default
241377595,20.092043,85.135292,-4.795896,20.038025,85.109215,-4.777344,px4_default
