timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
361517575,23.670513,78.716667,-7.609497,23.686729,78.675896,-7.607300,px4_default
361517659,23.670511,78.716667,-7.608338,23.686729,78.675896,-7.607300,px4_default
361544818,23.670443,78.716721,-7.606372,23.687368,78.673119,-7.608643,px4_default
361557597,23.670168,78.716919,-7.604856,23.687542,78.670792,-7.610474,px4_default
361597639,23.669556,78.717361,-7.603889,23.686071,78.667770,-7.615234,px4_default
361597639,23.668468,78.718155,-7.603456,23.686071,78.667770,-7.615234,px4_default
361618778,23.666771,78.719391,-7.603531,23.684149,78.667343,-7.618286,px4_default
361657616,23.664326,78.721161,-7.604082,23.677452,78.669113,-7.625122,px4_default
361657616,23.660997,78.723557,-7.605072,23.677452,78.669113,-7.625122,px4_default
361677597,23.656651,78.726677,-7.606455,23.672468,78.671524,-7.629028,px4_default
361697983,23.651150,78.730598,-7.608182,23.664463,78.677696,-7.632690,px4_default
361737574,23.644356,78.735413,-7.610196,23.644697,78.693047,-7.640381,px4_default
361746120,23.636135,78.741203,-7.612434,23.644697,78.693047,-7.640381,px4_default
361757596,23.626352,78.748055,-7.614828,23.633045,78.702255,-7.643677,px4_default
361777671,23.614876,78.756035,-7.617301,23.619858,78.712700,-7.646729,px4_default
361817752,23.601574,78.765236,-7.619774,23.589485,78.737083,-7.651245,px4_default
361837675,23.586218,78.775772,-7.622157,23.572220,78.750931,-7.652710,px4_default
361837675,23.568687,78.787720,-7.624353,23.572220,78.750931,-7.652710,px4_default
361857973,23.548920,78.801109,-7.626265,23.553368,78.766083,-7.653320,px4_default
361877900,23.526793,78.816002,-7.627786,23.532888,78.782478,-7.653320,px4_default
361898617,23.502291,78.832397,-7.628674,23.508835,78.803391,-7.652466,px4_default
361918006,23.475582,78.850182,-7.628504,23.483627,78.824997,-7.651123,px4_default
361958199,23.446676,78.869308,-7.627158,23.427439,78.872459,-7.646606,px4_default
361958199,23.415358,78.889847,-7.624905,23.427439,78.872459,-7.646606,px4_default
361995272,23.381449,78.911812,-7.622024,23.412249,78.885117,-7.645142,px4_default
361998406,23.344967,78.935127,-7.618571,23.363884,78.924744,-7.640137,px4_default
362037573,23.306040,78.959648,-7.614474,23.310955,78.967216,-7.633789,px4_default
362057574,23.264769,78.985291,-7.609725,23.273821,78.996498,-7.629028,px4_default
362077574,23.221132,79.012054,-7.604517,23.234341,79.027214,-7.623901,px4_default
362081043,23.175137,79.039963,-7.599051,23.234341,79.027214,-7.623901,px4_default
362098772,23.126883,79.069008,-7.593397,23.170357,79.075516,-7.614624,px4_default
362137574,23.076441,79.099167,-7.587617,23.101563,79.126282,-7.604614,px4_default
362145791,23.023821,79.130486,-7.581777,23.101563,79.126282,-7.604614,px4_default
362177573,22.969263,79.162865,-7.575944,23.003372,79.197868,-7.590698,px4_default
362197573,22.912872,79.196281,-7.570174,22.951845,79.235062,-7.583862,px4_default
362217573,22.854753,79.230721,-7.564520,22.898546,79.273460,-7.576904,px4_default
362217655,22.795013,79.266151,-7.559033,22.898546,79.273460,-7.576904,px4_default
362257574,22.733767,79.302559,-7.553759,22.786814,79.353615,-7.563599,px4_default
362277573,22.671118,79.339912,-7.548743,22.728622,79.395203,-7.557251,px4_default
362281795,22.607178,79.378197,-7.544026,22.728622,79.395203,-7.557251,px4_default
362317573,22.542065,79.417374,-7.539646,22.606703,79.483704,-7.545166,px4_default
362317778,22.475887,79.457428,-7.535638,22.606703,79.483704,-7.545166,px4_default
362357574,22.408760,79.498329,-7.532034,22.479156,79.576912,-7.534546,px4_default
362363396,22.340799,79.540062,-7.528864,22.479156,79.576912,-7.534546,px4_default
362379593,22.272120,79.582588,-7.526152,22.413715,79.625008,-7.530151,px4_default
362417573,22.202835,79.625885,-7.523921,22.280165,79.723793,-7.523071,px4_default
362417681,22.133064,79.669922,-7.522189,22.280165,79.723793,-7.523071,px4_default
362444926,22.062912,79.714722,-7.521004,22.212584,79.774223,-7.520508,px4_default
362477574,21.992521,79.760208,-7.520359,22.075588,79.877617,-7.517700,px4_default
362497574,21.922012,79.806358,-7.520252,22.007431,79.931305,-7.517700,px4_default
362503216,21.851498,79.853149,-7.520691,22.007431,79.931305,-7.517700,px4_default
362537573,21.781116,79.900528,-7.521676,21.871527,80.043144,-7.520630,px4_default
362544243,21.710976,79.948471,-7.523206,21.871527,80.043144,-7.520630,px4_default
362577574,21.641193,79.996964,-7.525278,21.737324,80.156387,-7.526489,px4_default
362597600,21.571865,80.045982,-7.527884,21.670000,80.214348,-7.530518,px4_default
362597682,21.503126,80.095490,-7.531013,21.670000,80.214348,-7.530518,px4_default
362637577,21.435112,80.145439,-7.534649,21.538080,80.330956,-7.540894,px4_default
362657590,21.367910,80.195831,-7.538779,21.473082,80.390076,-7.547241,px4_default
362657590,21.301634,80.246628,-7.543380,21.473082,80.390076,-7.547241,px4_default
362697574,21.236435,80.297775,-7.548427,21.347769,80.509895,-7.562500,px4_default
362707720,21.172401,80.349266,-7.553885,21.347769,80.509895,-7.562500,px4_default
362717627,21.109629,80.401062,-7.559675,21.289881,80.570663,-7.571899,px4_default
362757574,21.048233,80.453156,-7.565771,21.177549,80.692993,-7.592407,px4_default
362762954,20.988438,80.505470,-7.572204,21.177549,80.692993,-7.592407,px4_default
362781233,20.930244,80.557968,-7.578925,21.123436,80.754395,-7.603394,px4_default
362817573,20.873747,80.610603,-7.585895,21.020121,80.877052,-7.626221,px4_default
362817684,20.819016,80.663353,-7.593061,21.020121,80.877052,-7.626221,px4_default
362857573,20.766172,80.716148,-7.600374,20.923651,80.999443,-7.650146,px4_default
