timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
287317574,14.824185,83.085716,-7.200195,14.822989,83.100296,-7.189941,px4_default
287317655,14.824191,83.085724,-7.199587,14.822989,83.100296,-7.189941,px4_default
287357574,14.824248,83.085808,-7.198799,14.824450,83.106316,-7.190308,px4_default
287357682,14.824376,83.085999,-7.197919,14.824450,83.106316,-7.190308,px4_default
287397574,14.824755,83.086548,-7.197529,14.827416,83.114410,-7.191772,px4_default
287401048,14.825437,83.087540,-7.197474,14.827416,83.114410,-7.191772,px4_default
287437573,14.826412,83.088959,-7.197690,14.832509,83.125206,-7.194580,px4_default
287437657,14.827905,83.091133,-7.198271,14.832509,83.125206,-7.194580,px4_default
287457597,14.830028,83.094215,-7.199151,14.836042,83.131836,-7.196167,px4_default
287497573,14.832666,83.098045,-7.200222,14.846205,83.149361,-7.198242,px4_default
287517586,14.836010,83.102898,-7.201509,14.852882,83.160316,-7.198608,px4_default
287531078,14.840383,83.109230,-7.202974,14.852882,83.160316,-7.198608,px4_default
287537597,14.845490,83.116608,-7.204506,14.860378,83.172157,-7.198730,px4_default
287577573,14.851412,83.125160,-7.206090,14.877601,83.198906,-7.197754,px4_default
287577654,14.858829,83.135849,-7.207631,14.877601,83.198906,-7.197754,px4_default
287611080,14.867193,83.147873,-7.209069,14.887535,83.213966,-7.196777,px4_default
287617621,14.876510,83.161247,-7.210353,14.898317,83.230225,-7.195557,px4_default
287643205,14.887410,83.176857,-7.210782,14.910071,83.247772,-7.194092,px4_default
287657596,14.899297,83.193886,-7.210339,14.922781,83.266289,-7.192139,px4_default
287677610,14.912093,83.212212,-7.209191,14.936556,83.286179,-7.190063,px4_default
287697681,14.926349,83.232666,-7.207246,14.952349,83.309525,-7.187012,px4_default
287737573,14.941925,83.255043,-7.204935,14.987020,83.359955,-7.180176,px4_default
287744254,14.958516,83.278877,-7.202379,14.987020,83.359955,-7.180176,px4_default
287757596,14.976453,83.304642,-7.199553,15.005985,83.387108,-7.176392,px4_default
287797574,14.995875,83.332474,-7.196488,15.047431,83.445335,-7.168335,px4_default
287817573,15.016289,83.361656,-7.193289,15.069608,83.475945,-7.164063,px4_default
287817658,15.037830,83.392357,-7.189950,15.069608,83.475945,-7.164063,px4_default
287847753,15.060999,83.425179,-7.186466,15.093093,83.508156,-7.159790,px4_default
287857598,15.085128,83.459198,-7.182922,15.117776,83.541679,-7.155396,px4_default
287877904,15.110215,83.494423,-7.179325,15.143931,83.576828,-7.150879,px4_default
287897814,15.136977,83.531647,-7.175683,15.171428,83.615257,-7.146240,px4_default
287917665,15.164709,83.569977,-7.172048,15.200360,83.655090,-7.141602,px4_default
287957799,15.193368,83.609344,-7.168424,15.261939,83.737823,-7.132202,px4_default
287957799,15.223479,83.650276,-7.164852,15.261939,83.737823,-7.132202,px4_default
287977823,15.254696,83.692329,-7.161354,15.294572,83.780785,-7.127563,px4_default
288008210,15.286807,83.735268,-7.157926,15.328249,83.824394,-7.122925,px4_default
288017938,15.320159,83.779366,-7.154616,15.363253,83.869064,-7.118408,px4_default
288058113,15.354739,83.824539,-7.151461,15.436897,83.960991,-7.109741,px4_default
288058113,15.390180,83.870422,-7.148427,15.436897,83.960991,-7.109741,px4_default
288097573,15.426657,83.917122,-7.145550,15.495503,84.033035,-7.103394,px4_default
288117598,15.464473,83.964783,-7.142913,15.535660,84.082451,-7.098999,px4_default
288137573,15.503112,84.012970,-7.140442,15.576866,84.132271,-7.094849,px4_default
288157598,15.542596,84.061684,-7.138149,15.619382,84.182770,-7.090942,px4_default
288163344,15.583514,84.111168,-7.136199,15.619382,84.182770,-7.090942,px4_default
288197573,15.625217,84.160995,-7.134455,15.707973,84.285011,-7.084229,px4_default
288217574,15.667703,84.211159,-7.132922,15.754062,84.336693,-7.081421,px4_default
288237574,15.711455,84.261749,-7.131753,15.801065,84.388283,-7.078979,px4_default
288257573,15.756046,84.312538,-7.130757,15.848924,84.439758,-7.077026,px4_default
288277767,15.801353,84.363464,-7.129893,15.898129,84.491531,-7.075439,px4_default
288297574,15.847685,84.414497,-7.129166,15.948496,84.543480,-7.074463,px4_default
288303165,15.894951,84.465485,-7.128610,15.948496,84.543480,-7.074463,px4_default
288337573,15.942907,84.516380,-7.128216,16.053385,84.648125,-7.074341,px4_default
288345391,15.991747,84.567101,-7.128070,16.053385,84.648125,-7.074341,px4_default
288377629,16.041620,84.617477,-7.128292,16.161884,84.751053,-7.076294,px4_default
288377629,16.092159,84.667564,-7.128753,16.161884,84.751053,-7.076294,px4_default
288417608,16.143427,84.717316,-7.129478,16.273775,84.851791,-7.080322,px4_default
288418643,16.195749,84.766350,-7.130603,16.273775,84.851791,-7.080322,px4_default
288437727,16.248671,84.814896,-7.131956,16.331459,84.901581,-7.083252,px4_default
288457742,16.302187,84.862946,-7.133535,16.389118,84.949921,-7.086548,px4_default
288477939,16.356707,84.909988,-7.135491,16.447813,84.997688,-7.090332,px4_default
288511112,16.411800,84.956299,-7.137671,16.507526,85.044189,-7.094849,px4_default
288517598,16.467415,85.001907,-7.140052,16.568769,85.089859,-7.099609,px4_default
288557573,16.523813,85.046341,-7.142731,16.691063,85.176407,-7.110352,px4_default
288570939,16.580830,85.089714,-7.145632,16.691063,85.176407,-7.110352,px4_default
288580828,16.638306,85.132202,-7.148699,16.753204,85.218094,-7.116333,px4_default
288597596,16.696367,85.173416,-7.151978,16.815928,85.258606,-7.122925,px4_default
288637574,16.755020,85.213150,-7.155454,16.942400,85.335556,-7.136841,px4_default
288657574,16.814062,85.251823,-7.159050,17.006214,85.372002,-7.144165,px4_default
288663586,16.873554,85.289223,-7.162780,17.006214,85.372002,-7.144165,px4_default
288697574,16.933573,85.324677,-7.166652,17.134005,85.439278,-7.159424,px4_default
288717583,16.993891,85.358894,-7.170590,17.198103,85.470123,-7.167358,px4_default
288717667,17.054502,85.391853,-7.174589,17.198103,85.470123,-7.167358,px4_default
288737596,17.115574,85.422417,-7.178650,17.262558,85.499474,-7.175415,px4_default
288777591,17.176872,85.451561,-7.182717,17.391068,85.552834,-7.191406,px4_default
288790580,17.238384,85.479294,-7.186786,17.391068,85.552834,-7.191406,px4_default
288798179,17.300154,85.504616,-7.190815,17.455360,85.576836,-7.199219,px4_default
288817656,17.362076,85.528152,-7.194648,17.520077,85.599167,-7.207031,px4_default
288857605,17.424118,85.550179,-7.198302,17.649706,85.638252,-7.221924,px4_default
288871878,17.486319,85.570000,-7.201669,17.649706,85.638252,-7.221924,px4_default
288877595,17.548624,85.587540,-7.204849,17.713617,85.654694,-7.229248,px4_default
288917574,17.611002,85.603424,-7.207877,17.839390,85.679031,-7.242554,px4_default
288923536,17.673471,85.617233,-7.210697,17.839390,85.679031,-7.242554,px4_default
288941460,17.736040,85.628387,-7.213227,17.902380,85.687981,-7.248901,px4_default
288977596,17.798639,85.637817,-7.215573,18.026094,85.700073,-7.260132,px4_default
288997573,17.861259,85.645409,-7.217723,18.088188,85.703285,-7.265259,px4_default
289017573,17.923885,85.649948,-7.219549,18.151121,85.704643,-7.269897,px4_default
289037573,17.986504,85.652733,-7.221173,18.212164,85.704025,-7.274536,px4_default
289046686,18.049103,85.653763,-7.222590,18.212164,85.704025,-7.274536,px4_default
289077574,18.111595,85.651855,-7.223629,18.335371,85.696899,-7.282227,px4_default
289077658,18.173988,85.647995,-7.224412,18.335371,85.696899,-7.282227,px4_default
289117574,18.236286,85.642403,-7.224970,18.457350,85.678291,-7.287109,px4_default
289137574,18.298399,85.634232,-7.225191,18.517969,85.665657,-7.288696,px4_default
289146561,18.360306,85.623833,-7.225170,18.517969,85.665657,-7.288696,px4_default
289157596,18.422024,85.611740,-7.224993,18.578272,85.651215,-7.290161,px4_default
289197575,18.483442,85.597427,-7.224642,18.698277,85.616592,-7.292114,px4_default
289197764,18.544472,85.580658,-7.224123,18.698277,85.616592,-7.292114,px4_default
289237591,18.605219,85.562263,-7.223502,18.816019,85.574524,-7.292969,px4_default
289257574,18.665632,85.542053,-7.222772,18.874321,85.550598,-7.293091,px4_default
289257681,18.725435,85.519211,-7.221908,18.874321,85.550598,-7.293091,px4_default
289280978,18.784849,85.494835,-7.220976,18.932537,85.524696,-7.292847,px4_default
289297641,18.843866,85.468941,-7.219980,18.989416,85.496857,-7.292358,px4_default
289319638,18.902130,85.440430,-7.218894,19.046171,85.466499,-7.291504,px4_default
289357573,18.959871,85.410400,-7.217769,19.158026,85.400269,-7.289307,px4_default
290216417,19.017111,85.378944,-7.216610,19.158026,85.400269,-7.289307,px4_default
290216417,19.073521,85.345284,-7.215412,19.158026,85.400269,-7.289307,px4_default
290216417,19.129238,85.309937,-7.214196,19.158026,85.400269,-7.289307,px4_default
290216417,19.184368,85.273247,-7.212972,19.158026,85.400269,-7.289307,px4_default
