timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
334097573,23.326935,79.230698,-7.616821,23.288790,79.206444,-7.620728,px4_default
334117573,23.326931,79.230682,-7.615396,23.286285,79.203926,-7.621338,px4_default
334117655,23.326927,79.230667,-7.613949,23.286285,79.203926,-7.621338,px4_default
334137596,23.326859,79.230408,-7.611481,23.283894,79.201065,-7.621948,px4_default
334162105,23.326780,79.230118,-7.609043,23.281384,79.197723,-7.622681,px4_default
334197573,23.326511,79.229095,-7.607316,23.276373,79.189636,-7.624390,px4_default
334204263,23.326223,79.227997,-7.605630,23.276373,79.189636,-7.624390,px4_default
334217641,23.325630,79.225708,-7.604580,23.273846,79.184547,-7.625366,px4_default
334237596,23.325003,79.223274,-7.603577,23.271294,79.178741,-7.626465,px4_default
334277573,23.323967,79.219208,-7.603106,23.265928,79.164490,-7.628662,px4_default
334277809,23.322876,79.214920,-7.602682,23.265928,79.164490,-7.628662,px4_default
334301160,23.321287,79.208580,-7.602664,23.263254,79.154976,-7.629883,px4_default
334337578,23.319620,79.201912,-7.602682,23.257847,79.131264,-7.631958,px4_default
334337685,23.317375,79.192810,-7.602958,23.257847,79.131264,-7.631958,px4_default
334377574,23.315025,79.183250,-7.603249,23.252077,79.103310,-7.632690,px4_default
334397574,23.312027,79.170898,-7.603628,23.248978,79.087692,-7.632690,px4_default
334417573,23.308895,79.157944,-7.603989,23.245787,79.070702,-7.632324,px4_default
334420862,23.305059,79.141869,-7.604250,23.245787,79.070702,-7.632324,px4_default
334442082,23.301075,79.125114,-7.604314,23.242426,79.052406,-7.631714,px4_default
334477572,23.296421,79.105309,-7.603487,23.235468,79.012001,-7.629883,px4_default
334497574,23.291624,79.084763,-7.602318,23.232023,78.988708,-7.628784,px4_default
334517573,23.286255,79.061302,-7.599796,23.228712,78.963165,-7.627441,px4_default
334517705,23.280743,79.036949,-7.597077,23.228712,78.963165,-7.627441,px4_default
334547408,23.274733,79.009491,-7.593664,23.225389,78.935989,-7.625854,px4_default
334557597,23.268599,78.981056,-7.590191,23.222151,78.908058,-7.624023,px4_default
334597573,23.262081,78.949562,-7.586532,23.215872,78.847321,-7.619873,px4_default
334597684,23.255478,78.917084,-7.582847,23.215872,78.847321,-7.619873,px4_default
334637661,23.248638,78.881828,-7.579090,23.209917,78.781326,-7.614990,px4_default
334657653,23.241758,78.845589,-7.575345,23.207296,78.746094,-7.612305,px4_default
334657653,23.234779,78.806847,-7.571627,23.207296,78.746094,-7.612305,px4_default
334682569,23.227818,78.767143,-7.567958,23.204851,78.709610,-7.609497,px4_default
334717574,23.220886,78.725204,-7.564403,23.203039,78.629829,-7.604248,px4_default
334738048,23.214031,78.682327,-7.560933,23.202595,78.588188,-7.601685,px4_default
334757575,23.207335,78.637482,-7.557647,23.202499,78.545258,-7.599365,px4_default
334767150,23.200781,78.591743,-7.554485,23.202499,78.545258,-7.599365,px4_default
334777597,23.194500,78.544289,-7.551562,23.202745,78.501114,-7.596924,px4_default
334805505,23.188435,78.495995,-7.548800,23.203358,78.455757,-7.594604,px4_default
334817597,23.182753,78.446228,-7.546320,23.204390,78.409729,-7.592651,px4_default
334857574,23.177368,78.395699,-7.544035,23.207836,78.314369,-7.589355,px4_default
334877575,23.172464,78.343933,-7.542063,23.210346,78.265083,-7.587769,px4_default
334897574,23.167946,78.291481,-7.540317,23.215652,78.215584,-7.586548,px4_default
334897656,23.164001,78.238022,-7.538903,23.215652,78.215584,-7.586548,px4_default
334927785,23.160536,78.183975,-7.537741,23.221563,78.164726,-7.585083,px4_default
334957655,23.157726,78.129135,-7.536922,23.235296,78.060562,-7.582397,px4_default
334977574,23.155497,78.073822,-7.536375,23.242987,78.008522,-7.580933,px4_default
334977656,23.153996,78.017921,-7.536170,23.242987,78.008522,-7.580933,px4_default
335011609,23.153181,77.961670,-7.536251,23.251472,77.955246,-7.579834,px4_default
335017657,23.153160,77.905022,-7.536663,23.260735,77.901680,-7.578735,px4_default
335037607,23.153936,77.848167,-7.537368,23.270876,77.847031,-7.577759,px4_default
335077574,23.155567,77.791092,-7.538388,23.293297,77.739464,-7.576538,px4_default
335091384,23.158110,77.733963,-7.539702,23.293297,77.739464,-7.576538,px4_default
335118119,23.161556,77.676781,-7.541307,23.321934,77.632912,-7.576416,px4_default
335137608,23.166039,77.619698,-7.543199,23.337755,77.580956,-7.576416,px4_default
335137608,23.171469,77.562714,-7.545352,23.337755,77.580956,-7.576416,px4_default
335177623,23.178059,77.506027,-7.547773,23.372808,77.476013,-7.577026,px4_default
335177704,23.185627,77.449585,-7.550419,23.372808,77.476013,-7.577026,px4_default
335217673,23.194487,77.393623,-7.553305,23.412031,77.372360,-7.578125,px4_default
335237731,23.204350,77.338036,-7.556376,23.433243,77.321289,-7.578979,px4_default
335237731,23.215641,77.283127,-7.559646,23.433243,77.321289,-7.578979,px4_default
335258016,23.227949,77.228699,-7.563058,23.455778,77.270386,-7.579834,px4_default
335297974,23.241821,77.175171,-7.566617,23.507513,77.171997,-7.581909,px4_default
335297974,23.256723,77.122223,-7.570274,23.507513,77.171997,-7.581909,px4_default
335338148,23.273331,77.070396,-7.574014,23.566521,77.078598,-7.584106,px4_default
335338148,23.290968,77.019234,-7.577805,23.566521,77.078598,-7.584106,px4_default
335358215,23.310450,76.969429,-7.581599,23.597673,77.032829,-7.584961,px4_default
335397588,23.330950,76.920387,-7.585395,23.646231,76.965965,-7.585815,px4_default
335412994,23.353441,76.872940,-7.589104,23.646231,76.965965,-7.585815,px4_default
335418290,23.376938,76.826309,-7.592768,23.680105,76.922279,-7.586304,px4_default
335457573,23.402571,76.781532,-7.596237,23.751049,76.838173,-7.586670,px4_default
335477573,23.429190,76.737610,-7.599617,23.788235,76.797531,-7.586670,px4_default
335477657,23.458094,76.695801,-7.602679,23.788235,76.797531,-7.586670,px4_default
335505594,23.487959,76.654884,-7.605608,23.827770,76.758980,-7.586426,px4_default
335537574,23.520128,76.616241,-7.607845,23.912621,76.686577,-7.585205,px4_default
335557574,23.553171,76.578468,-7.609818,23.956572,76.652176,-7.584106,px4_default
335577574,23.588614,76.543159,-7.611008,24.001617,76.618927,-7.583008,px4_default
335584356,23.624880,76.508698,-7.611928,24.001617,76.618927,-7.583008,px4_default
335617573,23.663706,76.476936,-7.612278,24.094646,76.556305,-7.579834,px4_default
335617656,23.703321,76.445999,-7.612451,24.094646,76.556305,-7.579834,px4_default
335637596,23.745508,76.417847,-7.611958,24.142757,76.526894,-7.578125,px4_default
335677573,23.788403,76.390450,-7.611282,24.242550,76.472084,-7.573608,px4_default
335677674,23.833826,76.365875,-7.609836,24.242550,76.472084,-7.573608,px4_default
335717838,23.879862,76.341980,-7.608203,24.348713,76.426636,-7.568237,px4_default
335717838,23.928450,76.320976,-7.605916,24.348713,76.426636,-7.568237,px4_default
335737661,23.977577,76.300583,-7.603489,24.404095,76.406281,-7.565186,px4_default
335777578,24.029247,76.283104,-7.600569,24.517145,76.370026,-7.558105,px4_default
335786394,24.081383,76.266159,-7.597558,24.517145,76.370026,-7.558105,px4_default
335797660,24.135996,76.252121,-7.594112,24.575058,76.354073,-7.554688,px4_default
335821013,24.190996,76.238533,-7.590598,24.634243,76.339485,-7.550781,px4_default
335837597,24.248369,76.227859,-7.586751,24.693670,76.326645,-7.547241,px4_default
335869838,24.306049,76.217560,-7.582861,24.754505,76.315193,-7.543579,px4_default
335897574,24.366014,76.210175,-7.578737,24.878780,76.297600,-7.536621,px4_default
335917872,24.426218,76.203102,-7.574588,24.943306,76.291969,-7.533203,px4_default
335937573,24.488588,76.198936,-7.570282,25.008589,76.287903,-7.529785,px4_default
335947581,24.551132,76.195000,-7.565963,25.008589,76.287903,-7.529785,px4_default
335977573,24.615734,76.193970,-7.561564,25.140577,76.284416,-7.523071,px4_default
335997573,24.680454,76.193100,-7.557161,25.207781,76.284966,-7.519653,px4_default
336017688,24.747063,76.195129,-7.552755,25.275953,76.286972,-7.516235,px4_default
336037617,24.813740,76.197258,-7.548348,25.343544,76.290482,-7.512939,px4_default
