timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
73408000,0.014036,0.004898,-4.697293,0.010864,0.004640,-4.690437,px4_default
73428000,0.014040,0.004905,-4.696806,0.011142,0.005098,-4.689625,px4_default
73448000,0.014076,0.004956,-4.696212,0.011537,0.005569,-4.689162,px4_default
73468000,0.014150,0.005065,-4.695545,0.012403,0.006547,-4.688613,px4_default
73488000,0.014302,0.005287,-4.694939,0.013254,0.007448,-4.688384,px4_default
73508000,0.014605,0.005728,-4.694627,0.014973,0.009201,-4.688332,px4_default
73528000,0.015150,0.006522,-4.694582,0.016491,0.010685,-4.688589,px4_default
73548000,0.015871,0.007572,-4.694701,0.019418,0.013445,-4.689573,px4_default
73568000,0.016857,0.009008,-4.695019,0.021769,0.015668,-4.690673,px4_default
73588000,0.018176,0.010925,-4.695543,0.026232,0.019722,-4.693205,px4_default
73608000,0.019874,0.013392,-4.696247,0.029742,0.022905,-4.695349,px4_default
73628000,0.021984,0.016455,-4.697103,0.035729,0.028428,-4.698922,px4_default
73648000,0.024516,0.020128,-4.698089,0.040407,0.032682,-4.701299,px4_default
73668000,0.027600,0.024596,-4.699189,0.048098,0.039730,-4.704131,px4_default
73688000,0.031243,0.029867,-4.700374,0.053737,0.044926,-4.705463,px4_default
73708000,0.035328,0.035774,-4.701599,0.062971,0.053510,-4.706671,px4_default
73728000,0.040062,0.042611,-4.702867,0.069616,0.059725,-4.707041,px4_default
73748000,0.045691,0.050723,-4.704107,0.080508,0.069940,-4.707104,px4_default
73768000,0.052000,0.059801,-4.705299,0.088279,0.077327,-4.706985,px4_default
73788000,0.058877,0.069686,-4.706419,0.101079,0.089476,-4.706415,px4_default
73808000,0.066328,0.080384,-4.707446,0.110270,0.098236,-4.705873,px4_default
73828000,0.075041,0.092863,-4.707792,0.125057,0.112393,-4.704899,px4_default
73848000,0.084347,0.106191,-4.707615,0.135703,0.122698,-4.704112,px4_default
73868000,0.094215,0.120323,-4.706982,0.152764,0.139171,-4.702876,px4_default
73888000,0.104736,0.135400,-4.705908,0.164954,0.150981,-4.702049,px4_default
73908000,0.116138,0.151759,-4.704352,0.184497,0.169955,-4.700788,px4_default
73928000,0.128591,0.169648,-4.702505,0.198350,0.183274,-4.699974,px4_default
73948000,0.141653,0.188415,-4.700511,0.220571,0.204835,-4.698783,px4_default
73968000,0.155455,0.208243,-4.698359,0.236247,0.220002,-4.698046,px4_default
73988000,0.170091,0.229252,-4.696053,0.261119,0.243882,-4.697036,px4_default
74008000,0.185625,0.251511,-4.693602,0.278605,0.260604,-4.696443,px4_default
74028000,0.201948,0.274844,-4.691043,0.306206,0.286890,-4.695663,px4_default
74048000,0.218946,0.299088,-4.688402,0.325494,0.305568,-4.695186,px4_default
74068000,0.236817,0.324479,-4.685674,0.355759,0.334630,-4.694468,px4_default
74088000,0.255534,0.350962,-4.682876,0.376816,0.354969,-4.694013,px4_default
74108000,0.274833,0.378177,-4.680041,0.409689,0.386957,-4.693381,px4_default
74128000,0.294892,0.406342,-4.677164,0.432463,0.409020,-4.692983,px4_default
74148000,0.315952,0.435702,-4.674261,0.467839,0.444133,-4.692372,px4_default
74168000,0.337739,0.465910,-4.671350,0.492215,0.468477,-4.691949,px4_default
74188000,0.360099,0.496766,-4.668445,0.529914,0.506437,-4.691277,px4_default
74208000,0.383020,0.528255,-4.665546,0.555708,0.533121,-4.690774,px4_default
74228000,0.407094,0.560985,-4.662689,0.595418,0.574424,-4.689882,px4_default
74248000,0.431834,0.594388,-4.659876,0.622489,0.603091,-4.689225,px4_default
74268000,0.457153,0.628368,-4.657105,0.663960,0.647426,-4.688088,px4_default
74288000,0.483075,0.662931,-4.654386,0.692071,0.678142,-4.687221,px4_default
74308000,0.509751,0.698206,-4.651740,0.734867,0.725890,-4.685806,px4_default
74328000,0.537399,0.734327,-4.649214,0.763835,0.758632,-4.684777,px4_default
74348000,0.565567,0.770876,-4.646762,0.807608,0.809705,-4.683123,px4_default
74368000,0.594319,0.807896,-4.644397,0.837079,0.844720,-4.681947,px4_default
74388000,0.623751,0.845434,-4.642143,0.881640,0.898679,-4.680116,px4_default
74408000,0.653997,0.883552,-4.640033,0.911425,0.935790,-4.678818,px4_default
74428000,0.684895,0.922089,-4.638056,0.956371,0.992587,-4.676770,px4_default
74448000,0.716299,0.960943,-4.636184,0.986401,1.031307,-4.675296,px4_default
74468000,0.748440,1.000207,-4.634484,1.031503,1.090520,-4.672974,px4_default
74488000,0.781317,1.039850,-4.632964,1.061659,1.130609,-4.671397,px4_default
74508000,0.814673,1.079704,-4.631569,1.106797,1.191831,-4.669080,px4_default
74528000,0.848646,1.119821,-4.630341,1.137005,1.233066,-4.667649,px4_default
74548000,0.883375,1.160195,-4.629329,1.182182,1.295689,-4.665804,px4_default
74568000,0.918696,1.200737,-4.628462,1.212325,1.337761,-4.664781,px4_default
74588000,0.954497,1.241385,-4.627691,1.257568,1.401239,-4.663589,px4_default
74608000,0.990734,1.282117,-4.626999,1.287625,1.443725,-4.663062,px4_default
74628000,1.027782,1.322932,-4.626416,1.332792,1.507532,-4.662681,px4_default
74648000,1.065390,1.363723,-4.625936,1.362904,1.550038,-4.662719,px4_default
74668000,1.103463,1.404470,-4.625554,1.408171,1.613568,-4.663251,px4_default
74688000,1.141987,1.445146,-4.625286,1.438442,1.655741,-4.663864,px4_default
74708000,1.181050,1.485714,-4.625169,1.483898,1.718364,-4.665234,px4_default
74728000,1.220928,1.526008,-4.625343,1.514305,1.759703,-4.666439,px4_default
74748000,1.261210,1.566131,-4.625661,1.560065,1.821021,-4.668603,px4_default
74768000,1.301915,1.606061,-4.626132,1.590653,1.861188,-4.670321,px4_default
74788000,1.343119,1.645718,-4.626787,1.636851,1.920701,-4.673168,px4_default
74808000,1.384967,1.684939,-4.627687,1.667732,1.959481,-4.675321,px4_default
74828000,1.427288,1.723775,-4.628766,1.714349,2.016566,-4.678809,px4_default
74848000,1.469966,1.762310,-4.629981,1.745611,2.053711,-4.681326,px4_default
74868000,1.513159,1.800352,-4.631390,1.792801,2.107973,-4.685341,px4_default
74888000,1.556873,1.837844,-4.632997,1.824491,2.143285,-4.688129,px4_default
74908000,1.600937,1.874884,-4.634740,1.872268,2.194415,-4.692591,px4_default
74928000,1.645413,1.911371,-4.636642,1.904361,2.227458,-4.695639,px4_default
74948000,1.690355,1.947161,-4.638721,1.952860,2.275404,-4.700296,px4_default
74968000,1.735703,1.982289,-4.640949,1.985416,2.306025,-4.703441,px4_default
74988000,1.781392,2.016814,-4.643301,2.034644,2.350365,-4.708189,px4_default
75008000,1.827363,2.050796,-4.645754,2.067708,2.378680,-4.711381,px4_default
75028000,1.873794,2.083776,-4.648374,2.117622,2.419272,-4.716086,px4_default
75048000,1.920579,2.115874,-4.651112,2.151133,2.445218,-4.719195,px4_default
75068000,1.967642,2.147247,-4.653938,2.201697,2.482193,-4.723804,px4_default
75088000,2.014949,2.177944,-4.656840,2.235615,2.505688,-4.726811,px4_default
75108000,2.062531,2.207856,-4.659822,2.286767,2.538684,-4.731216,px4_default
75128000,2.110529,2.236243,-4.662918,2.321070,2.559431,-4.734001,px4_default
75148000,2.158708,2.263876,-4.666053,2.372794,2.588698,-4.737796,px4_default
75168000,2.207065,2.290760,-4.669227,2.407404,2.606689,-4.740074,px4_default
75188000,2.255629,2.316680,-4.672437,2.459586,2.631914,-4.743200,px4_default
75208000,2.304475,2.341125,-4.675684,2.494557,2.647374,-4.745089,px4_default
75228000,2.353500,2.364458,-4.678937,2.547249,2.668496,-4.747675,px4_default
75248000,2.402653,2.386941,-4.682191,2.582500,2.681367,-4.749252,px4_default
75268000,2.451951,2.408197,-4.685431,2.635617,2.698401,-4.751364,px4_default
75288000,2.501384,2.428126,-4.688617,2.671157,2.708483,-4.752604,px4_default
75308000,2.550911,2.446952,-4.691682,2.724599,2.721694,-4.754225,px4_default
75328000,2.600532,2.464592,-4.694608,2.760327,2.729211,-4.755163,px4_default
75348000,2.650247,2.480920,-4.697363,2.814055,2.738551,-4.756333,px4_default
75368000,2.700037,2.495899,-4.699985,2.849929,2.743279,-4.756932,px4_default
75388000,2.749884,2.509628,-4.702501,2.903829,2.748579,-4.757621,px4_default
75408000,2.799776,2.522335,-4.704922,2.939839,2.750767,-4.757883,px4_default
75428000,2.849739,2.533415,-4.707181,2.993977,2.752071,-4.757975,px4_default
75448000,2.899762,2.542910,-4.709269,3.048196,2.751108,-4.757708,px4_default
75468000,2.949818,2.551171,-4.711222,3.084432,2.749150,-4.757335,px4_default
75488000,2.999891,2.558378,-4.713062,3.120748,2.746187,-4.756798,px4_default
75508000,3.049975,2.564456,-4.714782,3.175329,2.739946,-4.755716,px4_default
75528000,3.100065,2.568137,-4.716248,3.211818,2.734423,-4.754780,px4_default
75548000,3.150150,2.570746,-4.717591,3.266633,2.724431,-4.753181,px4_default
75568000,3.200227,2.572306,-4.718811,3.303243,2.716504,-4.751974,px4_default
75588000,3.250276,2.572600,-4.719876,3.358175,2.702946,-4.750050,px4_default
75608000,3.300259,2.571073,-4.720706,3.394854,2.692679,-4.748677,px4_default
75628000,3.350166,2.568020,-4.721338,3.449977,2.675485,-4.746540,px4_default
75648000,3.400014,2.563927,-4.721833,3.486751,2.662946,-4.745061,px4_default
75668000,3.449771,2.558474,-4.722151,3.542034,2.642224,-4.742781,px4_default
75688000,3.499413,2.551538,-4.722284,3.578938,2.627303,-4.741186,px4_default
75708000,3.548929,2.543219,-4.722268,3.634344,2.603285,-4.738752,px4_default
75728000,3.598296,2.533579,-4.722129,3.671324,2.586036,-4.737116,px4_default
75748000,3.647486,2.522622,-4.721887,3.726810,2.558641,-4.734632,px4_default
75768000,3.696463,2.510243,-4.721543,3.763824,2.539276,-4.732945,px4_default
75788000,3.745225,2.496538,-4.721109,3.819317,2.508644,-4.730398,px4_default
75808000,3.793811,2.481828,-4.720613,3.856260,2.487273,-4.728718,px4_default
75828000,3.842138,2.465698,-4.720031,3.911693,2.453614,-4.726183,px4_default
75848000,3.890106,2.448009,-4.719369,3.948564,2.430341,-4.724499,px4_default
75868000,3.937791,2.429160,-4.718652,4.003764,2.394016,-4.721962,px4_default
75888000,3.985241,2.409395,-4.717896,4.040498,2.368940,-4.720299,px4_default
75908000,4.032444,2.388685,-4.717099,4.095464,2.330070,-4.717852,px4_default
75928000,4.079061,2.365933,-4.716233,4.132033,2.303302,-4.716275,px4_default
75948000,4.125360,2.342250,-4.715342,4.186664,2.262004,-4.713978,px4_default
75968000,4.171353,2.317692,-4.714429,4.222942,2.233696,-4.712509,px4_default
75988000,4.216988,2.292140,-4.713495,4.277074,2.190153,-4.710415,px4_default
76008000,4.262105,2.265218,-4.712536,4.312938,2.160441,-4.709088,px4_default
76028000,4.306685,2.236983,-4.711564,4.366395,2.114879,-4.707284,px4_default
76048000,4.350910,2.207938,-4.710587,4.401783,2.083860,-4.706121,px4_default
76068000,4.394679,2.177912,-4.709607,4.454447,2.036406,-4.704507,px4_default
76088000,4.437916,2.146800,-4.708627,4.489244,2.004177,-4.703583,px4_default
76108000,4.480571,2.114563,-4.707653,4.540969,1.954912,-4.702295,px4_default
76128000,4.522699,2.081364,-4.706689,4.575102,1.921559,-4.701588,px4_default
76148000,4.564327,2.047288,-4.705737,4.625753,1.870741,-4.700659,px4_default
76168000,4.605326,2.012167,-4.704803,4.659124,1.836361,-4.700181,px4_default
76188000,4.645691,1.976038,-4.703890,4.708520,1.784114,-4.699615,px4_default
76208000,4.685573,1.939201,-4.702997,4.741013,1.748808,-4.699313,px4_default
76228000,4.724831,1.901478,-4.702128,4.789013,1.695323,-4.699067,px4_default
76248000,4.763222,1.862609,-4.701298,4.820517,1.659219,-4.698990,px4_default
76268000,4.800964,1.822912,-4.700500,4.866989,1.604419,-4.699002,px4_default
76288000,4.838195,1.782589,-4.699727,4.897366,1.567579,-4.699140,px4_default
76308000,4.874888,1.741621,-4.698980,4.942101,1.511710,-4.699442,px4_default
76328000,4.910423,1.699405,-4.698294,4.971313,1.474128,-4.699741,px4_default
76348000,4.945292,1.656520,-4.697644,5.014183,1.417337,-4.700381,px4_default
76368000,4.979558,1.613041,-4.697026,5.042167,1.379146,-4.700856,px4_default
76388000,5.013175,1.568939,-4.696444,5.083144,1.321508,-4.701681,px4_default
76408000,5.045906,1.524014,-4.695909,5.109815,1.282779,-4.702280,px4_default
76428000,5.077566,1.478219,-4.695432,5.148802,1.224581,-4.703342,px4_default
76448000,5.108595,1.431932,-4.694988,5.174111,1.185568,-4.704096,px4_default
76468000,5.138889,1.385085,-4.694583,5.211019,1.126749,-4.705271,px4_default
76488000,5.168323,1.337608,-4.694222,5.234855,1.087520,-4.706141,px4_default
76508000,5.196714,1.289407,-4.693914,5.269542,1.028348,-4.707481,px4_default
76528000,5.224242,1.240664,-4.693649,5.291877,0.988784,-4.708403,px4_default
76548000,5.251033,1.191481,-4.693418,5.324136,0.929281,-4.709860,px4_default
76568000,5.276800,1.141719,-4.693234,5.344856,0.889426,-4.710848,px4_default
76588000,5.301507,1.091383,-4.693095,5.374594,0.829654,-4.712512,px4_default
76608000,5.325473,1.040669,-4.692984,5.393601,0.789701,-4.713638,px4_default
76628000,5.348519,0.989499,-4.692905,5.420856,0.729641,-4.715346,px4_default
76648000,5.370321,0.937798,-4.692865,5.438169,0.689528,-4.716475,px4_default
76668000,5.391127,0.885693,-4.692856,5.462833,0.629273,-4.718146,px4_default
76688000,5.411122,0.833279,-4.692872,5.478328,0.589194,-4.719256,px4_default
76708000,5.430320,0.780567,-4.692912,5.500297,0.528967,-4.720769,px4_default
76728000,5.447987,0.727338,-4.692992,5.514040,0.488861,-4.721704,px4_default
76748000,5.464630,0.673797,-4.693093,5.533315,0.428782,-4.723003,px4_default
76768000,5.480388,0.620003,-4.693211,5.545285,0.388685,-4.723800,px4_default
76788000,5.495258,0.565977,-4.693343,5.561727,0.328726,-4.724998,px4_default
76808000,5.508974,0.511676,-4.693491,5.571738,0.288767,-4.725770,px4_default
76828000,5.521120,0.457050,-4.693653,5.585323,0.228865,-4.726808,px4_default
76848000,5.532418,0.402264,-4.693791,5.593334,0.189107,-4.727531,px4_default
76868000,5.542803,0.347313,-4.693891,5.603930,0.129477,-4.728605,px4_default
76888000,5.552108,0.292194,-4.693928,5.609985,0.089841,-4.729313,px4_default
76908000,5.559967,0.236903,-4.693864,5.617656,0.030425,-4.730354,px4_default
76928000,5.566742,0.181508,-4.693773,5.621775,-0.009054,-4.731056,px4_default
76948000,5.572671,0.126037,-4.693669,5.626495,-0.068041,-4.732102,px4_default
76968000,5.577342,0.070478,-4.693568,5.628716,-0.107306,-4.732783,px4_default
76988000,5.580683,0.014849,-4.693481,5.630533,-0.165743,-4.733819,px4_default
77008000,5.583120,-0.040785,-4.693407,5.630796,-0.204554,-4.734523,px4_default
77028000,5.584486,-0.096418,-4.693350,5.629776,-0.262536,-4.735581,px4_default
77048000,5.584548,-0.152019,-4.693317,5.628083,-0.300861,-4.736329,px4_default
77068000,5.583489,-0.207575,-4.693310,5.624197,-0.358166,-4.737442,px4_default
77088000,5.581488,-0.263074,-4.693325,5.620672,-0.396124,-4.738204,px4_default
77108000,5.578629,-0.318505,-4.693362,5.614013,-0.452692,-4.739402,px4_default
77128000,5.574300,-0.373766,-4.693441,5.605756,-0.508861,-4.740613,px4_default
77148000,5.568855,-0.428864,-4.693555,5.599360,-0.546035,-4.741446,px4_default
77168000,5.562494,-0.483816,-4.693699,5.592318,-0.583161,-4.742258,px4_default
77188000,5.555291,-0.538616,-4.693872,5.580469,-0.638276,-4.743525,px4_default
77208000,5.547063,-0.593222,-4.694081,5.571758,-0.674812,-4.744378,px4_default
77228000,5.537263,-0.647474,-4.694350,5.557487,-0.729289,-4.745669,px4_default
77248000,5.526671,-0.701511,-4.694650,5.547164,-0.765246,-4.746586,px4_default
77268000,5.515292,-0.755324,-4.694983,5.530513,-0.818900,-4.747954,px4_default
77288000,5.502967,-0.808848,-4.695354,5.518628,-0.854389,-4.748888,px4_default
77308000,5.489238,-0.861912,-4.695784,5.499591,-0.907212,-4.750306,px4_default
77328000,5.474561,-0.914631,-4.696256,5.486134,-0.942216,-4.751246,px4_default
77348000,5.459143,-0.967073,-4.696760,5.464771,-0.994160,-4.752697,px4_default
77368000,5.442696,-1.019083,-4.697311,5.449793,-1.028501,-4.753667,px4_default
77388000,5.425146,-1.070600,-4.697911,5.426236,-1.079564,-4.755112,px4_default
77408000,5.406736,-1.121706,-4.698549,5.409832,-1.113154,-4.756089,px4_default
77428000,5.387422,-1.172367,-4.699229,5.384194,-1.163259,-4.757562,px4_default
77448000,5.367078,-1.222494,-4.699955,5.366421,-1.196166,-4.758573,px4_default
77468000,5.345774,-1.272076,-4.700723,5.338751,-1.245061,-4.760056,px4_default
77488000,5.323630,-1.321148,-4.701528,5.319637,-1.277245,-4.761020,px4_default
77508000,5.300768,-1.369772,-4.702364,5.290009,-1.324928,-4.762449,px4_default
77528000,5.276791,-1.417672,-4.703249,5.269619,-1.356391,-4.763375,px4_default
77548000,5.251825,-1.464887,-4.704172,5.238145,-1.402854,-4.764725,px4_default
77568000,5.226076,-1.511534,-4.705127,5.216546,-1.433445,-4.765600,px4_default
77588000,5.199664,-1.557671,-4.706108,5.183234,-1.478730,-4.766870,px4_default
77608000,5.172495,-1.603211,-4.707116,5.160470,-1.508344,-4.767754,px4_default
77628000,5.143978,-1.647616,-4.708170,5.125436,-1.552160,-4.769023,px4_default
77648000,5.114822,-1.691447,-4.709244,5.101507,-1.580863,-4.769845,px4_default
77668000,5.085057,-1.734724,-4.710335,5.064795,-1.623171,-4.771012,px4_default
77688000,5.054565,-1.777318,-4.711446,5.039764,-1.650948,-4.771739,px4_default
77708000,5.022964,-1.818835,-4.712583,5.001440,-1.691822,-4.772753,px4_default
77728000,4.990588,-1.859509,-4.713733,4.975354,-1.718614,-4.773337,px4_default
77748000,4.957641,-1.899554,-4.714892,4.935513,-1.757890,-4.774160,px4_default
77768000,4.923941,-1.938743,-4.716059,4.908455,-1.783548,-4.774677,px4_default
77788000,4.889419,-1.976969,-4.717232,4.867131,-1.821221,-4.775376,px4_default
