timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
73036000,0.036834,0.047422,-4.687738,0.041293,0.047514,-4.686180,px4_default
73056000,0.036838,0.047428,-4.687252,0.042138,0.048202,-4.686110,px4_default
73076000,0.036874,0.047480,-4.686657,0.042834,0.048815,-4.686133,px4_default
73096000,0.036948,0.047588,-4.685990,0.044180,0.050100,-4.686284,px4_default
73116000,0.037100,0.047811,-4.685384,0.045973,0.051834,-4.686669,px4_default
73136000,0.037403,0.048252,-4.685072,0.047427,0.053260,-4.687113,px4_default
73156000,0.037948,0.049046,-4.685028,0.049174,0.054992,-4.687770,px4_default
73176000,0.038669,0.050096,-4.685146,0.052305,0.058099,-4.689299,px4_default
73196000,0.039655,0.051531,-4.685465,0.054798,0.060576,-4.690783,px4_default
73216000,0.040974,0.053449,-4.685989,0.059186,0.064999,-4.693745,px4_default
73236000,0.042672,0.055916,-4.686692,0.062532,0.068403,-4.696052,px4_default
73256000,0.044782,0.058978,-4.687549,0.068406,0.074349,-4.699812,px4_default
73276000,0.047314,0.062651,-4.688534,0.072782,0.078807,-4.702117,px4_default
73296000,0.050398,0.067119,-4.689634,0.079893,0.086192,-4.704755,px4_default
73316000,0.054041,0.072391,-4.690820,0.085154,0.091700,-4.705960,px4_default
73336000,0.058126,0.078297,-4.692045,0.093610,0.100570,-4.706937,px4_default
73356000,0.062860,0.085134,-4.693312,0.099768,0.107145,-4.707124,px4_default
73376000,0.068489,0.093247,-4.694553,0.109799,0.117793,-4.706941,px4_default
73396000,0.074797,0.102325,-4.695745,0.117103,0.125513,-4.706540,px4_default
73416000,0.081675,0.112209,-4.696865,0.129001,0.138073,-4.705587,px4_default
73436000,0.089126,0.122907,-4.697892,0.137543,0.147024,-4.704811,px4_default
73456000,0.097839,0.135387,-4.698237,0.151520,0.161628,-4.703345,px4_default
73476000,0.107145,0.148715,-4.698061,0.161580,0.172066,-4.702287,px4_default
73496000,0.117013,0.162847,-4.697428,0.177802,0.188764,-4.700620,px4_default
73516000,0.127534,0.177923,-4.696353,0.189512,0.200826,-4.699467,px4_default
73536000,0.138936,0.194283,-4.694798,0.208290,0.219908,-4.697752,px4_default
73556000,0.151389,0.212171,-4.692950,0.221686,0.233452,-4.696620,px4_default
73576000,0.164451,0.230939,-4.690956,0.243093,0.255026,-4.694979,px4_default
73596000,0.178253,0.250766,-4.688805,0.258251,0.270056,-4.693937,px4_default
73616000,0.192889,0.271776,-4.686498,0.282343,0.293913,-4.692441,px4_default
73636000,0.208423,0.294035,-4.684047,0.299298,0.310443,-4.691520,px4_default
73656000,0.224745,0.317368,-4.681489,0.326128,0.336910,-4.690203,px4_default
73676000,0.241744,0.341612,-4.678847,0.344959,0.355334,-4.689391,px4_default
73696000,0.259614,0.367003,-4.676120,0.374622,0.384145,-4.688256,px4_default
73716000,0.278331,0.393486,-4.673322,0.395335,0.404510,-4.687537,px4_default
73736000,0.297630,0.420701,-4.670487,0.427763,0.436120,-4.686516,px4_default
73756000,0.317690,0.448866,-4.667610,0.450258,0.458168,-4.685849,px4_default
73776000,0.338750,0.478226,-4.664706,0.485275,0.492742,-4.684812,px4_default
73796000,0.360537,0.508433,-4.661797,0.509464,0.516566,-4.684088,px4_default
73816000,0.382896,0.539290,-4.658891,0.546861,0.554283,-4.682907,px4_default
73836000,0.405818,0.570779,-4.655992,0.572523,0.580400,-4.682051,px4_default
73856000,0.429892,0.603508,-4.653135,0.612042,0.621087,-4.680636,px4_default
73876000,0.454632,0.636911,-4.650321,0.639003,0.649227,-4.679599,px4_default
73896000,0.479951,0.670892,-4.647551,0.680287,0.693011,-4.677902,px4_default
73916000,0.505873,0.705455,-4.644832,0.708198,0.723613,-4.676663,px4_default
73936000,0.532548,0.740729,-4.642185,0.750810,0.770941,-4.674662,px4_default
73956000,0.560197,0.776851,-4.639660,0.779587,0.803695,-4.673237,px4_default
73976000,0.588365,0.813400,-4.637208,0.823226,0.854555,-4.671004,px4_default
73996000,0.617117,0.850419,-4.634843,0.852661,0.889402,-4.669463,px4_default
74016000,0.646549,0.887957,-4.632588,0.897090,0.943575,-4.667054,px4_default
74036000,0.676795,0.926075,-4.630479,0.926937,0.980611,-4.665375,px4_default
74056000,0.707693,0.964613,-4.628501,0.971968,1.037493,-4.662730,px4_default
74076000,0.739097,1.003467,-4.626630,1.002017,1.076421,-4.660900,px4_default
74096000,0.771238,1.042730,-4.624929,1.047284,1.135842,-4.658099,px4_default
74116000,0.804115,1.082373,-4.623409,1.077509,1.176206,-4.656244,px4_default
74136000,0.837471,1.122228,-4.622015,1.122910,1.237601,-4.653590,px4_default
74156000,0.871444,1.162344,-4.620786,1.153181,1.279096,-4.651975,px4_default
74176000,0.906173,1.202719,-4.619775,1.198564,1.342021,-4.649877,px4_default
74196000,0.941494,1.243261,-4.618908,1.228832,1.384336,-4.648711,px4_default
74216000,0.977295,1.283909,-4.618136,1.274117,1.448215,-4.647379,px4_default
74236000,1.013532,1.324641,-4.617445,1.304333,1.490938,-4.646789,px4_default
74256000,1.050579,1.365456,-4.616862,1.349689,1.555111,-4.646345,px4_default
74276000,1.088188,1.406247,-4.616381,1.379875,1.597807,-4.646412,px4_default
74296000,1.126261,1.446993,-4.616000,1.425296,1.661636,-4.646965,px4_default
74316000,1.164785,1.487670,-4.615732,1.455644,1.703912,-4.647677,px4_default
74336000,1.203848,1.528238,-4.615615,1.501266,1.766759,-4.649252,px4_default
74356000,1.243726,1.568532,-4.615788,1.531808,1.808285,-4.650577,px4_default
74376000,1.284007,1.608654,-4.616107,1.577666,1.869568,-4.653063,px4_default
74396000,1.324713,1.648585,-4.616578,1.608452,1.909984,-4.654928,px4_default
74416000,1.365917,1.688242,-4.617232,1.654755,1.969310,-4.658107,px4_default
74436000,1.407765,1.727462,-4.618132,1.685794,2.008104,-4.660421,px4_default
74456000,1.450086,1.766299,-4.619212,1.732627,2.065073,-4.664148,px4_default
74476000,1.492764,1.804833,-4.620427,1.763979,2.101971,-4.666813,px4_default
74496000,1.535957,1.842875,-4.621836,1.811374,2.156030,-4.670977,px4_default
74516000,1.579671,1.880368,-4.623443,1.843191,2.191018,-4.673872,px4_default
74536000,1.623735,1.917408,-4.625186,1.891302,2.241779,-4.678362,px4_default
74556000,1.668211,1.953895,-4.627088,1.923649,2.274621,-4.681401,px4_default
74576000,1.713153,1.989685,-4.629167,1.972556,2.321762,-4.686040,px4_default
