timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
74932000,0.015281,0.024348,-4.707306,0.021147,0.019788,-4.705300,px4_default
74952000,0.015278,0.024338,-4.706166,0.021792,0.019211,-4.706878,px4_default
74972000,0.015275,0.024326,-4.705013,0.022903,0.018047,-4.710262,px4_default
74992000,0.015245,0.024215,-4.703447,0.023731,0.017066,-4.713097,px4_default
75012000,0.015188,0.024001,-4.701478,0.025095,0.015224,-4.717979,px4_default
75032000,0.015126,0.023768,-4.699528,0.026127,0.013662,-4.721567,px4_default
75052000,0.014911,0.022951,-4.698147,0.027747,0.010900,-4.727069,px4_default
75072000,0.014685,0.022087,-4.696790,0.028928,0.008625,-4.730803,px4_default
75092000,0.014332,0.020732,-4.695695,0.030754,0.004644,-4.736201,px4_default
75112000,0.013851,0.018871,-4.694865,0.032002,0.001527,-4.739607,px4_default
75132000,0.013348,0.016925,-4.694062,0.033832,-0.003922,-4.744272,px4_default
75152000,0.012520,0.013675,-4.693686,0.035007,-0.008034,-4.747072,px4_default
75172000,0.011658,0.010287,-4.693336,0.036665,-0.015149,-4.750683,px4_default
75192000,0.010587,0.006036,-4.693160,0.037646,-0.020465,-4.752590,px4_default
75212000,0.009300,0.000900,-4.693152,0.038909,-0.029303,-4.754521,px4_default
75232000,0.007966,-0.004437,-4.693167,0.039560,-0.035925,-4.754966,px4_default
75252000,0.006170,-0.011719,-4.693388,0.040342,-0.046685,-4.754458,px4_default
75272000,0.004311,-0.019277,-4.693617,0.040648,-0.054555,-4.753366,px4_default
75292000,0.002172,-0.028042,-4.693886,0.040747,-0.067481,-4.750807,px4_default
75312000,-0.000253,-0.038045,-4.694186,0.040642,-0.076792,-4.748775,px4_default
75332000,-0.002758,-0.048406,-4.694474,0.040024,-0.092097,-4.745390,px4_default
75352000,-0.005828,-0.061267,-4.694683,0.039361,-0.103133,-4.743100,px4_default
75372000,-0.008986,-0.074533,-4.694774,0.037844,-0.121306,-4.739521,px4_default
75392000,-0.012441,-0.089156,-4.694468,0.036565,-0.134382,-4.737203,px4_default
75412000,-0.016193,-0.105150,-4.693738,0.034230,-0.155469,-4.733789,px4_default
75432000,-0.020031,-0.121585,-4.692803,0.032199,-0.170731,-4.731520,px4_default
75452000,-0.024326,-0.140357,-4.690785,0.028932,-0.195041,-4.728252,px4_default
75472000,-0.028707,-0.159659,-4.688650,0.026427,-0.212347,-4.726113,px4_default
75492000,-0.033315,-0.180383,-4.686197,0.022190,-0.239999,-4.722919,px4_default
75512000,-0.038149,-0.202547,-4.683455,0.019251,-0.259406,-4.720782,px4_default
75532000,-0.043055,-0.225294,-4.680676,0.014250,-0.290386,-4.717540,px4_default
75552000,-0.048270,-0.250490,-4.677749,0.010731,-0.312068,-4.715353,px4_default
75572000,-0.053535,-0.276276,-4.674806,0.005241,-0.346122,-4.712046,px4_default
75592000,-0.058912,-0.303370,-4.671829,0.001469,-0.369837,-4.709801,px4_default
75612000,-0.064393,-0.331772,-4.668826,-0.004388,-0.406909,-4.706405,px4_default
75632000,-0.069896,-0.360763,-4.665830,-0.008670,-0.432790,-4.704121,px4_default
75652000,-0.075478,-0.391755,-4.662856,-0.015049,-0.472964,-4.700696,px4_default
75672000,-0.081052,-0.423326,-4.659911,-0.019438,-0.500754,-4.698407,px4_default
75692000,-0.086609,-0.455985,-4.657021,-0.026267,-0.543895,-4.695047,px4_default
75712000,-0.092138,-0.489723,-4.654194,-0.030807,-0.573491,-4.692848,px4_default
75732000,-0.097622,-0.524023,-4.651418,-0.038024,-0.619408,-4.689630,px4_default
75752000,-0.102980,-0.559900,-4.648789,-0.042904,-0.650840,-4.687562,px4_default
75772000,-0.108252,-0.596312,-4.646235,-0.050325,-0.699175,-4.684600,px4_default
75792000,-0.113386,-0.633590,-4.643801,-0.055573,-0.732281,-4.682761,px4_default
75812000,-0.118368,-0.671722,-4.641495,-0.063393,-0.782941,-4.680209,px4_default
75832000,-0.123219,-0.710356,-4.639285,-0.068756,-0.817429,-4.678644,px4_default
75852000,-0.127766,-0.750169,-4.637301,-0.076744,-0.870053,-4.676534,px4_default
75872000,-0.132133,-0.790440,-4.635434,-0.082186,-0.905761,-4.675305,px4_default
75892000,-0.136248,-0.831360,-4.633731,-0.090510,-0.960166,-4.673743,px4_default
75912000,-0.140093,-0.872910,-4.632199,-0.096008,-0.996920,-4.672880,px4_default
75932000,-0.143708,-0.914869,-4.630802,-0.104604,-1.052807,-4.671914,px4_default
75952000,-0.146863,-0.957639,-4.629671,-0.110320,-1.090481,-4.671472,px4_default
75972000,-0.149732,-1.000757,-4.628691,-0.118856,-1.147562,-4.671126,px4_default
75992000,-0.152242,-1.044311,-4.627898,-0.124677,-1.185972,-4.671152,px4_default
76012000,-0.154374,-1.088277,-4.627297,-0.133237,-1.243995,-4.671496,px4_default
76032000,-0.156158,-1.132526,-4.626860,-0.138898,-1.282931,-4.671959,px4_default
76052000,-0.157358,-1.177248,-4.626696,-0.147241,-1.341658,-4.673019,px4_default
76072000,-0.158147,-1.222179,-4.626703,-0.152621,-1.380979,-4.673926,px4_default
76092000,-0.158482,-1.267339,-4.626901,-0.160667,-1.440096,-4.675687,px4_default
76112000,-0.158338,-1.312700,-4.627289,-0.165689,-1.479608,-4.677038,px4_default
76132000,-0.157717,-1.358185,-4.627853,-0.173087,-1.538817,-4.679441,px4_default
76152000,-0.156414,-1.403846,-4.628669,-0.177784,-1.578247,-4.681251,px4_default
76172000,-0.154562,-1.449538,-4.629661,-0.184350,-1.637289,-4.684173,px4_default
76192000,-0.152166,-1.495263,-4.630829,-0.188418,-1.676462,-4.686324,px4_default
76212000,-0.149201,-1.540987,-4.632171,-0.193936,-1.735022,-4.689778,px4_default
76232000,-0.145615,-1.586649,-4.633684,-0.197191,-1.773843,-4.692250,px4_default
76252000,-0.141272,-1.632237,-4.635407,-0.201308,-1.831705,-4.696129,px4_default
76272000,-0.136232,-1.677647,-4.637290,-0.203488,-1.870073,-4.698807,px4_default
76292000,-0.130568,-1.722898,-4.639317,-0.206038,-1.926986,-4.703028,px4_default
76312000,-0.124256,-1.767954,-4.641482,-0.207077,-1.964620,-4.705914,px4_default
76332000,-0.117167,-1.812723,-4.643790,-0.207585,-2.020564,-4.710336,px4_default
76352000,-0.109277,-1.857196,-4.646246,-0.207195,-2.057373,-4.713339,px4_default
76372000,-0.100530,-1.901260,-4.648823,-0.205625,-2.112145,-4.717844,px4_default
76392000,-0.091090,-1.944994,-4.651495,-0.202489,-2.166020,-4.722355,px4_default
76412000,-0.080931,-1.988356,-4.654255,-0.199594,-2.201454,-4.725353,px4_default
76432000,-0.069832,-2.031180,-4.657103,-0.196037,-2.236457,-4.728307,px4_default
76452000,-0.057912,-2.073535,-4.660028,-0.189230,-2.288153,-4.732635,px4_default
76472000,-0.044967,-2.115224,-4.663003,-0.183762,-2.322130,-4.735425,px4_default
76492000,-0.031269,-2.156422,-4.666016,-0.173866,-2.372047,-4.739418,px4_default
76512000,-0.016791,-2.197079,-4.669048,-0.166223,-2.404742,-4.741903,px4_default
76532000,-0.001205,-2.236917,-4.672084,-0.153186,-2.452880,-4.745322,px4_default
76552000,0.015195,-2.276153,-4.675121,-0.143267,-2.484250,-4.747234,px4_default
76572000,0.032790,-2.314429,-4.678105,-0.126882,-2.530429,-4.749431,px4_default
76592000,0.051185,-2.352060,-4.681055,-0.114809,-2.560523,-4.750495,px4_default
76612000,0.070411,-2.388996,-4.683947,-0.094915,-2.604545,-4.751600,px4_default
76632000,0.090917,-2.424818,-4.686722,-0.080548,-2.633184,-4.752079,px4_default
76652000,0.112212,-2.459955,-4.689426,-0.057133,-2.674891,-4.752440,px4_default
76672000,0.134879,-2.493823,-4.691939,-0.040394,-2.701920,-4.752444,px4_default
76692000,0.158386,-2.526914,-4.694335,-0.013249,-2.741029,-4.751944,px4_default
76712000,0.182739,-2.559193,-4.696540,0.006021,-2.766243,-4.751297,px4_default
