timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
72980000,-0.042653,-0.033421,-4.706990,-0.036189,-0.029684,-4.702699,px4_default
73000000,-0.042655,-0.033430,-4.705850,-0.035053,-0.029684,-4.704638,px4_default
73020000,-0.042659,-0.033443,-4.704697,-0.034231,-0.029842,-4.706596,px4_default
73040000,-0.042688,-0.033554,-4.703131,-0.032902,-0.030393,-4.710371,px4_default
73060000,-0.042745,-0.033768,-4.701162,-0.031977,-0.031005,-4.713391,px4_default
73080000,-0.042807,-0.034001,-4.699212,-0.030503,-0.032384,-4.718371,px4_default
73100000,-0.043022,-0.034818,-4.697831,-0.029476,-0.033656,-4.721903,px4_default
73120000,-0.043249,-0.035681,-4.696474,-0.027902,-0.036191,-4.727308,px4_default
73140000,-0.043601,-0.037037,-4.695379,-0.026833,-0.038284,-4.730835,px4_default
73160000,-0.044082,-0.038897,-4.694549,-0.025213,-0.042199,-4.735998,px4_default
73180000,-0.044585,-0.040844,-4.693746,-0.024168,-0.045317,-4.739223,px4_default
73200000,-0.045414,-0.044094,-4.693369,-0.022680,-0.050795,-4.743687,px4_default
73220000,-0.046275,-0.047482,-4.693020,-0.021781,-0.055114,-4.746345,px4_default
73240000,-0.047347,-0.051733,-4.692843,-0.020580,-0.062449,-4.749769,px4_default
73260000,-0.048634,-0.056869,-4.692836,-0.019935,-0.067984,-4.751455,px4_default
73280000,-0.049968,-0.062206,-4.692851,-0.019227,-0.077265,-4.752805,px4_default
73300000,-0.051764,-0.069488,-4.693071,-0.018855,-0.083995,-4.752949,px4_default
73320000,-0.053623,-0.077045,-4.693301,-0.018698,-0.095346,-4.752055,px4_default
73340000,-0.055762,-0.085811,-4.693570,-0.018730,-0.103491,-4.750975,px4_default
73360000,-0.058186,-0.095813,-4.693870,-0.019249,-0.117122,-4.748687,px4_default
73380000,-0.060692,-0.106175,-4.694158,-0.019839,-0.127060,-4.746972,px4_default
73400000,-0.063761,-0.119035,-4.694367,-0.021148,-0.143352,-4.744308,px4_default
73420000,-0.066919,-0.132301,-4.694458,-0.022467,-0.155352,-4.742444,px4_default
73440000,-0.070375,-0.146925,-4.694152,-0.024725,-0.174711,-4.739717,px4_default
73460000,-0.074126,-0.162919,-4.693422,-0.026560,-0.188679,-4.737913,px4_default
73480000,-0.077965,-0.179354,-4.692487,-0.029851,-0.211295,-4.735261,px4_default
