timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
76304000,-0.016784,-0.016899,-4.708040,-0.017169,-0.021999,-4.717244,px4_default
76324000,-0.016780,-0.016892,-4.707553,-0.016733,-0.021753,-4.720117,px4_default
76344000,-0.016744,-0.016840,-4.706959,-0.015782,-0.021090,-4.725271,px4_default
76364000,-0.016670,-0.016732,-4.706292,-0.014900,-0.020423,-4.729313,px4_default
76384000,-0.016518,-0.016510,-4.705686,-0.013131,-0.019011,-4.736048,px4_default
76404000,-0.016215,-0.016069,-4.705374,-0.011665,-0.017794,-4.740788,px4_default
76424000,-0.015670,-0.015275,-4.705329,-0.008861,-0.015465,-4.748183,px4_default
76444000,-0.014949,-0.014225,-4.705448,-0.006628,-0.013577,-4.753123,px4_default
76464000,-0.013963,-0.012789,-4.705766,-0.002714,-0.010210,-4.760404,px4_default
76484000,-0.012644,-0.010872,-4.706290,0.000409,-0.007535,-4.765150,px4_default
76504000,-0.010946,-0.008405,-4.706994,0.005540,-0.002993,-4.771800,px4_default
76524000,-0.008836,-0.005342,-4.707850,0.009456,0.000499,-4.775774,px4_default
76544000,-0.006304,-0.001669,-4.708836,0.015882,0.006326,-4.780659,px4_default
76564000,-0.003220,0.002799,-4.709936,0.020586,0.010634,-4.782956,px4_default
76584000,0.000423,0.008071,-4.711121,0.028212,0.017741,-4.784844,px4_default
76604000,0.004508,0.013977,-4.712346,0.033668,0.022890,-4.785256,px4_default
76624000,0.009242,0.020814,-4.713614,0.042716,0.031463,-4.784665,px4_default
76644000,0.014871,0.028926,-4.714854,0.049286,0.037754,-4.783725,px4_default
76664000,0.021179,0.038004,-4.716046,0.059970,0.048094,-4.781751,px4_default
76684000,0.028057,0.047889,-4.717166,0.067833,0.055792,-4.780007,px4_default
76704000,0.035508,0.058587,-4.718193,0.080602,0.068365,-4.777185,px4_default
76724000,0.044221,0.071066,-4.718539,0.089850,0.077536,-4.775143,px4_default
76744000,0.053527,0.084394,-4.718362,0.104890,0.092541,-4.771962,px4_default
76764000,0.063395,0.098526,-4.717729,0.115670,0.103282,-4.769832,px4_default
76784000,0.073916,0.113603,-4.716655,0.133143,0.120732,-4.766641,px4_default
76804000,0.085318,0.129962,-4.715099,0.145615,0.133094,-4.764552,px4_default
76824000,0.097771,0.147851,-4.713252,0.165870,0.153247,-4.761442,px4_default
76844000,0.110833,0.166618,-4.711257,0.180288,0.167541,-4.759444,px4_default
76864000,0.124635,0.186446,-4.709106,0.203303,0.190226,-4.756506,px4_default
76884000,0.139271,0.207455,-4.706800,0.219674,0.206508,-4.754566,px4_default
76904000,0.154805,0.229714,-4.704349,0.245639,0.232073,-4.751657,px4_default
76924000,0.171127,0.253047,-4.701790,0.263948,0.250093,-4.749695,px4_default
76944000,0.188126,0.277291,-4.699149,0.292900,0.278618,-4.746701,px4_default
76964000,0.205996,0.302682,-4.696421,0.313143,0.298395,-4.744658,px4_default
76984000,0.224713,0.329165,-4.693623,0.345011,0.329937,-4.741479,px4_default
77004000,0.244012,0.356380,-4.690788,0.367181,0.351855,-4.739275,px4_default
77024000,0.264072,0.384545,-4.687911,0.401792,0.386088,-4.735827,px4_default
77044000,0.285132,0.413905,-4.685008,0.425725,0.409837,-4.733419,px4_default
77064000,0.306919,0.444113,-4.682097,0.462871,0.446881,-4.729630,px4_default
77084000,0.329278,0.474969,-4.679192,0.488412,0.472883,-4.726987,px4_default
77104000,0.352200,0.506458,-4.676293,0.527858,0.513170,-4.722866,px4_default
77124000,0.376274,0.539188,-4.673436,0.554864,0.541135,-4.720007,px4_default
77144000,0.401014,0.572591,-4.670623,0.596324,0.584745,-4.715588,px4_default
77164000,0.426333,0.606571,-4.667852,0.624586,0.614728,-4.712579,px4_default
77184000,0.452255,0.641134,-4.665133,0.667744,0.661742,-4.707960,px4_default
77204000,0.478930,0.676409,-4.662487,0.697028,0.694098,-4.704856,px4_default
77224000,0.506579,0.712530,-4.659961,0.741643,0.744157,-4.700229,px4_default
77244000,0.534747,0.749079,-4.657509,0.771734,0.778774,-4.697206,px4_default
77264000,0.563499,0.786099,-4.655144,0.817422,0.832004,-4.692757,px4_default
77284000,0.592931,0.823637,-4.652890,0.848160,0.868512,-4.689880,px4_default
77304000,0.623177,0.861755,-4.650780,0.894653,0.924445,-4.685674,px4_default
77324000,0.654075,0.900292,-4.648803,0.925790,0.962614,-4.682953,px4_default
77344000,0.685479,0.939146,-4.646931,0.972659,1.021060,-4.678973,px4_default
77364000,0.717620,0.978410,-4.645231,1.004038,1.060681,-4.676397,px4_default
77384000,0.750497,1.018053,-4.643711,1.051108,1.121265,-4.672718,px4_default
77404000,0.783853,1.057907,-4.642316,1.082578,1.162217,-4.670421,px4_default
77424000,0.817826,1.098024,-4.641088,1.129862,1.224415,-4.667305,px4_default
77444000,0.852555,1.138398,-4.640076,1.161357,1.266369,-4.665498,px4_default
77464000,0.887876,1.178940,-4.639209,1.208722,1.329742,-4.663231,px4_default
77484000,0.923677,1.219589,-4.638438,1.240321,1.372240,-4.662034,px4_default
77504000,0.959914,1.260321,-4.637746,1.287734,1.436210,-4.660733,px4_default
77524000,0.996961,1.301136,-4.637163,1.319431,1.478929,-4.660168,px4_default
77544000,1.034570,1.341926,-4.636683,1.367036,1.542867,-4.659842,px4_default
77564000,1.072643,1.382673,-4.636301,1.398914,1.585429,-4.659888,px4_default
77584000,1.111167,1.423349,-4.636033,1.446736,1.648822,-4.660470,px4_default
77604000,1.150230,1.463917,-4.635916,1.478711,1.690770,-4.661147,px4_default
77624000,1.190108,1.504211,-4.636090,1.526830,1.753125,-4.662583,px4_default
77644000,1.230389,1.544334,-4.636408,1.558941,1.794098,-4.663847,px4_default
77664000,1.271095,1.584264,-4.636879,1.607333,1.854805,-4.666096,px4_default
77684000,1.312299,1.623921,-4.637534,1.639700,1.894612,-4.667872,px4_default
77704000,1.354147,1.663142,-4.638433,1.688465,1.953201,-4.670916,px4_default
77724000,1.396468,1.701978,-4.639513,1.721170,1.991587,-4.673140,px4_default
77744000,1.439146,1.740513,-4.640728,1.770434,2.047621,-4.676830,px4_default
77764000,1.482339,1.778555,-4.642137,1.803492,2.084096,-4.679460,px4_default
77784000,1.526053,1.816047,-4.643744,1.853407,2.137424,-4.683628,px4_default
77804000,1.570117,1.853087,-4.645487,1.886892,2.171733,-4.686575,px4_default
77824000,1.614593,1.889575,-4.647389,1.937515,2.222045,-4.691110,px4_default
77844000,1.659535,1.925364,-4.649468,1.971474,2.254256,-4.694268,px4_default
77864000,1.704883,1.960492,-4.651696,2.022778,2.301066,-4.699070,px4_default
77884000,1.750571,1.995017,-4.654048,2.057199,2.331071,-4.702325,px4_default
77904000,1.796542,2.028999,-4.656501,2.109165,2.374191,-4.707279,px4_default
77924000,1.842973,2.061979,-4.659121,2.144035,2.401841,-4.710602,px4_default
77944000,1.889759,2.094077,-4.661859,2.196636,2.441105,-4.715643,px4_default
77964000,1.936821,2.125450,-4.664685,2.231920,2.466056,-4.718993,px4_default
77984000,1.984129,2.156147,-4.667587,2.285128,2.501619,-4.723965,px4_default
78004000,2.031711,2.186059,-4.670569,2.320807,2.523817,-4.727206,px4_default
78024000,2.079709,2.214447,-4.673665,2.374605,2.555376,-4.731836,px4_default
78044000,2.127888,2.242079,-4.676800,2.410652,2.575079,-4.734717,px4_default
78064000,2.176245,2.268963,-4.679974,2.464943,2.602662,-4.738707,px4_default
78084000,2.224809,2.294883,-4.683184,2.501280,2.619883,-4.741182,px4_default
78104000,2.273655,2.319328,-4.686431,2.556021,2.643662,-4.744670,px4_default
78124000,2.322680,2.342661,-4.689684,2.592619,2.658313,-4.746854,px4_default
78144000,2.371833,2.365144,-4.692938,2.647704,2.678024,-4.749865,px4_default
78164000,2.421131,2.386400,-4.696177,2.684528,2.689882,-4.751694,px4_default
78184000,2.470564,2.406329,-4.699364,2.739869,2.705744,-4.754163,px4_default
78204000,2.520091,2.425155,-4.702429,2.776853,2.714771,-4.755616,px4_default
78224000,2.569712,2.442796,-4.705355,2.832424,2.726467,-4.757550,px4_default
78244000,2.619427,2.459123,-4.708110,2.869542,2.732857,-4.758667,px4_default
78264000,2.669217,2.474102,-4.710732,2.925289,2.740338,-4.760077,px4_default
78284000,2.719064,2.487831,-4.713248,2.962492,2.744096,-4.760800,px4_default
78304000,2.768956,2.500538,-4.715669,3.018414,2.747373,-4.761522,px4_default
78324000,2.818919,2.511618,-4.717928,3.055732,2.748266,-4.761772,px4_default
78344000,2.868942,2.521113,-4.720016,3.111684,2.747703,-4.761793,px4_default
78364000,2.918998,2.529374,-4.721969,3.149023,2.746047,-4.761576,px4_default
78384000,2.969070,2.536582,-4.723809,3.205076,2.741652,-4.760915,px4_default
78404000,3.019155,2.542659,-4.725529,3.242504,2.737258,-4.760237,px4_default
78424000,3.069245,2.546340,-4.726995,3.298654,2.728915,-4.758945,px4_default
78444000,3.119330,2.548949,-4.728338,3.336145,2.722034,-4.757903,px4_default
78464000,3.169406,2.550509,-4.729558,3.392439,2.709766,-4.756112,px4_default
78484000,3.219456,2.550803,-4.730623,3.429960,2.700426,-4.754808,px4_default
78504000,3.269439,2.549276,-4.731453,3.486339,2.684228,-4.752661,px4_default
78524000,3.319345,2.546223,-4.732085,3.523939,2.672210,-4.751138,px4_default
78544000,3.369194,2.542130,-4.732580,3.580308,2.652394,-4.748729,px4_default
78564000,3.418951,2.536677,-4.732898,3.617936,2.637829,-4.747041,px4_default
78584000,3.468593,2.529741,-4.733031,3.674377,2.614328,-4.744415,px4_default
78604000,3.518109,2.521422,-4.733015,3.712027,2.597474,-4.742614,px4_default
78624000,3.567476,2.511782,-4.732876,3.768408,2.570636,-4.739861,px4_default
78644000,3.616666,2.500825,-4.732634,3.805983,2.551616,-4.737990,px4_default
78664000,3.665642,2.488446,-4.732290,3.862288,2.521428,-4.735154,px4_default
78684000,3.714405,2.474741,-4.731856,3.899748,2.500299,-4.733253,px4_default
78704000,3.762991,2.460031,-4.731359,3.955858,2.466920,-4.730370,px4_default
78724000,3.811318,2.443902,-4.730778,3.993185,2.443686,-4.728437,px4_default
78744000,3.859286,2.426212,-4.730116,4.049019,2.407406,-4.725549,px4_default
78764000,3.906971,2.407363,-4.729399,4.086127,2.382176,-4.723574,px4_default
78784000,3.954421,2.387599,-4.728642,4.141603,2.342967,-4.720641,px4_default
78804000,4.001624,2.366888,-4.727846,4.178456,2.315883,-4.718712,px4_default
78824000,4.048240,2.344136,-4.726980,4.233446,2.273900,-4.715905,px4_default
78844000,4.094539,2.320453,-4.726089,4.269919,2.245066,-4.714084,px4_default
78864000,4.140533,2.295895,-4.725176,4.324245,2.200430,-4.711481,px4_default
78884000,4.186167,2.270343,-4.724242,4.360238,2.169914,-4.709806,px4_default
78904000,4.231285,2.243421,-4.723283,4.413771,2.122935,-4.707423,px4_default
78924000,4.275865,2.215186,-4.722311,4.449162,2.090860,-4.705903,px4_default
78944000,4.320090,2.186141,-4.721334,4.501759,2.041648,-4.703717,px4_default
78964000,4.363858,2.156115,-4.720354,4.536449,2.008123,-4.702355,px4_default
78984000,4.407095,2.125003,-4.719374,4.587965,1.956852,-4.700443,px4_default
79004000,4.449751,2.092766,-4.718400,4.621921,1.922019,-4.699279,px4_default
79024000,4.491879,2.059567,-4.717436,4.672202,1.868852,-4.697707,px4_default
79044000,4.533506,2.025491,-4.716484,4.705312,1.832819,-4.696752,px4_default
79064000,4.574506,1.990370,-4.715549,4.754205,1.777930,-4.695557,px4_default
79084000,4.614871,1.954241,-4.714637,4.786319,1.740810,-4.694872,px4_default
79104000,4.654752,1.917404,-4.713744,4.833740,1.684400,-4.694008,px4_default
79124000,4.694010,1.879681,-4.712875,4.864732,1.646388,-4.693610,px4_default
79144000,4.732402,1.840812,-4.712045,4.910503,1.588602,-4.693101,px4_default
79164000,4.770144,1.801115,-4.711246,4.940339,1.549760,-4.692904,px4_default
79184000,4.807375,1.760792,-4.710474,4.984247,1.490918,-4.692739,px4_default
79204000,4.844068,1.719824,-4.709727,5.012862,1.451353,-4.692747,px4_default
79224000,4.879602,1.677608,-4.709041,5.054819,1.391563,-4.692902,px4_default
