timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
72224000,-0.012285,0.018248,-4.711400,-0.017238,0.016231,-4.718969,px4_default
72244000,-0.012281,0.018254,-4.710914,-0.017186,0.016644,-4.723207,px4_default
72264000,-0.012245,0.018306,-4.710319,-0.016963,0.017131,-4.726694,px4_default
72284000,-0.012171,0.018414,-4.709652,-0.016302,0.018204,-4.732738,px4_default
72304000,-0.012019,0.018636,-4.709046,-0.015627,0.019183,-4.737226,px4_default
72324000,-0.011717,0.019078,-4.708734,-0.014189,0.021121,-4.744427,px4_default
72344000,-0.011171,0.019872,-4.708690,-0.012940,0.022707,-4.749345,px4_default
72364000,-0.010450,0.020922,-4.708808,-0.010554,0.025667,-4.756841,px4_default
72384000,-0.009464,0.022357,-4.709126,-0.008588,0.028001,-4.761744,px4_default
72404000,-0.008145,0.024275,-4.709651,-0.005042,0.032071,-4.768809,px4_default
72424000,-0.006447,0.026742,-4.710354,-0.002248,0.035187,-4.773179,px4_default
72444000,-0.004337,0.029804,-4.711210,0.002495,0.040483,-4.779015,px4_default
72464000,-0.001805,0.033477,-4.712196,0.006175,0.044497,-4.782188,px4_default
72484000,0.001279,0.037945,-4.713296,0.012256,0.051098,-4.785472,px4_default
72504000,0.004921,0.043217,-4.714481,0.016674,0.055961,-4.786669,px4_default
72524000,0.009006,0.049123,-4.715706,0.024048,0.063980,-4.787126,px4_default
72544000,0.013741,0.055960,-4.716974,0.029450,0.069811,-4.786805,px4_default
72564000,0.019370,0.064072,-4.718215,0.038508,0.079606,-4.785518,px4_default
72584000,0.025678,0.073150,-4.719406,0.045110,0.086776,-4.784342,px4_default
72604000,0.032556,0.083035,-4.720526,0.056004,0.098529,-4.782230,px4_default
72624000,0.040007,0.093733,-4.721553,0.064027,0.107253,-4.780579,px4_default
72644000,0.048720,0.106213,-4.721899,0.077093,0.121434,-4.778011,px4_default
72664000,0.058026,0.119541,-4.721723,0.086605,0.131750,-4.776241,px4_default
72684000,0.067894,0.133673,-4.721089,0.102053,0.148362,-4.773625,px4_default
72704000,0.078414,0.148749,-4.720015,0.113208,0.160360,-4.771919,px4_default
72724000,0.089817,0.165109,-4.718460,0.131265,0.179762,-4.769425,px4_default
72744000,0.102269,0.182997,-4.716612,0.144187,0.193452,-4.767775,px4_default
72764000,0.115332,0.201765,-4.714618,0.165098,0.215752,-4.765378,px4_default
72784000,0.129133,0.221592,-4.712467,0.179968,0.231477,-4.763824,px4_default
72804000,0.143770,0.242601,-4.710160,0.203743,0.256329,-4.761505,px4_default
72824000,0.159304,0.264861,-4.707709,0.220630,0.274102,-4.759980,px4_default
72844000,0.175626,0.288194,-4.705151,0.247398,0.301884,-4.757661,px4_default
72864000,0.192624,0.312438,-4.702509,0.266227,0.321391,-4.756066,px4_default
72884000,0.210495,0.337829,-4.699781,0.295921,0.352164,-4.753587,px4_default
72904000,0.229212,0.364312,-4.696983,0.316661,0.373443,-4.751851,px4_default
72924000,0.248511,0.391527,-4.694149,0.349192,0.407304,-4.749140,px4_default
72944000,0.268571,0.419691,-4.691271,0.371778,0.430415,-4.747213,px4_default
72964000,0.289631,0.449052,-4.688368,0.406914,0.467019,-4.744175,px4_default
72984000,0.311418,0.479259,-4.685458,0.431143,0.492359,-4.742028,px4_default
73004000,0.333777,0.510116,-4.682552,0.468635,0.531823,-4.738610,px4_default
73024000,0.356699,0.541605,-4.679654,0.494306,0.559458,-4.736253,px4_default
73044000,0.380773,0.574334,-4.676796,0.533853,0.602216,-4.732549,px4_default
73064000,0.405512,0.607737,-4.673983,0.560818,0.631832,-4.729995,px4_default
73084000,0.430832,0.641717,-4.671213,0.602095,0.677961,-4.726069,px4_default
73104000,0.456754,0.676281,-4.668493,0.630172,0.709646,-4.723382,px4_default
73124000,0.483429,0.711555,-4.665847,0.672868,0.759142,-4.719319,px4_default
73144000,0.511078,0.747676,-4.663321,0.701768,0.793156,-4.716603,px4_default
73164000,0.539245,0.784226,-4.660870,0.745696,0.845699,-4.712591,px4_default
73184000,0.567998,0.821245,-4.658504,0.775238,0.881959,-4.710003,px4_default
73204000,0.597430,0.858783,-4.656250,0.820121,0.937385,-4.706190,px4_default
73224000,0.627676,0.896901,-4.654140,0.850159,0.975432,-4.703729,px4_default
73244000,0.658574,0.935439,-4.652163,0.895530,1.033607,-4.700068,px4_default
73264000,0.689978,0.974293,-4.650291,0.925876,1.073212,-4.697688,px4_default
73284000,0.722118,1.013556,-4.648591,0.971467,1.133688,-4.694281,px4_default
73304000,0.754996,1.053199,-4.647071,1.001994,1.174591,-4.692133,px4_default
73324000,0.788351,1.093054,-4.645677,1.047732,1.236875,-4.689265,px4_default
