timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
50603396,0.000000,0.000000,-4.975000,0.000000,0.000000,-4.970000,px4_default
50623396,0.000004,0.000006,-4.974514,0.000000,0.000000,-4.971000,px4_default
50623409,0.000004,0.000006,-4.974514,0.000000,0.000000,-4.971000,px4_default
50643409,0.000039,0.000058,-4.973919,0.000000,0.000000,-4.972000,px4_default
50663409,0.000113,0.000166,-4.973252,0.000000,0.000000,-4.973000,px4_default
50683409,0.000568,0.000829,-4.972334,0.000000,0.000000,-4.974000,px4_default
50703449,0.001113,0.001624,-4.972290,0.000000,0.000000,-4.976000,px4_default
50723409,0.001113,0.001624,-4.972290,0.000000,0.007526,-4.979000,px4_default
50743410,0.002821,0.004109,-4.972727,0.011119,0.007526,-4.982000,px4_default
50763410,0.002821,0.004109,-4.972727,0.011119,0.007526,-4.984000,px4_default
50783409,0.004140,0.006026,-4.973251,0.011119,0.015053,-4.986000,px4_default
50803409,0.005838,0.008493,-4.973954,0.011119,0.015053,-4.989000,px4_default
50823410,0.007947,0.011556,-4.974811,0.022238,0.022580,-4.991000,px4_default
50843408,0.010480,0.015229,-4.975796,0.022238,0.022580,-4.993000,px4_default
50863410,0.013564,0.019697,-4.976896,0.022238,0.030107,-4.994000,px4_default
50883411,0.017206,0.024969,-4.978082,0.033358,0.037634,-4.995000,px4_default
50923397,0.026026,0.037712,-4.980574,0.044477,0.052687,-4.995000,px4_default
50923410,0.026026,0.037712,-4.980574,0.044477,0.052687,-4.995000,px4_default
50943456,0.031655,0.045824,-4.981815,0.044477,0.060214,-4.995000,px4_default
50963425,0.037963,0.054902,-4.983006,0.055597,0.075268,-4.994000,px4_default
50983410,0.044840,0.064787,-4.984127,0.066716,0.090322,-4.993000,px4_default
51003410,0.052292,0.075485,-4.985154,0.077836,0.090322,-4.992000,px4_default
51023411,0.061004,0.087965,-4.985499,0.088955,0.112902,-4.990000,px4_default
51063404,0.080179,0.115425,-4.984690,0.100075,0.135483,-4.988000,px4_default
51083416,0.090699,0.130501,-4.983615,0.122314,0.158063,-4.985000,px4_default
51103410,0.102102,0.146861,-4.982060,0.133433,0.180644,-4.983000,px4_default
51123411,0.114554,0.164749,-4.980212,0.144553,0.188171,-4.981000,px4_default
51163396,0.141418,0.203344,-4.976067,0.177911,0.240858,-4.975000,px4_default
51183397,0.156054,0.224353,-4.973760,0.189031,0.255912,-4.973000,px4_default
51183411,0.156054,0.224353,-4.973760,0.189031,0.255912,-4.973000,px4_default
51203410,0.171589,0.246613,-4.971309,0.211270,0.286019,-4.970000,px4_default
51223409,0.187911,0.269945,-4.968751,0.244628,0.323654,-4.965000,px4_default
51243410,0.204909,0.294190,-4.966109,0.255748,0.338707,-4.963000,px4_default
51263419,0.241497,0.346064,-4.960584,0.277987,0.368815,-4.959000,px4_default
51283410,0.260796,0.373279,-4.957749,0.289106,0.391395,-4.957000,px4_default
51303419,0.260796,0.373279,-4.957749,0.322465,0.429029,-4.953000,px4_default
51323410,0.280856,0.401443,-4.954872,0.344704,0.466664,-4.948000,px4_default
51343411,0.301916,0.430804,-4.951968,0.366943,0.481717,-4.946000,px4_default
51363409,0.323702,0.461011,-4.949059,0.400301,0.534405,-4.941000,px4_default
51383410,0.346062,0.491868,-4.946153,0.433660,0.572039,-4.937000,px4_default
51403424,0.368984,0.523357,-4.943254,0.444779,0.594620,-4.935000,px4_default
51423410,0.393058,0.556086,-4.940397,0.489257,0.647308,-4.930000,px4_default
51443411,0.417797,0.589489,-4.937583,0.522616,0.692469,-4.926000,px4_default
51483397,0.469039,0.658033,-4.932094,0.578213,0.767737,-4.920000,px4_default
51483410,0.469039,0.658033,-4.932094,0.578213,0.767737,-4.920000,px4_default
51503435,0.523363,0.729428,-4.926922,0.600452,0.790318,-4.919000,px4_default
51523410,0.523363,0.729428,-4.926922,0.633811,0.835479,-4.915000,px4_default
51543411,0.551530,0.765978,-4.924470,0.689408,0.903220,-4.911000,px4_default
51563409,0.580282,0.802997,-4.922105,0.711647,0.925801,-4.910000,px4_default
51603397,0.639960,0.878653,-4.917741,0.811723,1.053757,-4.904000,px4_default
51623396,0.670858,0.917191,-4.915763,0.833962,1.076338,-4.903000,px4_default
51623409,0.670858,0.917191,-4.915763,0.833962,1.076338,-4.903000,px4_default
51643410,0.702262,0.956045,-4.913892,0.889559,1.144079,-4.900000,px4_default
51663416,0.734403,0.995308,-4.912191,0.911798,1.166660,-4.899000,px4_default
51683409,0.767281,1.034952,-4.910671,0.956276,1.226875,-4.897000,px4_default
51723399,0.834610,1.114923,-4.908048,1.034113,1.317197,-4.895000,px4_default
51723412,0.834610,1.114923,-4.908048,1.034113,1.317197,-4.895000,px4_default
51743410,0.869338,1.155297,-4.907037,1.078591,1.369885,-4.894000,px4_default
51763427,0.904660,1.195839,-4.906170,1.134188,1.430099,-4.893000,px4_default
51783410,0.940461,1.236487,-4.905398,1.156427,1.460207,-4.893000,px4_default
51803410,0.976698,1.277219,-4.904707,1.223144,1.520421,-4.893000,px4_default
51823410,1.013746,1.318034,-4.904124,1.278742,1.580636,-4.893000,px4_default
51843411,1.051354,1.358825,-4.903643,1.312100,1.618270,-4.894000,px4_default
51883396,1.127951,1.440248,-4.902994,1.401056,1.708592,-4.896000,px4_default
51883409,1.127951,1.440248,-4.902994,1.401056,1.708592,-4.896000,px4_default
51903411,1.167014,1.480816,-4.902877,1.456654,1.768807,-4.898000,px4_default
51923410,1.247174,1.561232,-4.903368,1.490012,1.798914,-4.899000,px4_default
51943410,1.247174,1.561232,-4.903368,1.556729,1.859129,-4.901000,px4_default
51983396,1.329083,1.640820,-4.904494,1.656805,1.956978,-4.906000,px4_default
51983409,1.329083,1.640820,-4.904494,1.656805,1.956978,-4.906000,px4_default
52003410,1.370931,1.680041,-4.905394,1.712402,2.009666,-4.909000,px4_default
52023409,1.413252,1.718877,-4.906474,1.768000,2.062354,-4.913000,px4_default
52043410,1.455930,1.757412,-4.907689,1.801358,2.092461,-4.915000,px4_default
52063411,1.499123,1.795454,-4.909098,1.868075,2.137622,-4.919000,px4_default
52083409,1.542837,1.832946,-4.910705,1.934792,2.197837,-4.923000,px4_default
52103411,1.586901,1.869986,-4.912448,1.968151,2.227944,-4.926000,px4_default
52123412,1.631377,1.906473,-4.914350,2.045987,2.288159,-4.931000,px4_default
52143410,1.676319,1.942263,-4.916429,2.068226,2.310739,-4.934000,px4_default
52163409,1.721667,1.977391,-4.918657,2.134943,2.355900,-4.939000,px4_default
52183411,1.767355,2.011916,-4.921009,2.201660,2.401061,-4.944000,px4_default
52203409,1.813327,2.045898,-4.923462,2.235018,2.423641,-4.946000,px4_default
52223409,1.859758,2.078878,-4.926082,2.290616,2.468802,-4.952000,px4_default
52243411,1.906543,2.110976,-4.928820,2.357333,2.513963,-4.957000,px4_default
52263409,1.953606,2.142349,-4.931646,2.390692,2.529017,-4.959000,px4_default
52283409,2.000913,2.173046,-4.934547,2.468528,2.574178,-4.966000,px4_default
52303410,2.048496,2.202958,-4.937530,2.535245,2.619339,-4.972000,px4_default
52323409,2.144672,2.258978,-4.943761,2.568604,2.641920,-4.975000,px4_default
52343411,2.144672,2.258978,-4.943761,2.646440,2.687081,-4.981000,px4_default
52363410,2.193029,2.285862,-4.946934,2.690918,2.702134,-4.983000,px4_default
52383410,2.241593,2.311782,-4.950144,2.757635,2.732242,-4.988000,px4_default
52403411,2.290439,2.336227,-4.953392,2.813232,2.769876,-4.993000,px4_default
52423410,2.339464,2.359560,-4.956645,2.857710,2.784930,-4.995000,px4_default
52443410,2.388617,2.382043,-4.959899,2.924427,2.815037,-5.000000,px4_default
52463404,2.437915,2.403299,-4.963138,2.968905,2.830090,-5.002000,px4_default
52483409,2.487349,2.423228,-4.966324,3.035622,2.860198,-5.006000,px4_default
52503410,2.536875,2.442054,-4.969390,3.113459,2.882778,-5.010000,px4_default
52523409,2.586496,2.459694,-4.972316,3.135698,2.890305,-5.011000,px4_default
52543410,2.636211,2.476022,-4.975071,3.213534,2.912885,-5.015000,px4_default
52563410,2.686001,2.491001,-4.977693,3.280251,2.927939,-5.017000,px4_default
52583410,2.735848,2.504730,-4.980208,3.313610,2.935466,-5.019000,px4_default
52603409,2.785740,2.517437,-4.982630,3.380327,2.950520,-5.021000,px4_default
52623411,2.835703,2.528517,-4.984889,3.458163,2.958046,-5.023000,px4_default
52643410,2.885726,2.538012,-4.986976,3.491521,2.965573,-5.023000,px4_default
52683412,2.985855,2.553480,-4.990769,3.591597,2.973100,-5.025000,px4_default
52703406,3.035939,2.559557,-4.992489,3.647194,2.980627,-5.025000,px4_default
52723408,3.086029,2.563239,-4.993956,3.713911,2.980627,-5.026000,px4_default
52743410,3.136114,2.565848,-4.995298,3.747270,2.980627,-5.026000,px4_default
52763416,3.186191,2.567408,-4.996519,3.813987,2.973100,-5.026000,px4_default
52783409,3.236240,2.567702,-4.997584,3.880704,2.965573,-5.025000,px4_default
52803409,3.286223,2.566175,-4.998414,3.914062,2.965573,-5.025000,px4_default
52823409,3.385978,2.559029,-4.999541,3.980779,2.958046,-5.024000,px4_default
52843410,3.385978,2.559029,-4.999541,4.036376,2.942992,-5.023000,px4_default
