timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
50702393,0.000000,0.000000,-4.971000,0.000000,0.000000,-4.966000,px4_default
50702406,0.000000,0.000000,-4.971000,0.000000,0.000000,-4.966000,px4_default
50722406,0.000004,0.000006,-4.970514,0.000000,0.000000,-4.967000,px4_default
50742411,0.000039,0.000058,-4.969919,0.000000,0.000000,-4.968000,px4_default
50762407,0.000113,0.000166,-4.969252,0.000000,0.000000,-4.968000,px4_default
50782404,0.000266,0.000388,-4.968646,0.000000,0.000000,-4.969000,px4_default
50802409,0.000568,0.000829,-4.968334,0.000000,0.000000,-4.969000,px4_default
50822407,0.001113,0.001624,-4.968290,0.000000,0.007526,-4.973000,px4_default
50842406,0.001835,0.002674,-4.968408,0.000000,0.007526,-4.975000,px4_default
50862448,0.002821,0.004109,-4.968727,0.011119,0.007526,-4.977000,px4_default
50882404,0.004140,0.006026,-4.969251,0.011119,0.007526,-4.980000,px4_default
50902412,0.005838,0.008493,-4.969954,0.011119,0.015053,-4.983000,px4_default
50922450,0.007947,0.011556,-4.970810,0.011119,0.015053,-4.984000,px4_default
50942424,0.013564,0.019697,-4.972896,0.011119,0.022580,-4.987000,px4_default
50962407,0.013564,0.019697,-4.972896,0.022238,0.022580,-4.988000,px4_default
50982414,0.017206,0.024969,-4.974082,0.022238,0.030107,-4.989000,px4_default
51002421,0.026026,0.037712,-4.976574,0.033358,0.037634,-4.989000,px4_default
51022416,0.031655,0.045824,-4.977815,0.033358,0.037634,-4.989000,px4_default
51042400,0.031655,0.045824,-4.977815,0.033358,0.045161,-4.989000,px4_default
51062459,0.044840,0.064787,-4.980126,0.044477,0.052687,-4.989000,px4_default
51082407,0.044840,0.064787,-4.980126,0.055597,0.067741,-4.989000,px4_default
51102454,0.061004,0.087965,-4.981499,0.055597,0.075268,-4.988000,px4_default
51142428,0.080179,0.115425,-4.980690,0.077836,0.097848,-4.986000,px4_default
51162406,0.080179,0.115425,-4.980690,0.088955,0.105375,-4.986000,px4_default
51182446,0.102102,0.146861,-4.978060,0.100075,0.127956,-4.984000,px4_default
51222453,0.127616,0.183517,-4.974218,0.122314,0.158063,-4.981000,px4_default
51242409,0.141418,0.203344,-4.972067,0.133433,0.180644,-4.979000,px4_default
51282392,0.156054,0.224353,-4.969760,0.166792,0.210751,-4.975000,px4_default
51282407,0.156054,0.224353,-4.969760,0.166792,0.210751,-4.975000,px4_default
51322392,0.187911,0.269945,-4.964751,0.200150,0.255912,-4.970000,px4_default
51322405,0.187911,0.269945,-4.964751,0.200150,0.255912,-4.970000,px4_default
51362392,0.222780,0.319581,-4.959382,0.244628,0.316127,-4.963000,px4_default
51362406,0.222780,0.319581,-4.959382,0.244628,0.316127,-4.963000,px4_default
51402392,0.260796,0.373279,-4.953749,0.277987,0.361288,-4.957000,px4_default
51422392,0.280856,0.401443,-4.950871,0.300226,0.398922,-4.953000,px4_default
51442436,0.323702,0.461011,-4.945058,0.311345,0.413976,-4.951000,px4_default
51482392,0.346062,0.491868,-4.942153,0.378062,0.489244,-4.943000,px4_default
51482406,0.346062,0.491868,-4.942153,0.378062,0.489244,-4.943000,px4_default
51502406,0.368984,0.523357,-4.939254,0.389182,0.511825,-4.941000,px4_default
51522405,0.393058,0.556086,-4.936397,0.422540,0.556986,-4.937000,px4_default
