timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
73272000,0.002369,-0.007725,-4.709683,0.000793,-0.004690,-4.700472,px4_default
73292000,0.002373,-0.007719,-4.709197,0.001020,-0.004112,-4.699538,px4_default
73312000,0.002409,-0.007667,-4.708602,0.001588,-0.003008,-4.698275,px4_default
73332000,0.002483,-0.007559,-4.707935,0.002148,-0.002071,-4.697527,px4_default
73352000,0.002635,-0.007336,-4.707329,0.003324,-0.000290,-4.696551,px4_default
73372000,0.002938,-0.006895,-4.707017,0.004354,0.001152,-4.696027,px4_default
73392000,0.003483,-0.006101,-4.706973,0.006418,0.003863,-4.695548,px4_default
73412000,0.004204,-0.005051,-4.707091,0.008134,0.006028,-4.695479,px4_default
73432000,0.005190,-0.003616,-4.707409,0.011326,0.009877,-4.695872,px4_default
73452000,0.006509,-0.001698,-4.707933,0.014006,0.012970,-4.696610,px4_default
73472000,0.008207,0.000769,-4.708637,0.018633,0.018251,-4.698373,px4_default
73492000,0.010317,0.003831,-4.709493,0.022286,0.022385,-4.699869,px4_default
73512000,0.012849,0.007504,-4.710479,0.028464,0.029302,-4.701938,px4_default
73532000,0.015933,0.011972,-4.711579,0.033093,0.034430,-4.702943,px4_default
73552000,0.019575,0.017244,-4.712764,0.040750,0.042944,-4.703755,px4_default
73572000,0.023660,0.023150,-4.713989,0.046312,0.049109,-4.703890,px4_default
73592000,0.028395,0.029987,-4.715257,0.055691,0.059345,-4.703667,px4_default
73612000,0.034024,0.038100,-4.716497,0.062495,0.066793,-4.703291,px4_default
73632000,0.040332,0.047178,-4.717689,0.073614,0.078901,-4.702482,px4_default
73652000,0.047210,0.057062,-4.718809,0.081805,0.087759,-4.701707,px4_default
73672000,0.054661,0.067760,-4.719836,0.095086,0.101996,-4.700388,px4_default
73692000,0.063374,0.080240,-4.720182,0.104649,0.112250,-4.699381,px4_default
73712000,0.072680,0.093568,-4.720006,0.120224,0.128755,-4.697695,px4_default
73732000,0.082548,0.107700,-4.719372,0.131366,0.140394,-4.696548,px4_default
73752000,0.093068,0.122776,-4.718298,0.149337,0.159044,-4.694831,px4_default
73772000,0.104471,0.139136,-4.716743,0.162127,0.172102,-4.693670,px4_default
73792000,0.116923,0.157024,-4.714895,0.182797,0.193099,-4.691979,px4_default
73812000,0.129986,0.175792,-4.712901,0.197480,0.207832,-4.690930,px4_default
73832000,0.143787,0.195619,-4.710750,0.220874,0.231001,-4.689499,px4_default
73852000,0.158424,0.216629,-4.708443,0.237468,0.247459,-4.688663,px4_default
73872000,0.173958,0.238888,-4.705992,0.263737,0.273086,-4.687605,px4_default
73892000,0.190280,0.262221,-4.703434,0.282191,0.290996,-4.687059,px4_default
73912000,0.207278,0.286465,-4.700792,0.311303,0.319112,-4.686445,px4_default
73932000,0.225149,0.311856,-4.698064,0.331665,0.338475,-4.686153,px4_default
73952000,0.243866,0.338339,-4.695266,0.363612,0.369181,-4.685939,px4_default
73972000,0.263165,0.365554,-4.692431,0.385828,0.390451,-4.685870,px4_default
73992000,0.283225,0.393719,-4.689554,0.420497,0.423588,-4.685844,px4_default
74012000,0.304285,0.423079,-4.686651,0.444465,0.446532,-4.685879,px4_default
74032000,0.326072,0.453286,-4.683741,0.481652,0.482266,-4.685933,px4_default
74052000,0.348431,0.484143,-4.680835,0.507156,0.507361,-4.685960,px4_default
74072000,0.371353,0.515632,-4.677937,0.546540,0.546192,-4.685895,px4_default
74092000,0.395427,0.548361,-4.675079,0.573459,0.573159,-4.685782,px4_default
74112000,0.420166,0.581764,-4.672266,0.614722,0.615251,-4.685488,px4_default
74132000,0.445486,0.615745,-4.669496,0.642840,0.644189,-4.685175,px4_default
74152000,0.471408,0.650308,-4.666776,0.685600,0.689707,-4.684572,px4_default
74172000,0.498083,0.685582,-4.664130,0.714567,0.721062,-4.684072,px4_default
74192000,0.525732,0.721704,-4.661604,0.758619,0.769642,-4.683165,px4_default
74212000,0.553899,0.758253,-4.659153,0.788212,0.803355,-4.682462,px4_default
74232000,0.582652,0.795272,-4.656787,0.833103,0.855256,-4.681291,px4_default
74252000,0.612084,0.832810,-4.654533,0.863236,0.890917,-4.680408,px4_default
74272000,0.642330,0.870928,-4.652423,0.908772,0.945663,-4.678930,px4_default
74292000,0.673228,0.909466,-4.650446,0.939218,0.983135,-4.677823,px4_default
74312000,0.704632,0.948320,-4.648574,0.984926,1.040672,-4.675951,px4_default
74332000,0.736772,0.987583,-4.646874,1.015490,1.079752,-4.674614,px4_default
74352000,0.769650,1.027226,-4.645354,1.061140,1.139684,-4.672596,px4_default
74372000,0.803006,1.067081,-4.643960,1.091572,1.180269,-4.671292,px4_default
74392000,0.836979,1.107198,-4.642731,1.137152,1.242027,-4.669519,px4_default
74412000,0.871708,1.147572,-4.641719,1.167422,1.283765,-4.668540,px4_default
74432000,0.907029,1.188114,-4.640852,1.212872,1.346912,-4.667405,px4_default
74452000,0.942830,1.228762,-4.640081,1.243108,1.389348,-4.666911,px4_default
74472000,0.979067,1.269494,-4.639390,1.288428,1.453318,-4.666601,px4_default
74492000,1.016114,1.310309,-4.638806,1.318687,1.496082,-4.666658,px4_default
74512000,1.053723,1.351100,-4.638326,1.364015,1.560190,-4.667268,px4_default
74532000,1.091796,1.391846,-4.637944,1.394315,1.602894,-4.667913,px4_default
74552000,1.130320,1.432523,-4.637676,1.439766,1.666564,-4.669439,px4_default
74572000,1.169383,1.473091,-4.637559,1.470146,1.708699,-4.670741,px4_default
74592000,1.209261,1.513385,-4.637733,1.515852,1.771327,-4.673110,px4_default
74612000,1.249542,1.553507,-4.638051,1.546356,1.812449,-4.675008,px4_default
