timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
75156000,0.040291,0.058531,-4.702827,0.037423,0.055887,-4.690160,px4_default
75176000,0.040296,0.058538,-4.702341,0.037664,0.055966,-4.688296,px4_default
75196000,0.040331,0.058590,-4.701746,0.038013,0.056168,-4.687119,px4_default
75216000,0.040405,0.058698,-4.701079,0.038846,0.056739,-4.685485,px4_default
75236000,0.040558,0.058920,-4.700473,0.039686,0.057357,-4.684515,px4_default
75256000,0.040860,0.059361,-4.700161,0.041387,0.058703,-4.683274,px4_default
75276000,0.041405,0.060155,-4.700117,0.042850,0.059927,-4.682642,px4_default
75296000,0.042126,0.061206,-4.700235,0.045635,0.062350,-4.682105,px4_default
75316000,0.043113,0.062641,-4.700554,0.047888,0.064364,-4.682096,px4_default
75336000,0.044432,0.064558,-4.701078,0.052023,0.068148,-4.682860,px4_default
75356000,0.046130,0.067025,-4.701781,0.055239,0.071169,-4.683864,px4_default
75376000,0.048239,0.070088,-4.702638,0.060806,0.076477,-4.685837,px4_default
75396000,0.050772,0.073761,-4.703623,0.065099,0.080588,-4.687165,px4_default
75416000,0.053855,0.078229,-4.704723,0.072127,0.087439,-4.688455,px4_default
75436000,0.057498,0.083501,-4.705909,0.077308,0.092517,-4.688878,px4_default
75456000,0.061583,0.089407,-4.707134,0.085789,0.100868,-4.688940,px4_default
75476000,0.066317,0.096244,-4.708401,0.092024,0.107013,-4.688741,px4_default
75496000,0.071947,0.104356,-4.709642,0.102210,0.117131,-4.688179,px4_default
75516000,0.078255,0.113434,-4.710834,0.109596,0.124463,-4.687715,px4_default
75536000,0.085132,0.123319,-4.711954,0.121825,0.136595,-4.686841,px4_default
75556000,0.092583,0.134017,-4.712981,0.130612,0.145364,-4.686198,px4_default
75576000,0.101296,0.146496,-4.713326,0.144887,0.159565,-4.685197,px4_default
75596000,0.110603,0.159824,-4.713150,0.155290,0.169934,-4.684539,px4_default
75616000,0.120470,0.173956,-4.712517,0.172000,0.186536,-4.683591,px4_default
75636000,0.130991,0.189033,-4.711442,0.183986,0.198401,-4.683015,px4_default
75656000,0.142393,0.205392,-4.709887,0.203298,0.217476,-4.682256,px4_default
75676000,0.154846,0.223281,-4.708039,0.217008,0.230890,-4.681819,px4_default
75696000,0.167908,0.242049,-4.706045,0.239029,0.252580,-4.681324,px4_default
75716000,0.181710,0.261876,-4.703894,0.254543,0.267526,-4.681078,px4_default
75736000,0.196346,0.282885,-4.701587,0.279302,0.291647,-4.680883,px4_default
75756000,0.211881,0.305144,-4.699136,0.296724,0.308555,-4.680863,px4_default
75776000,0.228203,0.328477,-4.696578,0.324232,0.335087,-4.680978,px4_default
75796000,0.245201,0.352721,-4.693936,0.343525,0.353961,-4.681119,px4_default
75816000,0.263072,0.378112,-4.691209,0.373843,0.383352,-4.681409,px4_default
75836000,0.281789,0.404595,-4.688411,0.394967,0.403883,-4.681621,px4_default
75856000,0.301088,0.431810,-4.685576,0.428013,0.436164,-4.681962,px4_default
75876000,0.321148,0.459975,-4.682699,0.450933,0.458417,-4.682184,px4_default
75896000,0.342208,0.489335,-4.679795,0.486576,0.493725,-4.682534,px4_default
75916000,0.363994,0.519543,-4.676886,0.511173,0.518180,-4.682739,px4_default
75936000,0.386354,0.550399,-4.673980,0.549270,0.556267,-4.682969,px4_default
