timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
74476000,0.023532,0.009429,-4.698567,0.025658,0.013512,-4.682803,px4_default
74496000,0.023537,0.009435,-4.698081,0.026345,0.014402,-4.680482,px4_default
74516000,0.023572,0.009487,-4.697486,0.026972,0.015152,-4.679016,px4_default
74536000,0.023646,0.009595,-4.696819,0.028200,0.016543,-4.676980,px4_default
74556000,0.023799,0.009818,-4.696213,0.029261,0.017681,-4.675735,px4_default
74576000,0.024101,0.010259,-4.695901,0.031286,0.019773,-4.674017,px4_default
74596000,0.024646,0.011053,-4.695857,0.032925,0.021433,-4.672985,px4_default
74616000,0.025367,0.012103,-4.695975,0.035998,0.024438,-4.671699,px4_default
74636000,0.026354,0.013538,-4.696294,0.038438,0.026812,-4.671078,px4_default
74656000,0.027673,0.015456,-4.696818,0.042731,0.030985,-4.670658,px4_default
74676000,0.029371,0.017923,-4.697521,0.046172,0.034304,-4.670849,px4_default
74696000,0.031480,0.020985,-4.698378,0.052052,0.040056,-4.671823,px4_default
74716000,0.034013,0.024658,-4.699363,0.056467,0.044448,-4.672625,px4_default
74736000,0.037096,0.029126,-4.700463,0.063869,0.051846,-4.673399,px4_default
74756000,0.040739,0.034398,-4.701649,0.069246,0.057251,-4.673522,px4_default
74776000,0.044824,0.040304,-4.702874,0.078188,0.066341,-4.673254,px4_default
74796000,0.049559,0.047141,-4.704141,0.084566,0.072852,-4.672816,px4_default
74816000,0.055188,0.055254,-4.705382,0.095208,0.083726,-4.671946,px4_default
74836000,0.061496,0.064332,-4.706573,0.102918,0.091619,-4.671288,px4_default
74856000,0.068373,0.074216,-4.707694,0.115369,0.104436,-4.670238,px4_default
74876000,0.075824,0.084914,-4.708721,0.124430,0.113797,-4.669466,px4_default
74896000,0.084537,0.097394,-4.709066,0.139031,0.128832,-4.668297,px4_default
74916000,0.093844,0.110722,-4.708890,0.149507,0.139630,-4.667501,px4_default
74936000,0.103711,0.124854,-4.708257,0.166426,0.157057,-4.666403,px4_default
74956000,0.114232,0.139930,-4.707182,0.178479,0.169358,-4.665717,px4_default
74976000,0.125634,0.156290,-4.705627,0.197947,0.189330,-4.664824,px4_default
74996000,0.138087,0.174178,-4.703779,0.211754,0.203426,-4.664308,px4_default
75016000,0.151149,0.192946,-4.701785,0.233770,0.225733,-4.663662,px4_default
75036000,0.164951,0.212774,-4.699634,0.249350,0.241708,-4.663337,px4_default
75056000,0.179587,0.233783,-4.697327,0.273973,0.266361,-4.663066,px4_default
75076000,0.195122,0.256042,-4.694876,0.291250,0.283913,-4.662992,px4_default
75096000,0.211444,0.279375,-4.692318,0.318492,0.311284,-4.663043,px4_default
75116000,0.228442,0.303619,-4.689676,0.337531,0.330474,-4.663194,px4_default
75136000,0.246313,0.329010,-4.686949,0.367357,0.360685,-4.663568,px4_default
75156000,0.265030,0.355493,-4.684151,0.388129,0.381525,-4.663890,px4_default
75176000,0.284329,0.382708,-4.681316,0.420465,0.414664,-4.664533,px4_default
75196000,0.304389,0.410873,-4.678439,0.442844,0.437638,-4.665005,px4_default
75216000,0.325449,0.440233,-4.675535,0.477603,0.473450,-4.665729,px4_default
75236000,0.347235,0.470440,-4.672626,0.501467,0.498680,-4.666209,px4_default
75256000,0.369595,0.501297,-4.669720,0.538375,0.537733,-4.666862,px4_default
75276000,0.392517,0.532786,-4.666821,0.563625,0.564888,-4.667246,px4_default
75296000,0.416591,0.565515,-4.663964,0.602371,0.607339,-4.667770,px4_default
75316000,0.441330,0.598918,-4.661150,0.628811,0.636522,-4.668028,px4_default
75336000,0.466649,0.632899,-4.658380,0.669146,0.682053,-4.668265,px4_default
75356000,0.492571,0.667462,-4.655661,0.696534,0.713320,-4.668294,px4_default
75376000,0.519247,0.702736,-4.653014,0.737992,0.762365,-4.668189,px4_default
75396000,0.546896,0.738858,-4.650489,0.765976,0.796083,-4.668013,px4_default
75416000,0.575063,0.775407,-4.648037,0.808384,0.848207,-4.667650,px4_default
75436000,0.603815,0.812426,-4.645672,0.836735,0.884298,-4.667340,px4_default
75456000,0.633247,0.849964,-4.643417,0.879625,0.939727,-4.666752,px4_default
75476000,0.663493,0.888082,-4.641308,0.908311,0.977728,-4.666258,px4_default
75496000,0.694391,0.926620,-4.639330,0.951413,1.036168,-4.665341,px4_default
75516000,0.725795,0.965474,-4.637459,0.980257,1.075879,-4.664616,px4_default
75536000,0.757936,1.004737,-4.635758,1.023367,1.136963,-4.663439,px4_default
75556000,0.790813,1.044380,-4.634238,1.052130,1.178369,-4.662629,px4_default
75576000,0.824169,1.084235,-4.632844,1.095273,1.241427,-4.661454,px4_default
75596000,0.858142,1.124352,-4.631615,1.138376,1.305431,-4.660441,px4_default
75616000,0.892871,1.164726,-4.630604,1.167106,1.348517,-4.659930,px4_default
75636000,0.928193,1.205268,-4.629737,1.195681,1.391982,-4.659626,px4_default
75656000,0.963993,1.245916,-4.628965,1.238626,1.457508,-4.659540,px4_default
75676000,1.000230,1.286648,-4.628274,1.267254,1.501366,-4.659753,px4_default
75696000,1.037278,1.327463,-4.627691,1.310186,1.567235,-4.660523,px4_default
75716000,1.074886,1.368254,-4.627210,1.338896,1.611111,-4.661308,px4_default
75736000,1.112959,1.409000,-4.626829,1.382031,1.676636,-4.663025,px4_default
75756000,1.151483,1.449677,-4.626561,1.410898,1.720049,-4.664459,px4_default
75776000,1.190546,1.490245,-4.626444,1.454391,1.784647,-4.667083,px4_default
75796000,1.230424,1.530539,-4.626617,1.483518,1.827147,-4.669189,px4_default
75816000,1.270706,1.570661,-4.626935,1.527521,1.890144,-4.672696,px4_default
75836000,1.311411,1.610592,-4.627407,1.557063,1.931496,-4.675303,px4_default
75856000,1.352615,1.650249,-4.628061,1.601736,1.992547,-4.679493,px4_default
75876000,1.394464,1.689469,-4.628961,1.631757,2.032432,-4.682504,px4_default
75896000,1.436785,1.728306,-4.630041,1.677172,2.090884,-4.687290,px4_default
75916000,1.479463,1.766840,-4.631256,1.707741,2.129017,-4.690599,px4_default
75936000,1.522656,1.804883,-4.632665,1.754016,2.184419,-4.695840,px4_default
75956000,1.566369,1.842375,-4.634272,1.785182,2.220308,-4.699414,px4_default
75976000,1.610434,1.879415,-4.636015,1.832408,2.272515,-4.704879,px4_default
75996000,1.654909,1.915902,-4.637917,1.864229,2.305910,-4.708621,px4_default
76016000,1.699852,1.951692,-4.639996,1.912464,2.354370,-4.714231,px4_default
76036000,1.745199,1.986820,-4.642224,1.944954,2.385376,-4.717992,px4_default
76056000,1.790888,2.021345,-4.644576,1.994200,2.429878,-4.723630,px4_default
76076000,1.836859,2.055327,-4.647029,2.027358,2.458375,-4.727335,px4_default
76096000,1.883290,2.088307,-4.649649,2.077618,2.498790,-4.732881,px4_default
76116000,1.930075,2.120405,-4.652387,2.111420,2.524704,-4.736491,px4_default
76136000,1.977138,2.151778,-4.655213,2.162590,2.561185,-4.741815,px4_default
76156000,2.024445,2.182475,-4.658114,2.196980,2.584181,-4.745259,px4_default
76176000,2.072028,2.212387,-4.661097,2.248944,2.616671,-4.750241,px4_default
76196000,2.120025,2.240774,-4.664192,2.283834,2.636746,-4.753372,px4_default
76216000,2.168205,2.268407,-4.667328,2.336494,2.665068,-4.757630,px4_default
76236000,2.216562,2.295291,-4.670501,2.371811,2.682582,-4.760178,px4_default
76256000,2.265126,2.321211,-4.673711,2.425084,2.706742,-4.763645,px4_default
76276000,2.313972,2.345656,-4.676959,2.460784,2.721605,-4.765769,px4_default
76296000,2.362996,2.368989,-4.680212,2.514646,2.741505,-4.768638,px4_default
76316000,2.412149,2.391472,-4.683466,2.550698,2.753440,-4.770366,px4_default
76336000,2.461447,2.412728,-4.686705,2.604973,2.769350,-4.772663,px4_default
76356000,2.510881,2.432657,-4.689891,2.641318,2.778369,-4.773958,px4_default
76376000,2.560407,2.451483,-4.692957,2.695957,2.790285,-4.775596,px4_default
76396000,2.610029,2.469123,-4.695883,2.732481,2.796651,-4.776483,px4_default
76416000,2.659744,2.485451,-4.698638,2.787412,2.804324,-4.777554,px4_default
76436000,2.709533,2.500430,-4.701260,2.824133,2.808022,-4.778068,px4_default
76456000,2.759380,2.514159,-4.703775,2.879334,2.811517,-4.778562,px4_default
76476000,2.809273,2.526865,-4.706197,2.916199,2.812641,-4.778703,px4_default
76496000,2.859235,2.537946,-4.708456,2.971661,2.812084,-4.778554,px4_default
76516000,2.909258,2.547441,-4.710543,3.008725,2.810460,-4.778256,px4_default
76536000,2.959315,2.555701,-4.712496,3.064386,2.806169,-4.777504,px4_default
76556000,3.009387,2.562909,-4.714336,3.101640,2.801851,-4.776757,px4_default
76576000,3.059471,2.568986,-4.716056,3.157613,2.793668,-4.775353,px4_default
76596000,3.109562,2.572668,-4.717523,3.195007,2.786954,-4.774231,px4_default
76616000,3.159647,2.575277,-4.718865,3.251214,2.775007,-4.772303,px4_default
76636000,3.209723,2.576837,-4.720086,3.288739,2.765913,-4.770905,px4_default
76656000,3.259773,2.577131,-4.721151,3.345132,2.750448,-4.768627,px4_default
76676000,3.309755,2.575604,-4.721981,3.382748,2.739042,-4.767015,px4_default
76696000,3.359662,2.572551,-4.722612,3.439345,2.720014,-4.764479,px4_default
76716000,3.409511,2.568458,-4.723108,3.477140,2.706220,-4.762722,px4_default
76736000,3.459267,2.563005,-4.723426,3.533883,2.683897,-4.760001,px4_default
76756000,3.508909,2.556068,-4.723559,3.571817,2.667812,-4.758142,px4_default
76776000,3.558425,2.547750,-4.723543,3.628750,2.642153,-4.755311,px4_default
76796000,3.607792,2.538110,-4.723404,3.666761,2.623950,-4.753400,px4_default
76816000,3.656982,2.527153,-4.723162,3.723828,2.595088,-4.750538,px4_default
76836000,3.705959,2.514774,-4.722817,3.761874,2.574885,-4.748624,px4_default
76856000,3.754721,2.501069,-4.722384,3.819082,2.542994,-4.745769,px4_default
