timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
72996000,-0.002118,-0.027891,-4.719797,-0.000489,-0.018316,-4.709808,px4_default
73016000,-0.002114,-0.027885,-4.719311,-0.000110,-0.017091,-4.708976,px4_default
73036000,-0.002078,-0.027833,-4.718716,0.000677,-0.014981,-4.707851,px4_default
73056000,-0.002004,-0.027725,-4.718049,0.001366,-0.013301,-4.707175,px4_default
73076000,-0.001852,-0.027503,-4.717443,0.002731,-0.010448,-4.706303,px4_default
73096000,-0.001550,-0.027062,-4.717131,0.003914,-0.008247,-4.705852,px4_default
73116000,-0.001005,-0.026267,-4.717087,0.006210,-0.004432,-4.705495,px4_default
73136000,-0.000283,-0.025217,-4.717205,0.008089,-0.001561,-4.705563,px4_default
73156000,0.000703,-0.023782,-4.717524,0.011574,0.003463,-4.706289,px4_default
73176000,0.002022,-0.021865,-4.718048,0.014369,0.007274,-4.707249,px4_default
73196000,0.003720,-0.019398,-4.718751,0.019300,0.013732,-4.709375,px4_default
73216000,0.005830,-0.016335,-4.719607,0.023051,0.018524,-4.711052,px4_default
73236000,0.008362,-0.012662,-4.720593,0.029376,0.026398,-4.713235,px4_default
73256000,0.011446,-0.008194,-4.721693,0.034168,0.032207,-4.714265,px4_default
73276000,0.015088,-0.002922,-4.722878,0.041992,0.041550,-4.715018,px4_default
73296000,0.019173,0.002984,-4.724103,0.047739,0.048285,-4.715106,px4_default
73316000,0.023908,0.009821,-4.725371,0.057294,0.059252,-4.714725,px4_default
73336000,0.029537,0.017933,-4.726612,0.064223,0.067093,-4.714264,px4_default
73356000,0.035845,0.027011,-4.727803,0.075686,0.079967,-4.713215,px4_default
73376000,0.042722,0.036896,-4.728923,0.083990,0.089168,-4.712369,px4_default
73396000,0.050174,0.047594,-4.729950,0.097488,0.103935,-4.710926,px4_default
73416000,0.058886,0.060074,-4.730296,0.112448,0.120148,-4.709301,px4_default
73436000,0.068193,0.073401,-4.730120,0.123174,0.131630,-4.708171,px4_default
73456000,0.078061,0.087534,-4.729486,0.134554,0.143706,-4.707013,px4_default
73476000,0.088581,0.102610,-4.728412,0.152777,0.162786,-4.705305,px4_default
73496000,0.099984,0.118970,-4.726857,0.165790,0.176249,-4.704206,px4_default
73516000,0.112436,0.136858,-4.725009,0.186666,0.197670,-4.702672,px4_default
73536000,0.125499,0.155626,-4.723015,0.201441,0.212584,-4.701731,px4_default
73556000,0.139300,0.175453,-4.720864,0.225087,0.236487,-4.700470,px4_default
73576000,0.153937,0.196462,-4.718557,0.241759,0.253149,-4.699753,px4_default
73596000,0.169471,0.218722,-4.716106,0.268165,0.279244,-4.698847,px4_default
73616000,0.185793,0.242054,-4.713548,0.286741,0.297782,-4.698363,px4_default
73636000,0.202791,0.266299,-4.710906,0.315955,0.326547,-4.697794,px4_default
73656000,0.220662,0.291690,-4.708179,0.336368,0.346607,-4.697526,px4_default
73676000,0.239379,0.318173,-4.705380,0.368352,0.378042,-4.697269,px4_default
73696000,0.258678,0.345388,-4.702546,0.390570,0.399654,-4.697169,px4_default
73716000,0.278738,0.373552,-4.699668,0.425158,0.433894,-4.697131,px4_default
73736000,0.299798,0.402913,-4.696765,0.449084,0.457161,-4.697123,px4_default
73756000,0.321585,0.433120,-4.693855,0.486082,0.493935,-4.697108,px4_default
73776000,0.343944,0.463977,-4.690949,0.511507,0.519302,-4.697063,px4_default
73796000,0.366866,0.495466,-4.688051,0.550724,0.558670,-4.696911,px4_default
73816000,0.390940,0.528195,-4.685194,0.577464,0.586178,-4.696726,px4_default
73836000,0.415679,0.561598,-4.682380,0.618524,0.628643,-4.696282,px4_default
