timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
73016000,0.019521,-0.038704,-4.701222,0.026569,-0.033343,-4.687657,px4_default
73036000,0.019525,-0.038697,-4.700736,0.027339,-0.032679,-4.686306,px4_default
73056000,0.019561,-0.038645,-4.700141,0.028704,-0.031475,-4.684324,px4_default
73076000,0.019635,-0.038537,-4.699474,0.029776,-0.030494,-4.683054,px4_default
73096000,0.019787,-0.038315,-4.698868,0.031776,-0.028678,-4.681274,px4_default
73116000,0.020089,-0.037874,-4.698556,0.033373,-0.027208,-4.680171,px4_default
73136000,0.020634,-0.037080,-4.698512,0.036205,-0.024554,-4.678735,px4_default
73156000,0.021356,-0.036029,-4.698630,0.038489,-0.022391,-4.677982,px4_default
73176000,0.022342,-0.034594,-4.698949,0.042454,-0.018593,-4.677223,px4_default
73196000,0.023661,-0.032677,-4.699473,0.045546,-0.015609,-4.677053,px4_default
73216000,0.025359,-0.030210,-4.700176,0.050803,-0.010450,-4.677467,px4_default
73236000,0.027469,-0.027147,-4.701033,0.054842,-0.006483,-4.678206,px4_default
73256000,0.030001,-0.023474,-4.702018,0.061702,0.000235,-4.679422,px4_default
73276000,0.033085,-0.019006,-4.703118,0.066677,0.005152,-4.679913,px4_default
73296000,0.036727,-0.013734,-4.704304,0.075006,0.013351,-4.680170,px4_default
73316000,0.040812,-0.007828,-4.705529,0.081063,0.019332,-4.679976,px4_default
73336000,0.045547,-0.000991,-4.706796,0.090936,0.029123,-4.679353,px4_default
73356000,0.051176,0.007121,-4.708037,0.098183,0.036336,-4.678810,px4_default
73376000,0.057484,0.016199,-4.709229,0.109917,0.048065,-4.677894,px4_default
73396000,0.064361,0.026084,-4.710349,0.118403,0.056594,-4.677222,px4_default
73416000,0.071813,0.036782,-4.711376,0.132155,0.070467,-4.676090,px4_default
73436000,0.080525,0.049262,-4.711721,0.141995,0.080328,-4.675314,px4_default
73456000,0.089832,0.062589,-4.711545,0.158014,0.096408,-4.674135,px4_default
73476000,0.099700,0.076722,-4.710912,0.169347,0.107679,-4.673373,px4_default
73496000,0.110220,0.091798,-4.709837,0.187691,0.125892,-4.672295,px4_default
73516000,0.121623,0.108158,-4.708282,0.200734,0.138768,-4.671641,px4_default
73536000,0.134075,0.126046,-4.706434,0.221549,0.159184,-4.670765,px4_default
73556000,0.147138,0.144814,-4.704440,0.236369,0.173791,-4.670280,px4_default
73576000,0.160939,0.164641,-4.702289,0.259898,0.196681,-4.669718,px4_default
73596000,0.175576,0.185650,-4.699982,0.276503,0.212801,-4.669464,px4_default
73616000,0.191110,0.207909,-4.697531,0.302826,0.238358,-4.669268,px4_default
73636000,0.207432,0.231242,-4.694973,0.321300,0.256047,-4.669255,px4_default
73656000,0.224430,0.255487,-4.692331,0.350499,0.284382,-4.669418,px4_default
73676000,0.242301,0.280877,-4.689604,0.370879,0.304103,-4.669632,px4_default
73696000,0.261018,0.307360,-4.686806,0.402806,0.334947,-4.670074,px4_default
73716000,0.280317,0.334576,-4.683971,0.424976,0.356765,-4.670448,px4_default
73736000,0.300377,0.362740,-4.681094,0.459533,0.390199,-4.671054,px4_default
73756000,0.321437,0.392100,-4.678190,0.483330,0.413810,-4.671486,px4_default
73776000,0.343224,0.422308,-4.675281,0.520198,0.450397,-4.672146,px4_default
73796000,0.365583,0.453165,-4.672375,0.545485,0.475863,-4.672550,px4_default
73816000,0.388505,0.484653,-4.669476,0.584376,0.515678,-4.673053,px4_default
73836000,0.412579,0.517383,-4.666619,0.610964,0.543072,-4.673283,px4_default
73856000,0.437318,0.550786,-4.663805,0.651564,0.586228,-4.673493,px4_default
73876000,0.462638,0.584766,-4.661035,0.679143,0.616026,-4.673527,px4_default
73896000,0.488560,0.619330,-4.658316,0.721194,0.662306,-4.673426,px4_default
73916000,0.515235,0.654604,-4.655669,0.749500,0.694559,-4.673263,px4_default
73936000,0.542884,0.690725,-4.653144,0.792556,0.744322,-4.672869,px4_default
73956000,0.571051,0.727274,-4.650692,0.821533,0.778639,-4.672533,px4_default
73976000,0.599804,0.764294,-4.648327,0.865352,0.831778,-4.671905,px4_default
73996000,0.629235,0.801832,-4.646072,0.894823,0.868109,-4.671403,px4_default
