timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
73520000,-0.011631,0.013554,-4.711481,-0.017057,0.010070,-4.701038,px4_default
73540000,-0.011627,0.013561,-4.710994,-0.017093,0.010286,-4.699379,px4_default
73560000,-0.011591,0.013613,-4.710400,-0.016931,0.010615,-4.698353,px4_default
73580000,-0.011517,0.013721,-4.709733,-0.016394,0.011475,-4.696971,px4_default
73600000,-0.011365,0.013943,-4.709126,-0.015813,0.012286,-4.696154,px4_default
73620000,-0.011062,0.014384,-4.708815,-0.014522,0.014022,-4.695158,px4_default
73640000,-0.010517,0.015178,-4.708770,-0.013342,0.015510,-4.694729,px4_default
73660000,-0.009796,0.016229,-4.708889,-0.011031,0.018301,-4.694518,px4_default
73680000,-0.008810,0.017664,-4.709207,-0.008999,0.020664,-4.694784,px4_default
73700000,-0.007491,0.019581,-4.709731,-0.005261,0.024907,-4.695932,px4_default
73720000,-0.005793,0.022048,-4.710434,-0.002272,0.028316,-4.697194,px4_default
73740000,-0.003683,0.025111,-4.711291,0.002952,0.034205,-4.699497,px4_default
73760000,-0.001151,0.028784,-4.712276,0.006963,0.038696,-4.700979,px4_default
73780000,0.001933,0.033252,-4.713377,0.013676,0.046272,-4.702569,px4_default
73800000,0.005576,0.038524,-4.714562,0.018575,0.051798,-4.703161,px4_default
73820000,0.009661,0.044430,-4.715787,0.026919,0.061115,-4.703521,px4_default
73840000,0.014395,0.051267,-4.717054,0.033056,0.067912,-4.703425,px4_default
73860000,0.020024,0.059379,-4.718295,0.043077,0.079104,-4.702991,px4_default
73880000,0.026332,0.068457,-4.719487,0.050549,0.087346,-4.702463,px4_default
73900000,0.033210,0.078342,-4.720607,0.062707,0.100654,-4.701461,px4_default
73920000,0.040661,0.089040,-4.721634,0.071524,0.110297,-4.700624,px4_default
73940000,0.049374,0.101519,-4.721980,0.085864,0.125964,-4.699240,px4_default
73960000,0.058680,0.114847,-4.721803,0.096142,0.137066,-4.698280,px4_default
