timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
72888000,0.019729,-0.011755,-4.716928,0.017028,-0.010807,-4.702209,px4_default
72908000,0.019733,-0.011749,-4.716442,0.017401,-0.010147,-4.700372,px4_default
72928000,0.019769,-0.011697,-4.715847,0.017860,-0.009543,-4.699262,px4_default
72948000,0.019843,-0.011589,-4.715180,0.018874,-0.008332,-4.697767,px4_default
72968000,0.019995,-0.011367,-4.714574,0.019822,-0.007281,-4.696939,px4_default
72988000,0.020297,-0.010925,-4.714262,0.021707,-0.005249,-4.695997,px4_default
73008000,0.020843,-0.010131,-4.714218,0.023257,-0.003585,-4.695603,px4_default
73028000,0.021564,-0.009081,-4.714336,0.026190,-0.000434,-4.695583,px4_default
73048000,0.022550,-0.007646,-4.714655,0.028552,0.002087,-4.695951,px4_default
73068000,0.023869,-0.005729,-4.715179,0.032747,0.006577,-4.697216,px4_default
73088000,0.025567,-0.003262,-4.715882,0.036078,0.010161,-4.698623,px4_default
73108000,0.027677,-0.000199,-4.716739,0.041801,0.016287,-4.701058,px4_default
73128000,0.030209,0.003474,-4.717724,0.046134,0.020915,-4.702600,px4_default
73148000,0.033293,0.007942,-4.718824,0.053311,0.028633,-4.704269,px4_default
73168000,0.036935,0.013214,-4.720010,0.058513,0.034232,-4.704900,px4_default
73188000,0.041020,0.019120,-4.721235,0.067264,0.043598,-4.705276,px4_default
73208000,0.045755,0.025957,-4.722502,0.073507,0.050281,-4.705237,px4_default
73228000,0.051384,0.034069,-4.723743,0.083889,0.061303,-4.704824,px4_default
73248000,0.057692,0.043147,-4.724935,0.091445,0.069244,-4.704379,px4_default
73268000,0.064570,0.053032,-4.726055,0.103764,0.082088,-4.703478,px4_default
73288000,0.072021,0.063730,-4.727082,0.112737,0.091362,-4.702734,px4_default
73308000,0.080734,0.076210,-4.727427,0.127269,0.106175,-4.701553,px4_default
73328000,0.090040,0.089537,-4.727251,0.137758,0.116763,-4.700732,px4_default
73348000,0.099908,0.103670,-4.726618,0.154741,0.133773,-4.699506,px4_default
73368000,0.110428,0.118746,-4.725543,0.166862,0.145708,-4.698715,px4_default
73388000,0.121831,0.135106,-4.723988,0.186462,0.164994,-4.697587,px4_default
73408000,0.134283,0.152994,-4.722140,0.200409,0.178595,-4.696907,px4_default
73428000,0.147346,0.171762,-4.720146,0.222680,0.200067,-4.696018,px4_default
73448000,0.161147,0.191589,-4.717995,0.238503,0.215396,-4.695523,px4_default
73468000,0.175784,0.212598,-4.715688,0.263548,0.239057,-4.694933,px4_default
73488000,0.191318,0.234858,-4.713237,0.281211,0.255884,-4.694658,px4_default
73508000,0.207640,0.258190,-4.710679,0.309106,0.282061,-4.694350,px4_default
73528000,0.224638,0.282435,-4.708037,0.328668,0.300377,-4.694232,px4_default
73548000,0.242509,0.307826,-4.705310,0.359453,0.329192,-4.694188,px4_default
73568000,0.261226,0.334309,-4.702512,0.380916,0.349070,-4.694226,px4_default
73588000,0.280525,0.361524,-4.699677,0.414553,0.380646,-4.694336,px4_default
73608000,0.300585,0.389688,-4.696800,0.437884,0.402549,-4.694433,px4_default
73628000,0.321645,0.419049,-4.693896,0.474200,0.436718,-4.694540,px4_default
73648000,0.343432,0.449256,-4.690987,0.499223,0.460786,-4.694555,px4_default
