timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
73220000,-0.003519,-0.047193,-4.705406,-0.005064,-0.045709,-4.694067,px4_default
73240000,-0.003515,-0.047187,-4.704919,-0.004783,-0.045153,-4.693068,px4_default
73260000,-0.003480,-0.047135,-4.704325,-0.004098,-0.044044,-4.691733,px4_default
73280000,-0.003406,-0.047027,-4.703658,-0.003434,-0.043095,-4.690908,px4_default
73300000,-0.003253,-0.046805,-4.703052,-0.002074,-0.041308,-4.689750,px4_default
73320000,-0.002951,-0.046363,-4.702740,-0.000842,-0.039761,-4.689063,px4_default
73340000,-0.002406,-0.045569,-4.702695,0.001437,-0.036997,-4.688248,px4_default
73360000,-0.001684,-0.044519,-4.702814,0.003337,-0.034784,-4.687882,px4_default
73380000,-0.000698,-0.043084,-4.703132,0.006863,-0.030808,-4.687789,px4_default
73400000,0.000621,-0.041166,-4.703656,0.009624,-0.027735,-4.688136,px4_default
73420000,0.002319,-0.038700,-4.704360,0.014617,-0.022246,-4.689333,px4_default
73440000,0.004428,-0.035637,-4.705216,0.018465,-0.018059,-4.690442,px4_default
73460000,0.006961,-0.031964,-4.706202,0.024979,-0.011007,-4.692026,px4_default
73480000,0.010045,-0.027496,-4.707302,0.029754,-0.005806,-4.692715,px4_default
73500000,0.013687,-0.022224,-4.708487,0.037642,0.002750,-4.693066,px4_default
73520000,0.017772,-0.016318,-4.709712,0.043524,0.009112,-4.692941,px4_default
73540000,0.022507,-0.009481,-4.710979,0.053076,0.019454,-4.692321,px4_default
73560000,0.028136,-0.001369,-4.712220,0.060042,0.026989,-4.691734,px4_default
73580000,0.034444,0.007709,-4.713412,0.071478,0.039343,-4.690581,px4_default
73600000,0.041321,0.017594,-4.714532,0.084097,0.052964,-4.689211,px4_default
73620000,0.048773,0.028292,-4.715559,0.093244,0.062786,-4.688195,px4_default
73640000,0.057485,0.040772,-4.715905,0.102991,0.073227,-4.687135,px4_default
73660000,0.066792,0.054100,-4.715728,0.118724,0.089987,-4.685506,px4_default
73680000,0.076660,0.068232,-4.715095,0.130072,0.102119,-4.684412,px4_default
73700000,0.087180,0.083308,-4.714021,0.148266,0.121294,-4.682838,px4_default
73720000,0.098583,0.099668,-4.712465,0.161261,0.134902,-4.681846,px4_default
73740000,0.111035,0.117556,-4.710618,0.181994,0.156335,-4.680478,px4_default
73760000,0.124097,0.136324,-4.708623,0.196736,0.171439,-4.679658,px4_default
73780000,0.137899,0.156151,-4.706472,0.220224,0.195388,-4.678580,px4_default
73800000,0.152535,0.177160,-4.704165,0.236771,0.212008,-4.677969,px4_default
73820000,0.168070,0.199420,-4.701715,0.263004,0.238587,-4.677274,px4_default
73840000,0.184392,0.222753,-4.699156,0.281400,0.257057,-4.676946,px4_default
73860000,0.201390,0.246997,-4.696515,0.310378,0.285905,-4.676635,px4_default
73880000,0.219261,0.272388,-4.693787,0.330632,0.306306,-4.676544,px4_default
73900000,0.237978,0.298871,-4.690989,0.362363,0.337904,-4.676519,px4_default
73920000,0.257277,0.326086,-4.688154,0.384424,0.359938,-4.676575,px4_default
73940000,0.277337,0.354250,-4.685277,0.418823,0.394496,-4.676691,px4_default
73960000,0.298397,0.383611,-4.682374,0.442618,0.418259,-4.676770,px4_default
73980000,0.320183,0.413818,-4.679463,0.479480,0.455898,-4.676827,px4_default
74000000,0.342543,0.444675,-4.676558,0.504876,0.481462,-4.676826,px4_default
74020000,0.365465,0.476164,-4.673659,0.543915,0.521785,-4.676693,px4_default
74040000,0.389539,0.508893,-4.670802,0.570600,0.549596,-4.676515,px4_default
74060000,0.414278,0.542296,-4.667989,0.611543,0.592752,-4.676108,px4_default
74080000,0.439597,0.576276,-4.665218,0.639267,0.622872,-4.675714,px4_default
74100000,0.465520,0.610840,-4.662499,0.681650,0.669322,-4.674966,px4_default
74120000,0.492195,0.646114,-4.659853,0.710302,0.701405,-4.674363,px4_default
