timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
73272000,-0.046732,-0.049644,-4.697367,-0.050374,-0.042927,-4.687496,px4_default
73292000,-0.046728,-0.049637,-4.696881,-0.050285,-0.042141,-4.686624,px4_default
73312000,-0.046692,-0.049586,-4.696286,-0.049880,-0.040717,-4.685432,px4_default
73332000,-0.046618,-0.049477,-4.695619,-0.049406,-0.039588,-4.684711,px4_default
73352000,-0.046466,-0.049255,-4.695013,-0.048326,-0.037537,-4.683780,px4_default
73372000,-0.046163,-0.048814,-4.694701,-0.047344,-0.035919,-4.683286,px4_default
73392000,-0.045618,-0.048020,-4.694657,-0.045317,-0.032985,-4.682910,px4_default
73412000,-0.044897,-0.046970,-4.694775,-0.043598,-0.030684,-4.682941,px4_default
73432000,-0.043911,-0.045534,-4.695094,-0.040411,-0.026656,-4.683556,px4_default
73452000,-0.042592,-0.043617,-4.695618,-0.037771,-0.023473,-4.684435,px4_default
73472000,-0.040894,-0.041150,-4.696321,-0.033069,-0.017996,-4.686414,px4_default
73492000,-0.038784,-0.038087,-4.697177,-0.029376,-0.013820,-4.688006,px4_default
73512000,-0.036252,-0.034414,-4.698163,-0.023049,-0.006782,-4.690152,px4_default
73532000,-0.033168,-0.029946,-4.699263,-0.018404,-0.001652,-4.691114,px4_default
73552000,-0.029525,-0.024675,-4.700449,-0.010488,0.006892,-4.691978,px4_default
73572000,-0.025440,-0.018768,-4.701674,-0.004686,0.013103,-4.692144,px4_default
73592000,-0.020706,-0.011931,-4.702941,0.004842,0.023260,-4.691982,px4_default
73612000,-0.015077,-0.003819,-4.704182,0.015465,0.034536,-4.691499,px4_default
73632000,-0.008768,0.005259,-4.705373,0.023118,0.042675,-4.691060,px4_default
73652000,-0.001891,0.015144,-4.706493,0.031440,0.051466,-4.690474,px4_default
73672000,0.005560,0.025842,-4.707520,0.044845,0.065644,-4.689477,px4_default
73692000,0.014273,0.038321,-4.707866,0.054493,0.075838,-4.688733,px4_default
73712000,0.023579,0.051649,-4.707690,0.070084,0.092313,-4.687560,px4_default
73732000,0.033447,0.065781,-4.707057,0.081169,0.104020,-4.686759,px4_default
73752000,0.043968,0.080858,-4.705982,0.099147,0.122998,-4.685554,px4_default
73772000,0.055370,0.097217,-4.704427,0.111908,0.136481,-4.684764,px4_default
73792000,0.067823,0.115106,-4.702579,0.132255,0.157942,-4.683594,px4_default
73812000,0.080885,0.133873,-4.700585,0.146784,0.173288,-4.682846,px4_default
73832000,0.094687,0.153701,-4.698434,0.169727,0.197498,-4.681799,px4_default
73852000,0.109323,0.174710,-4.696127,0.185895,0.214558,-4.681164,px4_default
73872000,0.124857,0.196969,-4.693676,0.211329,0.241296,-4.680254,px4_default
