timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
77336000,-0.013192,0.053717,-4.705421,-0.012143,0.056346,-4.701255,px4_default
77356000,-0.013188,0.053724,-4.704935,-0.011205,0.056981,-4.702789,px4_default
77376000,-0.013152,0.053776,-4.704340,-0.010335,0.057544,-4.704291,px4_default
77396000,-0.013078,0.053884,-4.703673,-0.008606,0.058688,-4.707205,px4_default
77416000,-0.012926,0.054106,-4.703067,-0.007099,0.059680,-4.709702,px4_default
77436000,-0.012624,0.054547,-4.702755,-0.004285,0.061549,-4.714210,px4_default
77456000,-0.012079,0.055341,-4.702711,-0.002010,0.063075,-4.717628,px4_default
77476000,-0.011357,0.056392,-4.702829,0.002134,0.065853,-4.723173,px4_default
77496000,-0.010371,0.057827,-4.703148,0.005320,0.068028,-4.727005,px4_default
77516000,-0.009052,0.059744,-4.703672,0.010936,0.071907,-4.732893,px4_default
77536000,-0.007354,0.062211,-4.704375,0.015120,0.074900,-4.736713,px4_default
77556000,-0.005244,0.065274,-4.705232,0.022069,0.079992,-4.741934,px4_default
77576000,-0.002712,0.068947,-4.706217,0.027228,0.083832,-4.744797,px4_default
77596000,0.000372,0.073415,-4.707317,0.035474,0.090160,-4.747738,px4_default
77616000,0.004014,0.078687,-4.708503,0.041415,0.094813,-4.748797,px4_default
77636000,0.008099,0.084593,-4.709728,0.051031,0.102492,-4.749142,px4_default
77656000,0.012834,0.091430,-4.710995,0.057867,0.108083,-4.748775,px4_default
77676000,0.018463,0.099542,-4.712236,0.069011,0.117379,-4.747408,px4_default
77696000,0.024771,0.108620,-4.713428,0.076928,0.124087,-4.746298,px4_default
77716000,0.031648,0.118505,-4.714548,0.089814,0.135245,-4.744134,px4_default
77736000,0.039100,0.129203,-4.715575,0.099018,0.143397,-4.742533,px4_default
77756000,0.047812,0.141682,-4.715920,0.113830,0.156733,-4.739981,px4_default
77776000,0.057119,0.155010,-4.715744,0.124475,0.166592,-4.738180,px4_default
77796000,0.066987,0.169142,-4.715111,0.141497,0.182565,-4.735528,px4_default
77816000,0.077507,0.184219,-4.714036,0.153640,0.194127,-4.733787,px4_default
77836000,0.088910,0.200578,-4.712481,0.173113,0.212981,-4.731251,px4_default
77856000,0.101362,0.218467,-4.710633,0.186896,0.226387,-4.729647,px4_default
77876000,0.114425,0.237235,-4.708639,0.208938,0.248296,-4.727358,px4_default
77896000,0.128226,0.257062,-4.706488,0.224502,0.263827,-4.725925,px4_default
77916000,0.142862,0.278071,-4.704181,0.249189,0.288514,-4.723887,px4_default
77936000,0.158397,0.300330,-4.701730,0.266567,0.306212,-4.722590,px4_default
77956000,0.174719,0.323663,-4.699172,0.293951,0.333635,-4.720694,px4_default
77976000,0.191717,0.347907,-4.696530,0.313114,0.353177,-4.719460,px4_default
77996000,0.209588,0.373298,-4.693803,0.343220,0.383719,-4.717631,px4_default
78016000,0.228305,0.399781,-4.691005,0.364194,0.405138,-4.716416,px4_default
78036000,0.247604,0.426997,-4.688170,0.397017,0.438880,-4.714489,px4_default
78056000,0.267664,0.455161,-4.685293,0.419794,0.462218,-4.713124,px4_default
78076000,0.288724,0.484521,-4.682389,0.455242,0.499258,-4.710879,px4_default
78096000,0.310510,0.514729,-4.679480,0.479726,0.524957,-4.709265,px4_default
78116000,0.332870,0.545585,-4.676574,0.517680,0.565043,-4.706662,px4_default
78136000,0.355792,0.577074,-4.673675,0.543726,0.593166,-4.704785,px4_default
78156000,0.379866,0.609804,-4.670818,0.583878,0.636726,-4.701781,px4_default
78176000,0.404605,0.643207,-4.668005,0.611303,0.666943,-4.699641,px4_default
78196000,0.429925,0.677187,-4.665234,0.653344,0.713988,-4.696236,px4_default
78216000,0.455847,0.711751,-4.662515,0.681962,0.746282,-4.693872,px4_default
78236000,0.482522,0.747025,-4.659868,0.725635,0.796391,-4.690228,px4_default
78256000,0.510171,0.783146,-4.657343,0.755242,0.830707,-4.687767,px4_default
78276000,0.538338,0.819695,-4.654891,0.800120,0.884082,-4.684049,px4_default
78296000,0.567091,0.856715,-4.652526,0.830406,0.920612,-4.681575,px4_default
78316000,0.596522,0.894253,-4.650271,0.876306,0.976790,-4.677895,px4_default
78336000,0.626769,0.932371,-4.648162,0.907099,1.015321,-4.675471,px4_default
78356000,0.657666,0.970908,-4.646184,0.953637,1.074196,-4.671828,px4_default
78376000,0.689070,1.009762,-4.644313,0.984804,1.114262,-4.669405,px4_default
78396000,0.721211,1.049026,-4.642612,1.031718,1.175467,-4.665867,px4_default
78416000,0.754089,1.088669,-4.641092,1.063137,1.216842,-4.663607,px4_default
78436000,0.787444,1.128523,-4.639698,1.110247,1.279921,-4.660496,px4_default
78456000,0.821418,1.168640,-4.638469,1.141739,1.322429,-4.658648,px4_default
78476000,0.856147,1.209014,-4.637458,1.189102,1.386767,-4.656282,px4_default
78496000,0.891468,1.249556,-4.636591,1.220738,1.429929,-4.655009,px4_default
78516000,0.927269,1.290205,-4.635819,1.268270,1.494963,-4.653572,px4_default
78536000,0.963506,1.330937,-4.635128,1.299947,1.538385,-4.652999,px4_default
78556000,1.000553,1.371752,-4.634545,1.347611,1.603448,-4.652631,px4_default
78576000,1.038161,1.412542,-4.634064,1.379430,1.646689,-4.652730,px4_default
78596000,1.076235,1.453289,-4.633683,1.427302,1.711122,-4.653380,px4_default
78616000,1.114758,1.493966,-4.633415,1.459349,1.753794,-4.654104,px4_default
78636000,1.153822,1.534533,-4.633298,1.507568,1.817055,-4.655719,px4_default
78656000,1.193700,1.574827,-4.633471,1.539840,1.858770,-4.657072,px4_default
78676000,1.233981,1.614950,-4.633790,1.588470,1.920535,-4.659490,px4_default
