timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
75684000,0.069699,-0.046839,-4.716377,0.068654,-0.046390,-4.715365,px4_default
75704000,0.069704,-0.046833,-4.715890,0.068916,-0.046254,-4.716609,px4_default
75724000,0.069739,-0.046781,-4.715296,0.069642,-0.045848,-4.718999,px4_default
75744000,0.069813,-0.046672,-4.714629,0.070384,-0.045393,-4.721051,px4_default
75764000,0.069965,-0.046450,-4.714023,0.072025,-0.044415,-4.724992,px4_default
75784000,0.070268,-0.046009,-4.713711,0.073495,-0.043496,-4.728105,px4_default
75804000,0.070813,-0.045215,-4.713666,0.076262,-0.041682,-4.733374,px4_default
75824000,0.071534,-0.044165,-4.713785,0.078622,-0.040150,-4.737232,px4_default
75844000,0.072521,-0.042730,-4.714103,0.082708,-0.037372,-4.743124,px4_default
75864000,0.073839,-0.040812,-4.714627,0.085962,-0.035142,-4.747111,px4_default
75884000,0.075537,-0.038345,-4.715331,0.091527,-0.031226,-4.752923,px4_default
75904000,0.077647,-0.035283,-4.716187,0.095744,-0.028219,-4.756446,px4_default
75924000,0.080179,-0.031609,-4.717173,0.102752,-0.023117,-4.760656,px4_default
75944000,0.083263,-0.027141,-4.718273,0.107773,-0.019353,-4.762569,px4_default
75964000,0.086906,-0.021870,-4.719458,0.116146,-0.013065,-4.764030,px4_default
75984000,0.090991,-0.015963,-4.720683,0.122196,-0.008437,-4.764181,px4_default
76004000,0.095725,-0.009127,-4.721951,0.131974,-0.000773,-4.763485,px4_default
76024000,0.101354,-0.001014,-4.723191,0.139105,0.004908,-4.762418,px4_default
76044000,0.107663,0.008064,-4.724383,0.150650,0.014309,-4.760365,px4_default
76064000,0.114540,0.017948,-4.725503,0.159003,0.021259,-4.758701,px4_default
76084000,0.121991,0.028647,-4.726530,0.172532,0.032765,-4.755935,px4_default
76104000,0.130704,0.041126,-4.726876,0.182228,0.041119,-4.754026,px4_default
76124000,0.140011,0.054454,-4.726699,0.197925,0.054893,-4.751099,px4_default
76144000,0.149878,0.068586,-4.726066,0.209103,0.064788,-4.749179,px4_default
76164000,0.160399,0.083662,-4.724992,0.227205,0.081183,-4.746308,px4_default
76184000,0.171801,0.100022,-4.723436,0.240088,0.092983,-4.744480,px4_default
76204000,0.184254,0.117910,-4.721589,0.260662,0.111987,-4.741907,px4_default
76224000,0.197316,0.136678,-4.719594,0.275288,0.125812,-4.740332,px4_default
76244000,0.211118,0.156506,-4.717443,0.298561,0.147791,-4.738153,px4_default
76264000,0.225754,0.177515,-4.715137,0.315023,0.163476,-4.736825,px4_default
76284000,0.241289,0.199774,-4.712686,0.341159,0.188599,-4.734956,px4_default
76304000,0.257611,0.223107,-4.710127,0.359517,0.206192,-4.733768,px4_default
76324000,0.274609,0.247351,-4.707486,0.388505,0.234583,-4.732028,px4_default
76344000,0.292480,0.272742,-4.704758,0.408757,0.254514,-4.730850,px4_default
76364000,0.311197,0.299225,-4.701960,0.440513,0.285930,-4.729029,px4_default
76384000,0.330496,0.326440,-4.699125,0.462557,0.307895,-4.727758,px4_default
76404000,0.350556,0.354605,-4.696248,0.496906,0.342406,-4.725739,px4_default
76424000,0.371615,0.383965,-4.693345,0.520554,0.366835,-4.724322,px4_default
76444000,0.393402,0.414172,-4.690434,0.557200,0.404911,-4.722013,px4_default
76464000,0.415762,0.445029,-4.687529,0.582334,0.431515,-4.720337,px4_default
76484000,0.438684,0.476518,-4.684630,0.621029,0.473242,-4.717607,px4_default
76504000,0.462758,0.509247,-4.681773,0.647496,0.502067,-4.715648,px4_default
76524000,0.487497,0.542651,-4.678960,0.688012,0.547524,-4.712466,px4_default
76544000,0.512816,0.576631,-4.676189,0.715572,0.578975,-4.710204,px4_default
76564000,0.538738,0.611194,-4.673470,0.757641,0.627890,-4.706644,px4_default
76584000,0.565414,0.646468,-4.670824,0.786093,0.661955,-4.704150,px4_default
76604000,0.593063,0.682590,-4.668298,0.829410,0.714560,-4.700323,px4_default
76624000,0.621230,0.719139,-4.665846,0.858626,0.750814,-4.697740,px4_default
76644000,0.649982,0.756158,-4.663481,0.902961,0.806601,-4.693864,px4_default
76664000,0.679414,0.793696,-4.661227,0.932770,0.844849,-4.691291,px4_default
76684000,0.709660,0.831814,-4.659117,0.977787,0.903657,-4.687451,px4_default
76704000,0.740558,0.870352,-4.657140,1.008002,0.943652,-4.684896,px4_default
76724000,0.771962,0.909206,-4.655268,1.053462,1.005053,-4.681170,px4_default
76744000,0.804103,0.948470,-4.653568,1.083905,1.046667,-4.678775,px4_default
76764000,0.836980,0.988113,-4.652048,1.129730,1.110013,-4.675333,px4_default
76784000,0.870336,1.027967,-4.650653,1.160321,1.152870,-4.673248,px4_default
76804000,0.904309,1.068084,-4.649425,1.206388,1.217765,-4.670485,px4_default
76824000,0.939038,1.108458,-4.648413,1.237186,1.261401,-4.668999,px4_default
76844000,0.974359,1.149000,-4.647546,1.283526,1.327200,-4.667285,px4_default
76864000,1.010160,1.189648,-4.646775,1.314547,1.371217,-4.666457,px4_default
76884000,1.046397,1.230380,-4.646083,1.361211,1.437223,-4.665759,px4_default
76904000,1.083445,1.271195,-4.645500,1.392493,1.481212,-4.665574,px4_default
76924000,1.121053,1.311986,-4.645020,1.439535,1.546787,-4.665836,px4_default
76944000,1.159126,1.352733,-4.644638,1.471051,1.590206,-4.666341,px4_default
76964000,1.197650,1.393409,-4.644370,1.518578,1.654775,-4.667534,px4_default
76984000,1.236713,1.433977,-4.644253,1.550417,1.697211,-4.668699,px4_default
77004000,1.276591,1.474271,-4.644427,1.598509,1.760124,-4.670762,px4_default
77024000,1.316873,1.514393,-4.644745,1.630793,1.801397,-4.672401,px4_default
77044000,1.357578,1.554324,-4.645216,1.679556,1.862170,-4.675254,px4_default
77064000,1.398782,1.593981,-4.645871,1.712323,1.902006,-4.677372,px4_default
77084000,1.440631,1.633202,-4.646770,1.761817,1.960186,-4.680958,px4_default
77104000,1.482951,1.672038,-4.647850,1.795077,1.998093,-4.683542,px4_default
77124000,1.525630,1.710573,-4.649065,1.845375,2.053570,-4.687664,px4_default
77144000,1.568823,1.748615,-4.650474,1.879151,2.089337,-4.690613,px4_default
77164000,1.612536,1.786107,-4.652081,1.930271,2.141824,-4.695141,px4_default
77184000,1.656600,1.823147,-4.653824,1.964579,2.175489,-4.698325,px4_default
77204000,1.701076,1.859634,-4.655726,2.016454,2.224463,-4.703214,px4_default
77224000,1.746018,1.895424,-4.657805,2.051284,2.255903,-4.706565,px4_default
77244000,1.791366,1.930552,-4.660033,2.103899,2.301198,-4.711728,px4_default
77264000,1.837055,1.965077,-4.662385,2.139224,2.330302,-4.715206,px4_default
77284000,1.883026,1.999059,-4.664838,2.192456,2.371737,-4.720492,px4_default
77304000,1.929457,2.032039,-4.667458,2.228155,2.398134,-4.723986,px4_default
77324000,1.976242,2.064137,-4.670196,2.281995,2.435861,-4.729218,px4_default
77344000,2.023305,2.095510,-4.673022,2.318051,2.459482,-4.732711,px4_default
77364000,2.070612,2.126207,-4.675924,2.372395,2.493150,-4.737886,px4_default
77384000,2.118195,2.156119,-4.678906,2.408759,2.514226,-4.741253,px4_default
77404000,2.166192,2.184506,-4.682002,2.463475,2.543769,-4.746066,px4_default
77424000,2.214371,2.212139,-4.685137,2.500065,2.562301,-4.749027,px4_default
77444000,2.262728,2.239023,-4.688311,2.555072,2.588037,-4.753117,px4_default
77464000,2.311292,2.264943,-4.691521,2.591825,2.604003,-4.755662,px4_default
77484000,2.360138,2.289388,-4.694768,2.646919,2.625603,-4.759233,px4_default
77504000,2.409163,2.312721,-4.698021,2.683691,2.638719,-4.761442,px4_default
77524000,2.458316,2.335204,-4.701275,2.738886,2.656465,-4.764489,px4_default
77544000,2.507614,2.356460,-4.704515,2.775620,2.666749,-4.766289,px4_default
77564000,2.557048,2.376389,-4.707701,2.830759,2.680374,-4.768751,px4_default
77584000,2.606574,2.395215,-4.710766,2.867513,2.688073,-4.770237,px4_default
77604000,2.656195,2.412855,-4.713692,2.922618,2.697543,-4.772269,px4_default
77624000,2.705910,2.429183,-4.716447,2.959329,2.702659,-4.773476,px4_default
77644000,2.755700,2.444162,-4.719069,3.014378,2.708026,-4.775064,px4_default
77664000,2.805547,2.457891,-4.721585,3.051093,2.710336,-4.775937,px4_default
77684000,2.855440,2.470598,-4.724006,3.106128,2.711925,-4.776969,px4_default
77704000,2.905402,2.481678,-4.726265,3.142808,2.711749,-4.777441,px4_default
77724000,2.955425,2.491173,-4.728353,3.197834,2.709630,-4.777775,px4_default
77744000,3.005482,2.499434,-4.730306,3.234524,2.706785,-4.777719,px4_default
77764000,3.055554,2.506641,-4.732146,3.289482,2.700830,-4.777316,px4_default
77784000,3.105638,2.512718,-4.733866,3.326118,2.695575,-4.776824,px4_default
77804000,3.155729,2.516400,-4.735332,3.381054,2.685781,-4.775747,px4_default
77824000,3.205814,2.519009,-4.736675,3.417627,2.678129,-4.774874,px4_default
77844000,3.255890,2.520569,-4.737895,3.472524,2.664521,-4.773265,px4_default
77864000,3.305939,2.520863,-4.738960,3.509141,2.654235,-4.772054,px4_default
77884000,3.355922,2.519336,-4.739790,3.564065,2.637006,-4.770046,px4_default
77904000,3.405829,2.516283,-4.740422,3.600697,2.624137,-4.768561,px4_default
77924000,3.455678,2.512190,-4.740917,3.655659,2.603163,-4.766202,px4_default
77944000,3.505434,2.506737,-4.741235,3.692316,2.587950,-4.764533,px4_default
77964000,3.555076,2.499800,-4.741368,3.747279,2.563531,-4.761921,px4_default
77984000,3.604592,2.491482,-4.741352,3.783947,2.546078,-4.760096,px4_default
78004000,3.653959,2.481842,-4.741213,3.838955,2.518140,-4.757252,px4_default
78024000,3.703149,2.470885,-4.740971,3.875605,2.498465,-4.755335,px4_default
78044000,3.752126,2.458506,-4.740627,3.930558,2.467185,-4.752339,px4_default
78064000,3.800888,2.444801,-4.740193,3.967175,2.445312,-4.750306,px4_default
78084000,3.849475,2.430091,-4.739697,4.022046,2.410999,-4.747189,px4_default
78104000,3.897802,2.413961,-4.739115,4.058576,2.387055,-4.745052,px4_default
78124000,3.945769,2.396272,-4.738453,4.113263,2.349741,-4.741834,px4_default
78144000,3.993454,2.377423,-4.737736,4.149630,2.323888,-4.739641,px4_default
78164000,4.040904,2.357658,-4.736979,4.203971,2.283717,-4.736348,px4_default
78184000,4.088107,2.336948,-4.736183,4.240055,2.256083,-4.734176,px4_default
78204000,4.134724,2.314196,-4.735317,4.293889,2.213268,-4.730951,px4_default
78224000,4.181023,2.290513,-4.734426,4.329626,2.183943,-4.728855,px4_default
78244000,4.227016,2.265955,-4.733513,4.382858,2.138743,-4.725762,px4_default
78264000,4.272651,2.240403,-4.732579,4.418124,2.107840,-4.723752,px4_default
78284000,4.317769,2.213481,-4.731620,4.470663,2.060352,-4.720830,px4_default
78304000,4.362348,2.185246,-4.730648,4.505388,2.027982,-4.718950,px4_default
78324000,4.406573,2.156201,-4.729671,4.557047,1.978445,-4.716223,px4_default
78344000,4.450342,2.126174,-4.728691,4.591154,1.944769,-4.714482,px4_default
78364000,4.493579,2.095062,-4.727711,4.641772,1.893295,-4.712038,px4_default
78384000,4.536234,2.062826,-4.726737,4.675175,1.858375,-4.710540,px4_default
78404000,4.578362,2.029627,-4.725773,4.724566,1.805163,-4.708490,px4_default
78424000,4.619990,1.995551,-4.724821,4.757084,1.769126,-4.707242,px4_default
78444000,4.660989,1.960430,-4.723886,4.805207,1.714270,-4.705586,px4_default
78464000,4.701355,1.924300,-4.722974,4.836742,1.677258,-4.704661,px4_default
78484000,4.741236,1.887463,-4.722081,4.883430,1.620934,-4.703403,px4_default
78504000,4.780494,1.849741,-4.721212,4.913945,1.583027,-4.702706,px4_default
78524000,4.818885,1.810872,-4.720382,4.958952,1.525530,-4.701852,px4_default
78544000,4.856627,1.771175,-4.719584,4.988367,1.486837,-4.701439,px4_default
78564000,4.893858,1.730852,-4.718811,5.031551,1.428304,-4.701019,px4_default
78584000,4.930552,1.689884,-4.718064,5.059756,1.388905,-4.700837,px4_default
78604000,4.966086,1.647668,-4.717378,5.100960,1.329545,-4.700787,px4_default
78624000,5.000955,1.604782,-4.716728,5.127768,1.289696,-4.700899,px4_default
78644000,5.035221,1.561303,-4.716110,5.166947,1.229539,-4.701228,px4_default
78664000,5.068838,1.517202,-4.715528,5.192265,1.189359,-4.701588,px4_default
78684000,5.101569,1.472276,-4.714993,5.229213,1.128680,-4.702233,px4_default
78704000,5.133229,1.426482,-4.714516,5.253048,1.088068,-4.702747,px4_default
78724000,5.164258,1.380195,-4.714072,5.287612,1.026938,-4.703636,px4_default
78744000,5.194552,1.333348,-4.713667,5.309927,0.985964,-4.704243,px4_default
78764000,5.223986,1.285871,-4.713306,5.342168,0.924409,-4.705271,px4_default
78784000,5.252378,1.237669,-4.712998,5.362901,0.883207,-4.706011,px4_default
78804000,5.279905,1.188927,-4.712733,5.392668,0.821636,-4.707222,px4_default
78824000,5.306696,1.139743,-4.712502,5.411694,0.780547,-4.708079,px4_default
78844000,5.332463,1.089981,-4.712318,5.438982,0.718871,-4.709449,px4_default
78864000,5.357171,1.039645,-4.712179,5.456198,0.677969,-4.710464,px4_default
78884000,5.381136,0.988932,-4.712068,5.480782,0.616538,-4.712042,px4_default
78904000,5.404182,0.937762,-4.711989,5.496263,0.575697,-4.713161,px4_default
78924000,5.425984,0.886061,-4.711949,5.518142,0.514578,-4.714901,px4_default
78944000,5.446790,0.833956,-4.711940,5.531896,0.473803,-4.716034,px4_default
78964000,5.466785,0.781542,-4.711956,5.551074,0.413026,-4.717682,px4_default
78984000,5.485983,0.728830,-4.711996,5.563008,0.372564,-4.718690,px4_default
79004000,5.503650,0.675601,-4.712076,5.579621,0.311971,-4.720061,px4_default
79024000,5.520293,0.622060,-4.712177,5.589823,0.271653,-4.720913,px4_default
79044000,5.536051,0.568265,-4.712295,5.603793,0.211301,-4.722149,px4_default
79064000,5.550921,0.514239,-4.712427,5.612133,0.171332,-4.722998,px4_default
79084000,5.564637,0.459938,-4.712575,5.623323,0.111434,-4.724276,px4_default
79104000,5.576783,0.405313,-4.712737,5.629855,0.071675,-4.725169,px4_default
79124000,5.588081,0.350527,-4.712875,5.638251,0.012308,-4.726553,px4_default
79144000,5.598466,0.295576,-4.712975,5.642963,-0.027212,-4.727476,px4_default
79164000,5.607771,0.240457,-4.713012,5.648558,-0.086058,-4.728907,px4_default
79184000,5.615630,0.185166,-4.712948,5.651393,-0.125169,-4.729858,px4_default
79204000,5.622406,0.129771,-4.712857,5.654305,-0.183637,-4.731292,px4_default
79224000,5.628334,0.074300,-4.712753,5.655332,-0.222319,-4.732337,px4_default
79244000,5.633005,0.018741,-4.712652,5.655585,-0.280221,-4.733879,px4_default
79264000,5.636346,-0.036888,-4.712565,5.654873,-0.318628,-4.734902,px4_default
79284000,5.638783,-0.092522,-4.712491,5.652543,-0.376079,-4.736402,px4_default
79304000,5.640150,-0.148155,-4.712434,5.650135,-0.414151,-4.737392,px4_default
79324000,5.640212,-0.203756,-4.712401,5.645277,-0.470912,-4.738871,px4_default
79344000,5.639152,-0.259312,-4.712394,5.641221,-0.508628,-4.739839,px4_default
79364000,5.637151,-0.314811,-4.712409,5.633896,-0.564645,-4.741292,px4_default
79384000,5.634292,-0.370242,-4.712446,5.628207,-0.601793,-4.742258,px4_default
79404000,5.629963,-0.425503,-4.712525,5.618474,-0.657213,-4.743698,px4_default
79424000,5.624518,-0.480602,-4.712639,5.611155,-0.693794,-4.744689,px4_default
79444000,5.618157,-0.535553,-4.712783,5.598990,-0.748431,-4.746174,px4_default
79464000,5.610954,-0.590354,-4.712956,5.590085,-0.784580,-4.747198,px4_default
79484000,5.602726,-0.644959,-4.713165,5.575541,-0.838390,-4.748755,px4_default
79504000,5.592926,-0.699211,-4.713434,5.565074,-0.874085,-4.749789,px4_default
79524000,5.582334,-0.753248,-4.713734,5.548234,-0.927087,-4.751371,px4_default
79544000,5.570955,-0.807061,-4.714067,5.536263,-0.962330,-4.752408,px4_default
79564000,5.558630,-0.860585,-4.714437,5.517199,-1.014599,-4.753977,px4_default
79584000,5.544901,-0.913649,-4.714868,5.503758,-1.049203,-4.755023,px4_default
79604000,5.530224,-0.966368,-4.715340,5.482512,-1.100730,-4.756572,px4_default
79624000,5.514806,-1.018811,-4.715844,5.467635,-1.134675,-4.757616,px4_default
79644000,5.498359,-1.070820,-4.716395,5.444275,-1.185249,-4.759189,px4_default
79664000,5.480809,-1.122337,-4.716995,5.428025,-1.218635,-4.760238,px4_default
79684000,5.462399,-1.173444,-4.717633,5.402633,-1.268238,-4.761795,px4_default
79704000,5.443085,-1.224104,-4.718313,5.385026,-1.301057,-4.762827,px4_default
79724000,5.422741,-1.274231,-4.719038,5.357611,-1.349629,-4.764378,px4_default
79744000,5.401437,-1.323813,-4.719807,5.338652,-1.381680,-4.765397,px4_default
79764000,5.379293,-1.372885,-4.720612,5.309200,-1.429243,-4.766914,px4_default
79784000,5.356431,-1.421509,-4.721448,5.288904,-1.460499,-4.767936,px4_default
79804000,5.332454,-1.469409,-4.722332,5.257484,-1.507036,-4.769424,px4_default
79824000,5.307488,-1.516625,-4.723256,5.235908,-1.537589,-4.770384,px4_default
79844000,5.281739,-1.563271,-4.724211,5.202603,-1.582929,-4.771785,px4_default
79864000,5.255327,-1.609408,-4.725192,5.179787,-1.612750,-4.772708,px4_default
79884000,5.228158,-1.654948,-4.726200,5.144650,-1.656835,-4.774091,px4_default
79904000,5.199641,-1.699353,-4.727254,5.120619,-1.685855,-4.774990,px4_default
79924000,5.170485,-1.743185,-4.728328,5.083704,-1.728594,-4.776317,px4_default
79944000,5.140720,-1.786461,-4.729419,5.058513,-1.756643,-4.777154,px4_default
79964000,5.110228,-1.829055,-4.730530,5.019870,-1.798030,-4.778358,px4_default
79984000,5.078627,-1.870572,-4.731667,4.993584,-1.825061,-4.779136,px4_default
80004000,5.046251,-1.911247,-4.732817,4.953308,-1.864951,-4.780199,px4_default
80024000,5.013304,-1.951292,-4.733976,4.925913,-1.891032,-4.780867,px4_default
