timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
75996000,-0.038107,-0.036864,-4.688599,-0.032367,-0.035461,-4.684737,px4_default
76016000,-0.038102,-0.036858,-4.688112,-0.031477,-0.035101,-4.685610,px4_default
76060000,-0.037993,-0.036698,-4.686851,-0.029111,-0.033983,-4.688447,px4_default
76076000,-0.037840,-0.036475,-4.686244,-0.027547,-0.033150,-4.690544,px4_default
76096000,-0.037538,-0.036034,-4.685933,-0.025736,-0.032127,-4.693036,px4_default
76116000,-0.036993,-0.035240,-4.685888,-0.022385,-0.030199,-4.697538,px4_default
76136000,-0.036271,-0.034190,-4.686007,-0.019751,-0.028605,-4.700884,px4_default
76156000,-0.035285,-0.032755,-4.686325,-0.015186,-0.025718,-4.706223,px4_default
76176000,-0.033966,-0.030837,-4.686849,-0.011592,-0.023385,-4.709929,px4_default
76196000,-0.032268,-0.028370,-4.687552,-0.005542,-0.019315,-4.715394,px4_default
76216000,-0.030159,-0.025308,-4.688409,-0.000718,-0.016075,-4.719000,px4_default
76276000,-0.020900,-0.011895,-4.691680,0.021514,0.000012,-4.727138,px4_default
76296000,-0.016815,-0.005989,-4.692905,0.027981,0.004966,-4.727377,px4_default
76316000,-0.012080,0.000848,-4.694172,0.038342,0.013124,-4.726826,px4_default
76336000,-0.006451,0.008961,-4.695413,0.045789,0.019158,-4.725985,px4_default
76356000,-0.000143,0.018039,-4.696605,0.057861,0.029198,-4.724156,px4_default
76376000,0.006734,0.027923,-4.697725,0.066500,0.036513,-4.722727,px4_default
76396000,0.014185,0.038621,-4.698752,0.080675,0.048784,-4.720187,px4_default
76416000,0.022898,0.051101,-4.699098,0.090847,0.057696,-4.718409,px4_default
76436000,0.032205,0.064429,-4.698921,0.107273,0.072238,-4.715675,px4_default
76456000,0.042072,0.078561,-4.698288,0.119181,0.082991,-4.713861,px4_default
76476000,0.052593,0.093637,-4.697214,0.138202,0.100254,-4.711278,px4_default
76496000,0.063996,0.109997,-4.695658,0.151800,0.112701,-4.709661,px4_default
76516000,0.076448,0.127885,-4.693810,0.173486,0.132565,-4.707427,px4_default
