timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
77112000,0.033247,0.026863,-4.717373,0.027783,0.030680,-4.712448,px4_default
77132000,0.033252,0.026869,-4.716887,0.028008,0.031255,-4.713089,px4_default
77152000,0.033287,0.026921,-4.716292,0.028813,0.032364,-4.714700,px4_default
77172000,0.033361,0.027029,-4.715625,0.029613,0.033273,-4.716213,px4_default
77192000,0.033513,0.027252,-4.715019,0.031431,0.035034,-4.719178,px4_default
77212000,0.033816,0.027693,-4.714707,0.033042,0.036485,-4.721695,px4_default
77232000,0.034361,0.028487,-4.714663,0.036103,0.039119,-4.726151,px4_default
77252000,0.035082,0.029537,-4.714781,0.038616,0.041275,-4.729517,px4_default
77272000,0.036069,0.030972,-4.715099,0.043038,0.045023,-4.734832,px4_default
77292000,0.037388,0.032890,-4.715623,0.046480,0.047940,-4.738502,px4_default
77312000,0.039085,0.035357,-4.716327,0.052402,0.052980,-4.743951,px4_default
77332000,0.041195,0.038419,-4.717183,0.056781,0.056740,-4.747355,px4_default
77352000,0.043727,0.042093,-4.718169,0.064122,0.063157,-4.751678,px4_default
77372000,0.046811,0.046561,-4.719269,0.069442,0.067847,-4.753670,px4_default
77392000,0.050454,0.051832,-4.720454,0.077977,0.075514,-4.755355,px4_default
77412000,0.054539,0.057739,-4.721679,0.084239,0.081185,-4.755650,px4_default
77432000,0.059273,0.064575,-4.722947,0.094228,0.090334,-4.755323,px4_default
77452000,0.064903,0.072688,-4.724187,0.101517,0.097097,-4.754538,px4_default
77472000,0.071211,0.081766,-4.725379,0.113219,0.108143,-4.752917,px4_default
77492000,0.078088,0.091650,-4.726499,0.121644,0.116229,-4.751515,px4_default
77512000,0.085539,0.102349,-4.727526,0.135246,0.129560,-4.749119,px4_default
77532000,0.094252,0.114828,-4.727872,0.144882,0.139178,-4.747432,px4_default
77552000,0.103559,0.128156,-4.727695,0.160517,0.155116,-4.744731,px4_default
77572000,0.113426,0.142288,-4.727062,0.171657,0.166684,-4.742937,px4_default
77592000,0.123947,0.157364,-4.725988,0.189443,0.185469,-4.740281,px4_default
77612000,0.135349,0.173724,-4.724432,0.202160,0.199212,-4.738518,px4_default
77632000,0.147802,0.191612,-4.722585,0.222318,0.221289,-4.735973,px4_default
77652000,0.160864,0.210380,-4.720591,0.236569,0.237167,-4.734327,px4_default
77672000,0.174666,0.230208,-4.718440,0.259155,0.262722,-4.731880,px4_default
77692000,0.189302,0.251217,-4.716133,0.274976,0.280755,-4.730295,px4_default
77712000,0.204837,0.273476,-4.713682,0.299929,0.309610,-4.727955,px4_default
77732000,0.221159,0.296809,-4.711123,0.317314,0.329846,-4.726439,px4_default
77752000,0.238157,0.321053,-4.708482,0.344656,0.362291,-4.724144,px4_default
77772000,0.256028,0.346444,-4.705754,0.363649,0.384995,-4.722587,px4_default
77792000,0.274745,0.372927,-4.702956,0.393268,0.420655,-4.720140,px4_default
77812000,0.294044,0.400142,-4.700121,0.413824,0.445759,-4.718461,px4_default
77832000,0.314104,0.428307,-4.697244,0.445702,0.484836,-4.715852,px4_default
77852000,0.335164,0.457667,-4.694341,0.467688,0.512000,-4.714055,px4_default
77872000,0.356950,0.487874,-4.691431,0.501707,0.554367,-4.711259,px4_default
77892000,0.379310,0.518731,-4.688525,0.525016,0.583522,-4.709329,px4_default
77912000,0.402232,0.550220,-4.685627,0.561013,0.629065,-4.706323,px4_default
77932000,0.426306,0.582949,-4.682769,0.585610,0.660346,-4.704271,px4_default
77952000,0.451045,0.616353,-4.679956,0.623367,0.708615,-4.701133,px4_default
77972000,0.476364,0.650333,-4.677186,0.649100,0.741634,-4.699009,px4_default
77992000,0.502286,0.684896,-4.674466,0.688507,0.792382,-4.695829,px4_default
78012000,0.528962,0.720170,-4.671820,0.715324,0.827135,-4.693730,px4_default
78032000,0.556611,0.756292,-4.669294,0.756275,0.880303,-4.690653,px4_default
78052000,0.584778,0.792841,-4.666842,0.784064,0.916506,-4.688678,px4_default
78072000,0.613530,0.829860,-4.664477,0.826519,0.971811,-4.685861,px4_default
78092000,0.642962,0.867398,-4.662223,0.855287,1.009186,-4.684060,px4_default
78112000,0.673208,0.905516,-4.660113,0.899237,1.066151,-4.681485,px4_default
78132000,0.704106,0.944054,-4.658136,0.929000,1.104532,-4.679815,px4_default
78152000,0.735510,0.982908,-4.656264,0.974311,1.162606,-4.677368,px4_default
78172000,0.767651,1.022171,-4.654564,1.004995,1.201595,-4.675823,px4_default
78192000,0.800528,1.061815,-4.653044,1.051645,1.260378,-4.673644,px4_default
78212000,0.833884,1.101669,-4.651649,1.083197,1.299732,-4.672333,px4_default
78232000,0.867857,1.141786,-4.650421,1.131134,1.358841,-4.670642,px4_default
78252000,0.902586,1.182160,-4.649409,1.163537,1.398248,-4.669750,px4_default
78272000,0.937908,1.222702,-4.648542,1.212796,1.457213,-4.668767,px4_default
78292000,0.973708,1.263350,-4.647771,1.246038,1.496401,-4.668352,px4_default
78312000,1.009945,1.304082,-4.647079,1.296530,1.554761,-4.668129,px4_default
78332000,1.046993,1.344897,-4.646496,1.330569,1.593382,-4.668271,px4_default
78352000,1.084601,1.385688,-4.646016,1.382176,1.650805,-4.668849,px4_default
78372000,1.122674,1.426435,-4.645634,1.416952,1.688569,-4.669527,px4_default
78392000,1.161198,1.467111,-4.645366,1.469617,1.744590,-4.670872,px4_default
78412000,1.200261,1.507679,-4.645249,1.505046,1.781401,-4.672035,px4_default
78432000,1.240139,1.547973,-4.645423,1.558653,1.835679,-4.674159,px4_default
78452000,1.280421,1.588095,-4.645741,1.594694,1.871298,-4.675777,px4_default
78472000,1.321126,1.628026,-4.646212,1.649176,1.923463,-4.678565,px4_default
78492000,1.362330,1.667683,-4.646867,1.685777,1.957706,-4.680558,px4_default
78512000,1.404179,1.706904,-4.647767,1.740954,2.007653,-4.683879,px4_default
78532000,1.446499,1.745740,-4.648846,1.777951,2.040150,-4.686247,px4_default
78552000,1.489178,1.784275,-4.650061,1.833737,2.087656,-4.690012,px4_default
78572000,1.532371,1.822317,-4.651470,1.871042,2.118268,-4.692694,px4_default
78592000,1.576084,1.859809,-4.653077,1.927244,2.162946,-4.696858,px4_default
78612000,1.620149,1.896849,-4.654820,1.964799,2.191756,-4.699735,px4_default
78632000,1.664624,1.933336,-4.656723,2.021261,2.233426,-4.704203,px4_default
78652000,1.709566,1.969126,-4.658802,2.059044,2.260283,-4.707255,px4_default
78672000,1.754914,2.004254,-4.661029,2.115705,2.298718,-4.711998,px4_default
78692000,1.800603,2.038779,-4.663381,2.153521,2.323339,-4.715222,px4_default
78712000,1.846574,2.072761,-4.665834,2.210302,2.358724,-4.720132,px4_default
78732000,1.893005,2.105741,-4.668454,2.248101,2.381032,-4.723477,px4_default
78752000,1.939790,2.137839,-4.671192,2.304905,2.413278,-4.728446,px4_default
78772000,1.986853,2.169212,-4.674018,2.342622,2.433514,-4.731796,px4_default
78792000,2.034160,2.199909,-4.676920,2.399223,2.462324,-4.736771,px4_default
78812000,2.081743,2.229821,-4.679903,2.436863,2.480404,-4.740038,px4_default
78832000,2.129740,2.258209,-4.682998,2.493176,2.505879,-4.744723,px4_default
78852000,2.177919,2.285841,-4.686133,2.530668,2.521887,-4.747611,px4_default
78872000,2.226276,2.312725,-4.689307,2.586715,2.544056,-4.751593,px4_default
78892000,2.274840,2.338645,-4.692517,2.623983,2.557796,-4.754054,px4_default
78912000,2.323686,2.363090,-4.695765,2.679725,2.576815,-4.757538,px4_default
78932000,2.372711,2.386423,-4.699018,2.716753,2.588153,-4.759706,px4_default
78952000,2.421864,2.408906,-4.702271,2.772128,2.603632,-4.762723,px4_default
78972000,2.471162,2.430162,-4.705511,2.808889,2.612797,-4.764556,px4_default
78992000,2.520596,2.450091,-4.708697,2.863805,2.624786,-4.767063,px4_default
