timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
75104000,-0.011849,0.072119,-4.672876,-0.008567,0.067892,-4.667451,px4_default
75124000,-0.011845,0.072125,-4.672390,-0.007439,0.068006,-4.668466,px4_default
75144000,-0.011809,0.072177,-4.671795,-0.006464,0.068263,-4.669505,px4_default
75164000,-0.011735,0.072285,-4.671128,-0.004554,0.068988,-4.671808,px4_default
75184000,-0.011583,0.072508,-4.670522,-0.002968,0.069703,-4.673845,px4_default
75204000,-0.011280,0.072949,-4.670210,-0.000029,0.071234,-4.677710,px4_default
75224000,-0.010735,0.073743,-4.670166,0.002307,0.072547,-4.680731,px4_default
75244000,-0.010014,0.074793,-4.670284,0.006551,0.075161,-4.685841,px4_default
75264000,-0.009028,0.076228,-4.670602,0.009809,0.077288,-4.689458,px4_default
75284000,-0.007709,0.078146,-4.671126,0.015358,0.081093,-4.695004,px4_default
75304000,-0.006011,0.080613,-4.671830,0.019597,0.084129,-4.698723,px4_default
75324000,-0.003901,0.083675,-4.672686,0.026638,0.089291,-4.703928,px4_default
75344000,-0.001369,0.087348,-4.673672,0.031756,0.093170,-4.706794,px4_default
75364000,0.001715,0.091816,-4.674772,0.040126,0.099610,-4.709671,px4_default
75384000,0.005358,0.097088,-4.675957,0.046099,0.104279,-4.710686,px4_default
75404000,0.009443,0.102994,-4.677182,0.055800,0.112113,-4.710908,px4_default
75424000,0.014177,0.109831,-4.678450,0.062738,0.117829,-4.710366,px4_default
75444000,0.019806,0.117944,-4.679690,0.073959,0.127239,-4.708883,px4_default
75464000,0.026114,0.127022,-4.680882,0.082012,0.134167,-4.707563,px4_default
75484000,0.032992,0.136906,-4.682002,0.094951,0.145539,-4.705190,px4_default
75504000,0.040443,0.147604,-4.683029,0.104318,0.154035,-4.703314,px4_default
75524000,0.049156,0.160084,-4.683375,0.119368,0.167854,-4.700446,px4_default
75544000,0.058462,0.173412,-4.683198,0.130145,0.177942,-4.698487,px4_default
75564000,0.068330,0.187544,-4.682565,0.147511,0.194457,-4.695597,px4_default
75584000,0.078851,0.202620,-4.681491,0.159857,0.206243,-4.693746,px4_default
75604000,0.090253,0.218980,-4.679935,0.179792,0.225754,-4.691136,px4_default
75624000,0.102706,0.236868,-4.678088,0.193911,0.239686,-4.689529,px4_default
75644000,0.115768,0.255636,-4.676094,0.216424,0.261994,-4.687310,px4_default
75664000,0.129570,0.275463,-4.673943,0.232434,0.278180,-4.685924,px4_default
75684000,0.144206,0.296473,-4.671636,0.257759,0.303702,-4.683989,px4_default
75704000,0.159740,0.318732,-4.669185,0.275601,0.321782,-4.682775,px4_default
75724000,0.176063,0.342065,-4.666626,0.303734,0.350179,-4.681058,px4_default
75744000,0.193061,0.366309,-4.663985,0.323434,0.370241,-4.679949,px4_default
75764000,0.210932,0.391700,-4.661257,0.354422,0.402030,-4.678252,px4_default
75784000,0.229648,0.418183,-4.658459,0.376003,0.424080,-4.677088,px4_default
75804000,0.248947,0.445398,-4.655624,0.409764,0.459348,-4.675204,px4_default
75824000,0.269007,0.473563,-4.652747,0.433148,0.483898,-4.673860,px4_default
75844000,0.290067,0.502923,-4.649844,0.469496,0.522308,-4.671684,px4_default
75864000,0.311854,0.533130,-4.646934,0.494538,0.549473,-4.670066,px4_default
75884000,0.334213,0.563987,-4.644028,0.533245,0.591660,-4.667436,px4_default
75904000,0.357135,0.595476,-4.641129,0.559757,0.621070,-4.665533,px4_default
75924000,0.381209,0.628205,-4.638272,0.600475,0.667090,-4.662424,px4_default
75944000,0.405949,0.661608,-4.635459,0.628238,0.698772,-4.660199,px4_default
75964000,0.431268,0.695589,-4.632689,0.670618,0.748614,-4.656615,px4_default
75984000,0.457190,0.730152,-4.629969,0.699423,0.782586,-4.654140,px4_default
76004000,0.483866,0.765426,-4.627323,0.743138,0.835733,-4.650215,px4_default
76024000,0.511514,0.801548,-4.624797,0.772641,0.872226,-4.647511,px4_default
76044000,0.539682,0.838097,-4.622345,0.817347,0.928544,-4.643377,px4_default
76064000,0.568434,0.875116,-4.619980,0.847295,0.967391,-4.640616,px4_default
76084000,0.597866,0.912654,-4.617726,0.892587,1.026937,-4.636530,px4_default
76104000,0.628112,0.950772,-4.615616,0.922923,1.067605,-4.633829,px4_default
76124000,0.659010,0.989310,-4.613639,0.968591,1.129887,-4.629836,px4_default
