timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
75756000,-0.052331,0.015674,-4.703129,-0.034860,0.023886,-4.705473,px4_default
75776000,-0.052326,0.015681,-4.702643,-0.033155,0.024868,-4.706966,px4_default
75796000,-0.052291,0.015733,-4.702048,-0.030212,0.026632,-4.709876,px4_default
75816000,-0.052217,0.015841,-4.701381,-0.028001,0.027996,-4.712245,px4_default
75836000,-0.052064,0.016063,-4.700775,-0.024258,0.030364,-4.716649,px4_default
75856000,-0.051762,0.016504,-4.700463,-0.021444,0.032207,-4.720105,px4_default
75876000,-0.051217,0.017298,-4.700419,-0.016711,0.035386,-4.725835,px4_default
75896000,-0.050496,0.018349,-4.700537,-0.013138,0.037836,-4.730001,px4_default
75916000,-0.049509,0.019784,-4.700856,-0.007266,0.041977,-4.736394,px4_default
75936000,-0.048190,0.021701,-4.701380,-0.002949,0.045095,-4.740701,px4_default
75956000,-0.046492,0.024168,-4.702083,0.004189,0.050320,-4.747007,px4_default
75976000,-0.044383,0.027231,-4.702940,0.009309,0.054153,-4.750854,px4_default
75996000,-0.041850,0.030904,-4.703925,0.017642,0.060490,-4.755615,px4_default
76016000,-0.038767,0.035372,-4.705025,0.023558,0.065064,-4.757848,px4_default
76036000,-0.035124,0.040644,-4.706211,0.032988,0.072485,-4.759851,px4_default
76056000,-0.031039,0.046550,-4.707436,0.039721,0.077915,-4.760329,px4_default
76076000,-0.026304,0.053387,-4.708703,0.050462,0.086767,-4.760116,px4_default
76096000,-0.020675,0.061499,-4.709944,0.058153,0.093252,-4.759477,px4_default
76116000,-0.014367,0.070577,-4.711135,0.070420,0.103869,-4.758037,px4_default
76136000,-0.007490,0.080462,-4.712255,0.079170,0.111620,-4.756760,px4_default
76156000,-0.000039,0.091160,-4.713283,0.093230,0.124402,-4.754518,px4_default
76176000,0.008674,0.103640,-4.713628,0.103176,0.133667,-4.752899,px4_default
76196000,0.017981,0.116967,-4.713452,0.119219,0.149018,-4.750317,px4_default
76216000,0.027848,0.131100,-4.712819,0.130577,0.160145,-4.748599,px4_default
76236000,0.038369,0.146176,-4.711744,0.148643,0.178239,-4.746026,px4_default
76256000,0.049771,0.162536,-4.710189,0.161537,0.191470,-4.744380,px4_default
76276000,0.062224,0.180424,-4.708341,0.181911,0.212684,-4.742010,px4_default
76296000,0.075286,0.199192,-4.706347,0.196290,0.227915,-4.740480,px4_default
76316000,0.089088,0.219019,-4.704196,0.219068,0.252426,-4.738229,px4_default
76336000,0.103724,0.240028,-4.701889,0.234977,0.269673,-4.736739,px4_default
76356000,0.119259,0.262287,-4.699438,0.260193,0.297474,-4.734521,px4_default
76376000,0.135581,0.285620,-4.696880,0.277684,0.316789,-4.733037,px4_default
76396000,0.152579,0.309865,-4.694238,0.305214,0.347741,-4.730795,px4_default
76416000,0.170450,0.335255,-4.691511,0.324336,0.369399,-4.729263,px4_default
76436000,0.189167,0.361738,-4.688713,0.354158,0.403413,-4.726880,px4_default
76456000,0.208466,0.388954,-4.685878,0.374874,0.427354,-4.725212,px4_default
76476000,0.228526,0.417118,-4.683001,0.407014,0.464633,-4.722592,px4_default
76496000,0.249586,0.446478,-4.680097,0.429188,0.490546,-4.720768,px4_default
76516000,0.271372,0.476686,-4.677187,0.463571,0.531009,-4.717886,px4_default
76536000,0.293732,0.507542,-4.674282,0.487167,0.558874,-4.715867,px4_default
76556000,0.316654,0.539031,-4.671383,0.523734,0.602433,-4.712667,px4_default
76576000,0.340728,0.571761,-4.668526,0.548775,0.632381,-4.710436,px4_default
76596000,0.365467,0.605164,-4.665712,0.587299,0.678636,-4.706980,px4_default
76616000,0.390786,0.639144,-4.662942,0.613694,0.710511,-4.704615,px4_default
76636000,0.416708,0.673708,-4.660223,0.654065,0.759287,-4.701055,px4_default
76656000,0.443384,0.708982,-4.657576,0.681639,0.792721,-4.698688,px4_default
76676000,0.471033,0.745103,-4.655051,0.723811,0.843885,-4.695178,px4_default
76696000,0.499200,0.781653,-4.652599,0.752512,0.878724,-4.692885,px4_default
76716000,0.527952,0.818672,-4.650234,0.796399,0.931981,-4.689535,px4_default
76736000,0.557384,0.856210,-4.647979,0.826141,0.968037,-4.687346,px4_default
76756000,0.587630,0.894328,-4.645870,0.871614,1.023016,-4.684115,px4_default
76776000,0.618528,0.932865,-4.643892,0.902391,1.060110,-4.682001,px4_default
76796000,0.649932,0.971719,-4.642021,0.949224,1.116349,-4.678891,px4_default
76816000,0.682073,1.010983,-4.640320,0.980933,1.154217,-4.676919,px4_default
76836000,0.714950,1.050626,-4.638800,1.029088,1.211374,-4.674118,px4_default
76856000,0.748306,1.090480,-4.637406,1.061622,1.249704,-4.672438,px4_default
