timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
76548000,0.007371,-0.019161,-4.716122,0.003510,-0.011464,-4.711626,px4_default
76568000,0.007375,-0.019154,-4.715636,0.003589,-0.010664,-4.712348,px4_default
76588000,0.007411,-0.019103,-4.715041,0.004060,-0.009269,-4.714092,px4_default
76608000,0.007485,-0.018994,-4.714374,0.004630,-0.008178,-4.715654,px4_default
76628000,0.007637,-0.018772,-4.713768,0.005969,-0.006204,-4.718864,px4_default
76648000,0.007940,-0.018331,-4.713456,0.007242,-0.004637,-4.721583,px4_default
76668000,0.008485,-0.017537,-4.713412,0.009746,-0.001871,-4.726349,px4_default
76688000,0.009206,-0.016487,-4.713530,0.011863,0.000328,-4.729928,px4_default
76708000,0.010192,-0.015051,-4.713849,0.015693,0.004116,-4.735564,px4_default
76728000,0.011511,-0.013134,-4.714373,0.018742,0.007026,-4.739436,px4_default
76748000,0.013209,-0.010667,-4.715076,0.024072,0.012018,-4.745184,px4_default
76768000,0.015319,-0.007604,-4.715932,0.028066,0.015722,-4.748779,px4_default
76788000,0.017851,-0.003931,-4.716918,0.034842,0.021896,-4.753341,px4_default
76808000,0.020935,0.000537,-4.718018,0.039770,0.026366,-4.755584,px4_default
76828000,0.024578,0.005808,-4.719203,0.047944,0.033788,-4.757531,px4_default
76848000,0.028663,0.011715,-4.720428,0.053863,0.039139,-4.757963,px4_default
76868000,0.033397,0.018551,-4.721696,0.063506,0.047847,-4.757597,px4_default
76888000,0.039026,0.026664,-4.722937,0.070549,0.054285,-4.756697,px4_default
76908000,0.045335,0.035742,-4.724128,0.081930,0.064772,-4.754843,px4_default
76928000,0.052212,0.045626,-4.725248,0.090181,0.072417,-4.753257,px4_default
76948000,0.059663,0.056325,-4.726275,0.103600,0.084987,-4.750514,px4_default
76968000,0.068376,0.068804,-4.726621,0.113202,0.094006,-4.748586,px4_default
76988000,0.077682,0.082132,-4.726445,0.128906,0.108941,-4.745475,px4_default
77008000,0.087550,0.096264,-4.725811,0.140168,0.119707,-4.743412,px4_default
77028000,0.098071,0.111340,-4.724737,0.158269,0.137080,-4.740385,px4_default
77048000,0.109473,0.127700,-4.723182,0.171196,0.149506,-4.738465,px4_default
77068000,0.121926,0.145589,-4.721334,0.191923,0.169432,-4.735760,px4_default
77088000,0.134988,0.164356,-4.719340,0.206762,0.183893,-4.734092,px4_default
77108000,0.148790,0.184184,-4.717189,0.230346,0.206751,-4.731787,px4_default
77128000,0.163426,0.205193,-4.714882,0.247074,0.222992,-4.730385,px4_default
77148000,0.178960,0.227452,-4.712431,0.273672,0.248853,-4.728464,px4_default
77168000,0.195283,0.250785,-4.709873,0.292356,0.266877,-4.727259,px4_default
77188000,0.212281,0.275029,-4.707231,0.322002,0.295840,-4.725584,px4_default
77208000,0.230152,0.300420,-4.704504,0.342744,0.316107,-4.724506,px4_default
77228000,0.248868,0.326903,-4.701705,0.375314,0.347959,-4.722870,px4_default
77248000,0.268167,0.354118,-4.698871,0.398002,0.370550,-4.721718,px4_default
77268000,0.288227,0.382283,-4.695993,0.433368,0.405752,-4.719872,px4_default
77288000,0.309287,0.411643,-4.693090,0.457824,0.430377,-4.718516,px4_default
77308000,0.331074,0.441850,-4.690180,0.495732,0.468682,-4.716291,px4_default
77328000,0.353433,0.472707,-4.687274,0.521768,0.495407,-4.714654,px4_default
77348000,0.376355,0.504196,-4.684376,0.561860,0.537316,-4.711961,px4_default
77368000,0.400429,0.536926,-4.681519,0.589272,0.566244,-4.710010,px4_default
77388000,0.425169,0.570329,-4.678705,0.631191,0.611853,-4.706777,px4_default
77408000,0.450488,0.604309,-4.675935,0.659689,0.643367,-4.704478,px4_default
77428000,0.476410,0.638872,-4.673215,0.703175,0.692332,-4.700821,px4_default
77448000,0.503086,0.674146,-4.670569,0.732542,0.726399,-4.698218,px4_default
77468000,0.530734,0.710268,-4.668044,0.777213,0.778990,-4.694242,px4_default
77488000,0.558902,0.746817,-4.665592,0.807314,0.815231,-4.691526,px4_default
77508000,0.587654,0.783837,-4.663227,0.852855,0.871293,-4.687403,px4_default
77528000,0.617086,0.821375,-4.660972,0.883483,0.909604,-4.684672,px4_default
77548000,0.647332,0.859493,-4.658863,0.929629,0.968771,-4.680532,px4_default
77568000,0.678230,0.898030,-4.656885,0.960616,1.008884,-4.677783,px4_default
77588000,0.709634,0.936884,-4.655014,1.007149,1.070452,-4.673670,px4_default
77608000,0.741775,0.976148,-4.653313,1.038255,1.112185,-4.670990,px4_default
77628000,0.774652,1.015791,-4.651793,1.085001,1.175729,-4.667143,px4_default
