timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
75912000,-0.006748,-0.044085,-4.698142,-0.010196,-0.049828,-4.688061,px4_default
75932000,-0.006744,-0.044078,-4.697655,-0.009825,-0.049693,-4.688721,px4_default
75952000,-0.006708,-0.044026,-4.697061,-0.009344,-0.049426,-4.689577,px4_default
75972000,-0.006634,-0.043918,-4.696393,-0.008202,-0.048718,-4.691604,px4_default
75992000,-0.006482,-0.043696,-4.695787,-0.007084,-0.047988,-4.693549,px4_default
76012000,-0.006179,-0.043255,-4.695476,-0.004876,-0.046486,-4.697298,px4_default
76032000,-0.005634,-0.042461,-4.695431,-0.003004,-0.045192,-4.700278,px4_default
76052000,-0.004913,-0.041410,-4.695549,0.000501,-0.042756,-4.705304,px4_default
76072000,-0.003927,-0.039975,-4.695868,0.003266,-0.040796,-4.708837,px4_default
76092000,-0.002608,-0.038058,-4.696392,0.008158,-0.037273,-4.714365,px4_default
76112000,-0.000910,-0.035591,-4.697095,0.011818,-0.034561,-4.717974,px4_default
76132000,0.001200,-0.032528,-4.697952,0.018174,-0.029860,-4.723063,px4_default
76152000,0.003732,-0.028855,-4.698937,0.025309,-0.024415,-4.727020,px4_default
76172000,0.006816,-0.024387,-4.700037,0.030444,-0.020417,-4.728785,px4_default
76192000,0.010459,-0.019115,-4.701223,0.036083,-0.016020,-4.729837,px4_default
76212000,0.014544,-0.013209,-4.702448,0.045171,-0.008768,-4.730292,px4_default
76232000,0.019278,-0.006372,-4.703715,0.051755,-0.003412,-4.730010,px4_default
76252000,0.024907,0.001740,-4.704956,0.062569,0.005499,-4.728931,px4_default
76272000,0.031216,0.010818,-4.706148,0.070356,0.012029,-4.727955,px4_default
76292000,0.038093,0.020703,-4.707268,0.083151,0.022926,-4.726043,px4_default
76312000,0.045544,0.031401,-4.708295,0.092363,0.030896,-4.724627,px4_default
76332000,0.054257,0.043881,-4.708641,0.107263,0.043950,-4.722371,px4_default
76352000,0.063563,0.057208,-4.708464,0.118051,0.053594,-4.720803,px4_default
76372000,0.073431,0.071341,-4.707831,0.135202,0.069039,-4.718532,px4_default
76392000,0.083952,0.086417,-4.706757,0.147579,0.080346,-4.717030,px4_default
76412000,0.095354,0.102777,-4.705201,0.167355,0.098508,-4.714906,px4_default
76432000,0.107807,0.120665,-4.703353,0.181432,0.111551,-4.713559,px4_default
76452000,0.120869,0.139433,-4.701359,0.203951,0.132573,-4.711636,px4_default
76472000,0.134671,0.159260,-4.699208,0.219859,0.147395,-4.710427,px4_default
76492000,0.149307,0.180269,-4.696901,0.245250,0.171444,-4.708666,px4_default
76512000,0.164841,0.202529,-4.694450,0.263121,0.188402,-4.707538,px4_default
76532000,0.181164,0.225861,-4.691892,0.291396,0.215217,-4.705909,px4_default
76552000,0.198162,0.250106,-4.689250,0.311303,0.234349,-4.704778,px4_default
76572000,0.216033,0.275496,-4.686523,0.342582,0.264271,-4.703075,px4_default
76592000,0.234749,0.301980,-4.683725,0.364417,0.285268,-4.701918,px4_default
76612000,0.254048,0.329195,-4.680890,0.398593,0.318363,-4.700035,px4_default
76632000,0.274108,0.357359,-4.678013,0.422289,0.341262,-4.698687,px4_default
76652000,0.295168,0.386720,-4.675109,0.459164,0.377206,-4.696489,px4_default
76672000,0.316955,0.416927,-4.672199,0.484611,0.402017,-4.694900,px4_default
76692000,0.339314,0.447784,-4.669294,0.523958,0.441228,-4.692215,px4_default
76712000,0.362236,0.479273,-4.666395,0.550964,0.468354,-4.690258,px4_default
76732000,0.386310,0.512002,-4.663538,0.592566,0.510552,-4.687095,px4_default
76752000,0.411050,0.545405,-4.660725,0.620928,0.540008,-4.684799,px4_default
76772000,0.436369,0.579385,-4.657954,0.664424,0.585556,-4.681242,px4_default
76792000,0.462291,0.613949,-4.655235,0.693971,0.617053,-4.678747,px4_default
76812000,0.488967,0.649223,-4.652588,0.739003,0.665978,-4.674866,px4_default
76832000,0.516615,0.685344,-4.650063,0.769509,0.699515,-4.672252,px4_default
76852000,0.544783,0.721894,-4.647611,0.815670,0.751745,-4.668262,px4_default
76872000,0.573535,0.758913,-4.645246,0.846780,0.787520,-4.665606,px4_default
76892000,0.602967,0.796451,-4.642992,0.893870,0.842588,-4.661684,px4_default
76912000,0.633213,0.834569,-4.640882,0.925523,0.880156,-4.659092,px4_default
76932000,0.664111,0.873106,-4.638905,0.973303,0.937735,-4.655222,px4_default
76952000,0.695515,0.911960,-4.637033,1.005240,0.977048,-4.652677,px4_default
76972000,0.727656,0.951224,-4.635333,1.053411,1.036956,-4.648936,px4_default
76992000,0.760533,0.990867,-4.633812,1.085608,1.077584,-4.646536,px4_default
77012000,0.793889,1.030722,-4.632418,1.133986,1.139430,-4.643190,px4_default
77032000,0.827862,1.070838,-4.631189,1.166342,1.181124,-4.641194,px4_default
77052000,0.862591,1.111212,-4.630178,1.214874,1.244429,-4.638622,px4_default
77072000,0.897912,1.151754,-4.629311,1.247284,1.286946,-4.637209,px4_default
77092000,0.933713,1.192403,-4.628540,1.295997,1.351072,-4.635581,px4_default
77112000,0.969950,1.233135,-4.627848,1.328469,1.393969,-4.634889,px4_default
77132000,1.006997,1.273950,-4.627265,1.377270,1.458354,-4.634351,px4_default
77152000,1.044606,1.314740,-4.626784,1.409836,1.501217,-4.634359,px4_default
77172000,1.082679,1.355487,-4.626403,1.458792,1.565281,-4.634851,px4_default
77192000,1.121203,1.396164,-4.626135,1.491463,1.607730,-4.635519,px4_default
77212000,1.160266,1.436731,-4.626018,1.540527,1.670841,-4.637025,px4_default
77232000,1.200144,1.477025,-4.626192,1.573349,1.712533,-4.638303,px4_default
77252000,1.240425,1.517148,-4.626510,1.622684,1.774063,-4.640759,px4_default
77272000,1.281131,1.557079,-4.626981,1.655702,1.814497,-4.642663,px4_default
77292000,1.322335,1.596735,-4.627635,1.705438,1.874179,-4.645885,px4_default
77312000,1.364183,1.635956,-4.628535,1.738758,1.913042,-4.648331,px4_default
77332000,1.406504,1.674792,-4.629615,1.789003,1.970251,-4.652272,px4_default
77352000,1.449182,1.713327,-4.630830,1.822663,2.007497,-4.655103,px4_default
77372000,1.492375,1.751369,-4.632239,1.873412,2.061880,-4.659621,px4_default
77392000,1.536089,1.788862,-4.633846,1.907440,2.097260,-4.662768,px4_default
77412000,1.580153,1.825902,-4.635589,1.958713,2.148460,-4.667756,px4_default
77432000,1.624629,1.862389,-4.637491,1.993104,2.181808,-4.671140,px4_default
77452000,1.669571,1.898178,-4.639570,2.044915,2.229825,-4.676445,px4_default
77472000,1.714919,1.933307,-4.641798,2.079627,2.260723,-4.680051,px4_default
77492000,1.760607,1.967831,-4.644150,2.131921,2.305361,-4.685547,px4_default
