timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
74932000,0.079431,0.011272,-4.668558,0.086509,0.009732,-4.665821,px4_default
74952000,0.079435,0.011279,-4.668072,0.087401,0.010054,-4.666891,px4_default
74972000,0.079471,0.011331,-4.667477,0.089065,0.010817,-4.669237,px4_default
74992000,0.079545,0.011439,-4.666810,0.090424,0.011529,-4.671233,px4_default
75012000,0.079697,0.011661,-4.666204,0.092950,0.012967,-4.675168,px4_default
75032000,0.080000,0.012102,-4.665892,0.096092,0.014895,-4.679993,px4_default
75052000,0.080545,0.012896,-4.665848,0.098543,0.016465,-4.683571,px4_default
75072000,0.081266,0.013947,-4.665966,0.101391,0.018318,-4.687464,px4_default
75092000,0.082252,0.015382,-4.666285,0.106203,0.021612,-4.693472,px4_default
75112000,0.083571,0.017299,-4.666809,0.109852,0.024191,-4.697552,px4_default
75132000,0.085269,0.019766,-4.667512,0.116050,0.028692,-4.703578,px4_default
75152000,0.087379,0.022829,-4.668368,0.120575,0.032094,-4.707330,px4_default
75172000,0.089911,0.026502,-4.669354,0.128091,0.037943,-4.712149,px4_default
75192000,0.092995,0.030970,-4.670454,0.133423,0.042175,-4.714504,px4_default
75212000,0.096638,0.036242,-4.671639,0.142134,0.049239,-4.716627,px4_default
75232000,0.100723,0.042148,-4.672864,0.148305,0.054403,-4.717191,px4_default
75252000,0.105457,0.048985,-4.674132,0.158275,0.062878,-4.717086,px4_default
75272000,0.111086,0.057097,-4.675373,0.165523,0.069144,-4.716402,px4_default
75292000,0.117395,0.066175,-4.676564,0.177165,0.079416,-4.714866,px4_default
75312000,0.124272,0.076060,-4.677684,0.185525,0.086918,-4.713499,px4_default
75332000,0.131723,0.086758,-4.678711,0.199046,0.099291,-4.711016,px4_default
75352000,0.140436,0.099238,-4.679057,0.208693,0.108232,-4.709240,px4_default
75372000,0.149742,0.112565,-4.678881,0.224294,0.123021,-4.706367,px4_default
75392000,0.159610,0.126698,-4.678247,0.235454,0.133698,-4.704468,px4_default
75412000,0.170131,0.141774,-4.677173,0.253369,0.150978,-4.701662,px4_default
75432000,0.181533,0.158134,-4.675618,0.266214,0.163637,-4.699825,px4_default
75452000,0.193986,0.176022,-4.673770,0.286615,0.183582,-4.697166,px4_default
75472000,0.207048,0.194790,-4.671776,0.301167,0.198087,-4.695477,px4_default
75492000,0.220850,0.214617,-4.669625,0.324276,0.221129,-4.693089,px4_default
75512000,0.235486,0.235626,-4.667318,0.340589,0.237556,-4.691559,px4_default
75532000,0.251020,0.257885,-4.664867,0.366446,0.263819,-4.689376,px4_default
75552000,0.267343,0.281218,-4.662309,0.384576,0.282200,-4.687976,px4_default
75572000,0.284341,0.305463,-4.659667,0.413171,0.311790,-4.685942,px4_default
75592000,0.302212,0.330853,-4.656940,0.433106,0.332557,-4.684587,px4_default
75612000,0.320929,0.357336,-4.654141,0.464298,0.365281,-4.682508,px4_default
75632000,0.340228,0.384552,-4.651307,0.485932,0.388536,-4.681070,px4_default
75652000,0.360287,0.412716,-4.648429,0.519590,0.424843,-4.678792,px4_default
75672000,0.381347,0.442076,-4.645526,0.542804,0.450257,-4.677179,px4_default
75692000,0.403134,0.472284,-4.642616,0.578732,0.490209,-4.674573,px4_default
75712000,0.425494,0.503141,-4.639710,0.603402,0.517843,-4.672693,px4_default
75732000,0.448415,0.534629,-4.636812,0.641351,0.561136,-4.669647,px4_default
75752000,0.472489,0.567359,-4.633955,0.667276,0.591015,-4.667465,px4_default
75772000,0.497229,0.600762,-4.631141,0.706913,0.638058,-4.663943,px4_default
75792000,0.522548,0.634742,-4.628371,0.733849,0.670540,-4.661474,px4_default
75812000,0.548470,0.669306,-4.625651,0.774942,0.720954,-4.657616,px4_default
75832000,0.575146,0.704580,-4.623005,0.802647,0.755939,-4.654974,px4_default
75852000,0.602794,0.740701,-4.620480,0.844771,0.809880,-4.650970,px4_default
75872000,0.630962,0.777251,-4.618028,0.873132,0.846973,-4.648292,px4_default
75892000,0.659714,0.814270,-4.615663,0.916080,0.904144,-4.644329,px4_default
75912000,0.689146,0.851808,-4.613408,0.944983,0.943119,-4.641744,px4_default
75932000,0.719392,0.889926,-4.611299,0.988539,1.003075,-4.637926,px4_default
75952000,0.750290,0.928463,-4.609321,1.017737,1.043793,-4.635423,px4_default
75972000,0.781694,0.967317,-4.607450,1.061718,1.105902,-4.631746,px4_default
75992000,0.813835,1.006581,-4.605749,1.091128,1.147890,-4.629397,px4_default
76012000,0.846712,1.046224,-4.604229,1.135351,1.211654,-4.626104,px4_default
76032000,0.880068,1.086078,-4.602835,1.164833,1.254653,-4.624125,px4_default
76052000,0.914041,1.126195,-4.601606,1.209237,1.319635,-4.621488,px4_default
76072000,0.948770,1.166569,-4.600595,1.238892,1.363217,-4.620062,px4_default
76092000,0.984091,1.207111,-4.599728,1.283508,1.428781,-4.618455,px4_default
76112000,1.019892,1.247760,-4.598956,1.313394,1.472567,-4.617721,px4_default
76132000,1.056129,1.288492,-4.598265,1.358346,1.538022,-4.617207,px4_default
76152000,1.093177,1.329307,-4.597682,1.388472,1.581491,-4.617208,px4_default
76172000,1.130785,1.370097,-4.597201,1.433948,1.646316,-4.617724,px4_default
76192000,1.168858,1.410844,-4.596819,1.464445,1.689026,-4.618475,px4_default
76212000,1.207382,1.451521,-4.596551,1.510547,1.752491,-4.620028,px4_default
76232000,1.246445,1.492088,-4.596435,1.541527,1.794210,-4.621372,px4_default
76252000,1.286323,1.532382,-4.596608,1.588383,1.855944,-4.623734,px4_default
76272000,1.326605,1.572505,-4.596926,1.619859,1.896332,-4.625558,px4_default
76292000,1.367310,1.612435,-4.597397,1.667456,1.955631,-4.628662,px4_default
76312000,1.408514,1.652092,-4.598052,1.699488,1.994423,-4.630909,px4_default
76332000,1.450362,1.691313,-4.598952,1.747926,2.050864,-4.634658,px4_default
76352000,1.492683,1.730149,-4.600031,1.780532,2.087537,-4.637311,px4_default
76372000,1.535361,1.768684,-4.601246,1.829909,2.141059,-4.641530,px4_default
76392000,1.578554,1.806726,-4.602655,1.863120,2.175420,-4.644510,px4_default
76412000,1.622268,1.844218,-4.604262,1.913443,2.225485,-4.649148,px4_default
76432000,1.666332,1.881258,-4.606006,1.947318,2.257656,-4.652349,px4_default
76452000,1.710808,1.917746,-4.607908,1.998616,2.304097,-4.657248,px4_default
76472000,1.755750,1.953535,-4.609987,2.033134,2.334009,-4.660547,px4_default
76492000,1.801098,1.988664,-4.612215,2.085372,2.376704,-4.665545,px4_default
76512000,1.846786,2.023188,-4.614566,2.120500,2.404262,-4.668874,px4_default
76532000,1.892758,2.057171,-4.617020,2.173599,2.443336,-4.673869,px4_default
76552000,1.939189,2.090150,-4.619639,2.209263,2.468148,-4.677181,px4_default
76572000,1.985974,2.122248,-4.622377,2.263125,2.503496,-4.682110,px4_default
76592000,2.033036,2.153622,-4.625204,2.299234,2.525531,-4.685389,px4_default
76612000,2.080344,2.184319,-4.628105,2.353690,2.556864,-4.690218,px4_default
76632000,2.127927,2.214230,-4.631088,2.390132,2.576413,-4.693359,px4_default
76652000,2.175924,2.242618,-4.634183,2.444998,2.603747,-4.697848,px4_default
76672000,2.224103,2.270251,-4.637319,2.481707,2.620846,-4.700617,px4_default
76692000,2.272460,2.297135,-4.640492,2.536885,2.644264,-4.704422,px4_default
76712000,2.321024,2.323055,-4.643702,2.573741,2.658649,-4.706780,px4_default
76732000,2.369870,2.347499,-4.646950,2.629144,2.678363,-4.710095,px4_default
76752000,2.418895,2.370833,-4.650203,2.666131,2.689989,-4.712142,px4_default
76772000,2.468048,2.393316,-4.653457,2.721667,2.705964,-4.714937,px4_default
76792000,2.517346,2.414572,-4.656696,2.758718,2.715132,-4.716600,px4_default
76812000,2.566780,2.434500,-4.659882,2.814359,2.727164,-4.718834,px4_default
76832000,2.616306,2.453326,-4.662948,2.851449,2.733878,-4.720155,px4_default
76852000,2.665927,2.470967,-4.665874,2.907070,2.741975,-4.721856,px4_default
76872000,2.715642,2.487294,-4.668629,2.944174,2.746217,-4.722820,px4_default
76892000,2.765432,2.502273,-4.671250,2.999787,2.750313,-4.723961,px4_default
76912000,2.815279,2.516002,-4.673766,3.036821,2.751822,-4.724530,px4_default
76932000,2.865171,2.528709,-4.676188,3.092380,2.752237,-4.725064,px4_default
76952000,2.915134,2.539789,-4.678447,3.129412,2.751040,-4.725180,px4_default
76972000,2.965157,2.549285,-4.680534,3.184953,2.747574,-4.725044,px4_default
76992000,3.015213,2.557545,-4.682487,3.221955,2.744004,-4.724736,px4_default
77012000,3.065286,2.564753,-4.684327,3.277472,2.736771,-4.723969,px4_default
77032000,3.115370,2.570830,-4.686047,3.332991,2.727600,-4.722872,px4_default
77052000,3.165460,2.574512,-4.687513,3.369974,2.720181,-4.721927,px4_default
77072000,3.215545,2.577121,-4.688856,3.406976,2.711981,-4.720875,px4_default
77092000,3.265622,2.578681,-4.690076,3.462517,2.697745,-4.719079,px4_default
77112000,3.315671,2.578974,-4.691142,3.499533,2.687117,-4.717794,px4_default
77132000,3.365654,2.577447,-4.691972,3.555048,2.669478,-4.715654,px4_default
77152000,3.415561,2.574395,-4.692603,3.592065,2.656448,-4.714131,px4_default
77172000,3.465409,2.570301,-4.693099,3.647616,2.635301,-4.711743,px4_default
77192000,3.515166,2.564848,-4.693417,3.684640,2.620057,-4.710035,px4_default
77212000,3.564808,2.557912,-4.693550,3.740220,2.595470,-4.707376,px4_default
77232000,3.614324,2.549593,-4.693533,3.777277,2.578047,-4.705558,px4_default
77252000,3.663691,2.539953,-4.693395,3.832869,2.550111,-4.702727,px4_default
77272000,3.712881,2.528996,-4.693152,3.869900,2.530452,-4.700809,px4_default
77292000,3.761858,2.516617,-4.692808,3.925420,2.499413,-4.697890,px4_default
77312000,3.810620,2.502912,-4.692375,3.962390,2.477730,-4.695942,px4_default
77332000,3.859206,2.488202,-4.691878,4.017735,2.443776,-4.693011,px4_default
77352000,3.907533,2.472073,-4.691296,4.054552,2.420066,-4.691037,px4_default
