timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
76600000,0.030000,0.014120,-4.708301,0.034359,0.015815,-4.701235,px4_default
76620000,0.030005,0.014126,-4.707814,0.035655,0.016684,-4.702207,px4_default
76640000,0.030040,0.014178,-4.707220,0.036727,0.017414,-4.703185,px4_default
76660000,0.030114,0.014286,-4.706553,0.038731,0.018881,-4.705464,px4_default
76680000,0.030267,0.014508,-4.705946,0.040391,0.020096,-4.707494,px4_default
76700000,0.030569,0.014950,-4.705635,0.043385,0.022319,-4.711267,px4_default
76720000,0.031114,0.015744,-4.705590,0.045805,0.024121,-4.714267,px4_default
76740000,0.031835,0.016794,-4.705709,0.050052,0.027287,-4.719189,px4_default
76760000,0.032822,0.018229,-4.706027,0.053319,0.029743,-4.722682,px4_default
76780000,0.034141,0.020147,-4.706551,0.058938,0.034009,-4.728049,px4_default
76800000,0.035839,0.022613,-4.707254,0.063110,0.037214,-4.731535,px4_default
76820000,0.037948,0.025676,-4.708111,0.070209,0.042705,-4.736369,px4_default
76840000,0.040481,0.029349,-4.709096,0.075319,0.046754,-4.738978,px4_default
76860000,0.043564,0.033817,-4.710196,0.083602,0.053384,-4.741601,px4_default
76880000,0.047207,0.039089,-4.711382,0.089644,0.058265,-4.742490,px4_default
76900000,0.051292,0.044995,-4.712607,0.099192,0.066134,-4.742853,px4_default
76920000,0.056026,0.051832,-4.713874,0.106092,0.071929,-4.742416,px4_default
76940000,0.061656,0.059944,-4.715115,0.117201,0.081412,-4.741210,px4_default
76960000,0.067964,0.069022,-4.716307,0.125197,0.088374,-4.740083,px4_default
76980000,0.074841,0.078907,-4.717427,0.138097,0.099800,-4.738009,px4_default
77000000,0.082292,0.089605,-4.718454,0.147325,0.108054,-4.736507,px4_default
77020000,0.091005,0.102085,-4.718800,0.162348,0.121764,-4.733993,px4_default
77040000,0.100312,0.115413,-4.718623,0.173062,0.131698,-4.732294,px4_default
77060000,0.110179,0.129545,-4.717990,0.190250,0.147769,-4.729747,px4_default
77080000,0.120700,0.144621,-4.716916,0.202610,0.159545,-4.728090,px4_default
77100000,0.132102,0.160981,-4.715360,0.222313,0.178416,-4.725734,px4_default
77120000,0.144555,0.178869,-4.713512,0.236290,0.191929,-4.724226,px4_default
77140000,0.157617,0.197637,-4.711518,0.258586,0.213723,-4.722073,px4_default
77160000,0.171419,0.217464,-4.709367,0.274303,0.229077,-4.720733,px4_default
77180000,0.186055,0.238473,-4.707060,0.299224,0.253734,-4.718804,px4_default
77200000,0.201590,0.260733,-4.704609,0.316713,0.271030,-4.717575,px4_default
77220000,0.217912,0.284066,-4.702051,0.344348,0.299006,-4.715749,px4_default
77240000,0.234910,0.308310,-4.699409,0.363665,0.318652,-4.714530,px4_default
77260000,0.252781,0.333701,-4.696682,0.393972,0.349620,-4.712663,px4_default
77280000,0.271498,0.360184,-4.693884,0.415111,0.371634,-4.711377,px4_default
77300000,0.290797,0.387399,-4.691049,0.448087,0.406020,-4.709330,px4_default
77320000,0.310857,0.415563,-4.688172,0.470913,0.430119,-4.707864,px4_default
77340000,0.331917,0.444924,-4.685268,0.506394,0.468019,-4.705485,px4_default
77360000,0.353703,0.475131,-4.682359,0.530825,0.494227,-4.703786,px4_default
77380000,0.376063,0.505988,-4.679453,0.568614,0.535623,-4.700980,px4_default
77400000,0.398985,0.537477,-4.676554,0.594504,0.564266,-4.698966,px4_default
77420000,0.423059,0.570206,-4.673697,0.634319,0.608824,-4.695756,px4_default
77440000,0.447798,0.603609,-4.670884,0.661451,0.639584,-4.693501,px4_default
77460000,0.473117,0.637589,-4.668113,0.702952,0.687320,-4.689964,px4_default
77480000,0.499039,0.672153,-4.665394,0.731072,0.720483,-4.687499,px4_default
77500000,0.525715,0.707427,-4.662747,0.773936,0.771637,-4.683716,px4_default
77520000,0.553364,0.743548,-4.660222,0.802885,0.806857,-4.681170,px4_default
77540000,0.581531,0.780098,-4.657770,0.846836,0.861262,-4.677327,px4_default
77560000,0.610283,0.817117,-4.655405,0.876473,0.898401,-4.674797,px4_default
77580000,0.639715,0.854655,-4.653151,0.921273,0.955811,-4.671132,px4_default
77600000,0.669961,0.892773,-4.651041,0.951370,0.994919,-4.668738,px4_default
77620000,0.700859,0.931311,-4.649064,0.996796,1.054754,-4.665183,px4_default
77640000,0.732263,0.970165,-4.647192,1.027213,1.095489,-4.662869,px4_default
77660000,0.764404,1.009428,-4.645492,1.073093,1.157418,-4.659564,px4_default
77680000,0.797281,1.049071,-4.643971,1.103790,1.199282,-4.657510,px4_default
77700000,0.830637,1.088926,-4.642577,1.150051,1.262696,-4.654701,px4_default
77720000,0.864610,1.129042,-4.641348,1.181008,1.305368,-4.653090,px4_default
77740000,0.899339,1.169417,-4.640337,1.227570,1.369797,-4.651138,px4_default
77760000,0.934661,1.209958,-4.639470,1.258717,1.412940,-4.650130,px4_default
77780000,0.970461,1.250607,-4.638699,1.305538,1.477803,-4.649170,px4_default
77800000,1.006698,1.291339,-4.638007,1.336883,1.521039,-4.648870,px4_default
77820000,1.043746,1.332154,-4.637424,1.384071,1.585780,-4.648910,px4_default
77840000,1.081354,1.372944,-4.636943,1.415631,1.628684,-4.649304,px4_default
77860000,1.119427,1.413691,-4.636562,1.463241,1.692618,-4.650332,px4_default
77880000,1.157951,1.454368,-4.636294,1.495162,1.734825,-4.651330,px4_default
77900000,1.197014,1.494936,-4.636177,1.543279,1.797346,-4.653247,px4_default
77920000,1.236892,1.535229,-4.636351,1.575560,1.838533,-4.654760,px4_default
77940000,1.277174,1.575352,-4.636669,1.624235,1.899172,-4.657458,px4_default
77960000,1.317879,1.615283,-4.637140,1.656931,1.939088,-4.659434,px4_default
77980000,1.359083,1.654940,-4.637794,1.706174,1.997642,-4.662788,px4_default
78000000,1.400932,1.694160,-4.638694,1.739206,2.035895,-4.665203,px4_default
78020000,1.443253,1.732997,-4.639774,1.789071,2.092024,-4.669063,px4_default
78040000,1.485931,1.771531,-4.640989,1.822427,2.128362,-4.671789,px4_default
78060000,1.529124,1.809573,-4.642398,1.872794,2.181537,-4.676067,px4_default
78080000,1.572837,1.847066,-4.644005,1.906539,2.215923,-4.679041,px4_default
78100000,1.616902,1.884106,-4.645748,1.957458,2.265811,-4.683634,px4_default
78120000,1.661377,1.920593,-4.647650,1.991635,2.298081,-4.686772,px4_default
78140000,1.706319,1.956383,-4.649729,2.043176,2.344461,-4.691572,px4_default
78160000,1.751667,1.991511,-4.651957,2.077756,2.374230,-4.694815,px4_default
78180000,1.797356,2.026035,-4.654309,2.129939,2.417119,-4.699740,px4_default
78200000,1.843327,2.060018,-4.656762,2.164909,2.444233,-4.703074,px4_default
78220000,1.889758,2.092998,-4.659382,2.217700,2.483484,-4.708063,px4_default
78240000,1.936543,2.125096,-4.662120,2.253033,2.508155,-4.711412,px4_default
78260000,1.983606,2.156469,-4.664946,2.306306,2.543441,-4.716395,px4_default
