timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
75124000,0.025042,-0.036971,-4.685728,0.019518,-0.035553,-4.682873,px4_default
75144000,0.025047,-0.036964,-4.685241,0.019732,-0.034825,-4.683919,px4_default
75164000,0.025082,-0.036912,-4.684647,0.020432,-0.033446,-4.686113,px4_default
75184000,0.025156,-0.036804,-4.683980,0.021169,-0.032325,-4.688025,px4_default
75204000,0.025309,-0.036582,-4.683373,0.022919,-0.030250,-4.691711,px4_default
75224000,0.025611,-0.036141,-4.683062,0.024508,-0.028601,-4.694661,px4_default
75244000,0.026156,-0.035347,-4.683017,0.027551,-0.025684,-4.699675,px4_default
75264000,0.026878,-0.034296,-4.683136,0.030154,-0.023401,-4.703362,px4_default
75284000,0.027864,-0.032861,-4.683454,0.034741,-0.019512,-4.709047,px4_default
75304000,0.029183,-0.030944,-4.683978,0.038352,-0.016573,-4.712884,px4_default
75324000,0.030881,-0.028477,-4.684681,0.044416,-0.011644,-4.718447,px4_default
75344000,0.032990,-0.025414,-4.685538,0.048987,-0.007997,-4.721830,px4_default
75364000,0.035523,-0.021741,-4.686523,0.056599,-0.001939,-4.725987,px4_default
75384000,0.038606,-0.017273,-4.687624,0.062073,0.002453,-4.727916,px4_default
75404000,0.042249,-0.012001,-4.688809,0.071051,0.009672,-4.729410,px4_default
75424000,0.046334,-0.006095,-4.690034,0.077505,0.014909,-4.729582,px4_default
75444000,0.051069,0.000742,-4.691301,0.087949,0.023488,-4.728915,px4_default
75464000,0.056698,0.008854,-4.692542,0.095509,0.029865,-4.727827,px4_default
75484000,0.063006,0.017932,-4.693734,0.107680,0.040297,-4.725753,px4_default
75504000,0.069883,0.027817,-4.694854,0.116436,0.047950,-4.724062,px4_default
75524000,0.077334,0.038515,-4.695881,0.130589,0.060618,-4.721233,px4_default
75544000,0.086047,0.050994,-4.696227,0.140655,0.069753,-4.719270,px4_default
75564000,0.095354,0.064322,-4.696050,0.157042,0.084953,-4.716120,px4_default
75584000,0.105221,0.078454,-4.695417,0.168606,0.095727,-4.714090,px4_default
75604000,0.115742,0.093531,-4.694343,0.187266,0.113533,-4.711044,px4_default
75624000,0.127145,0.109890,-4.692787,0.200506,0.126308,-4.709083,px4_default
75644000,0.139597,0.127779,-4.690939,0.221614,0.146850,-4.706285,px4_default
75664000,0.152659,0.146547,-4.688945,0.236635,0.161802,-4.704503,px4_default
75684000,0.166461,0.166374,-4.686794,0.260385,0.185497,-4.701988,px4_default
75704000,0.181097,0.187383,-4.684487,0.277133,0.202370,-4.700397,px4_default
75724000,0.196632,0.209642,-4.682036,0.303625,0.229383,-4.698124,px4_default
75744000,0.212954,0.232975,-4.679478,0.322157,0.248271,-4.696662,px4_default
75764000,0.229952,0.257219,-4.676836,0.351321,0.278751,-4.694535,px4_default
75784000,0.247823,0.282610,-4.674109,0.371624,0.300108,-4.693127,px4_default
75804000,0.266540,0.309093,-4.671311,0.403354,0.333705,-4.690972,px4_default
75824000,0.285839,0.336309,-4.668476,0.425334,0.357546,-4.689469,px4_default
75844000,0.305899,0.364473,-4.665599,0.459500,0.394297,-4.687119,px4_default
75864000,0.326959,0.393833,-4.662695,0.483065,0.420248,-4.685457,px4_default
75884000,0.348745,0.424041,-4.659785,0.519517,0.460598,-4.682831,px4_default
75904000,0.371105,0.454897,-4.656880,0.544507,0.488724,-4.680971,px4_default
75924000,0.394027,0.486386,-4.653981,0.582945,0.532758,-4.677991,px4_default
75944000,0.418101,0.519116,-4.651124,0.609191,0.563100,-4.675892,px4_default
75964000,0.442840,0.552519,-4.648311,0.649332,0.610822,-4.672563,px4_default
75984000,0.468159,0.586499,-4.645540,0.676617,0.643726,-4.670264,px4_default
76004000,0.494081,0.621062,-4.642821,0.718253,0.694720,-4.666717,px4_default
76024000,0.520757,0.656337,-4.640174,0.746369,0.730093,-4.664301,px4_default
76044000,0.548406,0.692458,-4.637649,0.789126,0.784534,-4.660644,px4_default
76064000,0.576573,0.729007,-4.635197,0.817943,0.821924,-4.658199,px4_default
76084000,0.605325,0.766027,-4.632832,0.861522,0.879537,-4.654595,px4_default
76104000,0.634757,0.803565,-4.630578,0.890827,0.918767,-4.652235,px4_default
76124000,0.665003,0.841683,-4.628468,0.935024,0.978891,-4.648780,px4_default
76144000,0.695901,0.880220,-4.626491,0.964668,1.019659,-4.646513,px4_default
76164000,0.727305,0.919074,-4.624619,1.009240,1.081971,-4.643219,px4_default
76184000,0.759446,0.958338,-4.622919,1.039067,1.124078,-4.641128,px4_default
76204000,0.792323,0.997981,-4.621398,1.083966,1.187996,-4.638188,px4_default
76224000,0.825679,1.037835,-4.620004,1.113932,1.231089,-4.636427,px4_default
76244000,0.859653,1.077952,-4.618775,1.159036,1.296180,-4.634160,px4_default
76264000,0.894381,1.118326,-4.617764,1.189215,1.339821,-4.632951,px4_default
76284000,0.929703,1.158868,-4.616897,1.234638,1.405484,-4.631632,px4_default
76304000,0.965503,1.199517,-4.616126,1.265034,1.449332,-4.631060,px4_default
76324000,1.001741,1.240249,-4.615434,1.310746,1.515037,-4.630783,px4_default
76344000,1.038788,1.281064,-4.614851,1.341372,1.558687,-4.630944,px4_default
76364000,1.076396,1.321854,-4.614370,1.387542,1.623818,-4.631699,px4_default
76384000,1.114470,1.362601,-4.613989,1.418469,1.666923,-4.632516,px4_default
76404000,1.152993,1.403278,-4.613721,1.465115,1.730990,-4.634179,px4_default
76424000,1.192056,1.443845,-4.613604,1.496367,1.773056,-4.635581,px4_default
76444000,1.231935,1.484139,-4.613778,1.543588,1.835346,-4.638014,px4_default
76464000,1.272216,1.524262,-4.614096,1.575292,1.876164,-4.639866,px4_default
76484000,1.312922,1.564192,-4.614567,1.623207,1.936158,-4.642983,px4_default
76504000,1.354125,1.603849,-4.615222,1.655421,1.975420,-4.645253,px4_default
76524000,1.395974,1.643070,-4.616121,1.704168,2.032678,-4.648982,px4_default
76544000,1.438295,1.681906,-4.617201,1.736950,2.069946,-4.651617,px4_default
76564000,1.480973,1.720441,-4.618416,1.786557,2.124420,-4.655759,px4_default
76584000,1.524166,1.758483,-4.619825,1.819910,2.159507,-4.658656,px4_default
76604000,1.567879,1.795975,-4.621432,1.870387,2.210687,-4.663116,px4_default
76624000,1.611944,1.833015,-4.623175,1.904323,2.243652,-4.666157,px4_default
76644000,1.656419,1.869503,-4.625077,1.955646,2.291560,-4.670799,px4_default
76664000,1.701362,1.905292,-4.627156,1.990116,2.322288,-4.673968,px4_default
76684000,1.746709,1.940421,-4.629384,2.042158,2.366533,-4.678769,px4_default
76704000,1.792398,1.974945,-4.631736,2.077099,2.394937,-4.681992,px4_default
76724000,1.838369,2.008927,-4.634189,2.129862,2.435349,-4.686840,px4_default
76744000,1.884800,2.041907,-4.636809,2.165283,2.461068,-4.690057,px4_default
76764000,1.931585,2.074005,-4.639547,2.218764,2.497789,-4.694843,px4_default
76784000,1.978648,2.105378,-4.642373,2.254613,2.520744,-4.697997,px4_default
76804000,2.025955,2.136075,-4.645275,2.308645,2.553401,-4.702677,px4_default
76824000,2.073538,2.165987,-4.648257,2.344823,2.573818,-4.705727,px4_default
76844000,2.121535,2.194375,-4.651352,2.399327,2.602407,-4.710067,px4_default
76864000,2.169715,2.222008,-4.654488,2.435773,2.620304,-4.712745,px4_default
76884000,2.218072,2.248891,-4.657661,2.490678,2.644901,-4.716406,px4_default
76904000,2.266636,2.274812,-4.660872,2.527395,2.660292,-4.718629,px4_default
76924000,2.315482,2.299256,-4.664119,2.582639,2.681102,-4.721704,px4_default
76944000,2.364506,2.322589,-4.667372,2.619573,2.693695,-4.723592,px4_default
76964000,2.413659,2.345073,-4.670626,2.675139,2.710659,-4.726202,px4_default
76984000,2.462957,2.366328,-4.673865,2.712329,2.720468,-4.727730,px4_default
77004000,2.512391,2.386257,-4.677052,2.768183,2.733401,-4.729773,px4_default
77024000,2.561918,2.405083,-4.680117,2.805498,2.740672,-4.730929,px4_default
77044000,2.611539,2.422724,-4.683043,2.861598,2.749550,-4.732366,px4_default
77064000,2.661254,2.439051,-4.685798,2.899050,2.754270,-4.733160,px4_default
77084000,2.711044,2.454030,-4.688420,2.955299,2.759124,-4.734006,px4_default
77104000,2.760890,2.467759,-4.690936,2.992870,2.761084,-4.734390,px4_default
77124000,2.810783,2.480466,-4.693357,3.049319,2.762121,-4.734687,px4_default
77144000,2.860745,2.491546,-4.695616,3.087001,2.761331,-4.734643,px4_default
77164000,2.910769,2.501041,-4.697703,3.143542,2.758615,-4.734313,px4_default
77184000,2.960825,2.509302,-4.699656,3.181311,2.755343,-4.733865,px4_default
77204000,3.010897,2.516510,-4.701497,3.237970,2.748687,-4.732914,px4_default
77224000,3.060981,2.522587,-4.703217,3.275759,2.742938,-4.732083,px4_default
77244000,3.111072,2.526268,-4.704683,3.332474,2.732352,-4.730556,px4_default
77264000,3.161157,2.528877,-4.706026,3.370289,2.724128,-4.729390,px4_default
77284000,3.211233,2.530437,-4.707246,3.427015,2.709649,-4.727415,px4_default
77304000,3.261283,2.530731,-4.708311,3.464829,2.698767,-4.726006,px4_default
77324000,3.311265,2.529204,-4.709141,3.521552,2.680608,-4.723760,px4_default
77344000,3.361172,2.526151,-4.709773,3.559383,2.667081,-4.722176,px4_default
77364000,3.411021,2.522058,-4.710268,3.616049,2.645144,-4.719732,px4_default
77384000,3.460778,2.516605,-4.710586,3.653816,2.629282,-4.718072,px4_default
77404000,3.510420,2.509669,-4.710719,3.710440,2.603674,-4.715520,px4_default
77424000,3.559935,2.501350,-4.710703,3.748123,2.585542,-4.713796,px4_default
77444000,3.609302,2.491710,-4.710564,3.804570,2.556602,-4.711176,px4_default
77464000,3.658493,2.480753,-4.710322,3.842141,2.536266,-4.709412,px4_default
77484000,3.707469,2.468374,-4.709978,3.898368,2.503985,-4.706743,px4_default
77504000,3.756232,2.454669,-4.709544,3.935764,2.481449,-4.704962,px4_default
