timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
71596000,0.010991,-0.015377,-4.701542,0.005986,-0.016494,-4.700540,px4_default
71616000,0.010996,-0.015370,-4.701056,0.005909,-0.016338,-4.701331,px4_default
71636000,0.011031,-0.015318,-4.700461,0.006048,-0.015881,-4.703071,px4_default
71656000,0.011105,-0.015210,-4.699794,0.006378,-0.015382,-4.704592,px4_default
71676000,0.011258,-0.014988,-4.699188,0.007298,-0.014291,-4.707522,px4_default
71696000,0.011560,-0.014547,-4.698876,0.008256,-0.013251,-4.710050,px4_default
71716000,0.012105,-0.013753,-4.698832,0.010285,-0.011236,-4.714659,px4_default
71736000,0.012827,-0.012703,-4.698950,0.012085,-0.009525,-4.718276,px4_default
71756000,0.013813,-0.011267,-4.699269,0.020585,-0.001989,-4.730969,px4_default
71776000,0.015132,-0.009350,-4.699793,0.024009,0.001073,-4.735171,px4_default
71796000,0.016830,-0.006883,-4.700496,0.030037,0.006425,-4.741383,px4_default
71816000,0.018939,-0.003820,-4.701353,0.034505,0.010457,-4.745105,px4_default
71836000,0.021472,-0.000147,-4.702338,0.041927,0.017153,-4.749715,px4_default
71856000,0.024556,0.004321,-4.703438,0.047449,0.022135,-4.751934,px4_default
71876000,0.028198,0.009593,-4.704624,0.056346,0.030230,-4.753850,px4_default
71896000,0.032283,0.015499,-4.705849,0.059515,0.033145,-4.754160,px4_default
71916000,0.037018,0.022336,-4.707116,0.066366,0.039551,-4.754206,px4_default
71936000,0.042647,0.030448,-4.708357,0.077110,0.049526,-4.753750,px4_default
71956000,0.048955,0.039526,-4.709548,0.084796,0.056696,-4.753051,px4_default
71976000,0.055832,0.049411,-4.710669,0.097260,0.068282,-4.751658,px4_default
71996000,0.063283,0.060109,-4.711696,0.106187,0.076552,-4.750705,px4_default
72016000,0.071996,0.072588,-4.712041,0.120676,0.090125,-4.748948,px4_default
72036000,0.081303,0.085916,-4.711865,0.131067,0.099870,-4.747821,px4_default
72056000,0.091170,0.100048,-4.711232,0.147820,0.115556,-4.746210,px4_default
72076000,0.101691,0.115125,-4.710157,0.159903,0.127000,-4.745101,px4_default
72096000,0.113094,0.131484,-4.708602,0.172555,0.138889,-4.744153,px4_default
72116000,0.125546,0.149373,-4.706754,0.192978,0.158361,-4.742712,px4_default
72136000,0.138608,0.168140,-4.704760,0.207483,0.172200,-4.741853,px4_default
72156000,0.152410,0.187968,-4.702609,0.222720,0.186786,-4.741073,px4_default
72176000,0.167046,0.208977,-4.700302,0.246935,0.209799,-4.740074,px4_default
72196000,0.182581,0.231236,-4.697851,0.264059,0.226136,-4.739418,px4_default
72216000,0.198903,0.254569,-4.695293,0.281984,0.243267,-4.738768,px4_default
72236000,0.215901,0.278813,-4.692651,0.300842,0.261292,-4.738135,px4_default
72256000,0.233772,0.304204,-4.689924,0.330812,0.290375,-4.737044,px4_default
72276000,0.252489,0.330687,-4.687126,0.351701,0.310631,-4.736269,px4_default
72296000,0.271788,0.357902,-4.684291,0.384437,0.342399,-4.734964,px4_default
72316000,0.291848,0.386067,-4.681414,0.407177,0.364535,-4.733974,px4_default
72336000,0.312908,0.415427,-4.678510,0.430925,0.387818,-4.732818,px4_default
72356000,0.334694,0.445635,-4.675600,0.467760,0.424774,-4.730690,px4_default
72376000,0.357054,0.476491,-4.672695,0.493109,0.450392,-4.729071,px4_default
72400000,0.379976,0.507980,-4.669796,0.545676,0.504445,-4.725201,px4_default
72416000,0.404050,0.540710,-4.666939,0.572850,0.532939,-4.722937,px4_default
72436000,0.428789,0.574113,-4.664125,0.586657,0.547399,-4.721761,px4_default
72456000,0.454108,0.608093,-4.661355,0.628851,0.592501,-4.717861,px4_default
72476000,0.480031,0.642656,-4.658636,0.657624,0.623611,-4.715066,px4_default
