timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
72140000,0.019610,0.004466,-4.710186,0.014899,0.006857,-4.707392,px4_default
72160000,0.019615,0.004472,-4.709699,0.014996,0.007711,-4.708820,px4_default
72180000,0.019650,0.004524,-4.709105,0.015295,0.008470,-4.710182,px4_default
72200000,0.019724,0.004632,-4.708437,0.016202,0.009971,-4.712961,px4_default
72220000,0.019877,0.004854,-4.707831,0.017126,0.011213,-4.715364,px4_default
72240000,0.020179,0.005296,-4.707520,0.019129,0.013548,-4.719840,px4_default
72260000,0.020724,0.006090,-4.707475,0.020887,0.015409,-4.723255,px4_default
72280000,0.021446,0.007140,-4.707593,0.024164,0.018691,-4.728799,px4_default
72300000,0.022432,0.008575,-4.707912,0.026894,0.021289,-4.732734,px4_default
72320000,0.023751,0.010493,-4.708436,0.031696,0.025714,-4.738667,px4_default
72340000,0.025449,0.012959,-4.709139,0.035434,0.029071,-4.742572,px4_default
72360000,0.027558,0.016022,-4.709996,0.041802,0.034764,-4.748018,px4_default
72380000,0.030091,0.019695,-4.710981,0.046470,0.038936,-4.751065,px4_default
72400000,0.033174,0.024163,-4.712081,0.054354,0.045908,-4.754350,px4_default
72420000,0.036817,0.029435,-4.713267,0.059944,0.050875,-4.755630,px4_default
72440000,0.040902,0.035341,-4.714492,0.069137,0.059136,-4.756320,px4_default
72460000,0.045637,0.042178,-4.715759,0.075791,0.065120,-4.756110,px4_default
72480000,0.051266,0.050290,-4.717000,0.086624,0.074911,-4.755110,px4_default
72500000,0.057574,0.059368,-4.718192,0.094495,0.082148,-4.753983,px4_default
72520000,0.064451,0.069253,-4.719312,0.107213,0.093895,-4.751959,px4_default
72540000,0.071902,0.079951,-4.720339,0.116375,0.102449,-4.750383,px4_default
72560000,0.080615,0.092431,-4.720685,0.131182,0.116484,-4.747830,px4_default
72580000,0.089922,0.105759,-4.720508,0.141739,0.126524,-4.746074,px4_default
72600000,0.099789,0.119891,-4.719875,0.158858,0.143132,-4.743414,px4_default
72620000,0.110310,0.134967,-4.718801,0.171068,0.155055,-4.741684,px4_default
72640000,0.121713,0.151327,-4.717245,0.190601,0.174210,-4.739190,px4_default
72660000,0.134165,0.169215,-4.715397,0.204575,0.188130,-4.737628,px4_default
72680000,0.147227,0.187983,-4.713403,0.226751,0.209912,-4.735438,px4_default
72700000,0.161029,0.207810,-4.711252,0.242528,0.225667,-4.734087,px4_default
72720000,0.175665,0.228819,-4.708945,0.267510,0.250518,-4.732211,px4_default
72740000,0.191200,0.251079,-4.706494,0.285130,0.268143,-4.731041,px4_default
72760000,0.207522,0.274412,-4.703936,0.312983,0.296192,-4.729367,px4_default
72780000,0.224520,0.298656,-4.701294,0.332481,0.315717,-4.728282,px4_default
72800000,0.242391,0.324047,-4.698567,0.363160,0.347049,-4.726671,px4_default
72820000,0.261108,0.350530,-4.695769,0.384533,0.368928,-4.725549,px4_default
72840000,0.280407,0.377745,-4.692934,0.417949,0.403256,-4.723780,px4_default
72860000,0.300467,0.405909,-4.690057,0.441113,0.427533,-4.722503,px4_default
