timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
71656000,0.013138,0.016317,-4.682537,0.008156,0.009700,-4.678722,px4_default
71676000,0.013142,0.016324,-4.682051,0.008244,0.009388,-4.679821,px4_default
71696000,0.013178,0.016375,-4.681456,0.008537,0.009353,-4.680947,px4_default
71716000,0.013252,0.016484,-4.680789,0.009388,0.009603,-4.683378,px4_default
71736000,0.013404,0.016706,-4.680183,0.010293,0.010045,-4.685522,px4_default
71756000,0.013707,0.017147,-4.679871,0.012142,0.011094,-4.689458,px4_default
71776000,0.014252,0.017941,-4.679827,0.013825,0.012147,-4.692589,px4_default
71796000,0.014973,0.018991,-4.679945,0.016982,0.014229,-4.697761,px4_default
71816000,0.015959,0.020427,-4.680264,0.019512,0.015999,-4.701434,px4_default
71836000,0.017278,0.022344,-4.680788,0.024098,0.019263,-4.707109,px4_default
71856000,0.018976,0.024811,-4.681491,0.029600,0.023271,-4.712708,px4_default
71876000,0.021086,0.027874,-4.682347,0.033713,0.026384,-4.716153,px4_default
71896000,0.023618,0.031547,-4.683333,0.038236,0.029834,-4.719135,px4_default
71916000,0.026702,0.036015,-4.684433,0.045693,0.035589,-4.722355,px4_default
71936000,0.030345,0.041286,-4.685618,0.051244,0.039938,-4.723566,px4_default
71956000,0.034430,0.047193,-4.686843,0.060081,0.047133,-4.724164,px4_default
71976000,0.039164,0.054029,-4.688111,0.069903,0.055240,-4.723593,px4_default
71996000,0.044793,0.062142,-4.689352,0.077138,0.061333,-4.722654,px4_default
72016000,0.051101,0.071220,-4.690543,0.084729,0.067844,-4.721543,px4_default
72036000,0.057979,0.081104,-4.691663,0.097102,0.078691,-4.719457,px4_default
72056000,0.065430,0.091803,-4.692690,0.106014,0.086573,-4.717918,px4_default
72076000,0.074143,0.104282,-4.693036,0.120630,0.099821,-4.715317,px4_default
72096000,0.083449,0.117610,-4.692860,0.131077,0.109459,-4.713552,px4_default
72116000,0.093317,0.131742,-4.692226,0.147961,0.125143,-4.710926,px4_default
72136000,0.103838,0.146818,-4.691152,0.160135,0.136743,-4.709235,px4_default
72156000,0.115240,0.163178,-4.689597,0.179571,0.155364,-4.706857,px4_default
72176000,0.127693,0.181067,-4.687749,0.193427,0.168780,-4.705389,px4_default
72196000,0.140755,0.199834,-4.685755,0.215616,0.190475,-4.703369,px4_default
72216000,0.154557,0.219662,-4.683604,0.231308,0.205770,-4.702112,px4_default
72236000,0.169193,0.240671,-4.681297,0.256300,0.230617,-4.700425,px4_default
72256000,0.184727,0.262930,-4.678846,0.273929,0.248130,-4.699399,px4_default
72276000,0.201049,0.286263,-4.676288,0.301841,0.275824,-4.697992,px4_default
72296000,0.218048,0.310507,-4.673646,0.321413,0.295257,-4.697088,px4_default
72316000,0.235919,0.335898,-4.670918,0.352220,0.325868,-4.695735,px4_default
72336000,0.254635,0.362381,-4.668120,0.373718,0.347665,-4.694798,px4_default
72356000,0.273934,0.389596,-4.665286,0.407337,0.381671,-4.693264,px4_default
72376000,0.293994,0.417761,-4.662408,0.430648,0.405497,-4.692126,px4_default
72396000,0.315054,0.447121,-4.659505,0.466903,0.443020,-4.690159,px4_default
72416000,0.336841,0.477328,-4.656595,0.491911,0.468967,-4.688700,px4_default
72436000,0.359200,0.508185,-4.653689,0.530550,0.510131,-4.686226,px4_default
72456000,0.382122,0.539674,-4.650791,0.557025,0.538672,-4.684384,px4_default
72476000,0.406196,0.572403,-4.647933,0.597727,0.583168,-4.681345,px4_default
72496000,0.430936,0.605807,-4.645120,0.625453,0.614306,-4.679094,px4_default
72516000,0.456255,0.639787,-4.642350,0.667942,0.662497,-4.675495,px4_default
72536000,0.482177,0.674350,-4.639630,0.696790,0.695853,-4.672937,px4_default
72556000,0.508853,0.709624,-4.636984,0.740787,0.747365,-4.668944,px4_default
72576000,0.536501,0.745746,-4.634459,0.770511,0.782904,-4.666176,px4_default
72596000,0.564669,0.782295,-4.632007,0.815585,0.837945,-4.661936,px4_default
72616000,0.593421,0.819315,-4.629642,0.845967,0.875583,-4.659105,px4_default
72636000,0.622853,0.856852,-4.627387,0.891764,0.933911,-4.654841,px4_default
72656000,0.653099,0.894970,-4.625278,0.922494,0.973715,-4.652034,px4_default
72676000,0.683997,0.933508,-4.623300,0.968802,1.034728,-4.647851,px4_default
72696000,0.715401,0.972362,-4.621428,0.999732,1.076398,-4.645098,px4_default
72716000,0.747542,1.011626,-4.619728,1.046300,1.139854,-4.641074,px4_default
72736000,0.780419,1.051269,-4.618208,1.077389,1.182848,-4.638519,px4_default
72756000,0.813775,1.091123,-4.616814,1.124103,1.248188,-4.635022,px4_default
72776000,0.847748,1.131240,-4.615585,1.155330,1.292169,-4.632935,px4_default
72796000,0.882477,1.171614,-4.614573,1.202214,1.358757,-4.630301,px4_default
72816000,0.917798,1.212156,-4.613707,1.233590,1.403334,-4.628849,px4_default
72836000,0.953599,1.252804,-4.612935,1.280678,1.470421,-4.627198,px4_default
72856000,0.989836,1.293536,-4.612244,1.312142,1.515169,-4.626444,px4_default
72876000,1.026883,1.334351,-4.611660,1.359459,1.582200,-4.625825,px4_default
72896000,1.064492,1.375142,-4.611180,1.391042,1.626675,-4.625817,px4_default
72916000,1.102565,1.415889,-4.610798,1.438609,1.692965,-4.626320,px4_default
72936000,1.141089,1.456565,-4.610530,1.470410,1.736763,-4.627021,px4_default
72956000,1.180152,1.497133,-4.610414,1.518321,1.801676,-4.628567,px4_default
72976000,1.220030,1.537427,-4.610587,1.550444,1.844443,-4.629877,px4_default
72996000,1.260311,1.577549,-4.610905,1.598903,1.907369,-4.632411,px4_default
73016000,1.301017,1.617480,-4.611376,1.631412,1.948587,-4.634356,px4_default
73036000,1.342221,1.657137,-4.612031,1.680506,2.009219,-4.637619,px4_default
73056000,1.384069,1.696358,-4.612931,1.713441,2.048568,-4.640062,px4_default
73076000,1.426390,1.735194,-4.614010,1.763237,2.106531,-4.643929,px4_default
73096000,1.469068,1.773729,-4.615225,1.796616,2.143954,-4.646756,px4_default
73116000,1.512261,1.811771,-4.616634,1.847053,2.198658,-4.651201,px4_default
73136000,1.555975,1.849263,-4.618241,1.880892,2.233986,-4.654316,px4_default
73156000,1.600039,1.886303,-4.619985,1.931973,2.285194,-4.659181,px4_default
73176000,1.644515,1.922790,-4.621887,1.966275,2.318275,-4.662496,px4_default
73196000,1.689457,1.958580,-4.623966,2.017991,2.365747,-4.667638,px4_default
73216000,1.734805,1.993708,-4.626194,2.070109,2.410978,-4.672860,px4_default
73236000,1.780493,2.028233,-4.628545,2.105087,2.439986,-4.676354,px4_default
73256000,1.826465,2.062215,-4.630999,2.140211,2.467671,-4.679878,px4_default
73276000,1.872895,2.095195,-4.633618,2.193195,2.507435,-4.685178,px4_default
73296000,1.919681,2.127293,-4.636356,2.228681,2.532583,-4.688730,px4_default
73316000,1.966743,2.158666,-4.639183,2.282136,2.568284,-4.694039,px4_default
73336000,2.014051,2.189363,-4.642084,2.317934,2.590891,-4.697537,px4_default
73356000,2.061633,2.219275,-4.645067,2.371746,2.622760,-4.702683,px4_default
73376000,2.109631,2.247663,-4.648162,2.407737,2.642820,-4.705968,px4_default
73396000,2.157810,2.275295,-4.651298,2.461808,2.670681,-4.710562,px4_default
73416000,2.206167,2.302179,-4.654471,2.497924,2.688015,-4.713376,px4_default
73436000,2.254731,2.328099,-4.657681,2.552186,2.712116,-4.717324,px4_default
73456000,2.303577,2.352544,-4.660929,2.588443,2.726690,-4.719759,px4_default
73476000,2.352602,2.375877,-4.664182,2.642956,2.746729,-4.723159,px4_default
73496000,2.401755,2.398360,-4.667436,2.679344,2.758722,-4.725221,px4_default
73516000,2.451053,2.419616,-4.670675,2.734016,2.774645,-4.727985,px4_default
73536000,2.500486,2.439545,-4.673861,2.770512,2.784040,-4.729650,px4_default
73556000,2.550013,2.458371,-4.676927,2.825246,2.795835,-4.731784,px4_default
73576000,2.599634,2.476012,-4.679852,2.861758,2.802410,-4.733012,px4_default
73596000,2.649349,2.492339,-4.682608,2.916568,2.810337,-4.734568,px4_default
73616000,2.699139,2.507318,-4.685229,2.953135,2.814327,-4.735415,px4_default
73636000,2.748986,2.521047,-4.687745,3.007950,2.818403,-4.736403,px4_default
73656000,2.798878,2.533754,-4.690166,3.044553,2.819651,-4.736840,px4_default
73676000,2.848841,2.544834,-4.692426,3.099502,2.819738,-4.737187,px4_default
73696000,2.898864,2.554329,-4.694513,3.136145,2.818483,-4.737201,px4_default
73716000,2.948920,2.562590,-4.696466,3.191143,2.814639,-4.736919,px4_default
73736000,2.998992,2.569798,-4.698306,3.227837,2.810895,-4.736529,px4_default
73756000,3.049077,2.575875,-4.700026,3.282968,2.803102,-4.735585,px4_default
73776000,3.099167,2.579556,-4.701492,3.319701,2.796692,-4.734783,px4_default
73796000,3.149252,2.582165,-4.702835,3.374843,2.785218,-4.733369,px4_default
73816000,3.199328,2.583725,-4.704055,3.411656,2.776165,-4.732272,px4_default
73836000,3.249378,2.584019,-4.705121,3.466863,2.760863,-4.730555,px4_default
73856000,3.299361,2.582492,-4.705951,3.503697,2.749406,-4.729306,px4_default
73876000,3.349267,2.579439,-4.706582,3.558974,2.730520,-4.727295,px4_default
73896000,3.399116,2.575346,-4.707078,3.595851,2.716713,-4.725850,px4_default
73916000,3.448873,2.569893,-4.707396,3.651157,2.694259,-4.723577,px4_default
73936000,3.498515,2.562957,-4.707529,3.688033,2.678200,-4.721999,px4_default
73956000,3.548031,2.554638,-4.707512,3.743394,2.652344,-4.719529,px4_default
73976000,3.597398,2.544998,-4.707374,3.780271,2.634034,-4.717835,px4_default
73996000,3.646588,2.534041,-4.707131,3.835540,2.604975,-4.715244,px4_default
74016000,3.695565,2.521662,-4.706787,3.872390,2.584464,-4.713490,px4_default
