timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
72692000,0.052766,0.019044,-4.699663,0.062346,0.024717,-4.692797,px4_default
72712000,0.052771,0.019050,-4.699177,0.064172,0.025899,-4.693782,px4_default
72732000,0.052806,0.019102,-4.698582,0.065633,0.026846,-4.694865,px4_default
72752000,0.052880,0.019210,-4.697915,0.068255,0.028581,-4.697172,px4_default
72772000,0.053032,0.019432,-4.697309,0.070290,0.029952,-4.699219,px4_default
72792000,0.053335,0.019873,-4.696997,0.073990,0.032463,-4.703197,px4_default
72812000,0.053880,0.020668,-4.696953,0.076783,0.034380,-4.706229,px4_default
72832000,0.054601,0.021718,-4.697071,0.081731,0.037777,-4.711310,px4_default
72852000,0.055588,0.023153,-4.697390,0.085430,0.040379,-4.714874,px4_default
72872000,0.056907,0.025070,-4.697914,0.091633,0.044816,-4.720317,px4_default
72892000,0.058604,0.027537,-4.698617,0.096337,0.048247,-4.723929,px4_default
72912000,0.060714,0.030600,-4.699473,0.103981,0.053952,-4.728901,px4_default
72932000,0.063246,0.034273,-4.700459,0.109546,0.058165,-4.731630,px4_default
72952000,0.066330,0.038741,-4.701559,0.118609,0.065095,-4.734353,px4_default
72972000,0.069973,0.044013,-4.702744,0.125032,0.070079,-4.735301,px4_default
72992000,0.074058,0.049919,-4.703969,0.135440,0.078303,-4.735457,px4_default
73012000,0.078792,0.056756,-4.705237,0.142860,0.084259,-4.734954,px4_default
73032000,0.084422,0.064868,-4.706478,0.154775,0.093999,-4.733579,px4_default
73052000,0.090730,0.073946,-4.707669,0.163344,0.101200,-4.732217,px4_default
73072000,0.097607,0.083831,-4.708789,0.176920,0.112731,-4.730021,px4_default
73092000,0.105058,0.094529,-4.709816,0.186697,0.121288,-4.728311,px4_default
73112000,0.113771,0.107009,-4.710162,0.202307,0.135161,-4.725660,px4_default
73132000,0.123078,0.120336,-4.709986,0.213407,0.145197,-4.723860,px4_default
73152000,0.132945,0.134469,-4.709352,0.231235,0.161571,-4.721214,px4_default
73172000,0.143466,0.149545,-4.708278,0.243859,0.173239,-4.719512,px4_default
73192000,0.154868,0.165905,-4.706723,0.264136,0.192384,-4.717085,px4_default
73212000,0.167321,0.183793,-4.704875,0.278504,0.206019,-4.715573,px4_default
73232000,0.180383,0.202561,-4.702881,0.301380,0.227797,-4.713493,px4_default
73252000,0.194185,0.222388,-4.700730,0.317633,0.243559,-4.712210,px4_default
73272000,0.208821,0.243397,-4.698423,0.343290,0.268390,-4.710442,px4_default
73292000,0.224356,0.265657,-4.695972,0.361355,0.285983,-4.709363,px4_default
73312000,0.240678,0.288989,-4.693414,0.389871,0.313969,-4.707831,px4_default
73332000,0.257676,0.313234,-4.690772,0.409787,0.333443,-4.706835,px4_default
73352000,0.275547,0.338624,-4.688045,0.441025,0.364277,-4.705390,px4_default
73372000,0.294264,0.365108,-4.685246,0.462738,0.385666,-4.704396,px4_default
73392000,0.313563,0.392323,-4.682412,0.496622,0.419759,-4.702820,px4_default
73412000,0.333623,0.420487,-4.679534,0.520051,0.443470,-4.701683,px4_default
73432000,0.354683,0.449848,-4.676631,0.556415,0.480542,-4.699806,px4_default
73452000,0.376469,0.480055,-4.673721,0.581398,0.506615,-4.698402,px4_default
73472000,0.398829,0.510912,-4.670815,0.619986,0.547073,-4.696074,px4_default
73492000,0.421751,0.542401,-4.667917,0.646390,0.575208,-4.694364,px4_default
