timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
73520000,-0.036787,0.033951,-4.683218,-0.031003,0.032117,-4.676653,px4_default
73540000,-0.036783,0.033958,-4.682732,-0.029706,0.032404,-4.677736,px4_default
73560000,-0.036747,0.034010,-4.682137,-0.028617,0.032754,-4.678913,px4_default
73580000,-0.036673,0.034118,-4.681470,-0.026565,0.033575,-4.681386,px4_default
73600000,-0.036521,0.034340,-4.680864,-0.024897,0.034350,-4.683553,px4_default
73620000,-0.036218,0.034781,-4.680552,-0.021738,0.035929,-4.687762,px4_default
73640000,-0.035673,0.035575,-4.680508,-0.019244,0.037277,-4.691029,px4_default
73660000,-0.034952,0.036625,-4.680626,-0.014909,0.039763,-4.696374,px4_default
73680000,-0.033966,0.038061,-4.680944,-0.011485,0.041804,-4.700219,px4_default
73700000,-0.032647,0.039978,-4.681468,-0.005719,0.045413,-4.706039,px4_default
73720000,-0.030949,0.042445,-4.682172,-0.001417,0.048232,-4.709874,px4_default
73740000,-0.028839,0.045508,-4.683028,0.005670,0.053050,-4.715120,px4_default
73760000,-0.026307,0.049181,-4.684014,0.010874,0.056684,-4.718044,px4_default
73780000,-0.023223,0.053649,-4.685114,0.019301,0.062759,-4.721129,px4_default
73800000,-0.019580,0.058921,-4.686299,0.025290,0.067186,-4.722354,px4_default
73820000,-0.015495,0.064827,-4.687524,0.035111,0.074633,-4.722977,px4_default
73840000,-0.010761,0.071664,-4.688792,0.042138,0.080109,-4.722756,px4_default
73860000,-0.005132,0.079776,-4.690032,0.053422,0.089123,-4.721809,px4_default
73880000,0.001176,0.088854,-4.691224,0.061635,0.095869,-4.720729,px4_default
73900000,0.008054,0.098739,-4.692344,0.074837,0.106963,-4.718830,px4_default
73920000,0.015505,0.109437,-4.693371,0.084313,0.115124,-4.717367,px4_default
73940000,0.024218,0.121916,-4.693717,0.099625,0.128592,-4.715037,px4_default
73960000,0.033524,0.135244,-4.693541,0.110527,0.138300,-4.713471,px4_default
73980000,0.043392,0.149376,-4.692907,0.128231,0.154515,-4.711107,px4_default
74000000,0.053913,0.164453,-4.691833,0.140701,0.165920,-4.709602,px4_default
74020000,0.065315,0.180812,-4.690278,0.160812,0.184750,-4.707496,px4_default
74040000,0.077768,0.198701,-4.688430,0.175051,0.198224,-4.706190,px4_default
74060000,0.090830,0.217469,-4.686436,0.197680,0.219777,-4.704370,px4_default
74080000,0.104631,0.237296,-4.684285,0.213702,0.235391,-4.703300,px4_default
74100000,0.119268,0.258305,-4.681978,0.239043,0.260073,-4.701811,px4_default
74120000,0.134802,0.280564,-4.679527,0.256855,0.277601,-4.700893,px4_default
74140000,0.151124,0.303897,-4.676969,0.284943,0.305565,-4.699554,px4_default
74160000,0.168123,0.328141,-4.674327,0.304559,0.325071,-4.698661,px4_default
74180000,0.185993,0.353532,-4.671599,0.335370,0.356385,-4.697292,px4_default
74200000,0.204710,0.380015,-4.668801,0.356789,0.378259,-4.696332,px4_default
74220000,0.224009,0.407230,-4.665967,0.390213,0.412582,-4.694775,px4_default
74240000,0.244069,0.435395,-4.663089,0.413306,0.436879,-4.693637,px4_default
74260000,0.265129,0.464755,-4.660186,0.449160,0.474326,-4.691744,px4_default
74280000,0.286916,0.494963,-4.657276,0.473776,0.500690,-4.690335,px4_default
74300000,0.309275,0.525819,-4.654370,0.511774,0.541645,-4.687993,px4_default
