timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
71596000,-0.072193,-0.044848,-4.698184,-0.074636,-0.041024,-4.692724,px4_default
71616000,-0.072189,-0.044842,-4.697698,-0.074126,-0.040102,-4.694035,px4_default
71636000,-0.072154,-0.044790,-4.697104,-0.073537,-0.039334,-4.695379,px4_default
71656000,-0.072079,-0.044682,-4.696436,-0.072198,-0.037892,-4.698146,px4_default
71676000,-0.071927,-0.044460,-4.695830,-0.070941,-0.036697,-4.700556,px4_default
71696000,-0.071625,-0.044018,-4.695518,-0.068449,-0.034508,-4.704984,px4_default
71716000,-0.071080,-0.043224,-4.695474,-0.066409,-0.032776,-4.708331,px4_default
71736000,-0.070358,-0.042174,-4.695592,-0.062571,-0.029636,-4.713847,px4_default
71756000,-0.069372,-0.040739,-4.695911,-0.059635,-0.027242,-4.717622,px4_default
71776000,-0.068053,-0.038821,-4.696435,-0.054402,-0.023041,-4.723445,px4_default
71796000,-0.066355,-0.036355,-4.697138,-0.050413,-0.019851,-4.727219,px4_default
71816000,-0.064245,-0.033292,-4.697995,-0.043669,-0.014463,-4.732429,px4_default
71836000,-0.061713,-0.029619,-4.698980,-0.038596,-0.010422,-4.735222,px4_default
71856000,-0.058629,-0.025151,-4.700080,-0.030418,-0.003827,-4.738022,px4_default
71876000,-0.054987,-0.019879,-4.701266,-0.024478,0.000980,-4.739013,px4_default
71896000,-0.050902,-0.013973,-4.702491,-0.014781,0.008884,-4.739284,px4_default
71916000,-0.046167,-0.007136,-4.703758,-0.007856,0.014594,-4.738886,px4_default
71936000,-0.040538,0.000976,-4.704999,0.003594,0.024100,-4.737500,px4_default
71956000,-0.034230,0.010054,-4.706191,0.011845,0.031026,-4.736266,px4_default
71976000,-0.027353,0.019939,-4.707311,0.025192,0.042353,-4.734078,px4_default
71996000,-0.019901,0.030637,-4.708338,0.034895,0.050669,-4.732347,px4_default
72016000,-0.011189,0.043117,-4.708683,0.050350,0.063982,-4.729753,px4_default
72036000,-0.001882,0.056445,-4.708507,0.061513,0.073776,-4.727947,px4_default
72056000,0.007986,0.070577,-4.707874,0.079349,0.089563,-4.725335,px4_default
72076000,0.018506,0.085653,-4.706800,0.092077,0.100964,-4.723662,px4_default
72096000,0.029909,0.102013,-4.705244,0.112408,0.119510,-4.721313,px4_default
72116000,0.042361,0.119901,-4.703396,0.126757,0.132652,-4.719859,px4_default
