timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
72132000,0.071454,-0.000763,-4.724954,0.076384,-0.003634,-4.720050,px4_default
72152000,0.071458,-0.000756,-4.724468,0.076939,-0.003614,-4.720692,px4_default
72172000,0.071494,-0.000704,-4.723873,0.078031,-0.003358,-4.722188,px4_default
72192000,0.071568,-0.000596,-4.723206,0.078984,-0.003005,-4.723568,px4_default
72212000,0.071720,-0.000374,-4.722600,0.080854,-0.002138,-4.726307,px4_default
72232000,0.072022,0.000067,-4.722288,0.082416,-0.001308,-4.728608,px4_default
72252000,0.072568,0.000861,-4.722244,0.085390,0.000490,-4.732911,px4_default
72272000,0.073289,0.001912,-4.722362,0.087806,0.002039,-4.736269,px4_default
72292000,0.074275,0.003347,-4.722681,0.092124,0.004922,-4.741814,px4_default
72312000,0.075594,0.005264,-4.723205,0.095478,0.007225,-4.745734,px4_default
72332000,0.077292,0.007731,-4.723908,0.101182,0.011288,-4.751724,px4_default
72352000,0.079402,0.010794,-4.724764,0.105612,0.014476,-4.755702,px4_default
72372000,0.081934,0.014467,-4.725750,0.112956,0.019873,-4.761059,px4_default
72392000,0.085018,0.018935,-4.726850,0.118340,0.023914,-4.764036,px4_default
72412000,0.088660,0.024207,-4.728035,0.127122,0.030631,-4.767115,px4_default
72432000,0.092745,0.030113,-4.729260,0.133395,0.035504,-4.768243,px4_default
72452000,0.097480,0.036950,-4.730528,0.143758,0.043618,-4.768512,px4_default
72472000,0.103109,0.045062,-4.731769,0.151128,0.049554,-4.767927,px4_default
72492000,0.109417,0.054140,-4.732960,0.163067,0.059308,-4.766216,px4_default
72512000,0.116295,0.064025,-4.734080,0.171804,0.066566,-4.764524,px4_default
72532000,0.123746,0.074723,-4.735107,0.185803,0.078455,-4.761620,px4_default
72552000,0.132459,0.087203,-4.735453,0.195886,0.087157,-4.759418,px4_default
72572000,0.141765,0.100530,-4.735277,0.212064,0.101315,-4.755999,px4_default
72592000,0.151633,0.114663,-4.734643,0.223656,0.111643,-4.753632,px4_default
72612000,0.162153,0.129739,-4.733569,0.242285,0.128569,-4.750066,px4_default
72632000,0.173556,0.146099,-4.732014,0.255514,0.140669,-4.747745,px4_default
72652000,0.186008,0.163987,-4.730166,0.276802,0.160675,-4.744350,px4_default
72672000,0.199071,0.182755,-4.728172,0.291838,0.175012,-4.742218,px4_default
72692000,0.212872,0.202582,-4.726021,0.315727,0.197977,-4.739237,px4_default
72712000,0.227509,0.223591,-4.723714,0.332658,0.214658,-4.737402,px4_default
72732000,0.243043,0.245850,-4.721263,0.359410,0.241060,-4.734881,px4_default
72752000,0.259365,0.269183,-4.718705,0.378204,0.259835,-4.733333,px4_default
72772000,0.276363,0.293428,-4.716063,0.407817,0.289816,-4.731173,px4_default
72792000,0.294234,0.318818,-4.713336,0.428467,0.310747,-4.729795,px4_default
72812000,0.312951,0.345301,-4.710537,0.460797,0.344405,-4.727789,px4_default
72832000,0.332250,0.372517,-4.707703,0.483208,0.367531,-4.726462,px4_default
72852000,0.352310,0.400681,-4.704825,0.518032,0.404522,-4.724447,px4_default
72872000,0.373370,0.430041,-4.701922,0.542037,0.430301,-4.723060,px4_default
72892000,0.395157,0.460249,-4.699012,0.579181,0.470672,-4.720874,px4_default
72912000,0.417516,0.491106,-4.696106,0.604602,0.499156,-4.719314,px4_default
72932000,0.440438,0.522594,-4.693208,0.643739,0.543413,-4.716792,px4_default
72952000,0.464512,0.555324,-4.690351,0.670414,0.574216,-4.714974,px4_default
72972000,0.489251,0.588727,-4.687537,0.711246,0.622358,-4.712016,px4_default
72992000,0.514571,0.622707,-4.684767,0.739002,0.655508,-4.709917,px4_default
73012000,0.540493,0.657271,-4.682047,0.781268,0.707449,-4.706575,px4_default
73032000,0.567168,0.692545,-4.679401,0.809847,0.743193,-4.704253,px4_default
73052000,0.594817,0.728666,-4.676876,0.853239,0.798478,-4.700640,px4_default
73072000,0.622984,0.765216,-4.674424,0.882416,0.836690,-4.698145,px4_default
73092000,0.651737,0.802235,-4.672059,0.926673,0.895172,-4.694368,px4_default
73112000,0.681169,0.839773,-4.669804,0.956323,0.935397,-4.691870,px4_default
73132000,0.711415,0.877891,-4.667695,1.001086,0.997000,-4.688183,px4_default
73152000,0.742312,0.916428,-4.665717,1.031017,1.039004,-4.685750,px4_default
73172000,0.773716,0.955282,-4.663846,1.075968,1.103238,-4.682146,px4_default
73192000,0.805857,0.994546,-4.662145,1.106010,1.146708,-4.679774,px4_default
73212000,0.838735,1.034189,-4.660625,1.151012,1.212952,-4.676414,px4_default
73232000,0.872090,1.074043,-4.659231,1.181051,1.257605,-4.674315,px4_default
73252000,0.906064,1.114160,-4.658002,1.226169,1.325207,-4.671504,px4_default
73272000,0.940793,1.154534,-4.656991,1.256237,1.370616,-4.669964,px4_default
73292000,0.976114,1.195076,-4.656124,1.301481,1.438974,-4.668151,px4_default
73312000,1.011915,1.235725,-4.655352,1.331684,1.484638,-4.667320,px4_default
73332000,1.048152,1.276457,-4.654661,1.377107,1.553045,-4.666637,px4_default
73352000,1.085199,1.317272,-4.654078,1.407514,1.598533,-4.666541,px4_default
73372000,1.122807,1.358062,-4.653597,1.453275,1.666284,-4.667008,px4_default
73392000,1.160881,1.398809,-4.653215,1.483941,1.711125,-4.667669,px4_default
73412000,1.199404,1.439486,-4.652947,1.530113,1.777487,-4.669279,px4_default
73432000,1.238468,1.480053,-4.652831,1.561091,1.821149,-4.670675,px4_default
73452000,1.278346,1.520347,-4.653004,1.607870,1.885676,-4.673245,px4_default
73472000,1.318627,1.560470,-4.653322,1.639264,1.927771,-4.675313,px4_default
73492000,1.359333,1.600400,-4.653793,1.686760,1.989794,-4.678773,px4_default
73512000,1.400536,1.640057,-4.654448,1.718691,2.030208,-4.681352,px4_default
73532000,1.442385,1.679278,-4.655348,1.766984,2.089327,-4.685584,px4_default
73552000,1.484706,1.718114,-4.656427,1.799474,2.127837,-4.688572,px4_default
73572000,1.527384,1.756649,-4.657642,1.848580,2.183676,-4.693397,px4_default
73592000,1.570577,1.794691,-4.659051,1.881624,2.219796,-4.696737,px4_default
73612000,1.614291,1.832183,-4.660658,1.931632,2.272276,-4.701902,px4_default
73632000,1.658355,1.869223,-4.662402,1.965257,2.306074,-4.705428,px4_default
73652000,1.702831,1.905711,-4.664304,2.016123,2.354935,-4.710809,px4_default
73672000,1.747773,1.941500,-4.666383,2.050298,2.385972,-4.714464,px4_default
73692000,1.793121,1.976629,-4.668611,2.102006,2.430755,-4.719975,px4_default
73712000,1.838809,2.011153,-4.670962,2.136757,2.459217,-4.723663,px4_default
73732000,1.884780,2.045135,-4.673416,2.189263,2.499751,-4.729205,px4_default
73752000,1.931211,2.078115,-4.676035,2.224522,2.525541,-4.732867,px4_default
73772000,1.977997,2.110213,-4.678773,2.277784,2.561729,-4.738357,px4_default
73792000,2.025059,2.141587,-4.681600,2.313519,2.584498,-4.741966,px4_default
73812000,2.072367,2.172283,-4.684501,2.367433,2.616607,-4.747329,px4_default
73832000,2.119949,2.202195,-4.687484,2.403561,2.636323,-4.750856,px4_default
73852000,2.167947,2.230583,-4.690579,2.457995,2.664004,-4.755968,px4_default
73872000,2.216126,2.258216,-4.693715,2.494380,2.681000,-4.759211,px4_default
