timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
66724000,-0.006734,-0.206938,-0.375260,-0.011099,-0.284688,-0.187799,px4_default
66744000,-0.006730,-0.206931,-0.374774,-0.012730,-0.293075,-0.164744,px4_default
66764000,-0.006694,-0.206879,-0.374180,-0.015244,-0.304138,-0.141060,px4_default
66784000,-0.006620,-0.206771,-0.373512,-0.015303,-0.306212,-0.120605,px4_default
66804000,-0.006468,-0.206549,-0.372906,-0.016915,-0.312948,-0.094592,px4_default
66824000,-0.006165,-0.206108,-0.372595,-0.019932,-0.323853,-0.068514,px4_default
66844000,-0.005620,-0.205314,-0.372550,-0.020044,-0.325636,-0.045935,px4_default
66864000,-0.004899,-0.204263,-0.372668,-0.020962,-0.329326,-0.016982,px4_default
66884000,-0.003913,-0.202828,-0.372987,-0.014547,-0.329296,-0.001031,px4_default
66904000,-0.002594,-0.200911,-0.373511,-0.013575,-0.327230,0.007290,px4_default
66924000,-0.000896,-0.198444,-0.374214,-0.015482,-0.327383,0.011946,px4_default
66944000,0.001214,-0.195381,-0.375071,-0.016639,-0.329355,0.012248,px4_default
66964000,0.003746,-0.191708,-0.376056,-0.019389,-0.338471,0.010216,px4_default
66984000,0.006830,-0.187240,-0.377157,-0.019880,-0.351396,0.006854,px4_default
67004000,0.010473,-0.181968,-0.378342,-0.020215,-0.356459,0.006294,px4_default
67028000,0.014558,-0.176062,-0.379567,-0.018685,-0.358850,0.006392,px4_default
67044000,0.019292,-0.169225,-0.380834,-0.016328,-0.362170,0.006172,px4_default
67064000,0.024921,-0.161113,-0.382075,-0.013283,-0.366259,0.005326,px4_default
67084000,0.031229,-0.152035,-0.383267,-0.009749,-0.370730,0.003681,px4_default
67104000,0.038107,-0.142150,-0.384387,-0.006654,-0.374660,0.001569,px4_default
67124000,0.045558,-0.131452,-0.385414,-0.002610,-0.380701,-0.002338,px4_default
67144000,0.054271,-0.118973,-0.385760,0.001031,-0.387798,-0.007797,px4_default
67164000,0.063577,-0.105645,-0.385583,0.003491,-0.395883,-0.015033,px4_default
67184000,0.073445,-0.091513,-0.384950,0.006393,-0.402297,-0.023505,px4_default
67204000,0.083966,-0.076436,-0.383876,0.008774,-0.408144,-0.033461,px4_default
67244000,0.107821,-0.042188,-0.380473,0.013538,-0.412989,-0.055466,px4_default
67264000,0.120883,-0.023420,-0.378478,0.015191,-0.413149,-0.067404,px4_default
67284000,0.134685,-0.003593,-0.376327,0.016899,-0.410154,-0.076229,px4_default
67304000,0.149321,0.017416,-0.374020,0.019903,-0.402422,-0.086007,px4_default
67324000,0.164855,0.039675,-0.371569,0.021597,-0.395634,-0.094156,px4_default
67344000,0.181177,0.063008,-0.369011,0.023110,-0.385686,-0.104315,px4_default
67364000,0.198176,0.087252,-0.366370,0.026744,-0.367026,-0.113239,px4_default
67384000,0.216046,0.112643,-0.363642,0.028405,-0.352208,-0.121634,px4_default
67404000,0.234763,0.139126,-0.360844,0.031301,-0.333686,-0.128160,px4_default
67424000,0.254062,0.166341,-0.358009,0.035051,-0.315551,-0.131489,px4_default
67444000,0.274122,0.194506,-0.355132,0.038494,-0.294383,-0.137103,px4_default
67464000,0.295182,0.223866,-0.352228,0.043895,-0.269497,-0.140475,px4_default
67484000,0.316969,0.254074,-0.349318,0.056226,-0.224276,-0.142515,px4_default
67524000,0.362250,0.316419,-0.343514,0.077030,-0.160919,-0.140576,px4_default
67564000,0.411064,0.382552,-0.337843,0.102560,-0.095988,-0.136372,px4_default
67584000,0.436383,0.416532,-0.335073,0.120952,-0.057150,-0.129077,px4_default
67604000,0.462305,0.451095,-0.332354,0.138136,-0.022245,-0.124023,px4_default
67624000,0.488980,0.486370,-0.329707,0.158200,0.015315,-0.116608,px4_default
67644000,0.516629,0.522491,-0.327182,0.182556,0.056649,-0.105720,px4_default
67664000,0.544797,0.559040,-0.324730,0.204259,0.092794,-0.097636,px4_default
67684000,0.573549,0.596060,-0.322365,0.224544,0.124266,-0.088695,px4_default
67724000,0.633227,0.671716,-0.318001,0.267862,0.192944,-0.078579,px4_default
67764000,0.695529,0.749107,-0.314152,0.297680,0.256295,-0.092443,px4_default
67784000,0.727670,0.788371,-0.312452,0.316300,0.286570,-0.092405,px4_default
67804000,0.760547,0.828014,-0.310931,0.338963,0.323940,-0.094264,px4_default
67824000,0.793903,0.867868,-0.309537,0.371534,0.368239,-0.086750,px4_default
67844000,0.827876,0.907985,-0.308308,0.408173,0.414513,-0.076427,px4_default
67864000,0.862605,0.948359,-0.307297,0.442386,0.459240,-0.068750,px4_default
67884000,0.897926,0.988901,-0.306430,0.456312,0.482453,-0.079607,px4_default
67904000,0.933727,1.029549,-0.305659,0.478180,0.513745,-0.093096,px4_default
67924000,0.969964,1.070282,-0.304967,0.505780,0.539068,-0.107503,px4_default
67944000,1.007011,1.111097,-0.304384,0.532888,0.555152,-0.119274,px4_default
67964000,1.044620,1.151887,-0.303903,0.575148,0.570240,-0.134192,px4_default
