timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
76196000,0.011628,-0.020583,-4.699311,0.012323,-0.024861,-4.697535,px4_default
76216000,0.011632,-0.020577,-4.698824,0.012731,-0.024763,-4.699364,px4_default
76236000,0.011668,-0.020525,-4.698230,0.013614,-0.024343,-4.703072,px4_default
76256000,0.011742,-0.020417,-4.697563,0.014430,-0.023850,-4.706254,px4_default
76276000,0.011894,-0.020194,-4.696957,0.016044,-0.022751,-4.711871,px4_default
76296000,0.012196,-0.019753,-4.696645,0.017433,-0.021766,-4.716124,px4_default
76316000,0.012741,-0.018959,-4.696600,0.019978,-0.019831,-4.722816,px4_default
76336000,0.013463,-0.017909,-4.696719,0.022032,-0.018207,-4.727439,px4_default
76356000,0.014449,-0.016474,-4.697037,0.025729,-0.015193,-4.734396,px4_default
76376000,0.015768,-0.014556,-4.697561,0.028567,-0.012809,-4.738924,px4_default
76396000,0.017466,-0.012089,-4.698265,0.033467,-0.008559,-4.745413,px4_default
76416000,0.019576,-0.009027,-4.699121,0.037165,-0.005300,-4.749324,px4_default
76436000,0.022108,-0.005353,-4.700107,0.043317,0.000210,-4.754050,px4_default
76456000,0.025192,-0.000885,-4.701207,0.047849,0.004357,-4.756157,px4_default
76476000,0.028834,0.004386,-4.702392,0.055142,0.011191,-4.757815,px4_default
76496000,0.032919,0.010292,-4.703617,0.060458,0.016250,-4.757995,px4_default
76516000,0.037654,0.017129,-4.704885,0.069038,0.024599,-4.757238,px4_default
76536000,0.043283,0.025242,-4.706125,0.075244,0.030774,-4.756165,px4_default
76556000,0.049591,0.034320,-4.707317,0.085418,0.041065,-4.753974,px4_default
76576000,0.056468,0.044204,-4.708437,0.092758,0.048609,-4.752287,px4_default
76596000,0.063920,0.054902,-4.709464,0.104736,0.061172,-4.749310,px4_default
76616000,0.072632,0.067382,-4.709810,0.113369,0.070354,-4.747243,px4_default
76636000,0.081939,0.080710,-4.709633,0.127355,0.085404,-4.744043,px4_default
76656000,0.091807,0.094842,-4.709000,0.137540,0.096475,-4.741868,px4_default
76676000,0.102327,0.109918,-4.707926,0.153851,0.114372,-4.738621,px4_default
76696000,0.113730,0.126278,-4.706370,0.165563,0.127316,-4.736507,px4_default
76716000,0.126182,0.144166,-4.704523,0.184428,0.148320,-4.733422,px4_default
76736000,0.139245,0.162934,-4.702528,0.197775,0.163239,-4.731405,px4_default
76756000,0.153046,0.182762,-4.700377,0.219230,0.187530,-4.728523,px4_default
76776000,0.167683,0.203771,-4.698071,0.234264,0.204517,-4.726655,px4_default
