timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
75916000,0.021082,-0.034875,-4.700029,0.017057,-0.033304,-4.701552,px4_default
75936000,0.021087,-0.034869,-4.699543,0.017166,-0.032764,-4.703782,px4_default
75956000,0.021122,-0.034817,-4.698948,0.017662,-0.031664,-4.708125,px4_default
75976000,0.021196,-0.034709,-4.698281,0.018231,-0.030719,-4.711655,px4_default
75996000,0.021348,-0.034487,-4.697675,0.019510,-0.028857,-4.717926,px4_default
76016000,0.021651,-0.034045,-4.697363,0.020656,-0.027321,-4.722498,px4_default
76036000,0.022196,-0.033251,-4.697319,0.022862,-0.024545,-4.729706,px4_default
76056000,0.022917,-0.032201,-4.697437,0.024753,-0.022317,-4.734713,px4_default
76076000,0.023904,-0.030766,-4.697755,0.028107,-0.018474,-4.742134,px4_default
76096000,0.025222,-0.028848,-4.698279,0.030765,-0.015524,-4.746989,px4_default
76116000,0.026920,-0.026381,-4.698983,0.035339,-0.010528,-4.753830,px4_default
76136000,0.029030,-0.023319,-4.699839,0.038818,-0.006755,-4.757959,px4_default
76156000,0.031562,-0.019646,-4.700825,0.044662,-0.000451,-4.763076,px4_default
76176000,0.034646,-0.015178,-4.701925,0.048928,0.004117,-4.765537,px4_default
76196000,0.038289,-0.009906,-4.703110,0.056062,0.011660,-4.767693,px4_default
76216000,0.042374,-0.004000,-4.704335,0.061202,0.017154,-4.768243,px4_default
76236000,0.047108,0.002837,-4.705603,0.069683,0.026131,-4.768068,px4_default
76256000,0.052737,0.010950,-4.706843,0.076008,0.032763,-4.767334,px4_default
76276000,0.059046,0.020027,-4.708035,0.086326,0.043610,-4.765697,px4_default
76296000,0.065923,0.029912,-4.709155,0.093861,0.051531,-4.764259,px4_default
76316000,0.073374,0.040610,-4.710182,0.106266,0.064505,-4.761720,px4_default
76336000,0.082087,0.053090,-4.710528,0.115227,0.073829,-4.759881,px4_default
76356000,0.091393,0.066418,-4.710351,0.129974,0.089171,-4.756898,px4_default
76376000,0.101261,0.080550,-4.709718,0.140501,0.100004,-4.754920,px4_default
76396000,0.111782,0.095626,-4.708644,0.157735,0.117765,-4.751948,px4_default
76416000,0.123184,0.111986,-4.707088,0.170110,0.130452,-4.750022,px4_default
76436000,0.135637,0.129874,-4.705241,0.190071,0.150690,-4.747239,px4_default
76456000,0.148699,0.148642,-4.703247,0.204444,0.165293,-4.745485,px4_default
76476000,0.162501,0.168469,-4.701096,0.227390,0.188336,-4.742987,px4_default
76496000,0.177137,0.189478,-4.698789,0.243684,0.204627,-4.741420,px4_default
76516000,0.192671,0.211738,-4.696338,0.269697,0.230492,-4.739204,px4_default
76536000,0.208994,0.235071,-4.693779,0.288028,0.248449,-4.737785,px4_default
76556000,0.225992,0.259315,-4.691138,0.317146,0.277197,-4.735754,px4_default
76576000,0.243863,0.284706,-4.688410,0.337549,0.297219,-4.734398,px4_default
76596000,0.262580,0.311189,-4.685612,0.369660,0.328533,-4.732325,px4_default
76616000,0.281879,0.338404,-4.682777,0.392072,0.350694,-4.730899,px4_default
76636000,0.301939,0.366569,-4.679900,0.427081,0.384609,-4.728642,px4_default
76656000,0.322998,0.395929,-4.676997,0.451324,0.408510,-4.727038,px4_default
76676000,0.344785,0.426136,-4.674087,0.489002,0.445494,-4.724482,px4_default
76696000,0.367145,0.456993,-4.671181,0.514954,0.471201,-4.722665,px4_default
76716000,0.390067,0.488482,-4.668283,0.555040,0.511321,-4.719762,px4_default
76736000,0.414141,0.521211,-4.665425,0.582526,0.538872,-4.717705,px4_default
76756000,0.438880,0.554614,-4.662612,0.624734,0.582191,-4.714501,px4_default
76776000,0.464199,0.588594,-4.659842,0.653511,0.612052,-4.712294,px4_default
76796000,0.490121,0.623158,-4.657122,0.697554,0.658354,-4.708842,px4_default
76816000,0.516797,0.658432,-4.654476,0.727371,0.690597,-4.706429,px4_default
76836000,0.544446,0.694554,-4.651950,0.772825,0.740286,-4.702662,px4_default
76856000,0.572613,0.731103,-4.649498,0.803504,0.774531,-4.700089,px4_default
76876000,0.601365,0.768122,-4.647133,0.849998,0.827529,-4.696201,px4_default
76896000,0.630797,0.805660,-4.644879,0.881327,0.863729,-4.693583,px4_default
76916000,0.661043,0.843778,-4.642769,0.928600,0.919523,-4.689643,px4_default
76936000,0.691941,0.882316,-4.640792,0.960329,0.957510,-4.686971,px4_default
76956000,0.723345,0.921170,-4.638920,1.007939,1.016104,-4.682934,px4_default
76976000,0.755486,0.960433,-4.637220,1.039775,1.055933,-4.680275,px4_default
76996000,0.788363,1.000076,-4.635700,1.087618,1.116771,-4.676429,px4_default
77016000,0.821719,1.039931,-4.634305,1.119449,1.158143,-4.674032,px4_default
77036000,0.855692,1.080047,-4.633077,1.167318,1.220969,-4.670743,px4_default
77056000,0.890421,1.120422,-4.632065,1.199212,1.263425,-4.668808,px4_default
77076000,0.925742,1.160964,-4.631198,1.247041,1.327747,-4.666362,px4_default
77096000,0.961543,1.201612,-4.630427,1.278971,1.370923,-4.665031,px4_default
77116000,0.997780,1.242344,-4.629735,1.326721,1.436014,-4.663587,px4_default
77136000,1.034828,1.283159,-4.629152,1.358551,1.479488,-4.662962,px4_default
77156000,1.072436,1.323950,-4.628672,1.406327,1.544685,-4.662532,px4_default
77176000,1.110509,1.364696,-4.628290,1.438215,1.588027,-4.662602,px4_default
77196000,1.149033,1.405373,-4.628022,1.486088,1.652756,-4.663207,px4_default
77216000,1.188096,1.445940,-4.627905,1.517992,1.695513,-4.664003,px4_default
77236000,1.227974,1.486234,-4.628079,1.565999,1.759106,-4.665610,px4_default
77256000,1.268256,1.526357,-4.628397,1.598072,1.801005,-4.666992,px4_default
77276000,1.308961,1.566288,-4.628868,1.646276,1.862938,-4.669488,px4_default
77296000,1.350165,1.605945,-4.629523,1.678547,1.903655,-4.671375,px4_default
77316000,1.392013,1.645165,-4.630423,1.727063,1.963374,-4.674615,px4_default
77336000,1.434334,1.684002,-4.631502,1.759540,2.002422,-4.676951,px4_default
77356000,1.477012,1.722536,-4.632717,1.808496,2.059736,-4.680713,px4_default
77376000,1.520205,1.760578,-4.634126,1.841266,2.096837,-4.683436,px4_default
77396000,1.563919,1.798071,-4.635733,1.890743,2.151178,-4.687692,px4_default
77416000,1.607983,1.835111,-4.637476,1.923908,2.186352,-4.690644,px4_default
77436000,1.652459,1.871598,-4.639379,1.973969,2.237679,-4.695170,px4_default
77456000,1.697401,1.907387,-4.641458,2.007509,2.270759,-4.698261,px4_default
77476000,1.742749,1.942516,-4.643685,2.058061,2.318594,-4.703011,px4_default
77496000,1.788437,1.977041,-4.646037,2.091972,2.349423,-4.706227,px4_default
77516000,1.834409,2.011023,-4.648490,2.143105,2.393499,-4.711133,px4_default
77536000,1.880840,2.044003,-4.651110,2.177408,2.421672,-4.714400,px4_default
77556000,1.927625,2.076101,-4.653848,2.229171,2.462084,-4.719277,px4_default
77576000,1.974688,2.107474,-4.656674,2.263888,2.487497,-4.722528,px4_default
77596000,2.021995,2.138171,-4.659576,2.316276,2.523840,-4.727346,px4_default
77616000,2.069578,2.168082,-4.662559,2.351366,2.546702,-4.730504,px4_default
77636000,2.117575,2.196470,-4.665654,2.404239,2.578938,-4.734993,px4_default
77656000,2.165754,2.224103,-4.668789,2.439645,2.599248,-4.737731,px4_default
77676000,2.214111,2.250987,-4.671963,2.492922,2.627378,-4.741467,px4_default
77696000,2.262675,2.276907,-4.675173,2.528568,2.645094,-4.743773,px4_default
77716000,2.311521,2.301352,-4.678421,2.582241,2.669284,-4.747002,px4_default
77736000,2.360546,2.324685,-4.681674,2.618146,2.684068,-4.749021,px4_default
77756000,2.409699,2.347168,-4.684927,2.672127,2.704235,-4.751801,px4_default
77776000,2.458997,2.368424,-4.688167,2.708207,2.716085,-4.753441,px4_default
77796000,2.508431,2.388353,-4.691353,2.762461,2.732004,-4.755622,px4_default
77816000,2.557957,2.407179,-4.694418,2.798698,2.741222,-4.756892,px4_default
77836000,2.607578,2.424819,-4.697344,2.853163,2.752939,-4.758537,px4_default
77856000,2.657293,2.441147,-4.700099,2.889546,2.759497,-4.759489,px4_default
77876000,2.707083,2.456125,-4.702721,2.944225,2.766952,-4.760687,px4_default
77896000,2.756930,2.469855,-4.705237,2.980687,2.770613,-4.761325,px4_default
77916000,2.806823,2.482561,-4.707658,3.035456,2.774136,-4.761998,px4_default
77936000,2.856785,2.493641,-4.709918,3.072032,2.774935,-4.762218,px4_default
77956000,2.906808,2.503137,-4.712005,3.126911,2.774537,-4.762233,px4_default
77976000,2.956865,2.511397,-4.713958,3.163543,2.772747,-4.762009,px4_default
77996000,3.006937,2.518605,-4.715798,3.218560,2.768248,-4.761361,px4_default
78016000,3.057021,2.524682,-4.717518,3.255300,2.763906,-4.760715,px4_default
78036000,3.107111,2.528364,-4.718984,3.310474,2.755429,-4.759467,px4_default
