timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
0,0.002417,0.010215,-4.709205,0.004685,0.009590,-4.698356,repeat_mean
39628,-0.024511,-0.099933,-4.696438,0.026412,-0.110502,-4.687554,repeat_mean
79256,-0.051554,-0.219193,-4.685047,0.026052,-0.237448,-4.677373,repeat_mean
118884,-0.075897,-0.338863,-4.671470,0.020014,-0.364440,-4.669309,repeat_mean
158512,-0.097622,-0.459243,-4.659882,0.011398,-0.491414,-4.663562,repeat_mean
198140,-0.116741,-0.580237,-4.650253,0.001012,-0.618329,-4.659810,repeat_mean
237768,-0.133228,-0.701752,-4.642484,-0.011294,-0.745114,-4.657929,repeat_mean
277396,-0.146921,-0.823714,-4.636537,-0.025417,-0.871724,-4.657825,repeat_mean
317024,-0.157827,-0.946027,-4.632251,-0.041568,-0.998080,-4.659363,repeat_mean
356652,-0.165599,-1.068627,-4.629658,-0.059451,-1.124172,-4.662476,repeat_mean
396280,-0.170222,-1.191407,-4.628595,-0.078850,-1.249993,-4.667081,repeat_mean
435908,-0.171242,-1.314275,-4.629080,-0.099232,-1.375600,-4.673107,repeat_mean
475536,-0.168502,-1.437098,-4.630983,-0.119862,-1.501085,-4.680625,repeat_mean
515165,-0.161702,-1.559738,-4.634223,-0.139736,-1.626593,-4.689598,repeat_mean
554793,-0.150183,-1.681979,-4.638783,-0.157536,-1.752307,-4.699891,repeat_mean
594421,-0.133712,-1.803602,-4.644490,-0.171738,-1.878377,-4.711258,repeat_mean
634049,-0.111483,-1.924245,-4.651263,-0.180494,-2.004859,-4.723373,repeat_mean
673677,-0.083152,-2.043551,-4.658884,-0.181492,-2.131592,-4.735830,repeat_mean
713305,-0.047380,-2.160788,-4.667201,-0.172388,-2.258020,-4.747878,repeat_mean
752933,-0.003909,-2.275355,-4.675864,-0.149827,-2.382859,-4.758377,repeat_mean
792561,0.048654,-2.386043,-4.684508,-0.111156,-2.503947,-4.764229,repeat_mean
832189,0.111020,-2.491527,-4.692619,-0.054469,-2.617811,-4.765264,repeat_mean
871817,0.183883,-2.590152,-4.699413,0.020942,-2.720186,-4.761662,repeat_mean
911445,0.267330,-2.680138,-4.703429,0.112657,-2.807975,-4.753509,repeat_mean
951073,0.360452,-2.760152,-4.704755,0.217268,-2.879617,-4.742706,repeat_mean
990701,0.462471,-2.828511,-4.703586,0.330835,-2.935822,-4.730563,repeat_mean
1030329,0.571361,-2.885151,-4.699797,0.450180,-2.978402,-4.718000,repeat_mean
1069957,0.685242,-2.930788,-4.694054,0.572978,-3.009788,-4.705566,repeat_mean
1109585,0.802693,-2.966036,-4.687045,0.697816,-3.032045,-4.693600,repeat_mean
1149213,0.922421,-2.992358,-4.679231,0.823818,-3.046860,-4.682221,repeat_mean
1188841,1.043637,-3.010496,-4.670972,0.950465,-3.055433,-4.671548,repeat_mean
1228469,1.165689,-3.021651,-4.662554,1.077417,-3.058953,-4.661621,repeat_mean
