timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
77096000,-0.017149,0.000995,-4.695218,-0.013837,-0.005499,-4.682532,px4_default
77116000,-0.017151,0.000985,-4.694077,-0.013384,-0.006284,-4.681583,px4_default
77136000,-0.017155,0.000973,-4.692924,-0.012594,-0.007637,-4.680243,px4_default
77156000,-0.017184,0.000862,-4.691358,-0.011985,-0.008699,-4.679396,px4_default
77176000,-0.017241,0.000648,-4.689390,-0.010968,-0.010585,-4.678186,px4_default
77196000,-0.017303,0.000415,-4.687439,-0.010216,-0.012064,-4.677419,px4_default
77216000,-0.017518,-0.000402,-4.686058,-0.008999,-0.014715,-4.676338,px4_default
77236000,-0.017744,-0.001266,-4.684701,-0.008113,-0.016817,-4.675676,px4_default
77256000,-0.018097,-0.002621,-4.683607,-0.006674,-0.020538,-4.674832,px4_default
77276000,-0.018578,-0.004482,-4.682776,-0.005629,-0.023528,-4.674392,px4_default
77296000,-0.019081,-0.006428,-4.681973,-0.003984,-0.028719,-4.674096,px4_default
77316000,-0.019909,-0.009678,-4.681597,-0.002838,-0.032861,-4.674186,px4_default
77336000,-0.020771,-0.013066,-4.681248,-0.001055,-0.040040,-4.674960,px4_default
77356000,-0.021843,-0.017317,-4.681071,0.000136,-0.045593,-4.675844,px4_default
77376000,-0.023129,-0.022453,-4.681064,0.001891,-0.055083,-4.677086,px4_default
77396000,-0.024464,-0.027790,-4.681078,0.003076,-0.062035,-4.677581,px4_default
77416000,-0.026259,-0.035072,-4.681299,0.004747,-0.073776,-4.677741,px4_default
77436000,-0.028119,-0.042630,-4.681529,0.005780,-0.082376,-4.677443,px4_default
77456000,-0.030258,-0.051395,-4.681797,0.007217,-0.096486,-4.676553,px4_default
77476000,-0.032682,-0.061398,-4.682097,0.008059,-0.106887,-4.675736,px4_default
77496000,-0.035188,-0.071759,-4.682385,0.009146,-0.123780,-4.674403,px4_default
77516000,-0.038257,-0.084620,-4.682594,0.009707,-0.136032,-4.673429,px4_default
77536000,-0.041415,-0.097885,-4.682685,0.010327,-0.155914,-4.671835,px4_default
77556000,-0.044870,-0.112509,-4.682380,0.010647,-0.170077,-4.670714,px4_default
77576000,-0.048622,-0.128503,-4.681649,0.010810,-0.192921,-4.668954,px4_default
77596000,-0.052460,-0.144938,-4.680714,0.010780,-0.209104,-4.667714,px4_default
77616000,-0.056756,-0.163710,-4.678697,0.010375,-0.235173,-4.665789,px4_default
77636000,-0.061136,-0.183012,-4.676561,0.009912,-0.253603,-4.664490,px4_default
77656000,-0.065745,-0.203736,-4.674108,0.008940,-0.282823,-4.662560,px4_default
77676000,-0.070578,-0.225900,-4.671366,0.007962,-0.303564,-4.661315,px4_default
77696000,-0.075484,-0.248647,-4.668588,0.006353,-0.336131,-4.659495,px4_default
77716000,-0.080699,-0.273843,-4.665660,0.005016,-0.358951,-4.658340,px4_default
77736000,-0.085964,-0.299629,-4.662717,0.002622,-0.394785,-4.656690,px4_default
77756000,-0.091342,-0.326723,-4.659740,0.001026,-0.419589,-4.655639,px4_default
77776000,-0.096822,-0.355125,-4.656737,-0.002091,-0.458522,-4.654175,px4_default
77796000,-0.102326,-0.384116,-4.653741,-0.004345,-0.485412,-4.653274,px4_default
77816000,-0.107908,-0.415108,-4.650767,-0.007893,-0.527107,-4.652043,px4_default
77836000,-0.113481,-0.446679,-4.647822,-0.010383,-0.555750,-4.651315,px4_default
77856000,-0.119038,-0.479338,-4.644932,-0.014363,-0.599944,-4.650376,px4_default
77876000,-0.124567,-0.513076,-4.642105,-0.017551,-0.630293,-4.649848,px4_default
77896000,-0.130051,-0.547376,-4.639329,-0.022314,-0.676836,-4.649216,px4_default
77916000,-0.135409,-0.583253,-4.636701,-0.025798,-0.708576,-4.648911,px4_default
77936000,-0.140681,-0.619665,-4.634146,-0.031497,-0.757161,-4.648651,px4_default
77956000,-0.145816,-0.656943,-4.631712,-0.035326,-0.790118,-4.648598,px4_default
77976000,-0.150797,-0.695075,-4.629406,-0.041872,-0.840495,-4.648768,px4_default
77996000,-0.155649,-0.733709,-4.627196,-0.046415,-0.874585,-4.649024,px4_default
78016000,-0.160195,-0.773521,-4.625213,-0.053500,-0.926420,-4.649618,px4_default
78036000,-0.164562,-0.813793,-4.623345,-0.058712,-0.961440,-4.650180,px4_default
78056000,-0.168677,-0.854713,-4.621643,-0.066640,-1.014511,-4.651260,px4_default
78076000,-0.172523,-0.896263,-4.620111,-0.072197,-1.050241,-4.652154,px4_default
78096000,-0.176137,-0.938222,-4.618713,-0.080618,-1.104251,-4.653722,px4_default
78116000,-0.179293,-0.980991,-4.617582,-0.086472,-1.140519,-4.654952,px4_default
78136000,-0.182161,-1.024110,-4.616602,-0.095543,-1.195207,-4.657063,px4_default
78156000,-0.184671,-1.067664,-4.615809,-0.101601,-1.231826,-4.658626,px4_default
78176000,-0.186803,-1.111630,-4.615209,-0.111184,-1.286921,-4.661260,px4_default
78196000,-0.188587,-1.155878,-4.614771,-0.117611,-1.323727,-4.663172,px4_default
78216000,-0.189787,-1.200601,-4.614607,-0.127267,-1.379004,-4.666269,px4_default
78236000,-0.190577,-1.245532,-4.614614,-0.133899,-1.415833,-4.668523,px4_default
78256000,-0.190911,-1.290692,-4.614812,-0.143640,-1.471059,-4.672115,px4_default
78276000,-0.190768,-1.336053,-4.615200,-0.150069,-1.507807,-4.674671,px4_default
78296000,-0.190146,-1.381538,-4.615765,-0.159549,-1.562744,-4.678759,px4_default
78316000,-0.188843,-1.427199,-4.616580,-0.165677,-1.599260,-4.681604,px4_default
78336000,-0.186991,-1.472891,-4.617572,-0.174606,-1.653663,-4.686138,px4_default
