timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
0,-0.003706,-0.002509,-2.951000,-0.007413,-0.007526,-2.952333,repeat_mean
31216,0.040098,0.060778,-2.959780,0.001364,0.030763,-3.006301,repeat_mean
62432,0.085792,0.126292,-2.959086,0.055198,0.111513,-3.007959,repeat_mean
93648,0.131386,0.191741,-2.952935,0.116251,0.191849,-2.994829,repeat_mean
124865,0.177050,0.257078,-2.945895,0.178278,0.271377,-2.979120,repeat_mean
156081,0.222968,0.322249,-2.938968,0.239642,0.351173,-2.962482,repeat_mean
187297,0.269222,0.387210,-2.932339,0.302895,0.429574,-2.946253,repeat_mean
218513,0.315850,0.451938,-2.926069,0.367704,0.506733,-2.929844,repeat_mean
249729,0.362960,0.516357,-2.920266,0.429700,0.586052,-2.913990,repeat_mean
280945,0.410476,0.580508,-2.914848,0.494703,0.663001,-2.899119,repeat_mean
312161,0.458509,0.644309,-2.909911,0.559125,0.740504,-2.884299,repeat_mean
343377,0.507009,0.707783,-2.905392,0.627365,0.815089,-2.870417,repeat_mean
374594,0.556062,0.770858,-2.901350,0.693721,0.891198,-2.856942,repeat_mean
405810,0.605605,0.833571,-2.897722,0.759087,0.968110,-2.843937,repeat_mean
437026,0.655751,0.895821,-2.894588,0.826649,1.043515,-2.831932,repeat_mean
468242,0.706434,0.957649,-2.891883,0.895718,1.117712,-2.821039,repeat_mean
499458,0.757703,1.019004,-2.889631,0.964482,1.192305,-2.811420,repeat_mean
530674,0.809599,1.079833,-2.887749,1.033272,1.266854,-2.802228,repeat_mean
561890,0.862043,1.140190,-2.886099,1.103568,1.340126,-2.793871,repeat_mean
593107,0.915163,1.199951,-2.884709,1.175689,1.412023,-2.787082,repeat_mean
624323,0.968960,1.259098,-2.883626,1.247653,1.483979,-2.781424,repeat_mean
655539,1.023490,1.317555,-2.882917,1.320187,1.555178,-2.776474,repeat_mean
686755,1.078710,1.375346,-2.882586,1.393947,1.624888,-2.772813,repeat_mean
717971,1.134701,1.432376,-2.882674,1.467214,1.694920,-2.769493,repeat_mean
749187,1.191607,1.488457,-2.883208,1.540625,1.764927,-2.767628,repeat_mean
780403,1.249123,1.543886,-2.884031,1.617003,1.832156,-2.767093,repeat_mean
811619,1.307574,1.598279,-2.885275,1.693363,1.899293,-2.767128,repeat_mean
842836,1.366897,1.651669,-2.886874,1.770029,1.965914,-2.767877,repeat_mean
874052,1.427001,1.704120,-2.888760,1.849089,2.029281,-2.770042,repeat_mean
905268,1.488012,1.755433,-2.890949,1.928488,2.092252,-2.772602,repeat_mean
936484,1.549901,1.805624,-2.893397,2.007937,2.155398,-2.775791,repeat_mean
967700,1.612816,1.854417,-2.896129,2.089034,2.216058,-2.780151,repeat_mean
998916,1.676617,1.901944,-2.899082,2.171076,2.275375,-2.784828,repeat_mean
1030132,1.741275,1.948186,-2.902235,2.255625,2.330554,-2.790049,repeat_mean
1061348,1.807146,1.992492,-2.905628,2.339594,2.386782,-2.795284,repeat_mean
1092565,1.873862,2.035440,-2.909207,2.424247,2.442213,-2.801415,repeat_mean
1123781,1.941702,2.076328,-2.912939,2.510992,2.493514,-2.807842,repeat_mean
1154997,2.010515,2.115323,-2.916772,2.598599,2.542457,-2.814022,repeat_mean
1186213,2.080280,2.152303,-2.920676,2.686417,2.590299,-2.820181,repeat_mean
1217429,2.151156,2.186837,-2.924520,2.777228,2.633398,-2.826174,repeat_mean
1248645,2.222917,2.219136,-2.928166,2.868786,2.674367,-2.832187,repeat_mean
1279861,2.295586,2.248800,-2.931606,2.961129,2.712999,-2.837571,repeat_mean
1311078,2.369096,2.275687,-2.934872,3.054493,2.747732,-2.842616,repeat_mean
1342294,2.443409,2.299537,-2.937921,3.149543,2.775879,-2.847426,repeat_mean
1373510,2.518380,2.320332,-2.940727,3.245083,2.803713,-2.852244,repeat_mean
1404726,2.593822,2.337910,-2.943248,3.341371,2.825997,-2.856315,repeat_mean
1435942,2.669633,2.352181,-2.945471,3.437924,2.842003,-2.859239,repeat_mean
1467158,2.745653,2.363167,-2.947370,3.534445,2.854824,-2.862182,repeat_mean
1498374,2.821748,2.370648,-2.948897,3.631213,2.861322,-2.864277,repeat_mean
1529590,2.897713,2.375010,-2.950074,3.727256,2.863415,-2.866040,repeat_mean
1560807,2.973378,2.375940,-2.950910,3.821078,2.857566,-2.867431,repeat_mean
1592023,3.048669,2.373844,-2.951530,3.913743,2.847373,-2.868378,repeat_mean
1623239,3.123401,2.368437,-2.951970,4.005189,2.834134,-2.868874,repeat_mean
1654455,3.197521,2.360153,-2.952273,4.096326,2.814851,-2.868820,repeat_mean
1685671,3.270843,2.348938,-2.952454,4.184157,2.790565,-2.868614,repeat_mean
1716887,3.343342,2.334895,-2.952549,4.270248,2.760746,-2.868729,repeat_mean
1748103,3.414961,2.318192,-2.952586,4.353288,2.726257,-2.868527,repeat_mean
1779320,3.485550,2.298891,-2.952574,4.435099,2.689662,-2.868193,repeat_mean
1810536,3.555156,2.277259,-2.952541,4.512748,2.647442,-2.867967,repeat_mean
1841752,3.623696,2.253083,-2.952504,4.588117,2.602641,-2.868014,repeat_mean
1872968,3.691157,2.226671,-2.952474,4.661758,2.555627,-2.868229,repeat_mean
1904184,3.757381,2.198074,-2.952461,4.730796,2.503403,-2.868138,repeat_mean
1935400,3.822462,2.167535,-2.952476,4.797808,2.448404,-2.868609,repeat_mean
1966616,3.886328,2.134656,-2.952529,4.863428,2.392431,-2.869068,repeat_mean
1997832,3.949016,2.099899,-2.952587,4.922611,2.331772,-2.869438,repeat_mean
2029049,4.010420,2.063337,-2.952665,4.982777,2.271456,-2.869701,repeat_mean
2060265,4.070311,2.024735,-2.952765,5.038770,2.206628,-2.870861,repeat_mean
2091481,4.129261,1.984630,-2.952863,5.092258,2.140581,-2.871956,repeat_mean
2122697,4.186420,1.942358,-2.953020,5.142476,2.072735,-2.873216,repeat_mean
2153913,4.242410,1.898650,-2.953206,5.188746,2.002931,-2.874340,repeat_mean
2185129,4.297060,1.853273,-2.953416,5.234538,1.932873,-2.875787,repeat_mean
2216345,4.350005,1.805958,-2.953655,5.276705,1.858207,-2.877048,repeat_mean
2247561,4.401685,1.757276,-2.953913,5.317233,1.783232,-2.878738,repeat_mean
2278778,4.451692,1.707067,-2.954213,5.354930,1.707674,-2.880420,repeat_mean
2309994,4.500162,1.655323,-2.954526,5.389130,1.630170,-2.882006,repeat_mean
2341210,4.546985,1.601982,-2.954846,5.418740,1.550388,-2.883674,repeat_mean
2372426,4.592122,1.547329,-2.955184,5.450118,1.469763,-2.885073,repeat_mean
2403642,4.635684,1.491487,-2.955524,5.479804,1.388184,-2.886658,repeat_mean
2434858,4.677110,1.433875,-2.955819,5.504793,1.306166,-2.888294,repeat_mean
2466074,4.717077,1.375194,-2.956092,5.525432,1.223064,-2.889478,repeat_mean
2497291,4.754930,1.315326,-2.956360,5.545278,1.138114,-2.890767,repeat_mean
2528507,4.790770,1.254235,-2.956588,5.563387,1.052309,-2.891926,repeat_mean
2559723,4.824827,1.192060,-2.956770,5.576472,0.965820,-2.893150,repeat_mean
2590939,4.856584,1.128833,-2.956919,5.589316,0.876875,-2.894160,repeat_mean
2622155,4.886384,1.064747,-2.956973,5.599761,0.788447,-2.895586,repeat_mean
2653371,4.913978,0.999737,-2.956857,5.607896,0.700221,-2.896636,repeat_mean
2684587,4.939487,0.933831,-2.956609,5.613672,0.611300,-2.897554,repeat_mean
2715803,4.962791,0.867253,-2.956314,5.615998,0.521234,-2.898404,repeat_mean
2747020,4.983698,0.800069,-2.956016,5.612562,0.432258,-2.899386,repeat_mean
2778236,5.002814,0.732227,-2.955710,5.611919,0.342472,-2.900332,repeat_mean
2809452,5.019171,0.663918,-2.955434,5.603941,0.252249,-2.901208,repeat_mean
2840668,5.033690,0.595302,-2.955184,5.596367,0.162110,-2.902055,repeat_mean
2871884,5.046133,0.526380,-2.954969,5.585764,0.072532,-2.903459,repeat_mean
2903100,5.055955,0.457110,-2.954810,5.572008,-0.017004,-2.904755,repeat_mean
2934316,5.063974,0.387670,-2.954697,5.555566,-0.105542,-2.905999,repeat_mean
2965533,5.069685,0.318224,-2.954655,5.538303,-0.194489,-2.907296,repeat_mean
2996749,5.073226,0.248688,-2.954680,5.514418,-0.283031,-2.908565,repeat_mean
3027965,5.074591,0.179202,-2.954781,5.488647,-0.369096,-2.910291,repeat_mean
3059181,5.073862,0.109882,-2.954962,5.462501,-0.454677,-2.912090,repeat_mean
3090397,5.071033,0.040828,-2.955225,5.432075,-0.539735,-2.913634,repeat_mean
3121613,5.065903,-0.027930,-2.955580,5.400540,-0.623932,-2.915420,repeat_mean
3152829,5.058836,-0.096541,-2.956012,5.365082,-0.705188,-2.917687,repeat_mean
3184045,5.049349,-0.164497,-2.956545,5.328259,-0.786444,-2.919751,repeat_mean
3215262,5.038016,-0.232007,-2.957155,5.288704,-0.865428,-2.921823,repeat_mean
3246478,5.024465,-0.298890,-2.957854,5.245880,-0.942851,-2.924239,repeat_mean
3277694,5.008625,-0.365054,-2.958641,5.200336,-1.017952,-2.926894,repeat_mean
3308910,4.991107,-0.430617,-2.959492,5.153227,-1.092226,-2.929975,repeat_mean
3340126,4.970909,-0.494921,-2.960435,5.105210,-1.165538,-2.933026,repeat_mean
3371342,4.949007,-0.558660,-2.961433,5.053927,-1.235631,-2.936574,repeat_mean
3402558,4.924662,-0.621067,-2.962499,5.001895,-1.304741,-2.939958,repeat_mean
3433774,4.898464,-0.682372,-2.963606,4.946632,-1.371531,-2.943937,repeat_mean
3464991,4.870261,-0.742334,-2.964748,4.889492,-1.437308,-2.947871,repeat_mean
3496207,4.839668,-0.800893,-2.965923,4.831892,-1.500644,-2.951938,repeat_mean
3527423,4.807303,-0.858136,-2.967106,4.773082,-1.561893,-2.956775,repeat_mean
3558639,4.772665,-0.913340,-2.968275,4.710998,-1.617858,-2.960889,repeat_mean
3589855,4.736393,-0.967103,-2.969424,4.647133,-1.674777,-2.965190,repeat_mean
3621071,4.697832,-1.018550,-2.970513,4.581909,-1.728621,-2.969728,repeat_mean
3652287,4.657603,-1.068443,-2.971554,4.515752,-1.780256,-2.974045,repeat_mean
3683504,4.615296,-1.115596,-2.972472,4.448906,-1.829834,-2.978340,repeat_mean
3714720,4.571487,-1.160785,-2.973288,4.380102,-1.873896,-2.982152,repeat_mean
3745936,4.525844,-1.203174,-2.973934,4.310563,-1.915165,-2.985408,repeat_mean
3777152,4.478687,-1.243191,-2.974414,4.239522,-1.953712,-2.988400,repeat_mean
3808368,4.430041,-1.280324,-2.974671,4.166510,-1.986377,-2.990911,repeat_mean
3839584,4.380125,-1.314592,-2.974683,4.093231,-2.018188,-2.992683,repeat_mean
3870800,4.329021,-1.345991,-2.974428,4.019348,-2.044883,-2.993909,repeat_mean
3902016,4.276816,-1.374155,-2.973845,3.945418,-2.067061,-2.994201,repeat_mean
3933233,4.223901,-1.399498,-2.972956,3.871473,-2.084904,-2.993455,repeat_mean
3964449,4.170254,-1.421197,-2.971643,3.797052,-2.099558,-2.991922,repeat_mean
3995665,4.116060,-1.440326,-2.969993,3.722912,-2.110554,-2.989323,repeat_mean
