timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
0,0.000000,0.000000,-4.971400,0.000000,0.000000,-4.967800,repeat_mean
33162,0.051108,0.073783,-4.981321,0.048760,0.064811,-4.990822,repeat_mean
66323,0.104130,0.149774,-4.978158,0.113162,0.146431,-4.982943,repeat_mean
99485,0.156945,0.225630,-4.970019,0.174960,0.230021,-4.973330,repeat_mean
132647,0.209948,0.301340,-4.961745,0.238489,0.314267,-4.963125,repeat_mean
165808,0.263322,0.376823,-4.953788,0.300936,0.399074,-4.953514,repeat_mean
198970,0.317211,0.451991,-4.946336,0.366564,0.481811,-4.944307,repeat_mean
232132,0.371567,0.526866,-4.939349,0.428231,0.567615,-4.936066,repeat_mean
265293,0.426621,0.601290,-4.933040,0.494816,0.650171,-4.928534,repeat_mean
298455,0.482195,0.675366,-4.927220,0.558712,0.734908,-4.921540,repeat_mean
331617,0.538450,0.748974,-4.922023,0.625910,0.817216,-4.915690,repeat_mean
364778,0.595315,0.822147,-4.917364,0.691618,0.900651,-4.910783,repeat_mean
397940,0.652911,0.894783,-4.913322,0.759595,0.982407,-4.906589,repeat_mean
431102,0.711172,0.966915,-4.909827,0.827615,1.064278,-4.902915,repeat_mean
464264,0.770207,1.038444,-4.906950,0.897452,1.144498,-4.899316,repeat_mean
497425,0.829971,1.109384,-4.904639,0.966889,1.225012,-4.897004,repeat_mean
530587,0.890552,1.179646,-4.902916,1.037091,1.305118,-4.895114,repeat_mean
563749,0.951893,1.249253,-4.901598,1.108544,1.384044,-4.894212,repeat_mean
596910,1.013935,1.318239,-4.900522,1.179460,1.463319,-4.894000,repeat_mean
630072,1.077040,1.386261,-4.899797,1.254290,1.538722,-4.894465,repeat_mean
663234,1.140862,1.453612,-4.899365,1.328955,1.614661,-4.895720,repeat_mean
696395,1.205768,1.519918,-4.899459,1.402686,1.691351,-4.897776,repeat_mean
729557,1.271701,1.585201,-4.900073,1.479107,1.765119,-4.900397,repeat_mean
762719,1.338473,1.649621,-4.901096,1.555495,1.839087,-4.903637,repeat_mean
795880,1.406511,1.712691,-4.902702,1.633351,1.911572,-4.907386,repeat_mean
829042,1.475580,1.774615,-4.904749,1.712813,1.982331,-4.911871,repeat_mean
862204,1.545768,1.835249,-4.907246,1.793340,2.051742,-4.916986,repeat_mean
895365,1.617007,1.894630,-4.910144,1.875534,2.119172,-4.922380,repeat_mean
928527,1.689498,1.952447,-4.913480,1.958615,2.185524,-4.928111,repeat_mean
961689,1.763164,2.008742,-4.917194,2.042071,2.251318,-4.934344,repeat_mean
994850,1.838009,2.063430,-4.921255,2.128607,2.312921,-4.941088,repeat_mean
1028012,1.914262,2.116107,-4.925684,2.215594,2.373959,-4.947664,repeat_mean
1061174,1.991679,2.167038,-4.930382,2.302480,2.434798,-4.955069,repeat_mean
1094335,2.070451,2.215808,-4.935352,2.392816,2.490672,-4.962120,repeat_mean
1127497,2.150628,2.262215,-4.940554,2.484577,2.544223,-4.969237,repeat_mean
1160659,2.231921,2.306620,-4.945905,2.576730,2.597020,-4.976037,repeat_mean
1193820,2.314855,2.347848,-4.951412,2.670420,2.646502,-4.982451,repeat_mean
1226982,2.399009,2.386524,-4.956982,2.767238,2.690564,-4.988863,repeat_mean
1260144,2.484524,2.422089,-4.962542,2.863752,2.734777,-4.994732,repeat_mean
1293306,2.571369,2.454317,-4.967824,2.962867,2.773209,-5.000450,repeat_mean
1326467,2.659483,2.482950,-4.972689,3.063089,2.808612,-5.005456,repeat_mean
1359629,2.748699,2.508003,-4.977232,3.165037,2.838464,-5.009832,repeat_mean
1392791,2.838939,2.529131,-4.981424,3.268357,2.864035,-5.013510,repeat_mean
1425952,2.930233,2.545263,-4.985102,3.372599,2.885577,-5.016199,repeat_mean
1459114,3.022092,2.557877,-4.988413,3.478024,2.899279,-5.018327,repeat_mean
1492276,3.114569,2.564666,-4.991113,3.584098,2.908011,-5.019532,repeat_mean
1525437,3.207275,2.567455,-4.993357,3.690302,2.912518,-5.019704,repeat_mean
1558599,3.299999,2.565275,-4.994981,3.796565,2.906412,-5.019736,repeat_mean
1591761,3.392504,2.558195,-4.995967,3.902639,2.896952,-5.018758,repeat_mean
1624922,3.484491,2.546217,-4.996333,4.007688,2.880316,-5.017082,repeat_mean
1658084,3.575887,2.530270,-4.996256,4.111422,2.856336,-5.015015,repeat_mean
1691246,3.666264,2.509338,-4.995758,4.212649,2.823539,-5.012175,repeat_mean
1724407,3.755556,2.484157,-4.994961,4.312860,2.787832,-5.008890,repeat_mean
1757569,3.843627,2.455034,-4.993922,4.410259,2.744860,-5.005580,repeat_mean
1790731,3.930133,2.421517,-4.992654,4.505640,2.697886,-5.001526,repeat_mean
1823892,4.015372,2.384904,-4.991251,4.596448,2.642441,-4.997871,repeat_mean
1857054,4.098487,2.343706,-4.989690,4.685574,2.584714,-4.993686,repeat_mean
1890216,4.180254,2.299892,-4.988065,4.770952,2.521247,-4.989947,repeat_mean
1923377,4.260094,2.252676,-4.986381,4.852264,2.452571,-4.986026,repeat_mean
1956539,4.337982,2.202280,-4.984669,4.932304,2.382495,-4.981987,repeat_mean
1989701,4.413898,2.148965,-4.982960,5.007881,2.307914,-4.978382,repeat_mean
2022862,4.487742,2.092821,-4.981275,5.079200,2.229082,-4.974970,repeat_mean
2056024,4.559667,2.034236,-4.979631,5.147696,2.147653,-4.971791,repeat_mean
2089186,4.629398,1.973052,-4.978050,5.214332,2.064744,-4.968701,repeat_mean
2122347,4.697091,1.909619,-4.976540,5.274838,1.977201,-4.965913,repeat_mean
2155509,4.762438,1.843772,-4.975125,5.336600,1.890556,-4.963333,repeat_mean
2188671,4.825730,1.775937,-4.973802,5.390880,1.799242,-4.961339,repeat_mean
2221833,4.886700,1.706015,-4.972589,5.445221,1.708120,-4.959461,repeat_mean
2254994,4.945124,1.633943,-4.971503,5.493900,1.613525,-4.957586,repeat_mean
2288156,5.001665,1.560385,-4.970513,5.540152,1.517726,-4.956015,repeat_mean
2321318,5.055501,1.484828,-4.969662,5.584525,1.421020,-4.954876,repeat_mean
2354479,5.107028,1.407671,-4.968930,5.626657,1.323638,-4.953976,repeat_mean
2387641,5.156396,1.329113,-4.968307,5.661734,1.223366,-4.952905,repeat_mean
2420803,5.202825,1.248780,-4.967828,5.699225,1.124036,-4.952273,repeat_mean
2453964,5.246904,1.167137,-4.967459,5.730061,1.022087,-4.951800,repeat_mean
2487126,5.288468,1.084189,-4.967200,5.759607,0.919690,-4.951800,repeat_mean
2520288,5.327534,1.000030,-4.967036,5.784315,0.816373,-4.951619,repeat_mean
2553449,5.363547,0.914524,-4.966971,5.808075,0.712805,-4.951466,repeat_mean
2586611,5.397203,0.828058,-4.966980,5.829253,0.608731,-4.951199,repeat_mean
2619773,5.427883,0.740499,-4.967073,5.846402,0.503738,-4.951257,repeat_mean
2652934,5.455501,0.651922,-4.967238,5.860561,0.398297,-4.951200,repeat_mean
2686096,5.480790,0.562649,-4.967446,5.870090,0.292343,-4.951400,repeat_mean
2719258,5.502510,0.472447,-4.967701,5.879538,0.186437,-4.951400,repeat_mean
2752419,5.521232,0.381573,-4.967921,5.884459,0.080193,-4.951536,repeat_mean
2785581,5.537575,0.290241,-4.968034,5.887644,-0.026021,-4.951608,repeat_mean
2818743,5.550002,0.198294,-4.967915,5.883275,-0.132297,-4.952290,repeat_mean
2851904,5.559904,0.106042,-4.967749,5.879445,-0.238643,-4.952871,repeat_mean
2885066,5.566434,0.013489,-4.967595,5.872883,-0.344801,-4.953601,repeat_mean
2918228,5.569823,-0.079234,-4.967481,5.864847,-0.450855,-4.954536,repeat_mean
2951389,5.570143,-0.172011,-4.967425,5.849404,-0.556217,-4.955188,repeat_mean
2984551,5.567568,-0.264760,-4.967432,5.831066,-0.661052,-4.956254,repeat_mean
3017713,5.561932,-0.357369,-4.967518,5.813927,-0.766030,-4.957464,repeat_mean
3050875,5.552841,-0.449705,-4.967709,5.790615,-0.869525,-4.958694,repeat_mean
3084036,5.541381,-0.541778,-4.967977,5.763066,-0.972338,-4.960097,repeat_mean
3117198,5.526658,-0.633379,-4.968364,5.732856,-1.074527,-4.961694,repeat_mean
3150360,5.508771,-0.724422,-4.968871,5.702141,-1.176540,-4.963450,repeat_mean
3183521,5.488610,-0.814987,-4.969471,5.667244,-1.276727,-4.965223,repeat_mean
3216683,5.464673,-0.904628,-4.970230,5.628507,-1.375632,-4.966931,repeat_mean
3249845,5.438214,-0.993554,-4.971099,5.587872,-1.473843,-4.969158,repeat_mean
3283006,5.408906,-1.081579,-4.972095,5.544893,-1.571045,-4.971228,repeat_mean
3316168,5.376678,-1.168580,-4.973220,5.496691,-1.665955,-4.973545,repeat_mean
3349330,5.341438,-1.254399,-4.974480,5.446916,-1.759787,-4.975895,repeat_mean
3382491,5.303423,-1.339026,-4.975862,5.392517,-1.851282,-4.978422,repeat_mean
3415653,5.262715,-1.422385,-4.977358,5.336617,-1.941795,-4.981089,repeat_mean
3448815,5.218783,-1.504091,-4.978985,5.278148,-2.030528,-4.983681,repeat_mean
3481976,5.172538,-1.584510,-4.980701,5.215959,-2.116757,-4.986256,repeat_mean
3515138,5.123008,-1.662937,-4.982533,5.149797,-2.200018,-4.989114,repeat_mean
3548300,5.070951,-1.739720,-4.984446,5.080724,-2.280696,-4.991724,repeat_mean
3581461,5.015927,-1.814393,-4.986437,5.009005,-2.358750,-4.994537,repeat_mean
3614623,4.958008,-1.886846,-4.988492,4.933974,-2.434215,-4.997528,repeat_mean
3647785,4.897556,-1.957195,-4.990585,4.858474,-2.509244,-5.000390,repeat_mean
3680946,4.834347,-2.025078,-4.992701,4.778314,-2.578878,-5.002891,repeat_mean
3714108,4.768435,-2.090345,-4.994820,4.694676,-2.644676,-5.005279,repeat_mean
3747270,4.699674,-2.152604,-4.996909,4.610582,-2.709647,-5.007825,repeat_mean
3780431,4.628497,-2.212082,-4.998948,4.522342,-2.768845,-5.010101,repeat_mean
3813593,4.554574,-2.268104,-5.000892,4.431820,-2.824536,-5.012092,repeat_mean
3846755,4.478423,-2.321073,-5.002730,4.339453,-2.877418,-5.013695,repeat_mean
