timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
0,0.027336,0.005726,-4.720808,0.028217,0.005932,-4.719712,repeat_mean
33162,0.078424,0.079483,-4.730796,0.088122,0.066784,-4.727139,repeat_mean
66323,0.131448,0.155475,-4.727569,0.147889,0.129645,-4.730714,repeat_mean
99485,0.184264,0.231332,-4.719430,0.208461,0.191877,-4.730467,repeat_mean
132647,0.237263,0.307045,-4.711151,0.269872,0.253223,-4.727672,repeat_mean
165808,0.290640,0.382527,-4.703197,0.331578,0.314230,-4.724018,repeat_mean
198970,0.344521,0.457701,-4.695737,0.393318,0.375204,-4.720353,repeat_mean
232132,0.398886,0.532572,-4.688757,0.454806,0.436453,-4.717021,repeat_mean
265293,0.453921,0.607010,-4.682430,0.515939,0.498092,-4.714146,repeat_mean
298455,0.509485,0.681095,-4.676601,0.576557,0.560256,-4.711667,repeat_mean
331617,0.565756,0.754692,-4.671419,0.636532,0.623062,-4.709569,repeat_mean
364778,0.622625,0.827863,-4.666763,0.695768,0.686586,-4.707808,repeat_mean
397940,0.680222,0.900500,-4.662721,0.754099,0.750955,-4.706355,repeat_mean
431102,0.738495,0.972625,-4.659235,0.811684,0.816000,-4.705127,repeat_mean
464263,0.797528,1.044156,-4.656357,0.868330,0.881871,-4.704173,repeat_mean
497425,0.857264,1.115121,-4.654025,0.924224,0.948385,-4.703284,repeat_mean
530587,0.917875,1.185357,-4.652324,0.979396,1.015498,-4.702320,repeat_mean
563748,0.979175,1.255003,-4.650989,1.033853,1.083187,-4.701269,repeat_mean
596910,1.041259,1.323953,-4.649929,1.087763,1.151306,-4.700221,repeat_mean
630072,1.104338,1.392000,-4.649194,1.141108,1.219866,-4.699319,repeat_mean
663233,1.168164,1.459348,-4.648763,1.193975,1.288788,-4.698701,repeat_mean
696395,1.233065,1.525661,-4.648853,1.246499,1.357966,-4.698463,repeat_mean
729557,1.298981,1.590965,-4.649459,1.298838,1.427276,-4.698606,repeat_mean
762718,1.365799,1.655337,-4.650504,1.351046,1.496671,-4.699244,repeat_mean
795880,1.433837,1.718408,-4.652109,1.403329,1.565994,-4.700325,repeat_mean
829041,1.502856,1.780391,-4.654136,1.455747,1.635194,-4.701853,repeat_mean
862203,1.573016,1.841062,-4.656625,1.508494,1.704120,-4.703893,repeat_mean
895365,1.644307,1.900381,-4.659542,1.561718,1.772648,-4.706443,repeat_mean
928526,1.716813,1.958182,-4.662883,1.615509,1.840699,-4.709479,repeat_mean
961688,1.790488,2.014466,-4.666600,1.670074,1.908097,-4.713036,repeat_mean
994850,1.865336,2.069150,-4.670662,1.725577,1.974684,-4.717089,repeat_mean
1028011,1.941583,2.121839,-4.675090,1.782024,2.040444,-4.721568,repeat_mean
1061173,2.019036,2.172716,-4.679795,1.839785,2.105008,-4.726522,repeat_mean
1094335,2.097720,2.221629,-4.684749,1.898893,2.168306,-4.731867,repeat_mean
1127496,2.177924,2.267993,-4.689957,1.959501,2.230134,-4.737593,repeat_mean
1160658,2.259249,2.312342,-4.695312,2.021780,2.290261,-4.743618,repeat_mean
1193820,2.342185,2.353571,-4.700819,2.085857,2.348442,-4.749847,repeat_mean
1226981,2.426339,2.392248,-4.706389,2.151881,2.404387,-4.756303,repeat_mean
1260143,2.511855,2.427813,-4.711950,2.219837,2.457965,-4.762924,repeat_mean
1293305,2.598701,2.460041,-4.717231,2.290083,2.508512,-4.769624,repeat_mean
1326466,2.686793,2.488741,-4.722103,2.362480,2.555954,-4.776199,repeat_mean
1359628,2.776031,2.513728,-4.726640,2.437174,2.599773,-4.782301,repeat_mean
1392790,2.866272,2.534856,-4.730832,2.514219,2.639440,-4.787683,repeat_mean
1425951,2.957551,2.551080,-4.734520,2.593353,2.674863,-4.792487,repeat_mean
1459113,3.049425,2.563603,-4.737821,2.674430,2.705699,-4.796650,repeat_mean
1492275,3.141900,2.570452,-4.740528,2.757276,2.731507,-4.800049,repeat_mean
1525436,3.234609,2.573258,-4.742775,2.841803,2.751295,-4.802677,repeat_mean
1558598,3.327335,2.571058,-4.744396,2.927561,2.764932,-4.804491,repeat_mean
1591760,3.419845,2.564039,-4.745390,3.014099,2.772321,-4.805386,repeat_mean
1624921,3.511900,2.552479,-4.745797,3.100954,2.772917,-4.805200,repeat_mean
1658083,3.603214,2.536044,-4.745668,3.187642,2.767528,-4.803989,repeat_mean
1691245,3.693607,2.515154,-4.745172,3.273749,2.756264,-4.801844,repeat_mean
1724406,3.782903,2.489985,-4.744375,3.358892,2.739269,-4.798965,repeat_mean
1757568,3.870960,2.460802,-4.743332,3.442768,2.716894,-4.795619,repeat_mean
1790730,3.957483,2.427326,-4.742066,3.525150,2.689560,-4.791928,repeat_mean
1823891,4.042772,2.390816,-4.740665,3.605873,2.657684,-4.788022,repeat_mean
1857053,4.125888,2.349610,-4.739103,3.684891,2.621814,-4.784008,repeat_mean
1890215,4.207593,2.305675,-4.737475,3.762234,2.582461,-4.779976,repeat_mean
1923376,4.287423,2.258434,-4.735789,3.837927,2.540012,-4.776020,repeat_mean
1956538,4.365299,2.208019,-4.734078,3.911934,2.494682,-4.772160,repeat_mean
1989700,4.441271,2.154782,-4.732367,3.984330,2.446813,-4.768435,repeat_mean
2022861,4.515122,2.098643,-4.730682,4.055188,2.396686,-4.764893,repeat_mean
2056023,4.587043,2.040049,-4.729037,4.124507,2.344439,-4.761550,repeat_mean
2089185,4.656769,1.978854,-4.727456,4.192467,2.290429,-4.758384,repeat_mean
2122346,4.724473,1.915428,-4.725945,4.259020,2.234684,-4.755411,repeat_mean
2155508,4.789756,1.849517,-4.724533,4.324188,2.177318,-4.752639,repeat_mean
2188670,4.853050,1.781681,-4.723210,4.388044,2.118486,-4.750085,repeat_mean
2221831,4.914020,1.711759,-4.721997,4.450717,2.058387,-4.747767,repeat_mean
2254993,4.972484,1.639719,-4.720909,4.512124,1.996986,-4.745706,repeat_mean
2288155,5.029075,1.566196,-4.719916,4.572253,1.934325,-4.743863,repeat_mean
2321316,5.082873,1.490606,-4.719067,4.631108,1.870466,-4.742273,repeat_mean
2354478,5.134389,1.413439,-4.718336,4.688741,1.805493,-4.740921,repeat_mean
2387639,5.183727,1.334862,-4.717715,4.745085,1.739395,-4.739824,repeat_mean
2420801,5.230173,1.254539,-4.717235,4.800186,1.672257,-4.738937,repeat_mean
2453963,5.274356,1.172951,-4.716862,4.853973,1.604060,-4.738306,repeat_mean
2487124,5.315865,1.089970,-4.716606,4.906507,1.534890,-4.737902,repeat_mean
2520286,5.354860,1.005776,-4.716444,4.957713,1.464731,-4.737731,repeat_mean
2553448,5.390939,0.920297,-4.716377,5.007548,1.393595,-4.737812,repeat_mean
2586609,5.424532,0.833804,-4.716388,5.055938,1.321470,-4.738108,repeat_mean
2619771,5.455279,0.746267,-4.716480,5.102879,1.248394,-4.738652,repeat_mean
2652933,5.482891,0.657686,-4.716645,5.148331,1.174390,-4.739395,repeat_mean
2686094,5.508119,0.568395,-4.716854,5.192044,1.099346,-4.740358,repeat_mean
2719256,5.529899,0.478208,-4.717108,5.233946,1.023283,-4.741517,repeat_mean
2752418,5.548693,0.387346,-4.717335,5.274033,0.946254,-4.742838,repeat_mean
2785579,5.564906,0.295988,-4.717442,5.312237,0.868277,-4.744306,repeat_mean
2818741,5.577386,0.204047,-4.717324,5.348246,0.789266,-4.745956,repeat_mean
2851903,5.587238,0.111788,-4.717157,5.382083,0.709306,-4.747745,repeat_mean
2885064,5.593768,0.019235,-4.717002,5.413618,0.628415,-4.749552,repeat_mean
2918226,5.597243,-0.073485,-4.716888,5.442759,0.546633,-4.751188,repeat_mean
2951388,5.597560,-0.166266,-4.716831,5.469418,0.464004,-4.752666,repeat_mean
2984549,5.594904,-0.259014,-4.716840,5.493360,0.380547,-4.754030,repeat_mean
3017711,5.589269,-0.351624,-4.716926,5.514438,0.296322,-4.755336,repeat_mean
3050873,5.580310,-0.443974,-4.717112,5.532497,0.211402,-4.756641,repeat_mean
3084034,5.568819,-0.536047,-4.717382,5.547397,0.125877,-4.758008,repeat_mean
3117196,5.553997,-0.627634,-4.717771,5.558908,0.039831,-4.759490,repeat_mean
3150358,5.536163,-0.718689,-4.718277,5.567065,-0.046589,-4.761029,repeat_mean
3183519,5.515950,-0.809244,-4.718879,5.571635,-0.133269,-4.762626,repeat_mean
3216681,5.492013,-0.898886,-4.719637,5.572578,-0.220062,-4.764342,repeat_mean
3249843,5.465616,-0.987832,-4.720504,5.569882,-0.306812,-4.766178,repeat_mean
3283004,5.436258,-1.075842,-4.721502,5.563610,-0.393373,-4.768094,repeat_mean
3316166,5.404035,-1.162846,-4.722627,5.553660,-0.479586,-4.770106,repeat_mean
3349328,5.368779,-1.248660,-4.723888,5.540234,-0.565324,-4.772187,repeat_mean
3382489,5.330820,-1.333313,-4.725267,5.523245,-0.650429,-4.774321,repeat_mean
3415651,5.290163,-1.416700,-4.726761,5.502798,-0.734770,-4.776487,repeat_mean
3448813,5.246178,-1.498382,-4.728390,5.478998,-0.818222,-4.778727,repeat_mean
3481974,5.199880,-1.578772,-4.730109,5.451934,-0.900671,-4.781018,repeat_mean
