timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
74304000,0.016513,0.010885,-4.687305,0.013248,0.009005,-4.681386,px4_default
74324000,0.016517,0.010892,-4.686819,0.013506,0.009367,-4.680961,px4_default
74344000,0.016553,0.010944,-4.686224,0.013884,0.009805,-4.680723,px4_default
74364000,0.016627,0.011052,-4.685557,0.014767,0.010751,-4.680398,px4_default
74384000,0.016779,0.011274,-4.684951,0.015614,0.011621,-4.680211,px4_default
74404000,0.017082,0.011715,-4.684639,0.017299,0.013364,-4.679998,px4_default
74424000,0.017627,0.012509,-4.684595,0.018716,0.014823,-4.679908,px4_default
74444000,0.018348,0.013560,-4.684713,0.021427,0.017640,-4.679841,px4_default
74464000,0.019335,0.014995,-4.685032,0.023593,0.019931,-4.679887,px4_default
74484000,0.020653,0.016912,-4.685556,0.027483,0.024042,-4.680170,px4_default
74504000,0.022351,0.019379,-4.686259,0.030596,0.027385,-4.680544,px4_default
74524000,0.024461,0.022442,-4.687116,0.035878,0.033082,-4.681397,px4_default
74544000,0.026993,0.026115,-4.688101,0.039995,0.037546,-4.682024,px4_default
74564000,0.030077,0.030583,-4.689201,0.046930,0.045039,-4.682769,px4_default
74584000,0.033720,0.035855,-4.690387,0.052154,0.050660,-4.683175,px4_default
74604000,0.037805,0.041761,-4.691612,0.060880,0.060097,-4.683767,px4_default
74624000,0.042539,0.048598,-4.692879,0.067267,0.067010,-4.684257,px4_default
74644000,0.048168,0.056710,-4.694120,0.078055,0.078635,-4.685136,px4_default
74664000,0.054477,0.065788,-4.695312,0.085925,0.087115,-4.685736,px4_default
74684000,0.061354,0.075673,-4.696432,0.098647,0.100878,-4.686630,px4_default
74704000,0.068805,0.086371,-4.697459,0.107984,0.110943,-4.687191,px4_default
74724000,0.077518,0.098850,-4.697804,0.122989,0.127032,-4.687900,px4_default
74744000,0.086824,0.112178,-4.697628,0.133699,0.138494,-4.688260,px4_default
74764000,0.096692,0.126310,-4.696995,0.150951,0.156798,-4.688597,px4_default
74784000,0.107213,0.141387,-4.695920,0.163193,0.169595,-4.688673,px4_default
74804000,0.118615,0.157746,-4.694365,0.182753,0.189914,-4.688540,px4_default
74824000,0.131068,0.175635,-4.692517,0.196547,0.204057,-4.688288,px4_default
74844000,0.144130,0.194403,-4.690523,0.218536,0.226650,-4.687631,px4_default
74864000,0.157932,0.214230,-4.688372,0.233971,0.242392,-4.687028,px4_default
74884000,0.172568,0.235239,-4.686065,0.258295,0.267041,-4.685905,px4_default
74904000,0.188102,0.257498,-4.683614,0.275327,0.284419,-4.685065,px4_default
74924000,0.204425,0.280831,-4.681056,0.302006,0.311514,-4.683689,px4_default
74944000,0.221423,0.305075,-4.678414,0.320572,0.330456,-4.682697,px4_default
74964000,0.239294,0.330466,-4.675687,0.349578,0.360103,-4.681116,px4_default
74984000,0.258011,0.356949,-4.672889,0.369689,0.380577,-4.680036,px4_default
75004000,0.277310,0.384165,-4.670054,0.401001,0.412995,-4.678380,px4_default
75024000,0.297370,0.412329,-4.667177,0.422620,0.435399,-4.677326,px4_default
75044000,0.318429,0.441689,-4.664273,0.456180,0.470277,-4.675764,px4_default
75064000,0.340216,0.471897,-4.661364,0.479293,0.494402,-4.674744,px4_default
75084000,0.362576,0.502753,-4.658458,0.515026,0.531918,-4.673234,px4_default
75104000,0.385497,0.534242,-4.655559,0.539498,0.558111,-4.672272,px4_default
75124000,0.409571,0.566972,-4.652702,0.577233,0.598619,-4.670885,px4_default
75144000,0.434311,0.600375,-4.649889,0.603031,0.626647,-4.670011,px4_default
75164000,0.459630,0.634355,-4.647118,0.642605,0.670266,-4.668784,px4_default
75184000,0.485552,0.668918,-4.644399,0.669572,0.700209,-4.668003,px4_default
75204000,0.512228,0.704193,-4.641752,0.710753,0.747034,-4.666880,px4_default
75224000,0.539876,0.740314,-4.639227,0.738699,0.779192,-4.666161,px4_default
75244000,0.568044,0.776863,-4.636775,0.781290,0.828845,-4.665148,px4_default
75264000,0.596796,0.813883,-4.634410,0.810032,0.863123,-4.664607,px4_default
75284000,0.626228,0.851421,-4.632155,0.853722,0.915741,-4.663817,px4_default
75304000,0.656474,0.889539,-4.630046,0.883154,0.951736,-4.663256,px4_default
75324000,0.687372,0.928076,-4.628068,0.927763,1.006806,-4.662295,px4_default
75344000,0.718776,0.966930,-4.626197,0.957744,1.044339,-4.661602,px4_default
75364000,0.750917,1.006194,-4.624496,1.003010,1.101747,-4.660535,px4_default
75384000,0.783794,1.045837,-4.622976,1.033407,1.140630,-4.659814,px4_default
75404000,0.817150,1.085691,-4.621582,1.079192,1.200017,-4.658799,px4_default
75424000,0.851123,1.125808,-4.620353,1.109885,1.240147,-4.658234,px4_default
75444000,0.885852,1.166182,-4.619342,1.156091,1.301096,-4.657592,px4_default
75464000,0.921173,1.206724,-4.618475,1.186999,1.342203,-4.657354,px4_default
75484000,0.956974,1.247373,-4.617703,1.233598,1.404276,-4.657271,px4_default
75504000,0.993211,1.288105,-4.617012,1.264796,1.445881,-4.657429,px4_default
75524000,1.030259,1.328920,-4.616429,1.311718,1.508492,-4.657995,px4_default
75544000,1.067867,1.369710,-4.615948,1.343145,1.550294,-4.658563,px4_default
75564000,1.105940,1.410457,-4.615567,1.390500,1.612855,-4.659807,px4_default
75584000,1.144464,1.451134,-4.615299,1.422189,1.654522,-4.660811,px4_default
75604000,1.183527,1.491701,-4.615182,1.469999,1.716551,-4.662664,px4_default
75624000,1.223405,1.531995,-4.615355,1.502066,1.757590,-4.664067,px4_default
75644000,1.263687,1.572118,-4.615674,1.550458,1.818579,-4.666450,px4_default
75664000,1.304392,1.612049,-4.616145,1.582950,1.858594,-4.668267,px4_default
75684000,1.345596,1.651705,-4.616799,1.632026,1.917828,-4.671230,px4_default
75704000,1.387444,1.690926,-4.617699,1.665007,1.956604,-4.673399,px4_default
75724000,1.429765,1.729762,-4.618779,1.714847,2.013596,-4.676917,px4_default
75744000,1.472443,1.768297,-4.619994,1.748307,2.050892,-4.679391,px4_default
75764000,1.515636,1.806339,-4.621403,1.798948,2.105277,-4.683355,px4_default
75784000,1.559350,1.843832,-4.623010,1.832967,2.140633,-4.686102,px4_default
75804000,1.603414,1.880871,-4.624753,1.884373,2.192249,-4.690334,px4_default
75824000,1.647890,1.917359,-4.626655,1.918910,2.225428,-4.693252,px4_default
75844000,1.692832,1.953148,-4.628734,1.971061,2.273998,-4.697687,px4_default
75864000,1.738180,1.988277,-4.630962,2.006016,2.305011,-4.700746,px4_default
75884000,1.783869,2.022801,-4.633314,2.058748,2.349951,-4.705371,px4_default
75904000,1.829840,2.056783,-4.635767,2.094070,2.378644,-4.708487,px4_default
75924000,1.876271,2.089763,-4.638387,2.147275,2.419734,-4.713241,px4_default
75944000,1.923056,2.121861,-4.641125,2.182905,2.445994,-4.716409,px4_default
75964000,1.970119,2.153234,-4.643951,2.236503,2.483051,-4.721193,px4_default
75984000,2.017426,2.183931,-4.646852,2.272371,2.506464,-4.724348,px4_default
76004000,2.065009,2.213843,-4.649835,2.326335,2.539638,-4.728941,px4_default
76024000,2.113006,2.242231,-4.652930,2.362375,2.560174,-4.731849,px4_default
76044000,2.161185,2.269864,-4.656066,2.416579,2.589216,-4.735812,px4_default
76064000,2.209542,2.296747,-4.659239,2.452787,2.607177,-4.738258,px4_default
76084000,2.258106,2.322668,-4.662449,2.507186,2.632026,-4.741709,px4_default
76104000,2.306952,2.347112,-4.665697,2.543526,2.647367,-4.743822,px4_default
76124000,2.355977,2.370445,-4.668950,2.598094,2.668277,-4.746749,px4_default
76144000,2.405130,2.392929,-4.672204,2.634478,2.681005,-4.748528,px4_default
76164000,2.454428,2.414185,-4.675443,2.689090,2.697695,-4.750898,px4_default
76184000,2.503862,2.434113,-4.678629,2.725544,2.707489,-4.752285,px4_default
76204000,2.553388,2.452939,-4.681695,2.780257,2.720184,-4.754081,px4_default
76224000,2.603009,2.470580,-4.684621,2.834979,2.730147,-4.755496,px4_default
76244000,2.652724,2.486907,-4.687376,2.871474,2.735445,-4.756241,px4_default
76264000,2.702514,2.501886,-4.689998,2.907972,2.739619,-4.756818,px4_default
76284000,2.752361,2.515615,-4.692513,2.962666,2.743770,-4.757360,px4_default
76304000,2.802253,2.528322,-4.694935,2.999112,2.745318,-4.757510,px4_default
76324000,2.852216,2.539402,-4.697194,3.053781,2.745297,-4.757383,px4_default
76344000,2.902239,2.548898,-4.699281,3.090215,2.744004,-4.757144,px4_default
76364000,2.952296,2.557158,-4.701234,3.144776,2.740192,-4.756475,px4_default
76384000,3.002368,2.564366,-4.703074,3.181135,2.736398,-4.755803,px4_default
76404000,3.052452,2.570443,-4.704794,3.235641,2.728844,-4.754487,px4_default
76424000,3.102542,2.574124,-4.706261,3.271901,2.722412,-4.753394,px4_default
76444000,3.152627,2.576733,-4.707603,3.326283,2.711026,-4.751542,px4_default
76464000,3.202704,2.578293,-4.708824,3.362525,2.702143,-4.750121,px4_default
76484000,3.252753,2.578587,-4.709889,3.416839,2.686932,-4.747799,px4_default
76504000,3.302736,2.577060,-4.710719,3.453011,2.675682,-4.746164,px4_default
76524000,3.352643,2.574008,-4.711350,3.507227,2.656743,-4.743503,px4_default
76544000,3.402491,2.569914,-4.711846,3.543330,2.642979,-4.741646,px4_default
76564000,3.452248,2.564461,-4.712164,3.597378,2.620673,-4.738762,px4_default
76584000,3.501890,2.557525,-4.712297,3.633366,2.604551,-4.736755,px4_default
76604000,3.551406,2.549206,-4.712281,3.687300,2.578819,-4.733697,px4_default
76624000,3.600773,2.539566,-4.712142,3.723211,2.560549,-4.731632,px4_default
76644000,3.649963,2.528609,-4.711900,3.776949,2.531701,-4.728537,px4_default
76664000,3.698940,2.516230,-4.711555,3.812701,2.511413,-4.726475,px4_default
76684000,3.747702,2.502525,-4.711122,3.866209,2.479454,-4.723382,px4_default
76704000,3.796288,2.487815,-4.710625,3.901775,2.457242,-4.721346,px4_default
76724000,3.844615,2.471686,-4.710043,3.954979,2.422395,-4.718327,px4_default
76744000,3.892583,2.453996,-4.709382,3.990339,2.398268,-4.716348,px4_default
76764000,3.940268,2.435148,-4.708665,4.043181,2.360775,-4.713462,px4_default
76784000,3.987718,2.415383,-4.707908,4.078234,2.334880,-4.711589,px4_default
76804000,4.034921,2.394672,-4.707112,4.130578,2.294838,-4.708827,px4_default
76824000,4.081537,2.371920,-4.706245,4.165272,2.267332,-4.707016,px4_default
76844000,4.127836,2.348237,-4.705354,4.216951,2.224927,-4.704401,px4_default
76864000,4.173830,2.323679,-4.704442,4.251193,2.195922,-4.702712,px4_default
76884000,4.219464,2.298127,-4.703507,4.302066,2.151318,-4.700342,px4_default
76904000,4.264582,2.271205,-4.702549,4.335764,2.120903,-4.698814,px4_default
76924000,4.309162,2.242970,-4.701577,4.385726,2.074400,-4.696698,px4_default
76944000,4.353387,2.213925,-4.700600,4.418721,2.042791,-4.695412,px4_default
76964000,4.397155,2.183899,-4.699619,4.467705,1.994495,-4.693598,px4_default
76984000,4.440392,2.152787,-4.698639,4.499908,1.961807,-4.692496,px4_default
77004000,4.483048,2.120550,-4.697666,4.547674,1.911936,-4.690946,px4_default
