timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
74024000,-0.012275,0.014634,-4.677415,-0.011148,0.017111,-4.666251,px4_default
74044000,-0.012277,0.014624,-4.676275,-0.010892,0.017002,-4.664381,px4_default
74064000,-0.012281,0.014611,-4.675122,-0.010408,0.016661,-4.661359,px4_default
74084000,-0.012310,0.014500,-4.673556,-0.009982,0.016282,-4.659220,px4_default
74104000,-0.012367,0.014286,-4.671587,-0.009232,0.015448,-4.655891,px4_default
74124000,-0.012429,0.014054,-4.669637,-0.008641,0.014662,-4.653591,px4_default
74144000,-0.012644,0.013236,-4.668256,-0.007627,0.013058,-4.650031,px4_default
74164000,-0.012871,0.012373,-4.666899,-0.006875,0.011687,-4.647646,px4_default
74184000,-0.013223,0.011018,-4.665804,-0.005645,0.009018,-4.644034,px4_default
74204000,-0.013704,0.009157,-4.664974,-0.004761,0.006784,-4.641615,px4_default
74224000,-0.014207,0.007211,-4.664171,-0.003345,0.002684,-4.637962,px4_default
74244000,-0.015035,0.003960,-4.663795,-0.002331,-0.000703,-4.635490,px4_default
74264000,-0.015897,0.000572,-4.663445,-0.000771,-0.006591,-4.631795,px4_default
74284000,-0.016969,-0.003679,-4.663269,0.000295,-0.011308,-4.629230,px4_default
74304000,-0.018255,-0.008815,-4.663261,0.001943,-0.019370,-4.625130,px4_default
74324000,-0.019590,-0.014151,-4.663276,0.003029,-0.025539,-4.622133,px4_default
74344000,-0.021385,-0.021434,-4.663496,0.004575,-0.036064,-4.617321,px4_default
74364000,-0.023245,-0.028991,-4.663726,0.005585,-0.043890,-4.614028,px4_default
74384000,-0.025384,-0.037757,-4.663995,0.007004,-0.057261,-4.609039,px4_default
74404000,-0.027808,-0.047759,-4.664295,0.007868,-0.067224,-4.605865,px4_default
74424000,-0.030314,-0.058121,-4.664583,0.009016,-0.083862,-4.601576,px4_default
74444000,-0.033383,-0.070981,-4.664792,0.009692,-0.096294,-4.599121,px4_default
74464000,-0.036541,-0.084247,-4.664883,0.010539,-0.116725,-4.596173,px4_default
74484000,-0.039997,-0.098871,-4.664577,0.010935,-0.131682,-4.594632,px4_default
74504000,-0.043748,-0.114865,-4.663847,0.011272,-0.156167,-4.592919,px4_default
74524000,-0.047586,-0.131300,-4.662912,0.011470,-0.173651,-4.592063,px4_default
74544000,-0.051882,-0.150071,-4.660894,0.011474,-0.201896,-4.591197,px4_default
74564000,-0.056262,-0.169374,-4.658759,0.011383,-0.221884,-4.590795,px4_default
74584000,-0.060871,-0.190098,-4.656306,0.010953,-0.254069,-4.590561,px4_default
74604000,-0.065704,-0.212261,-4.653563,0.010531,-0.276727,-4.590540,px4_default
74624000,-0.070611,-0.235009,-4.650785,0.009696,-0.312495,-4.590680,px4_default
74644000,-0.075825,-0.260204,-4.647858,0.008826,-0.337741,-4.590940,px4_default
74664000,-0.081090,-0.285990,-4.644915,0.007590,-0.377191,-4.591485,px4_default
74684000,-0.086468,-0.313084,-4.641938,0.006093,-0.418708,-4.592262,px4_default
74704000,-0.091948,-0.341487,-4.638935,0.004675,-0.447704,-4.592953,px4_default
74724000,-0.097452,-0.370477,-4.635939,0.003543,-0.477351,-4.593731,px4_default
74744000,-0.103034,-0.401469,-4.632965,0.001141,-0.523674,-4.595184,px4_default
74764000,-0.108607,-0.433041,-4.630020,-0.000601,-0.555521,-4.596313,px4_default
74784000,-0.114165,-0.465699,-4.627130,-0.003406,-0.604683,-4.598260,px4_default
74804000,-0.119693,-0.499438,-4.624303,-0.005363,-0.638313,-4.599723,px4_default
74824000,-0.125177,-0.533738,-4.621527,-0.008573,-0.689976,-4.602222,px4_default
74844000,-0.130535,-0.569614,-4.618898,-0.011305,-0.725297,-4.604138,px4_default
74864000,-0.135807,-0.606026,-4.616344,-0.015421,-0.779237,-4.607299,px4_default
74884000,-0.140942,-0.643304,-4.613910,-0.018512,-0.815869,-4.609641,px4_default
74904000,-0.145923,-0.681436,-4.611604,-0.023651,-0.871731,-4.613503,px4_default
74924000,-0.150775,-0.720070,-4.609394,-0.027181,-0.909464,-4.616262,px4_default
74944000,-0.155321,-0.759883,-4.607410,-0.033287,-0.966836,-4.620738,px4_default
74964000,-0.159688,-0.800155,-4.605543,-0.037577,-1.005472,-4.623903,px4_default
74984000,-0.163803,-0.841074,-4.603840,-0.044361,-1.063934,-4.628924,px4_default
75004000,-0.167649,-0.882624,-4.602308,-0.049436,-1.103247,-4.632478,px4_default
75024000,-0.171263,-0.924584,-4.600911,-0.057246,-1.162515,-4.638018,px4_default
75044000,-0.174419,-0.967353,-4.599780,-0.062771,-1.202200,-4.641883,px4_default
75064000,-0.177287,-1.010472,-4.598800,-0.071218,-1.261867,-4.647881,px4_default
75084000,-0.179797,-1.054025,-4.598007,-0.077140,-1.301693,-4.652033,px4_default
75104000,-0.181929,-1.097991,-4.597406,-0.086316,-1.361425,-4.658437,px4_default
75124000,-0.183713,-1.142240,-4.596969,-0.092459,-1.401235,-4.662777,px4_default
75144000,-0.184913,-1.186963,-4.596805,-0.102172,-1.460762,-4.669455,px4_default
75164000,-0.185703,-1.231893,-4.596812,-0.108656,-1.500346,-4.673964,px4_default
