timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
72504000,-0.071161,0.018606,-4.700413,-0.072604,0.014931,-4.686400,px4_default
72524000,-0.071164,0.018596,-4.699273,-0.072295,0.014317,-4.684983,px4_default
72544000,-0.071167,0.018583,-4.698120,-0.071724,0.013196,-4.682958,px4_default
72564000,-0.071197,0.018472,-4.696554,-0.071175,0.012261,-4.681674,px4_default
72584000,-0.071254,0.018258,-4.694585,-0.070182,0.010552,-4.679853,px4_default
72604000,-0.071316,0.018026,-4.692635,-0.069375,0.009158,-4.678702,px4_default
72624000,-0.071530,0.017208,-4.691254,-0.067950,0.006590,-4.677086,px4_default
72644000,-0.071757,0.016345,-4.689897,-0.066896,0.004534,-4.676126,px4_default
72664000,-0.072109,0.014990,-4.688802,-0.065065,0.000755,-4.674960,px4_default
72684000,-0.072591,0.013129,-4.687972,-0.063760,-0.002273,-4.674433,px4_default
72704000,-0.073094,0.011183,-4.687169,-0.061691,-0.007678,-4.674183,px4_default
72724000,-0.073922,0.007932,-4.686792,-0.060249,-0.012008,-4.674499,px4_default
72744000,-0.074784,0.004544,-4.686443,-0.058077,-0.019541,-4.675694,px4_default
72764000,-0.075855,0.000293,-4.686266,-0.056638,-0.025337,-4.676825,px4_default
72784000,-0.077142,-0.004843,-4.686259,-0.054525,-0.035200,-4.678489,px4_default
72804000,-0.078476,-0.010179,-4.686274,-0.053139,-0.042424,-4.679289,px4_default
72824000,-0.080272,-0.017462,-4.686494,-0.051201,-0.054418,-4.679837,px4_default
72844000,-0.082131,-0.025019,-4.686724,-0.050005,-0.063100,-4.679736,px4_default
72864000,-0.084270,-0.033785,-4.686993,-0.048397,-0.077506,-4.678954,px4_default
72884000,-0.086695,-0.043787,-4.687293,-0.047460,-0.087922,-4.678069,px4_default
72904000,-0.089200,-0.054149,-4.687581,-0.046316,-0.104866,-4.676463,px4_default
72924000,-0.092270,-0.067009,-4.687790,-0.045812,-0.117246,-4.675231,px4_default
72944000,-0.095428,-0.080275,-4.687881,-0.045218,-0.137152,-4.673352,px4_default
72964000,-0.098883,-0.094899,-4.687575,-0.045070,-0.151461,-4.672050,px4_default
72984000,-0.102635,-0.110893,-4.686845,-0.045250,-0.174498,-4.670087,px4_default
73004000,-0.106473,-0.127328,-4.685910,-0.045448,-0.190785,-4.668808,px4_default
73024000,-0.110768,-0.146099,-4.683892,-0.046294,-0.217014,-4.666973,px4_default
73044000,-0.115149,-0.165402,-4.681756,-0.047089,-0.235537,-4.665814,px4_default
73064000,-0.119757,-0.186126,-4.679304,-0.048561,-0.264876,-4.664157,px4_default
73084000,-0.124590,-0.208289,-4.676561,-0.049678,-0.285453,-4.663107,px4_default
73104000,-0.129497,-0.231037,-4.673783,-0.051626,-0.317837,-4.661626,px4_default
73124000,-0.134712,-0.256232,-4.670856,-0.053363,-0.340652,-4.660693,px4_default
73144000,-0.139977,-0.282018,-4.667913,-0.056005,-0.376252,-4.659386,px4_default
73164000,-0.145354,-0.309112,-4.664936,-0.057945,-0.401012,-4.658585,px4_default
73184000,-0.150835,-0.337515,-4.661933,-0.061178,-0.439612,-4.657519,px4_default
73204000,-0.156338,-0.366505,-4.658937,-0.063385,-0.466196,-4.656888,px4_default
73224000,-0.161920,-0.397497,-4.655962,-0.067152,-0.507634,-4.656107,px4_default
73244000,-0.167494,-0.429069,-4.653018,-0.069790,-0.536098,-4.655659,px4_default
73264000,-0.173051,-0.461727,-4.650128,-0.073947,-0.580013,-4.655134,px4_default
73284000,-0.178580,-0.495466,-4.647301,-0.077089,-0.610156,-4.654922,px4_default
73304000,-0.184064,-0.529766,-4.644525,-0.081850,-0.656390,-4.654745,px4_default
73324000,-0.189422,-0.565642,-4.641896,-0.085263,-0.687930,-4.654748,px4_default
73344000,-0.194694,-0.602054,-4.639342,-0.090404,-0.736132,-4.654898,px4_default
73364000,-0.199828,-0.639332,-4.636908,-0.094012,-0.768869,-4.655073,px4_default
73384000,-0.204810,-0.677464,-4.634602,-0.099764,-0.818830,-4.655505,px4_default
73404000,-0.209661,-0.716098,-4.632392,-0.103641,-0.852637,-4.655898,px4_default
73424000,-0.214207,-0.755911,-4.630408,-0.110007,-0.904103,-4.656628,px4_default
73444000,-0.218575,-0.796183,-4.628541,-0.114344,-0.938827,-4.657219,px4_default
73464000,-0.222690,-0.837102,-4.626838,-0.121009,-0.991482,-4.658292,px4_default
73484000,-0.226535,-0.878652,-4.625306,-0.125828,-1.026955,-4.659170,px4_default
73504000,-0.230149,-0.920612,-4.623909,-0.133076,-1.080615,-4.660677,px4_default
73524000,-0.233305,-0.963381,-4.622778,-0.138092,-1.116667,-4.661822,px4_default
73544000,-0.236174,-1.006500,-4.621798,-0.145860,-1.171099,-4.663775,px4_default
73564000,-0.238684,-1.050053,-4.621005,-0.151052,-1.207586,-4.665218,px4_default
73584000,-0.240815,-1.094019,-4.620404,-0.159234,-1.262540,-4.667670,px4_default
73604000,-0.242600,-1.138268,-4.619967,-0.164491,-1.299320,-4.669393,px4_default
73624000,-0.243800,-1.182991,-4.619802,-0.172689,-1.354557,-4.672260,px4_default
73644000,-0.244589,-1.227921,-4.619810,-0.178137,-1.391419,-4.674321,px4_default
73664000,-0.244923,-1.273081,-4.620008,-0.186193,-1.446739,-4.677624,px4_default
73684000,-0.244780,-1.318443,-4.620396,-0.191604,-1.483590,-4.679997,px4_default
73704000,-0.244159,-1.363928,-4.620960,-0.199469,-1.538814,-4.683738,px4_default
73724000,-0.242856,-1.409588,-4.621776,-0.204591,-1.575547,-4.686355,px4_default
73744000,-0.241004,-1.455281,-4.622768,-0.211940,-1.630482,-4.690477,px4_default
73764000,-0.238608,-1.501005,-4.623936,-0.216507,-1.667007,-4.693322,px4_default
73784000,-0.235643,-1.546729,-4.625278,-0.223084,-1.721476,-4.697763,px4_default
73804000,-0.232057,-1.592392,-4.626791,-0.227069,-1.757599,-4.700796,px4_default
73824000,-0.227714,-1.637979,-4.628514,-0.232379,-1.811465,-4.705446,px4_default
73844000,-0.222674,-1.683389,-4.630397,-0.235580,-1.847056,-4.708591,px4_default
73864000,-0.217010,-1.728640,-4.632424,-0.239540,-1.900177,-4.713346,px4_default
73884000,-0.210698,-1.773696,-4.634589,-0.241614,-1.935179,-4.716548,px4_default
73904000,-0.203609,-1.818465,-4.636897,-0.243826,-1.987231,-4.721373,px4_default
73924000,-0.195719,-1.862938,-4.639353,-0.244727,-2.021530,-4.724584,px4_default
73944000,-0.186972,-1.907003,-4.641930,-0.245046,-2.055495,-4.727764,px4_default
73964000,-0.177532,-1.950737,-4.644602,-0.244390,-2.105834,-4.732457,px4_default
73984000,-0.167372,-1.994098,-4.647362,-0.242382,-2.155188,-4.737026,px4_default
74004000,-0.156274,-2.036923,-4.650209,-0.240240,-2.187633,-4.739998,px4_default
74024000,-0.144353,-2.079278,-4.653135,-0.235691,-2.235594,-4.744340,px4_default
74044000,-0.131409,-2.120966,-4.656110,-0.231646,-2.266926,-4.747153,px4_default
74064000,-0.117711,-2.162164,-4.659122,-0.224436,-2.313182,-4.751168,px4_default
74084000,-0.103232,-2.202821,-4.662155,-0.218615,-2.343429,-4.753619,px4_default
74104000,-0.087647,-2.242660,-4.665191,-0.208293,-2.387920,-4.756876,px4_default
74124000,-0.071247,-2.281896,-4.668228,-0.200445,-2.417075,-4.758663,px4_default
74144000,-0.053652,-2.320171,-4.671212,-0.187118,-2.459873,-4.760653,px4_default
74164000,-0.035257,-2.357802,-4.674161,-0.177252,-2.487852,-4.761556,px4_default
74184000,-0.016031,-2.394738,-4.677054,-0.160671,-2.528620,-4.762371,px4_default
74204000,0.004475,-2.430561,-4.679829,-0.148508,-2.555114,-4.762630,px4_default
74224000,0.025770,-2.465697,-4.682533,-0.128560,-2.593776,-4.762671,px4_default
74244000,0.048437,-2.499565,-4.685046,-0.114032,-2.618669,-4.762409,px4_default
74264000,0.071944,-2.532656,-4.687442,-0.090565,-2.654939,-4.761635,px4_default
74284000,0.096297,-2.564936,-4.689647,-0.073718,-2.678292,-4.760808,px4_default
74304000,0.122032,-2.595847,-4.691437,-0.046653,-2.712047,-4.759079,px4_default
74324000,0.148467,-2.626066,-4.693016,-0.027513,-2.733784,-4.757634,px4_default
74344000,0.176341,-2.654807,-4.694124,0.003126,-2.764947,-4.754919,px4_default
74364000,0.205024,-2.682717,-4.694968,0.024701,-2.784880,-4.752833,px4_default
74384000,0.234549,-2.709749,-4.695590,0.058799,-2.813470,-4.749342,px4_default
74404000,0.265610,-2.735159,-4.695869,0.082696,-2.831651,-4.746807,px4_default
74424000,0.297302,-2.759904,-4.696008,0.120276,-2.857581,-4.742725,px4_default
74444000,0.330537,-2.782984,-4.695747,0.146606,-2.873847,-4.739801,px4_default
74464000,0.364570,-2.805205,-4.695280,0.187728,-2.896914,-4.735198,px4_default
74484000,0.399391,-2.826558,-4.694585,0.216307,-2.911316,-4.731971,px4_default
74504000,0.435730,-2.846217,-4.693428,0.260902,-2.931469,-4.726947,px4_default
74524000,0.472559,-2.865330,-4.692122,0.291678,-2.944004,-4.723502,px4_default
74544000,0.510918,-2.882713,-4.690423,0.339721,-2.961216,-4.718166,px4_default
74564000,0.550004,-2.899275,-4.688537,0.372845,-2.971754,-4.714524,px4_default
74584000,0.589815,-2.915008,-4.686497,0.424144,-2.986160,-4.708973,px4_default
74604000,0.631151,-2.928989,-4.684161,0.459583,-2.994775,-4.705217,px4_default
74624000,0.672860,-2.942541,-4.681752,0.514214,-3.006387,-4.699557,px4_default
74644000,0.716055,-2.954354,-4.679082,0.551717,-3.013212,-4.695764,px4_default
74664000,0.759900,-2.965406,-4.676298,0.609367,-3.022178,-4.690045,px4_default
74684000,0.804375,-2.975694,-4.673420,0.648812,-3.027287,-4.686240,px4_default
74704000,0.850274,-2.984234,-4.670343,0.709462,-3.033683,-4.680501,px4_default
74724000,0.896418,-2.992473,-4.667232,0.750765,-3.037137,-4.676678,px4_default
74744000,0.943932,-2.998961,-4.663979,0.814301,-3.041105,-4.670883,px4_default
74764000,0.992000,-3.004745,-4.660669,0.857521,-3.042960,-4.667034,px4_default
74784000,1.040596,-3.009825,-4.657319,0.923610,-3.044575,-4.661303,px4_default
74804000,1.090492,-3.013159,-4.653874,0.968662,-3.044904,-4.657537,px4_default
74824000,1.140528,-3.016305,-4.650419,1.037359,-3.044318,-4.651984,px4_default
