timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
72288000,-0.040102,-0.014308,-4.699475,-0.050978,-0.014100,-4.692470,px4_default
72308000,-0.040105,-0.014321,-4.698050,-0.051673,-0.014742,-4.693556,px4_default
72328000,-0.040110,-0.014338,-4.696603,-0.052742,-0.016209,-4.695961,px4_default
72348000,-0.040179,-0.014598,-4.694135,-0.053496,-0.017550,-4.697982,px4_default
72368000,-0.040256,-0.014889,-4.691697,-0.054712,-0.020304,-4.701724,px4_default
72388000,-0.040525,-0.015910,-4.689970,-0.055602,-0.022661,-4.704573,px4_default
72408000,-0.040813,-0.017008,-4.688284,-0.057081,-0.027095,-4.709274,px4_default
72428000,-0.041406,-0.019299,-4.687234,-0.058221,-0.030828,-4.712714,px4_default
72448000,-0.042034,-0.021731,-4.686231,-0.060152,-0.037540,-4.718006,px4_default
72468000,-0.043070,-0.025795,-4.685760,-0.061568,-0.042836,-4.721400,px4_default
72488000,-0.044161,-0.030086,-4.685336,-0.063936,-0.052004,-4.725487,px4_default
72508000,-0.045749,-0.036423,-4.685318,-0.065649,-0.058787,-4.727214,px4_default
72528000,-0.047417,-0.043093,-4.685336,-0.068498,-0.070408,-4.728399,px4_default
72548000,-0.049662,-0.052197,-4.685612,-0.070497,-0.078897,-4.728541,px4_default
72568000,-0.052012,-0.061758,-4.685903,-0.073874,-0.093546,-4.728159,px4_default
72588000,-0.055009,-0.074111,-4.686282,-0.076389,-0.104564,-4.727779,px4_default
72608000,-0.058141,-0.087063,-4.686643,-0.080391,-0.123034,-4.727161,px4_default
72628000,-0.061978,-0.103138,-4.686904,-0.083411,-0.136938,-4.726549,px4_default
72648000,-0.065962,-0.119890,-4.686968,-0.088302,-0.159854,-4.725549,px4_default
72668000,-0.070616,-0.139698,-4.686141,-0.091849,-0.176676,-4.724796,px4_default
72688000,-0.075414,-0.160242,-4.684972,-0.097620,-0.204361,-4.723545,px4_default
72708000,-0.080783,-0.183707,-4.682450,-0.101680,-0.224276,-4.722637,px4_default
72728000,-0.086294,-0.208056,-4.679731,-0.108332,-0.256987,-4.721181,px4_default
72748000,-0.092304,-0.235516,-4.676318,-0.113018,-0.280384,-4.720136,px4_default
72768000,-0.098438,-0.263951,-4.672845,-0.120397,-0.317855,-4.718467,px4_default
72788000,-0.104956,-0.295445,-4.669186,-0.125674,-0.344702,-4.717205,px4_default
72808000,-0.111559,-0.327924,-4.665501,-0.133674,-0.386861,-4.715283,px4_default
72828000,-0.118399,-0.363181,-4.661744,-0.139303,-0.416813,-4.713911,px4_default
72848000,-0.125279,-0.399419,-4.657999,-0.147898,-0.463863,-4.711870,px4_default
72888000,-0.132256,-0.438160,-4.654281,-0.162838,-0.548582,-4.708429,px4_default
72888000,-0.139220,-0.477865,-4.650612,-0.162838,-0.548582,-4.708429,px4_default
72908000,-0.146150,-0.519805,-4.647057,-0.168915,-0.584418,-4.707118,px4_default
72928000,-0.153005,-0.562680,-4.643587,-0.175189,-0.621678,-4.705843,px4_default
72948000,-0.159702,-0.607525,-4.640301,-0.184616,-0.679414,-4.704097,px4_default
72968000,-0.166257,-0.653264,-4.637139,-0.194124,-0.739494,-4.702565,px4_default
72988000,-0.172538,-0.700720,-4.634216,-0.200557,-0.781013,-4.701722,px4_default
73008000,-0.178602,-0.749012,-4.631454,-0.210090,-0.844849,-4.700753,px4_default
73028000,-0.184285,-0.798778,-4.628974,-0.216395,-0.888540,-4.700335,px4_default
73048000,-0.189669,-0.849309,-4.626689,-0.225727,-0.955656,-4.700099,px4_default
73068000,-0.194572,-0.901077,-4.624717,-0.231778,-1.001254,-4.700190,px4_default
73088000,-0.199090,-0.953526,-4.622971,-0.240564,-1.071000,-4.700733,px4_default
73108000,-0.203035,-1.006987,-4.621557,-0.246152,-1.118215,-4.701361,px4_default
73128000,-0.206500,-1.061031,-4.620395,-0.254048,-1.190255,-4.702801,px4_default
73148000,-0.209310,-1.115871,-4.619576,-0.258918,-1.238865,-4.704081,px4_default
73168000,-0.211540,-1.171182,-4.619029,-0.265552,-1.312543,-4.706459,px4_default
73188000,-0.213041,-1.227086,-4.618824,-0.269445,-1.362179,-4.708429,px4_default
73208000,-0.213856,-1.283335,-4.618905,-0.274395,-1.437074,-4.711837,px4_default
73228000,-0.213876,-1.339986,-4.619317,-0.277015,-1.487278,-4.714436,px4_default
73248000,-0.213100,-1.396842,-4.620022,-0.279790,-1.562856,-4.718801,px4_default
73268000,-0.211470,-1.453918,-4.621042,-0.280864,-1.613329,-4.722018,px4_default
73288000,-0.208927,-1.511047,-4.622356,-0.281019,-1.689063,-4.727314,px4_default
73308000,-0.205480,-1.568228,-4.623961,-0.280188,-1.739468,-4.731075,px4_default
73328000,-0.200997,-1.625306,-4.625853,-0.277463,-1.814834,-4.736961,px4_default
73348000,-0.195569,-1.682290,-4.628006,-0.274590,-1.864814,-4.741064,px4_default
73368000,-0.188978,-1.738979,-4.630427,-0.268625,-1.939273,-4.747422,px4_default
73388000,-0.181410,-1.795418,-4.633073,-0.263369,-1.988428,-4.751835,px4_default
73408000,-0.172550,-1.851380,-4.635959,-0.253782,-2.061426,-4.758504,px4_default
73428000,-0.162687,-1.906970,-4.639030,-0.246137,-2.109472,-4.762976,px4_default
73448000,-0.151397,-1.961881,-4.642300,-0.232780,-2.180442,-4.769547,px4_default
73468000,-0.139088,-2.016306,-4.645712,-0.222674,-2.227059,-4.773839,px4_default
73488000,-0.125215,-2.069837,-4.649271,-0.205404,-2.295456,-4.780072,px4_default
73508000,-0.110314,-2.122780,-4.652928,-0.192594,-2.340144,-4.784016,px4_default
73528000,-0.093707,-2.174613,-4.656668,-0.171437,-2.405740,-4.789536,px4_default
73548000,-0.076069,-2.225775,-4.660459,-0.155980,-2.448257,-4.792706,px4_default
73568000,-0.056588,-2.275574,-4.664253,-0.131150,-2.510636,-4.796336,px4_default
73588000,-0.036087,-2.324619,-4.668049,-0.113355,-2.551062,-4.798138,px4_default
73608000,-0.013596,-2.372063,-4.671758,-0.084796,-2.610007,-4.800252,px4_default
73628000,0.009902,-2.418697,-4.675422,-0.064393,-2.647947,-4.801289,px4_default
73648000,0.035534,-2.463475,-4.678891,-0.031750,-2.702750,-4.802248,px4_default
73688000,0.062153,-2.507395,-4.682271,0.027866,-2.788462,-4.801897,px4_default
73688000,0.091058,-2.549203,-4.685333,0.027866,-2.788462,-4.801897,px4_default
73708000,0.120923,-2.590122,-4.688262,0.053532,-2.820667,-4.800967,px4_default
73728000,0.153091,-2.628762,-4.690499,0.093906,-2.866802,-4.798747,px4_default
73748000,0.186135,-2.666534,-4.692472,0.122331,-2.895752,-4.796739,px4_default
73768000,0.221577,-2.701845,-4.693662,0.166927,-2.936929,-4.793269,px4_default
73788000,0.257843,-2.736310,-4.694582,0.198096,-2.962662,-4.790634,px4_default
73808000,0.296669,-2.768073,-4.694932,0.246942,-2.998681,-4.786149,px4_default
73828000,0.336284,-2.799004,-4.695105,0.280753,-3.021125,-4.782887,px4_default
73848000,0.378472,-2.827161,-4.694612,0.333788,-3.051892,-4.777524,px4_default
73868000,0.421366,-2.854557,-4.693936,0.370232,-3.070965,-4.773768,px4_default
73888000,0.466789,-2.879132,-4.692490,0.427243,-3.096661,-4.767826,px4_default
73908000,0.512825,-2.903023,-4.690857,0.466549,-3.112111,-4.763709,px4_default
73928000,0.561413,-2.924031,-4.688570,0.527402,-3.132761,-4.757305,px4_default
73948000,0.610541,-2.944427,-4.686143,0.569473,-3.144666,-4.752882,px4_default
73968000,0.662210,-2.961903,-4.683223,0.634278,-3.160140,-4.746107,px4_default
73988000,0.714346,-2.978843,-4.680212,0.678763,-3.168758,-4.741528,px4_default
74008000,0.768960,-2.992884,-4.676766,0.747418,-3.179170,-4.734554,px4_default
74028000,0.823960,-3.006473,-4.673252,0.794238,-3.184550,-4.729863,px4_default
74048000,0.881333,-3.017148,-4.669405,0.866567,-3.189991,-4.722713,px4_default
74068000,0.939013,-3.027447,-4.665515,0.915882,-3.192050,-4.717950,px4_default
74088000,0.998978,-3.034828,-4.661391,0.991441,-3.192820,-4.710833,px4_default
74108000,1.059181,-3.041906,-4.657242,1.043129,-3.191720,-4.706178,px4_default
74128000,1.121551,-3.046073,-4.652936,1.121683,-3.188032,-4.699270,px4_default
74148000,1.184096,-3.050006,-4.648617,1.175270,-3.184100,-4.694755,px4_default
74168000,1.248697,-3.051038,-4.644218,1.256856,-3.176207,-4.688119,px4_default
74188000,1.313417,-3.051902,-4.639815,1.312200,-3.169616,-4.683828,px4_default
74208000,1.380026,-3.049878,-4.635409,1.396609,-3.157814,-4.677607,px4_default
74228000,1.446702,-3.047751,-4.631002,1.453608,-3.148726,-4.673552,px4_default
74248000,1.515139,-3.042752,-4.626666,1.540638,-3.133359,-4.667744,px4_default
74268000,1.583609,-3.037696,-4.622331,1.599412,-3.122002,-4.664032,px4_default
74288000,1.653666,-3.029822,-4.618136,1.688666,-3.103355,-4.658724,px4_default
74308000,1.723760,-3.021876,-4.613945,1.749121,-3.089937,-4.655375,px4_default
74328000,1.795240,-3.011244,-4.609953,1.840696,-3.068358,-4.650622,px4_default
74348000,1.866776,-3.000487,-4.605973,1.902483,-3.053087,-4.647675,px4_default
74368000,1.939450,-2.987182,-4.602245,1.996225,-3.028944,-4.643573,px4_default
74388000,2.012192,-2.973704,-4.598537,2.059245,-3.012002,-4.641037,px4_default
74408000,2.085884,-2.957802,-4.595124,2.154659,-2.985509,-4.637566,px4_default
74428000,2.159648,-2.941683,-4.591743,2.218713,-2.967072,-4.635480,px4_default
74448000,2.234163,-2.923266,-4.588693,2.315750,-2.938594,-4.632761,px4_default
74468000,2.308746,-2.904590,-4.585687,2.380856,-2.918943,-4.631158,px4_default
74488000,2.383888,-2.883737,-4.583042,2.479093,-2.888509,-4.629137,px4_default
74508000,2.459087,-2.862586,-4.580453,2.545068,-2.867729,-4.628108,px4_default
74528000,2.534677,-2.839374,-4.578250,2.644417,-2.835574,-4.626951,px4_default
74548000,2.610299,-2.815828,-4.576116,2.710963,-2.813581,-4.626465,px4_default
74568000,2.686101,-2.790349,-4.574386,2.811178,-2.779767,-4.626184,px4_default
74588000,2.761909,-2.764503,-4.572738,2.878123,-2.756603,-4.626276,px4_default
74608000,2.837744,-2.736831,-4.571505,2.978916,-2.721185,-4.626906,px4_default
