timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
0,-0.016730,-0.004047,-4.693665,-0.015519,-0.006283,-4.692296,repeat_mean
33162,0.034358,0.069710,-4.703652,0.047224,0.052353,-4.701997,repeat_mean
66323,0.087382,0.145702,-4.700426,0.108143,0.114400,-4.705202,repeat_mean
99485,0.140198,0.221558,-4.692287,0.170051,0.175550,-4.704281,repeat_mean
132647,0.193197,0.297272,-4.684008,0.232774,0.235785,-4.701026,repeat_mean
165808,0.246575,0.372754,-4.676054,0.296100,0.295333,-4.697063,repeat_mean
198970,0.300455,0.447928,-4.668593,0.359679,0.354612,-4.693243,repeat_mean
232132,0.354820,0.522799,-4.661614,0.423045,0.414144,-4.689884,repeat_mean
265293,0.409856,0.597237,-4.655287,0.485886,0.474262,-4.687060,repeat_mean
298455,0.465419,0.671322,-4.649457,0.547965,0.535192,-4.684664,repeat_mean
331617,0.521690,0.744919,-4.644276,0.609006,0.597184,-4.682599,repeat_mean
364778,0.578560,0.818091,-4.639620,0.669045,0.660162,-4.680787,repeat_mean
397940,0.636156,0.890728,-4.635578,0.727984,0.724180,-4.679155,repeat_mean
431102,0.694422,0.962857,-4.632086,0.785754,0.789260,-4.677657,repeat_mean
464263,0.753462,1.034383,-4.629214,0.842305,0.855406,-4.676244,repeat_mean
497425,0.813199,1.105348,-4.626882,0.897678,0.922536,-4.674738,repeat_mean
530587,0.873810,1.175584,-4.625181,0.951929,0.990572,-4.673082,repeat_mean
563748,0.935109,1.245230,-4.623846,1.005075,1.059468,-4.671301,repeat_mean
596910,0.997193,1.314181,-4.622786,1.057178,1.129151,-4.669493,repeat_mean
630072,1.060272,1.382228,-4.622051,1.108469,1.199431,-4.667830,repeat_mean
663233,1.124099,1.449576,-4.621620,1.158965,1.270283,-4.666443,repeat_mean
696395,1.189000,1.515889,-4.621710,1.208851,1.341566,-4.665453,repeat_mean
729557,1.254916,1.581192,-4.622316,1.258267,1.413171,-4.664834,repeat_mean
762718,1.321734,1.645565,-4.623360,1.307266,1.485058,-4.664698,repeat_mean
795880,1.389772,1.708635,-4.624966,1.356043,1.557084,-4.665091,repeat_mean
829041,1.458791,1.770619,-4.626992,1.404776,1.629127,-4.665932,repeat_mean
862203,1.528951,1.831289,-4.629482,1.453590,1.701098,-4.667310,repeat_mean
895365,1.600242,1.890609,-4.632399,1.502722,1.772828,-4.669268,repeat_mean
928526,1.672748,1.948409,-4.635740,1.552246,1.844265,-4.671754,repeat_mean
961688,1.746423,2.004693,-4.639457,1.602439,1.915201,-4.674832,repeat_mean
994850,1.821272,2.059378,-4.643519,1.653508,1.985474,-4.678462,repeat_mean
1028011,1.897519,2.112066,-4.647947,1.705537,2.055010,-4.682577,repeat_mean
1061173,1.974936,2.162999,-4.652645,1.758850,2.123530,-4.687212,repeat_mean
1094335,2.053654,2.211857,-4.657606,1.813703,2.190777,-4.692341,repeat_mean
1127496,2.133859,2.258221,-4.662814,1.870048,2.256756,-4.697860,repeat_mean
1160658,2.215184,2.302569,-4.668169,1.928278,2.321041,-4.703776,repeat_mean
1193820,2.298119,2.343798,-4.673676,1.988656,2.383287,-4.710028,repeat_mean
1226981,2.382274,2.382475,-4.679246,2.051285,2.443237,-4.716542,repeat_mean
1260143,2.467790,2.418040,-4.684807,2.116260,2.500628,-4.723264,repeat_mean
1293305,2.554636,2.450268,-4.690088,2.183867,2.554897,-4.730083,repeat_mean
1326466,2.642729,2.478969,-4.694960,2.254087,2.605775,-4.736831,repeat_mean
1359628,2.731966,2.503955,-4.699497,2.327016,2.652760,-4.743037,repeat_mean
1392790,2.822207,2.525083,-4.703689,2.402546,2.695543,-4.748488,repeat_mean
1425951,2.913487,2.541307,-4.707376,2.480628,2.733557,-4.753318,repeat_mean
1459113,3.005361,2.553830,-4.710678,2.561138,2.766222,-4.757461,repeat_mean
1492275,3.097835,2.560678,-4.713385,2.643830,2.793027,-4.760770,repeat_mean
1525436,3.190544,2.563485,-4.715632,2.728366,2.813427,-4.763196,repeat_mean
1558598,3.283270,2.561285,-4.717253,2.814245,2.827270,-4.764749,repeat_mean
1591760,3.375780,2.554266,-4.718247,2.900951,2.834387,-4.765344,repeat_mean
1624921,3.467836,2.542706,-4.718654,2.987947,2.834861,-4.764884,repeat_mean
1658083,3.559150,2.526270,-4.718525,3.074731,2.828915,-4.763411,repeat_mean
1691245,3.649543,2.505381,-4.718029,3.160848,2.816787,-4.760977,repeat_mean
1724406,3.738839,2.480211,-4.717232,3.245950,2.798963,-4.757903,repeat_mean
1757568,3.826895,2.451029,-4.716189,3.329789,2.775953,-4.754392,repeat_mean
1790730,3.913418,2.417552,-4.714922,3.412196,2.748262,-4.750582,repeat_mean
1823891,3.998708,2.381043,-4.713521,3.493033,2.716288,-4.746606,repeat_mean
1857053,4.081824,2.339837,-4.711959,3.572280,2.680571,-4.742511,repeat_mean
1890215,4.163529,2.295901,-4.710332,3.650005,2.641655,-4.738335,repeat_mean
1923376,4.243358,2.248660,-4.708646,3.726203,2.599822,-4.734134,repeat_mean
1956538,4.321234,2.198244,-4.706935,3.800838,2.555254,-4.729962,repeat_mean
1989700,4.397207,2.145008,-4.705224,3.874069,2.508408,-4.725886,repeat_mean
2022861,4.471058,2.088869,-4.703539,3.945937,2.459487,-4.721936,repeat_mean
2056023,4.542979,2.030275,-4.701894,4.016579,2.408801,-4.718115,repeat_mean
2089185,4.612705,1.969080,-4.700313,4.085928,2.356347,-4.714459,repeat_mean
2122346,4.680409,1.905654,-4.698802,4.154026,2.302268,-4.711000,repeat_mean
2155508,4.745692,1.839742,-4.697390,4.220995,2.246788,-4.707747,repeat_mean
2188670,4.808985,1.771907,-4.696067,4.286865,2.189996,-4.704712,repeat_mean
2221831,4.869956,1.701984,-4.694854,4.351582,2.131884,-4.701925,repeat_mean
2254993,4.928420,1.629944,-4.693766,4.415052,2.072402,-4.699437,repeat_mean
2288155,4.985011,1.556421,-4.692773,4.477473,2.011816,-4.697207,repeat_mean
2321316,5.038809,1.480831,-4.691924,4.538699,1.950013,-4.695255,repeat_mean
2354478,5.090324,1.403664,-4.691193,4.598748,1.887061,-4.693587,repeat_mean
2387639,5.139662,1.325087,-4.690572,4.657647,1.823033,-4.692206,repeat_mean
2420801,5.186108,1.244764,-4.690092,4.715335,1.757908,-4.691097,repeat_mean
2453963,5.230291,1.163176,-4.689719,4.771808,1.691726,-4.690281,repeat_mean
2487124,5.271801,1.080195,-4.689462,4.826983,1.624459,-4.689727,repeat_mean
2520286,5.310795,0.996001,-4.689301,4.880859,1.556155,-4.689450,repeat_mean
2553448,5.346874,0.910522,-4.689234,4.933377,1.486801,-4.689444,repeat_mean
2586609,5.380467,0.824029,-4.689244,4.984461,1.416386,-4.689696,repeat_mean
