timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
73896000,-0.035295,-0.013903,-4.708073,-0.038241,-0.016402,-4.705648,px4_default
73916000,-0.035290,-0.013896,-4.707587,-0.037919,-0.016136,-4.705893,px4_default
73936000,-0.035255,-0.013844,-4.706992,-0.037516,-0.015802,-4.706123,px4_default
73956000,-0.035181,-0.013736,-4.706325,-0.036593,-0.015023,-4.706558,px4_default
73976000,-0.035028,-0.013514,-4.705719,-0.035685,-0.014272,-4.706904,px4_default
73996000,-0.034726,-0.013073,-4.705407,-0.033951,-0.012778,-4.707456,px4_default
74016000,-0.034181,-0.012279,-4.705363,-0.032409,-0.011461,-4.707882,px4_default
74036000,-0.033459,-0.011228,-4.705481,-0.029583,-0.009004,-4.708587,px4_default
74056000,-0.032473,-0.009793,-4.705800,-0.027293,-0.007000,-4.709133,px4_default
74076000,-0.031154,-0.007876,-4.706324,-0.023156,-0.003359,-4.710118,px4_default
74096000,-0.029456,-0.005409,-4.707027,-0.019955,-0.000490,-4.710930,px4_default
74116000,-0.027347,-0.002346,-4.707883,-0.014349,0.004643,-4.712436,px4_default
74136000,-0.024814,0.001327,-4.708869,-0.010097,0.008613,-4.713533,px4_default
74156000,-0.021731,0.005795,-4.709969,-0.002954,0.015368,-4.714946,px4_default
74176000,-0.018088,0.011067,-4.711154,0.002450,0.020503,-4.715764,px4_default
74196000,-0.014003,0.016973,-4.712379,0.011312,0.029051,-4.716840,px4_default
74216000,-0.009268,0.023810,-4.713647,0.017886,0.035408,-4.717547,px4_default
74236000,-0.003639,0.031922,-4.714888,0.028795,0.046017,-4.718686,px4_default
74256000,0.002669,0.041000,-4.716079,0.036604,0.053708,-4.719475,px4_default
74276000,0.009546,0.050885,-4.717199,0.049425,0.066297,-4.720625,px4_default
74296000,0.016997,0.061583,-4.718226,0.058639,0.075306,-4.721339,px4_default
74316000,0.025710,0.074063,-4.718572,0.073705,0.090070,-4.722247,px4_default
