timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
75732000,0.023928,0.068110,-4.693402,0.023866,0.070116,-4.689519,px4_default
75752000,0.023933,0.068116,-4.692915,0.024355,0.071002,-4.690907,px4_default
75772000,0.023968,0.068168,-4.692321,0.024891,0.071805,-4.692182,px4_default
75792000,0.024042,0.068276,-4.691654,0.026086,0.073365,-4.694763,px4_default
75812000,0.024194,0.068498,-4.691048,0.027179,0.074634,-4.697021,px4_default
75832000,0.024497,0.068940,-4.690736,0.029386,0.077032,-4.701258,px4_default
75852000,0.025042,0.069734,-4.690691,0.031217,0.078880,-4.704473,px4_default
75872000,0.025763,0.070784,-4.690810,0.034718,0.082262,-4.709818,px4_default
75892000,0.026750,0.072219,-4.691128,0.037477,0.084864,-4.713577,px4_default
75912000,0.028068,0.074137,-4.691652,0.042338,0.089330,-4.719276,px4_default
75932000,0.029766,0.076604,-4.692356,0.046146,0.092775,-4.723052,px4_default
75952000,0.031876,0.079666,-4.693212,0.052507,0.098522,-4.728271,px4_default
75972000,0.034408,0.083339,-4.694198,0.057207,0.102784,-4.731180,px4_default
75992000,0.037492,0.087807,-4.695298,0.064947,0.109814,-4.734201,px4_default
76012000,0.041135,0.093079,-4.696483,0.070509,0.114883,-4.735319,px4_default
76032000,0.045220,0.098985,-4.697708,0.079615,0.123369,-4.735686,px4_default
76052000,0.049954,0.105822,-4.698976,0.086156,0.129550,-4.735254,px4_default
76072000,0.055583,0.113935,-4.700216,0.096774,0.139702,-4.733909,px4_default
76092000,0.061892,0.123012,-4.701408,0.104477,0.147240,-4.732546,px4_default
76112000,0.068769,0.132897,-4.702528,0.116798,0.159385,-4.730310,px4_default
76132000,0.076220,0.143595,-4.703555,0.125762,0.168331,-4.728587,px4_default
76152000,0.084933,0.156075,-4.703901,0.140177,0.182846,-4.725908,px4_default
76172000,0.094240,0.169403,-4.703724,0.150499,0.193386,-4.724057,px4_default
76192000,0.104107,0.183535,-4.703091,0.167172,0.210548,-4.721284,px4_default
76212000,0.114628,0.198611,-4.702017,0.179030,0.222792,-4.719474,px4_default
76232000,0.126030,0.214971,-4.700461,0.198163,0.242847,-4.716853,px4_default
76252000,0.138483,0.232859,-4.698614,0.211731,0.257163,-4.715214,px4_default
76272000,0.151545,0.251627,-4.696620,0.233360,0.280035,-4.712900,px4_default
76292000,0.165347,0.271454,-4.694468,0.248764,0.296536,-4.711474,px4_default
76312000,0.179983,0.292463,-4.692162,0.273148,0.322610,-4.709457,px4_default
76332000,0.195518,0.314723,-4.689711,0.290341,0.341052,-4.708164,px4_default
76352000,0.211840,0.338056,-4.687152,0.317536,0.370351,-4.706291,px4_default
76372000,0.228838,0.362300,-4.684511,0.336567,0.390731,-4.705036,px4_default
76392000,0.246709,0.387691,-4.681783,0.366490,0.422940,-4.703134,px4_default
76412000,0.265426,0.414174,-4.678985,0.387328,0.445257,-4.701835,px4_default
76432000,0.284725,0.441389,-4.676150,0.419959,0.480790,-4.699738,px4_default
76452000,0.304785,0.469554,-4.673273,0.442575,0.505471,-4.698259,px4_default
76472000,0.325844,0.498914,-4.670370,0.477756,0.543982,-4.695895,px4_default
76492000,0.347631,0.529121,-4.667459,0.502021,0.571028,-4.694172,px4_default
76512000,0.369991,0.559978,-4.664554,0.539586,0.612897,-4.691403,px4_default
76532000,0.392913,0.591467,-4.661655,0.565376,0.641929,-4.689399,px4_default
76552000,0.416987,0.624196,-4.658798,0.605117,0.687100,-4.686123,px4_default
76572000,0.441726,0.657599,-4.655985,0.632284,0.718077,-4.683829,px4_default
76592000,0.467045,0.691579,-4.653214,0.673923,0.766442,-4.680160,px4_default
76612000,0.492967,0.726143,-4.650495,0.702270,0.799613,-4.677672,px4_default
76632000,0.519643,0.761417,-4.647849,0.745601,0.850756,-4.673835,px4_default
76652000,0.547292,0.797539,-4.645323,0.774994,0.885721,-4.671235,px4_default
76672000,0.575459,0.834088,-4.642871,0.819772,0.939448,-4.667313,px4_default
76692000,0.604211,0.871107,-4.640506,0.849999,0.976286,-4.664672,px4_default
76712000,0.633643,0.908645,-4.638252,0.895928,1.032583,-4.660778,px4_default
76732000,0.663889,0.946763,-4.636142,0.926876,1.070897,-4.658201,px4_default
76752000,0.694787,0.985301,-4.634165,0.973706,1.129390,-4.654349,px4_default
76772000,0.726191,1.024155,-4.632293,1.005200,1.168932,-4.651801,px4_default
76792000,0.758332,1.063418,-4.630593,1.052710,1.229211,-4.647996,px4_default
76812000,0.791209,1.103061,-4.629073,1.084572,1.269848,-4.645552,px4_default
76832000,0.824565,1.142916,-4.627678,1.132647,1.331399,-4.642107,px4_default
76852000,0.858538,1.183032,-4.626450,1.164847,1.372797,-4.640012,px4_default
76872000,0.893267,1.223407,-4.625438,1.213411,1.435215,-4.637286,px4_default
76892000,0.928588,1.263948,-4.624571,1.245941,1.477001,-4.635777,px4_default
76912000,0.964389,1.304597,-4.623800,1.295000,1.539771,-4.633971,px4_default
76932000,1.000626,1.345329,-4.623108,1.327840,1.581617,-4.633121,px4_default
76952000,1.037674,1.386144,-4.622525,1.377283,1.644219,-4.632382,px4_default
76972000,1.075282,1.426934,-4.622045,1.410408,1.685800,-4.632203,px4_default
76992000,1.113355,1.467681,-4.621663,1.460304,1.747616,-4.632465,px4_default
77012000,1.151879,1.508358,-4.621395,1.493725,1.788463,-4.632948,px4_default
77032000,1.190942,1.548926,-4.621278,1.544121,1.849088,-4.634153,px4_default
77052000,1.230820,1.589219,-4.621452,1.577924,1.888875,-4.635285,px4_default
77072000,1.271102,1.629342,-4.621770,1.628947,1.947759,-4.637355,px4_default
77092000,1.311807,1.669273,-4.622241,1.663174,1.986343,-4.639003,px4_default
77112000,1.353011,1.708930,-4.622896,1.714825,2.043078,-4.641859,px4_default
77132000,1.394860,1.748150,-4.623796,1.749470,2.080208,-4.643959,px4_default
77152000,1.437180,1.786987,-4.624875,1.801714,2.134380,-4.647458,px4_default
77172000,1.479859,1.825521,-4.626090,1.836758,2.169828,-4.649924,px4_default
77192000,1.523052,1.863563,-4.627499,1.889586,2.221267,-4.653965,px4_default
77212000,1.566765,1.901056,-4.629106,1.924999,2.254573,-4.656818,px4_default
77232000,1.610829,1.938096,-4.630849,1.978405,2.303009,-4.661307,px4_default
77252000,1.655305,1.974583,-4.632751,2.014196,2.333971,-4.664468,px4_default
77272000,1.700247,2.010373,-4.634830,2.068168,2.378913,-4.669353,px4_default
77292000,1.745595,2.045501,-4.637058,2.104321,2.407662,-4.672710,px4_default
